"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","8765/TCP","9093/TCP","9443/TCP"
2023-03-13 17:02:00,3.38,,1.62,,6.48,8.52,3.26,2.52,2.04,,5.16,,1.70,1.68
2023-03-13 17:04:00,3.42,,,,6.22,15.9,3.32,2.54,2.04,82.8,5.24,,1.54,1.66
2023-03-13 17:06:00,3.54,,1.92,2.58,6.50,8.60,3.36,2.56,2.14,,5.20,,1.70,
2023-03-13 17:08:00,3.38,,1.66,,6.22,8.38,3.30,2.56,2.08,,5.18,,1.82,1.66
2023-03-13 17:10:00,3.52,,1.52,,6.24,8.96,3.24,2.48,2.18,,5.20,,1.86,1.68
2023-03-13 17:12:00,3.34,,1.62,,6.24,9.02,3.18,2.60,2.04,,5.24,,1.82,1.70
2023-03-13 17:14:00,3.38,,,,6.02,9.32,3.44,2.50,2,87.1,5.26,,1.78,1.68
2023-03-13 17:16:00,3.58,,1.88,2.36,6.20,9.24,3.28,2.54,2.04,,5.22,,1.70,
2023-03-13 17:18:00,3.18,,1.58,,6.20,9.32,3.16,2.54,2.02,,5.18,,1.78,1.68
2023-03-13 17:20:00,3.56,,1.52,,6.28,9.44,3.16,2.54,2.10,,5.20,,1.76,1.68
2023-03-13 17:22:00,3.28,,1.62,,6.36,9.22,3.30,2.54,2.04,,5.14,,1.82,1.68
2023-03-13 17:24:00,3.46,,,,6.14,9.16,3.12,2.52,2,17.4,5.14,,1.76,1.68
2023-03-13 17:26:00,3.52,,1.88,2.18,6.20,9.18,3.06,2.52,1.94,,5.20,,1.78,
2023-03-13 17:28:00,3.30,,1.58,,6.26,8.94,3.12,2.54,1.94,,5.16,,1.76,1.68
2023-03-13 17:30:00,3.40,,1.52,,6.46,9.14,3.22,2.56,2.04,,5.20,,1.80,1.68
2023-03-13 17:32:00,3.36,,1.62,,6.20,8.80,3.30,2.58,2.12,,5.24,,1.74,1.68
2023-03-13 17:34:00,3.52,,1.52,,6.32,9.16,3.22,2.58,2.14,,5.20,,1.72,1.68
2023-03-13 17:36:00,3.46,,1.88,1.80,6.12,9.08,3.28,2.54,2.12,,5.20,,1.72,
2023-03-13 17:38:00,3.36,,1.58,,6.40,9.10,3.26,2.54,2.04,,5.20,,1.62,1.68
2023-03-13 17:40:00,3.42,,1.52,,6.44,9.02,3.32,2.56,2.12,,5.14,,1.78,1.80
2023-03-13 17:42:00,3.34,,1.62,,6.12,9.12,3.16,2.52,2.16,,5.20,,1.74,1.68
2023-03-13 17:44:00,3.32,,1.70,,6.08,9.02,3.28,2.52,2.06,,5.22,,1.72,1.68
2023-03-13 17:46:00,3.46,,2.06,2.74,6.32,16.0,3.32,2.56,2.08,23.0,5.12,,,
2023-03-13 17:48:00,3.32,,1.58,,6.38,8.84,3.16,2.54,2.12,,5.18,,1.74,1.66
2023-03-13 17:50:00,3.32,,1.52,,6.22,8.96,3.12,2.56,1.96,,5.22,,1.70,1.68
2023-03-13 17:52:00,3.22,,1.62,,6.28,8.96,3.34,2.56,2.08,,5.22,,1.74,1.68
2023-03-13 17:54:00,3.38,,1.52,,6.32,8.60,3.24,2.54,2.12,,5.26,,1.70,1.68
2023-03-13 17:56:00,3.28,,1.88,2.70,6.26,16.1,3.32,2.48,2.22,89.4,5.18,,,
2023-03-13 17:58:00,3.40,,1.58,,6.40,8.76,3.36,2.56,2.06,,5.20,,1.72,1.68
2023-03-13 18:00:00,3.50,,1.52,,6.42,8.62,3.32,2.56,1.90,,5.22,,1.74,1.68
2023-03-13 18:02:00,3.30,,1.62,,6.50,8.96,3.10,2.50,2,,5.14,,1.70,1.76
2023-03-13 18:04:00,3.36,,1.52,,6.22,9.10,3.18,2.50,1.96,,5.20,,1.64,1.66
2023-03-13 18:06:00,3.54,,2.46,2.18,6.38,8.32,3.44,2.48,2.02,73.3,5.08,,,
2023-03-13 18:08:00,3.38,,1.66,,6.56,8.72,3.30,2.58,2.10,,5.20,,1.70,1.80
2023-03-13 18:10:00,3.54,,1.52,,6.56,9.28,3.30,2.54,2.14,,5.20,,1.72,1.68
2023-03-13 18:12:00,3.44,,1.62,,6.14,8.98,3.30,2.50,2.06,,5.20,,1.72,1.68
