"Time","to-endpoint","to-overlay","to-stack"
2023-03-13 20:36:00,50.5,12.4,28.6
2023-03-13 20:38:00,49.1,10.2,28.3
2023-03-13 20:40:00,49.0,10.5,28.4
2023-03-13 20:42:00,55.3,36.2,28.7
2023-03-13 20:44:00,51.1,11.4,28.9
2023-03-13 20:46:00,50.9,13.0,29.1
2023-03-13 20:48:00,49.6,10.6,28.5
2023-03-13 20:50:00,49.2,10.1,28.3
2023-03-13 20:52:00,49.3,9.76,28.6
2023-03-13 20:54:00,49.4,11.6,28.2
2023-03-13 20:56:00,50.2,12.1,28.7
2023-03-13 20:58:00,48.9,10.5,28.3
2023-03-13 21:00:00,49.1,9.64,28.3
2023-03-13 21:02:00,50.0,10.3,28.8
2023-03-13 21:04:00,65.4,21.7,28.8
2023-03-13 21:06:00,51.0,11.9,29.5
2023-03-13 21:08:00,49.5,10.4,28.7
2023-03-13 21:10:00,48.6,10.1,28.3
2023-03-13 21:12:00,50.1,11.1,28.7
2023-03-13 21:14:00,90.9,79.9,27.7
2023-03-13 21:16:00,51.0,11.7,28.8
2023-03-13 21:18:00,49.4,10.5,28.5
2023-03-13 21:20:00,49.3,10.3,28.4
2023-03-13 21:22:00,50.4,11.1,28.6
2023-03-13 21:24:00,75.6,81.6,28.4
2023-03-13 21:26:00,52.4,13.4,29.6
2023-03-13 21:28:00,49.2,10.6,28.4
2023-03-13 21:30:00,49.4,10.0,28.4
2023-03-13 21:32:00,49.4,12.1,28.6
2023-03-13 21:34:00,49.4,24.3,28.3
2023-03-13 21:36:00,51.0,11.8,29.1
2023-03-13 21:38:00,49.4,10.1,28.4
2023-03-13 21:40:00,49.4,10.5,28.4
2023-03-13 21:42:00,49.5,10.6,28.4
2023-03-13 21:44:00,49.9,10.7,28.5
2023-03-13 21:46:00,50.5,12.4,28.6
2023-03-13 21:48:00,49.5,10.8,28.4
2023-03-13 21:50:00,49.3,9.86,28.2
2023-03-13 21:52:00,49.2,10.8,28.6
2023-03-13 21:54:00,49.2,11.7,28.3
2023-03-13 21:56:00,72.6,37.9,28.1
2023-03-13 21:58:00,49.0,10.8,28.6
2023-03-13 22:00:00,49.5,9.92,28.7
2023-03-13 22:02:00,50,11.7,28.6
2023-03-13 22:04:00,49.3,10.6,28.5
2023-03-13 22:06:00,96.0,95.4,28.9
2023-03-13 22:08:00,49.1,11.5,28.7
2023-03-13 22:10:00,49.2,10.2,28.1
2023-03-13 22:12:00,49.9,10.8,28.8
2023-03-13 22:14:00,49.5,10.5,28.5
2023-03-13 22:16:00,72.4,72.6,28.8
2023-03-13 22:18:00,49.3,9.86,28.5
2023-03-13 22:20:00,49.2,10.7,28.1
2023-03-13 22:22:00,49.6,10.9,28.4
2023-03-13 22:24:00,49.9,10.8,28.5
2023-03-13 22:26:00,50.5,18.8,28.5
2023-03-13 22:28:00,48.6,11.0,28.2
2023-03-13 22:30:00,49.2,11.3,28.2
2023-03-13 22:32:00,49.3,11.9,28.3
2023-03-13 22:34:00,49.2,10.9,28.1
2023-03-13 22:36:00,50.4,12.8,28.7
2023-03-13 22:38:00,48.8,10.5,28.2
2023-03-13 22:40:00,48.9,12.7,28.4
2023-03-13 22:42:00,51.4,12.2,28.9
2023-03-13 22:44:00,50.5,12.7,28.5
2023-03-13 22:46:00,50.8,13.3,29.1
2023-03-13 22:48:00,77.2,48.7,28.7
2023-03-13 22:50:00,48.8,12.1,28.1
2023-03-13 22:52:00,48.7,11.3,28.0
2023-03-13 22:54:00,49.1,12.3,28.3
2023-03-13 22:56:00,50.8,13.5,28.8
2023-03-13 22:58:00,94.7,98.9,28.8
2023-03-13 23:00:00,49.3,10.9,28.7
2023-03-13 23:02:00,49.4,12.1,28.6
2023-03-13 23:04:00,49.6,11.5,28.5
2023-03-13 23:06:00,50.7,12.7,28.8
2023-03-13 23:08:00,66.6,62.6,28.5
2023-03-13 23:10:00,49.2,12.3,28.2
2023-03-13 23:12:00,49.3,12.0,28.1
2023-03-13 23:14:00,50.0,11.8,28.4
2023-03-13 23:16:00,51.0,13.0,29.1
2023-03-13 23:18:00,48.8,11.8,28.1
2023-03-13 23:20:00,49.9,12.0,28.6
2023-03-13 23:22:00,50.0,11.2,28.7
2023-03-13 23:24:00,49.6,11.7,28.6
2023-03-13 23:26:00,50.5,12.9,28.8
2023-03-13 23:28:00,49.3,10.9,28.3
2023-03-13 23:30:00,49.4,11.5,28.3
2023-03-13 23:32:00,49.8,11.1,28.7
2023-03-13 23:34:00,48.7,11.5,28.2
2023-03-13 23:36:00,50.0,13.0,28.7
2023-03-13 23:38:00,49.1,10.8,28.7
2023-03-13 23:40:00,80.5,57.6,28.2
2023-03-13 23:42:00,49.3,11.3,28.3
2023-03-13 23:44:00,49.4,11.3,28.3
2023-03-13 23:46:00,51.4,13.4,29.2
2023-03-13 23:48:00,48.5,11.8,28.1
2023-03-13 23:50:00,93.5,99.1,28.3
2023-03-13 23:52:00,50.0,11.2,28.7
2023-03-13 23:54:00,50.1,11.8,28.7
2023-03-13 23:56:00,51.5,15.0,29.1
2023-03-13 23:58:00,49.3,10.9,28.3
2023-03-14 00:00:00,61.2,49.6,28.5
2023-03-14 00:02:00,50.4,11.6,28.4
2023-03-14 00:04:00,49.0,10.9,28.3
2023-03-14 00:06:00,50.8,13.6,28.9
2023-03-14 00:08:00,48.9,11.0,28.2
2023-03-14 00:10:00,49.0,11.2,28.6
2023-03-14 00:12:00,49.9,11.7,28.5
2023-03-14 00:14:00,48.7,11.1,27.9
2023-03-14 00:16:00,50.6,13.5,28.6
2023-03-14 00:18:00,49.9,11.3,28.3
2023-03-14 00:20:00,49.2,10.5,28.2
2023-03-14 00:22:00,56.6,16.7,28.9
2023-03-14 00:24:00,49.2,11.2,28.5
2023-03-14 00:26:00,51.5,14.6,28.8
2023-03-14 00:28:00,49.4,11.1,28.7
2023-03-14 00:30:00,48.9,11.6,28.4
2023-03-14 00:32:00,86.4,68.8,28.7
2023-03-14 00:34:00,49.6,11.1,28.4
2023-03-14 00:36:00,51.0,13.3,29.1
2023-03-14 00:38:00,49.3,11.6,28.3
2023-03-14 00:40:00,48.7,11.4,28.3
2023-03-14 00:42:00,87.0,95.2,28.5
2023-03-14 00:44:00,50.0,11.6,28.4
2023-03-14 00:46:00,51.0,13.6,29.0
2023-03-14 00:48:00,49.2,11.2,28.4
2023-03-14 00:50:00,50.4,12.6,28.7
2023-03-14 00:52:00,58.0,43.9,28.6
2023-03-14 00:54:00,49.4,10.5,28.3
2023-03-14 00:56:00,51.2,13.8,28.7
2023-03-14 00:58:00,48.8,11.3,28.4
2023-03-14 01:00:00,49.5,12.1,28.4
2023-03-14 01:02:00,49.5,12.3,28.5
2023-03-14 01:04:00,49.0,10.9,28.5
2023-03-14 01:06:00,51.8,14.3,29.2
2023-03-14 01:08:00,48.8,11.4,28.5
2023-03-14 01:10:00,49.1,11.1,28.3
2023-03-14 01:12:00,49.9,13.3,28.7
2023-03-14 01:14:00,65.9,24.5,28.3
2023-03-14 01:16:00,51.2,13.2,28.9
2023-03-14 01:18:00,49.2,10.9,28.3
2023-03-14 01:20:00,49.5,10.8,28.4
2023-03-14 01:22:00,49.9,11.8,28.4
2023-03-14 01:24:00,91.3,83.1,28.0
2023-03-14 01:26:00,51.0,13.3,28.7
2023-03-14 01:28:00,48.8,11.5,28.3
2023-03-14 01:30:00,49.1,12.2,28.3
2023-03-14 01:32:00,49.0,12.1,28.2
2023-03-14 01:34:00,79.9,90.7,27.8
2023-03-14 01:36:00,50.6,14.5,28.7
2023-03-14 01:38:00,49.5,10.7,28.2
2023-03-14 01:40:00,48.4,11.2,27.9
2023-03-14 01:42:00,49.5,13.8,28.4
2023-03-14 01:44:00,52.9,31,28.6
2023-03-14 01:46:00,51.5,12.8,29.2
2023-03-14 01:48:00,50.0,11.6,28.9
2023-03-14 01:50:00,50.1,10.7,28.9
2023-03-14 01:52:00,50.0,10.9,28.9
2023-03-14 01:54:00,50.5,12.1,28.9
2023-03-14 01:56:00,50.9,12.6,28.9
2023-03-14 01:58:00,49.6,12.4,28.4
2023-03-14 02:00:00,49.3,11.6,28.5
2023-03-14 02:02:00,49.7,11.6,28.8
2023-03-14 02:04:00,49.6,11.4,28.5
2023-03-14 02:06:00,72.7,36.4,29.0
2023-03-14 02:08:00,49.6,11.6,28.6
2023-03-14 02:10:00,49.3,11.1,28.1
2023-03-14 02:12:00,49.8,13.5,28.6
2023-03-14 02:14:00,49.7,11.4,28.6
2023-03-14 02:16:00,94.2,90.9,28.7
2023-03-14 02:18:00,49.4,11.3,28.7
2023-03-14 02:20:00,49.1,10.8,28.3
2023-03-14 02:22:00,49.8,11.4,28.5
2023-03-14 02:24:00,49.8,11.1,28.6
2023-03-14 02:26:00,73.6,75.4,29.0
2023-03-14 02:28:00,49.5,11.7,28.6
2023-03-14 02:30:00,49.1,11.2,28.5
2023-03-14 02:32:00,49.6,12.2,28.4
2023-03-14 02:34:00,48.2,10.9,28.1
2023-03-14 02:36:00,50.1,19.6,28.8
2023-03-14 02:38:00,48.8,11.7,28.2
2023-03-14 02:40:00,48.3,12.1,28.2
2023-03-14 02:42:00,50.0,12.6,28.3
2023-03-14 02:44:00,50.6,11.7,28.7
2023-03-14 02:46:00,51.1,12.2,29.1
2023-03-14 02:48:00,49.1,10.5,28.4
2023-03-14 02:50:00,48.6,10.5,28.3
2023-03-14 02:52:00,49.9,11.6,28.4
2023-03-14 02:54:00,48.5,11.0,28.4
2023-03-14 02:56:00,51.0,13.6,28.7
2023-03-14 02:58:00,71.8,36.4,28.7
2023-03-14 03:00:00,49.1,10.6,28.5
2023-03-14 03:02:00,49.2,11.2,28.6
2023-03-14 03:04:00,49.1,11.5,28.5
2023-03-14 03:06:00,51.3,13.3,29.0
2023-03-14 03:08:00,94.2,91.0,28.6
2023-03-14 03:10:00,48.6,12,28.3
2023-03-14 03:12:00,49.8,11.5,28.6
2023-03-14 03:14:00,49.9,12.5,28.6
2023-03-14 03:16:00,51.2,12.8,28.9
2023-03-14 03:18:00,71.8,72.8,28.6
2023-03-14 03:20:00,49.5,10.6,28.4
2023-03-14 03:22:00,49.3,10.8,28.5
2023-03-14 03:24:00,49.3,12.1,28.5
2023-03-14 03:26:00,51.6,13.5,29.0
2023-03-14 03:28:00,49.2,18.7,28.7
2023-03-14 03:30:00,49.7,11.7,28.2
2023-03-14 03:32:00,49.7,12.6,28.5
2023-03-14 03:34:00,48.4,10.5,28.1
2023-03-14 03:36:00,50.5,13.1,28.6
2023-03-14 03:38:00,49,10.4,28.5
2023-03-14 03:40:00,49.8,12.0,28.7
2023-03-14 03:42:00,50.2,10.9,28.8
2023-03-14 03:44:00,50.6,11.9,28.9
2023-03-14 03:46:00,51.9,13.8,29.3
2023-03-14 03:48:00,49.4,10.2,28.6
2023-03-14 03:50:00,77.8,49.2,28.8
2023-03-14 03:52:00,49.5,10.8,28.6
2023-03-14 03:54:00,49.6,10.8,28.5
2023-03-14 03:56:00,51.3,13.1,28.9
2023-03-14 03:58:00,48.9,10.6,28.5
2023-03-14 04:00:00,93.4,98.6,28.4
2023-03-14 04:02:00,49.8,11.4,28.4
2023-03-14 04:04:00,48.9,11.7,28.2
2023-03-14 04:06:00,51.8,19.8,29.8
2023-03-14 04:08:00,48.7,11.3,28.4
2023-03-14 04:10:00,67.7,67.5,28.4
2023-03-14 04:12:00,49.1,12.3,28.4
2023-03-14 04:14:00,48.6,11.2,28.0
2023-03-14 04:16:00,50.8,13.6,28.7
2023-03-14 04:18:00,49.4,11.6,28.3
2023-03-14 04:20:00,49.4,13.2,28.4
2023-03-14 04:22:00,48.9,11.7,28.2
2023-03-14 04:24:00,49.3,11.3,28.5
2023-03-14 04:26:00,51.6,12.8,29
2023-03-14 04:28:00,48.8,10.8,28.3
2023-03-14 04:30:00,49.0,11.6,28.3
2023-03-14 04:32:00,49.1,11.9,28.5
2023-03-14 04:34:00,48.8,12.2,27.9
2023-03-14 04:36:00,51.5,13.3,29.2
2023-03-14 04:38:00,49.5,10.6,28.7
2023-03-14 04:40:00,49.4,11.4,28.5
2023-03-14 04:42:00,81.9,55.4,28.9
2023-03-14 04:44:00,50.5,11.7,28.7
2023-03-14 04:46:00,50.9,13.2,29.3
2023-03-14 04:48:00,49.3,11.2,28.5
2023-03-14 04:50:00,50.7,11.7,28.8
2023-03-14 04:52:00,92.6,99,28.6
2023-03-14 04:54:00,48.9,10.3,28.4
2023-03-14 04:56:00,51.3,12.4,29.3
2023-03-14 04:58:00,49.2,11.7,28.5
2023-03-14 05:00:00,49.6,12.8,28.7
2023-03-14 05:02:00,67.6,65.1,28.5
2023-03-14 05:04:00,49.1,11.2,28.5
2023-03-14 05:06:00,51.4,13.6,29.2
2023-03-14 05:08:00,49.2,12.2,28.8
2023-03-14 05:10:00,49.2,11.8,28.5
2023-03-14 05:12:00,49.1,12.9,28.6
2023-03-14 05:14:00,48.3,10.9,28.2
2023-03-14 05:16:00,50.3,12.6,28.7
2023-03-14 05:18:00,49.7,11.8,28.6
2023-03-14 05:20:00,49,10.6,28.3
2023-03-14 05:22:00,49.6,12.5,28.4
2023-03-14 05:24:00,48.9,11.0,28.2
2023-03-14 05:26:00,49.8,12.5,28.7
2023-03-14 05:28:00,48.2,12.5,28.1
2023-03-14 05:30:00,48.0,12.6,28.0
2023-03-14 05:32:00,49.8,13.3,28.8
2023-03-14 05:34:00,75.2,42.9,28.6
2023-03-14 05:36:00,50.9,13.0,29.2
2023-03-14 05:38:00,49.6,12.3,28.6
2023-03-14 05:40:00,48.9,11.1,28.7
2023-03-14 05:42:00,49.5,12.4,28.6
2023-03-14 05:44:00,94.6,95.7,28.7
2023-03-14 05:46:00,50.9,12.4,29.2
2023-03-14 05:48:00,49.2,12.3,28.7
2023-03-14 05:50:00,48.8,11.0,28.3
2023-03-14 05:52:00,49.7,12.1,28.5
2023-03-14 05:54:00,73.8,79.8,28.4
