"Time","ICMPv4","TCP","UDP"
2023-02-22 20:36:00,0.180,46.5,0.620
2023-02-22 20:38:00,0.180,114,0.440
2023-02-22 20:40:00,0.180,48.1,2.46
2023-02-22 20:42:00,0.180,47.4,0.200
2023-02-22 20:44:00,0.180,47.2,0.440
2023-02-22 20:46:00,0.180,46.5,0.0800
2023-02-22 20:48:00,0.180,94.7,0.420
2023-02-22 20:50:00,0.180,47.0,1.60
2023-02-22 20:52:00,0.180,47.3,0.400
2023-02-22 20:54:00,0.180,46.9,0.0400
2023-02-22 20:56:00,0.180,46.5,0.400
2023-02-22 20:58:00,0.180,76.4,0.0400
2023-02-22 21:00:00,0.180,47.7,1.92
2023-02-22 21:02:00,0.180,46.5,0.0400
2023-02-22 21:04:00,0.180,46.7,0.440
2023-02-22 21:06:00,0.180,46.7,0.320
2023-02-22 21:08:00,0.180,59.2,0.440
2023-02-22 21:10:00,0.180,47.2,1.94
2023-02-22 21:12:00,0.180,46.6,0.440
2023-02-22 21:14:00,0.180,46.8,0.440
2023-02-22 21:16:00,0.180,46.3,0.0800
2023-02-22 21:18:00,0.180,46.1,0.440
2023-02-22 21:20:00,0.180,46.4,1.58
2023-02-22 21:22:00,0.180,46.4,0.400
2023-02-22 21:24:00,0.180,46.4,0.0400
2023-02-22 21:26:00,0.180,46.0,0.400
2023-02-22 21:28:00,0.180,45.7,0.0400
2023-02-22 21:30:00,0.180,46.5,1.94
2023-02-22 21:32:00,0.180,45.4,0.0400
2023-02-22 21:34:00,0.180,47.0,0.440
2023-02-22 21:36:00,0.180,45.3,0.0800
2023-02-22 21:38:00,0.180,46.1,0.440
2023-02-22 21:40:00,0.180,46.6,2.44
2023-02-22 21:42:00,0.180,45.6,0.440
2023-02-22 21:44:00,0.180,46.2,0.440
2023-02-22 21:46:00,0.180,45.5,0.200
2023-02-22 21:48:00,0.180,45.6,0.440
2023-02-22 21:50:00,0.180,46.2,1.58
2023-02-22 21:52:00,0.180,45.7,0.400
2023-02-22 21:54:00,0.180,46.3,0.0400
2023-02-22 21:56:00,0.180,44.9,0.380
2023-02-22 21:58:00,0.180,45.4,0.0400
2023-02-22 22:00:00,0.180,46.0,1.92
2023-02-22 22:02:00,0.180,44.3,0.0400
2023-02-22 22:04:00,0.180,46.3,0.440
2023-02-22 22:06:00,0.180,44.7,0.0800
2023-02-22 22:08:00,0.180,45.6,0.440
2023-02-22 22:10:00,0.180,60.0,3.06
2023-02-22 22:12:00,0.180,44.5,0.200
2023-02-22 22:14:00,0.180,45.5,0.440
2023-02-22 22:16:00,0.180,45.2,0.0800
2023-02-22 22:18:00,0.180,45.4,0.440
2023-02-22 22:20:00,0.180,80.8,3.40
2023-02-22 22:22:00,0.180,44.5,0.440
2023-02-22 22:24:00,0.180,45.3,0.0400
