"Time","to-endpoint","to-overlay","to-stack"
2023-02-22 17:02:00,47.8,11.4,27.0
2023-02-22 17:04:00,48.5,12.4,27.2
2023-02-22 17:06:00,93.7,94.9,27.3
2023-02-22 17:08:00,48.3,11.7,27.2
2023-02-22 17:10:00,49.9,12.3,27.7
2023-02-22 17:12:00,48.1,10.9,27
2023-02-22 17:14:00,48.5,12.8,27.3
2023-02-22 17:16:00,93.3,95.2,27.3
2023-02-22 17:18:00,48.1,11.6,27.4
2023-02-22 17:20:00,49.2,12.3,27.2
2023-02-22 17:22:00,47.4,10.8,26.6
2023-02-22 17:24:00,48.0,12.9,27.1
2023-02-22 17:26:00,90.4,85.4,27.1
2023-02-22 17:28:00,47.3,12.3,26.9
2023-02-22 17:30:00,49.2,12.1,27.2
2023-02-22 17:32:00,47.1,10.7,26.7
2023-02-22 17:34:00,48.4,13.1,27.1
2023-02-22 17:36:00,76.8,69.9,27.1
2023-02-22 17:38:00,48.0,12.2,27.0
2023-02-22 17:40:00,49.4,12.6,27.5
2023-02-22 17:42:00,47.5,10.8,26.7
2023-02-22 17:44:00,47.4,13.1,26.8
2023-02-22 17:46:00,69.5,55.8,26.9
2023-02-22 17:48:00,47.9,11.6,26.9
2023-02-22 17:50:00,48.4,12.3,27
2023-02-22 17:52:00,47.3,10.6,26.5
2023-02-22 17:54:00,47.5,14.1,26.8
2023-02-22 17:56:00,62.3,40.6,26.7
2023-02-22 17:58:00,47.2,11.1,26.8
2023-02-22 18:00:00,48.6,12.1,26.9
2023-02-22 18:02:00,46.5,10.7,26.5
2023-02-22 18:04:00,47.5,14.2,26.6
2023-02-22 18:06:00,54.8,25.8,26.4
2023-02-22 18:08:00,46.5,11,26.2
2023-02-22 18:10:00,48.2,12.6,26.7
2023-02-22 18:12:00,46.9,11.0,26.3
2023-02-22 18:14:00,47.3,14.4,26.6
2023-02-22 18:16:00,48.9,12.3,26.3
2023-02-22 18:18:00,46.9,11.0,26.4
2023-02-22 18:20:00,47.7,12.3,26.5
2023-02-22 18:22:00,46.9,10.9,26.4
2023-02-22 18:24:00,45.8,14.7,26
2023-02-22 18:26:00,47.2,11.5,26.4
2023-02-22 18:28:00,46.6,10.8,26.5
2023-02-22 18:30:00,47.9,12.5,26.6
