"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-02-22 21:58:00,0,444,0,0,0,453
2023-02-22 22:00:00,0,665,0,0,0,690
2023-02-22 22:02:00,0,566,0,0,0,583
2023-02-22 22:04:00,0,452,0,0,0,469
2023-02-22 22:06:00,0,461,0,0,0,475
2023-02-22 22:08:00,0,440,0,0,0,452
2023-02-22 22:10:00,0,637,0,0,0,657
2023-02-22 22:12:00,0,579,0,0,0,592
2023-02-22 22:14:00,0,447,0,0,0,464
2023-02-22 22:16:00,0,500,0,0,0,512
2023-02-22 22:18:00,0,483,0,0,0,487
2023-02-22 22:20:00,0,639,0,0,0,659
2023-02-22 22:22:00,0,586,0,0,0,608
2023-02-22 22:24:00,0,444,0,0,0,463
2023-02-22 22:26:00,0,465,0,0,0,478
2023-02-22 22:28:00,0,442,0,0,0,454
2023-02-22 22:30:00,0,631,0,0,0,658
2023-02-22 22:32:00,0,633,0,0,0,657
2023-02-22 22:34:00,0,470,0,0,0,487
2023-02-22 22:36:00,0,462,0,0,0,475
2023-02-22 22:38:00,0,444,0,0,0,457
2023-02-22 22:40:00,0,643,0,0,0,665
2023-02-22 22:42:00,0,667,0,0,0,689
2023-02-22 22:44:00,0,440,0,0,0,456
2023-02-22 22:46:00,0,465,0,0,0,476
2023-02-22 22:48:00,0,478,0,0,0,487
2023-02-22 22:50:00,0,667,0,0,0,693
2023-02-22 22:52:00,0,637,0,0,0,665
2023-02-22 22:54:00,0,438,0,0,0,456
2023-02-22 22:56:00,0,468,0,0,0,480
2023-02-22 22:58:00,0,443,0,0,0,454
2023-02-22 23:00:00,0,612,0,0,0,637
2023-02-22 23:02:00,0,630,0,0,0,657
2023-02-22 23:04:00,0,434,0,0,0,452
2023-02-22 23:06:00,0,460,0,0,0,474
2023-02-22 23:08:00,0,440,0,0,0,454
2023-02-22 23:10:00,0,609,0,0,0,630
2023-02-22 23:12:00,0,646,0,0,0,665
2023-02-22 23:14:00,0,472,0,0,0,488
2023-02-22 23:16:00,0,498,0,0,0,509
2023-02-22 23:18:00,0,455,0,0,0,461
2023-02-22 23:20:00,0,585,0,0,0,606
2023-02-22 23:22:00,0,639,0,0,0,667
2023-02-22 23:24:00,0,435,0,0,0,452
2023-02-22 23:26:00,0,468,0,0,0,481
2023-02-22 23:28:00,0,449,0,0,0,462
2023-02-22 23:30:00,0,537,0,0,0,561
2023-02-22 23:32:00,0,633,0,0,0,657
2023-02-22 23:34:00,0,440,0,0,0,456
2023-02-22 23:36:00,0,461,0,0,0,472
2023-02-22 23:38:00,0,484,0,0,0,496
2023-02-22 23:40:00,0,516,0,0,0,533
2023-02-22 23:42:00,0,644,0,0,0,665
2023-02-22 23:44:00,0,443,0,0,0,458
2023-02-22 23:46:00,0,465,0,0,0,474
2023-02-22 23:48:00,0,459,0,0,0,470
2023-02-22 23:50:00,0,487,0,0,0,507
2023-02-22 23:52:00,0,637,0,0,0,659
2023-02-22 23:54:00,0,444,0,0,0,454
2023-02-22 23:56:00,0,474,0,0,0,480
2023-02-22 23:58:00,0,462,0,0,0,466
2023-02-23 00:00:00,0,478,0,0,0,488
2023-02-23 00:02:00,0,674,0,0,0,689
2023-02-23 00:04:00,0,444,0,0,0,456
2023-02-23 00:06:00,0,458,0,0,0,467
2023-02-23 00:08:00,0,452,0,0,0,463
2023-02-23 00:10:00,0,459,0,0,0,467
2023-02-23 00:12:00,0,649,0,0,0,665
2023-02-23 00:14:00,0,447,0,0,0,463
2023-02-23 00:16:00,0,462,0,0,0,468
2023-02-23 00:18:00,0,468,0,0,0,470
2023-02-23 00:20:00,0,458,0,0,0,467
2023-02-23 00:22:00,0,679,0,0,0,702
2023-02-23 00:24:00,0,484,0,0,0,498
2023-02-23 00:26:00,0,456,0,0,0,466
2023-02-23 00:28:00,0,457,0,0,0,465
2023-02-23 00:30:00,0,445,0,0,0,460
2023-02-23 00:32:00,0,642,0,0,0,663
2023-02-23 00:34:00,0,468,0,0,0,483
2023-02-23 00:36:00,0,451,0,0,0,462
2023-02-23 00:38:00,0,456,0,0,0,464
2023-02-23 00:40:00,0,455,0,0,0,463
2023-02-23 00:42:00,0,648,0,0,0,665
2023-02-23 00:44:00,0,482,0,0,0,497
2023-02-23 00:46:00,0,455,0,0,0,462
2023-02-23 00:48:00,0,495,0,0,0,500
2023-02-23 00:50:00,0,449,0,0,0,460
2023-02-23 00:52:00,0,634,0,0,0,654
2023-02-23 00:54:00,0,487,0,0,0,500
2023-02-23 00:56:00,0,457,0,0,0,465
2023-02-23 00:58:00,0,455,0,0,0,462
2023-02-23 01:00:00,0,454,0,0,0,462
2023-02-23 01:02:00,0,630,0,0,0,650
2023-02-23 01:04:00,0,534,0,0,0,541
2023-02-23 01:06:00,0,458,0,0,0,461
2023-02-23 01:08:00,0,462,0,0,0,466
2023-02-23 01:10:00,0,473,0,0,0,474
2023-02-23 01:12:00,0,643,0,0,0,655
2023-02-23 01:14:00,0,562,0,0,0,574
2023-02-23 01:16:00,0,463,0,0,0,463
