"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf3de66de77bc)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf3de66de77bc)","Receive Total (lxcf97c652df312)"
2023-03-21 21:10:00,0,74.5,25680,53031,0.389,0,0,0,0,178,280,113,112,65.7,116,38.5,0,587,31.9,0,38.5,1924,4.27,111,0,66.4,41549,19,1948,7155,0,1873,74.5,0,35964,60676,0,0,0,0,0,223,110,26.3,19,40.3,27.7,19,0,700,25.8,0.389,19,157,4.13,26.3,0,41,20290,38.5,185,1102,0,1864
2023-03-21 21:12:00,0,73.8,21874,49001,0,0,0,0.389,0,176,276,124,128,66.1,121,38.5,0,586,31.9,0,38.5,1733,4.27,117,0,66.4,41532,19,1750,6756,0,1084,73.8,0,35167,58545,0,0,0,0,0,224,112,29.0,23.2,40.6,29.0,19,0,701,25.8,0,19,178,4.13,27.7,0,41.7,17270,38.5,195,1080,0,1073
2023-03-21 21:14:00,0,73.8,35253,88133,0,0,0,0,62.4,177,281,124,128,65.8,126,746,0,587,31.4,0,38.5,1927,4.50,122,0,65.8,41612,19,1960,7149,0,1873,73.8,0,59464,89299,0,0,0,0,151,223,118,29.0,34.2,41,30.3,467,0,700,25.4,0,19,171,4.37,29.0,0,41,27059,38.5,204,1100,0,1863
2023-03-21 21:16:00,0,73.4,27848,80200,0,0,0,0,62,179,281,130,129,65.3,132,746,0,589,31.6,0,38.5,1805,4.50,128,0,65.7,41545,19,1822,6940,0,1341,73.4,0,58890,87919,0,0,0,0,151,223,114,30.3,35.8,41,31.6,467,0,698,25.1,0,19,185,4.37,30.7,0,40.6,20141,38.5,206,1146,0,1334
2023-03-21 21:18:00,0,84.8,31986,59984,0,0,0,0,0,181,278,130,129,66.0,126,38.5,0,589,31.2,0,38.5,1872,4.73,133,0,65.7,41578,19,1884,7057,0,1605,84.8,0,35743,60248,0,0,0,0,0,221,113,30.3,30.3,41,35.5,19,0,698,25.1,0,19,185,4.99,31.6,0,41.4,26854,38.5,200,1137,0,1601
2023-03-21 21:20:00,0.389,78.2,25676,53196,0,0,0,0,0,181,279,130,129,65.7,121,38.5,0,590,31.2,0,38.5,1932,4.97,122,0,66.0,41588,19,1952,7139,0,1870,78.2,0.389,35986,60755,0,0,0,0,0,222,114,30.3,30.3,40.3,29.0,19,0.389,698,25.1,0,19,198,4.83,29.0,0,41.4,20284,38.5,225,1109,0,1873
2023-03-21 21:22:00,0,81.1,24692,52033,0,0,0,0,0,179,277,124,123,66.1,121,38.5,0,590,30.8,0,38.5,1717,4.73,121,0,65.7,41587,19,1737,6767,0,1073,81.1,0,35192,58762,0,0,0,0,0,222,107,29.0,29.0,41.4,29.0,19,0,697,24.8,0,19,183,4.60,34.6,0,40.3,20093,38.5,208,1104,0,1081
2023-03-21 21:24:00,0,80.7,38198,91602,0,0,0,0,62,178,280,124,118,65.7,121,747,0,587,31.3,0,38.5,2661,4.27,122,0,65.3,41656,19,2676,20019,0,1872,80.7,0,59420,103857,0,0,0,0,152,222,116,29.0,27.7,41,29.0,467,0,699,25.2,0,19,202,4.13,29.0,0,39.9,30012,38.5,230,1454,0,1866
2023-03-21 21:26:00,0,84.8,26805,79293,0,0,0,0,62,180,277,118,124,65.3,116,747,0,589,31.9,0,38.5,2543,4.27,121,0,65.0,41538,19,2557,19752,0,1345,84.8,0,58809,102467,0,0,0,0,152,221,111,27.7,29.0,39.9,27.7,467,0,698,25.8,0,19,207,4.13,29.0,0,40.3,19117,38.5,227,1396,0,1332
2023-03-21 21:28:00,0,76.0,33995,62142,0,0,0,0,0,181,276,124,124,65.8,126,38.5,0,590,31.7,0,38.5,1874,4.27,128,0,65.8,41624,19,1893,7046,0,1617,76.0,0,35764,60317,0,0,0.389,0,0,221,110,29.0,29.0,40.3,30.7,19,0,696,25.6,0,19,202,4.13,30.3,0,42.1,28898,38.5,226,1135,0,1605
