"Time","Read","Write"
2023-03-20 22:02:00,0,2189858
2023-03-20 22:04:00,0,811827
2023-03-20 22:06:00,0,947996
2023-03-20 22:08:00,0,1064823
2023-03-20 22:10:00,0,729134
2023-03-20 22:12:00,0,1049850
2023-03-20 22:14:00,0,804574
2023-03-20 22:16:00,9284,961149
2023-03-20 22:18:00,0,1085030
2023-03-20 22:20:00,0,744789
2023-03-20 22:22:00,0,1068510
2023-03-20 22:24:00,0,805032
2023-03-20 22:26:00,0,963230
2023-03-20 22:28:00,0,1070694
2023-03-20 22:30:00,0,720304
2023-03-20 22:32:00,0,1114158
2023-03-20 22:34:00,0,860843
2023-03-20 22:36:00,0,967339
2023-03-20 22:38:00,0,1060545
2023-03-20 22:40:00,0,702569
2023-03-20 22:42:00,0,1046983
2023-03-20 22:44:00,0,831579
2023-03-20 22:46:00,0,961650
2023-03-20 22:48:00,0,1038564
2023-03-20 22:50:00,0,700143
2023-03-20 22:52:00,0,1051580
2023-03-20 22:54:00,0,803726
2023-03-20 22:56:00,0,957554
2023-03-20 22:58:00,0,1085440
2023-03-20 23:00:00,0,679253
2023-03-20 23:02:00,0,1387770
2023-03-20 23:04:00,0,1167901
2023-03-20 23:06:00,0,936528
2023-03-20 23:08:00,0,1047211
2023-03-20 23:10:00,0,728041
2023-03-20 23:12:00,0,1064318
2023-03-20 23:14:00,0,796763
2023-03-20 23:16:00,0,971617
2023-03-20 23:18:00,0,1041704
2023-03-20 23:20:00,0,699915
2023-03-20 23:22:00,0,1062740
2023-03-20 23:24:00,0,813557
2023-03-20 23:26:00,0,932659
2023-03-20 23:28:00,0,1084803
2023-03-20 23:30:00,0,705149
2023-03-20 23:32:00,0,1106648
2023-03-20 23:34:00,0,872084
2023-03-20 23:36:00,0,912498
2023-03-20 23:38:00,0,1037044
2023-03-20 23:40:00,0,717028
2023-03-20 23:42:00,0,1106102
2023-03-20 23:44:00,0,866759
2023-03-20 23:46:00,0,1032320
2023-03-20 23:48:00,0,1154981
2023-03-20 23:50:00,0,725493
2023-03-20 23:52:00,0,1059544
2023-03-20 23:54:00,0,800222
2023-03-20 23:56:00,0,952411
2023-03-20 23:58:00,0,1065275
2023-03-21 00:00:00,0,710110
2023-03-21 00:02:00,23711,4169320
2023-03-21 00:04:00,0,842957
2023-03-21 00:06:00,0,962196
2023-03-21 00:08:00,0,1059681
2023-03-21 00:10:00,0,740602
2023-03-21 00:12:00,0,1051398
2023-03-21 00:14:00,0,797491
2023-03-21 00:16:00,0,857702
2023-03-21 00:18:00,0,1065142
2023-03-21 00:20:00,0,731940
2023-03-21 00:22:00,28444,1196396
2023-03-21 00:24:00,28444,859568
2023-03-21 00:26:00,0,963652
2023-03-21 00:28:00,0,1070785
2023-03-21 00:30:00,0,734868
2023-03-21 00:32:00,0,1101460
2023-03-21 00:34:00,0,854107
2023-03-21 00:36:00,0,981294
2023-03-21 00:38:00,0,1055903
2023-03-21 00:40:00,0,745017
2023-03-21 00:42:00,0,1101460
2023-03-21 00:44:00,0,813830
2023-03-21 00:46:00,0,979301
2023-03-21 00:48:00,0,1048667
2023-03-21 00:50:00,0,711111
2023-03-21 00:52:00,0,1020678
2023-03-21 00:54:00,0,821339
2023-03-21 00:56:00,0,931430
2023-03-21 00:58:00,0,1070876
2023-03-21 01:00:00,0,716527
2023-03-21 01:02:00,0,1514218
2023-03-21 01:04:00,0,1200174
2023-03-21 01:06:00,592,964881
2023-03-21 01:08:00,0,1043433
2023-03-21 01:10:00,0,706958
2023-03-21 01:12:00,0,1083984
2023-03-21 01:14:00,0,824161
2023-03-21 01:16:00,0,972026
2023-03-21 01:18:00,0,1107012
2023-03-21 01:20:00,0,718050
2023-03-21 01:22:00,0,1075837
2023-03-21 01:24:00,1456,819382
2023-03-21 01:26:00,1456,1001335
2023-03-21 01:28:00,0,1069921
2023-03-21 01:30:00,0,672108
2023-03-21 01:32:00,0,1127720
2023-03-21 01:34:00,0,862663
2023-03-21 01:36:00,0,930839
2023-03-21 01:38:00,0,1068965
2023-03-21 01:40:00,0,718757
2023-03-21 01:42:00,0,1124306
2023-03-21 01:44:00,0,833979
2023-03-21 01:46:00,0,952138
2023-03-21 01:48:00,0,1067782
2023-03-21 01:50:00,0,693134
2023-03-21 01:52:00,0,1036060
2023-03-21 01:54:00,0,788445
2023-03-21 01:56:00,0,942399
2023-03-21 01:58:00,0,1114840
2023-03-21 02:00:00,0,728496
2023-03-21 02:02:00,0,2179781
2023-03-21 02:04:00,0,877195
2023-03-21 02:06:00,0,922920
2023-03-21 02:08:00,0,1068874
2023-03-21 02:10:00,0,708016
2023-03-21 02:12:00,0,1072879
2023-03-21 02:14:00,0,845414
2023-03-21 02:16:00,0,988956
2023-03-21 02:18:00,0,1103826
2023-03-21 02:20:00,0,713250
2023-03-21 02:22:00,0,1043843
2023-03-21 02:24:00,0,846097
2023-03-21 02:26:00,0,964107
2023-03-21 02:28:00,0,1036242
2023-03-21 02:30:00,0,698414
2023-03-21 02:32:00,0,1104054
2023-03-21 02:34:00,737735,4377259
2023-03-21 02:36:00,0,1944917
2023-03-21 02:38:00,0,1048348
2023-03-21 02:40:00,0,704057
2023-03-21 02:42:00,0,1056040
2023-03-21 02:44:00,0,807413
2023-03-21 02:46:00,0,988501
2023-03-21 02:48:00,0,1085668
2023-03-21 02:50:00,0,691814
2023-03-21 02:52:00,0,1016491
2023-03-21 02:54:00,0,821658
2023-03-21 02:56:00,0,961513
2023-03-21 02:58:00,0,1072879
2023-03-21 03:00:00,0,698960
2023-03-21 03:02:00,0,1444796
2023-03-21 03:04:00,0,1158986
2023-03-21 03:06:00,0,941124
2023-03-21 03:08:00,0,1074374
2023-03-21 03:10:00,0,684274
2023-03-21 03:12:00,0,1065461
2023-03-21 03:14:00,0,821020
2023-03-21 03:16:00,0,919415
2023-03-21 03:18:00,0,1100140
2023-03-21 03:20:00,0,744016
2023-03-21 03:22:00,0,1056449
2023-03-21 03:24:00,0,819109
2023-03-21 03:26:00,0,933630
2023-03-21 03:28:00,0,1061683
2023-03-21 03:30:00,0,718438
2023-03-21 03:32:00,0,1097956
2023-03-21 03:34:00,0,828530
2023-03-21 03:36:00,0,969448
2023-03-21 03:38:00,0,1071605
2023-03-21 03:40:00,0,711111
2023-03-21 03:42:00,0,1108332
2023-03-21 03:44:00,0,825344
2023-03-21 03:46:00,0,960193
2023-03-21 03:48:00,0,1084666
2023-03-21 03:50:00,0,681028
2023-03-21 03:52:00,0,1022771
2023-03-21 03:54:00,0,871128
2023-03-21 03:56:00,0,977124
2023-03-21 03:58:00,0,1067918
2023-03-21 04:00:00,0,751753
2023-03-21 04:02:00,0,2123548
2023-03-21 04:04:00,0,776738
2023-03-21 04:06:00,0,955733
2023-03-21 04:08:00,0,1070512
2023-03-21 04:10:00,0,706423
2023-03-21 04:12:00,0,1062184
2023-03-21 04:14:00,0,840545
2023-03-21 04:16:00,0,961422
2023-03-21 04:18:00,546,1116035
2023-03-21 04:20:00,15155,728906
2023-03-21 04:22:00,0,1063822
2023-03-21 04:24:00,0,796444
2023-03-21 04:26:00,0,988592
2023-03-21 04:28:00,0,1070057
2023-03-21 04:30:00,726198,1578553
2023-03-21 04:32:00,0,1125676
2023-03-21 04:34:00,0,846268
2023-03-21 04:36:00,0,939986
2023-03-21 04:38:00,0,1064050
2023-03-21 04:40:00,0,729270
2023-03-21 04:42:00,0,1062002
2023-03-21 04:44:00,0,791939
2023-03-21 04:46:00,0,920098
2023-03-21 04:48:00,0,1070330
2023-03-21 04:50:00,0,702464
2023-03-21 04:52:00,0,1063959
2023-03-21 04:54:00,0,805092
2023-03-21 04:56:00,0,958737
2023-03-21 04:58:00,0,1092722
2023-03-21 05:00:00,770822,1606861
2023-03-21 05:02:00,71179,2248658
2023-03-21 05:04:00,45.5,1129267
2023-03-21 05:06:00,45.5,975576
2023-03-21 05:08:00,0,1066689
2023-03-21 05:10:00,0,743936
2023-03-21 05:12:00,0,1085121
2023-03-21 05:14:00,0,788890
2023-03-21 05:16:00,0,939076
2023-03-21 05:18:00,0,1085804
2023-03-21 05:20:00,0,754620
2023-03-21 05:22:00,0,1049714
2023-03-21 05:24:00,0,807322
2023-03-21 05:26:00,0,974466
2023-03-21 05:28:00,0,1063367
2023-03-21 05:30:00,0,687764
2023-03-21 05:32:00,0,1093040
2023-03-21 05:34:00,0,867260
2023-03-21 05:36:00,0,974985
2023-03-21 05:38:00,0,1099366
2023-03-21 05:40:00,0,717346
2023-03-21 05:42:00,0,1113748
2023-03-21 05:44:00,0,866225
2023-03-21 05:46:00,0,965700
2023-03-21 05:48:00,0,1095908
2023-03-21 05:50:00,0,730681
2023-03-21 05:52:00,0,1067922
2023-03-21 05:54:00,0,807231
2023-03-21 05:56:00,0,951137
2023-03-21 05:58:00,0,1092858
2023-03-21 06:00:00,0,706014
2023-03-21 06:02:00,1502,9548049
2023-03-21 06:04:00,546,855973
2023-03-21 06:06:00,0,1040475
2023-03-21 06:08:00,1229,1216831
2023-03-21 06:10:00,294548,2838665
2023-03-21 06:12:00,0,1645318
2023-03-21 06:14:00,12607,837268
2023-03-21 06:16:00,0,922101
2023-03-21 06:18:00,0,1139462
2023-03-21 06:20:00,0,714889
2023-03-21 06:22:00,0,1063140
2023-03-21 06:24:00,46649,859523
2023-03-21 06:26:00,46649,940897
2023-03-21 06:28:00,0,1069966
2023-03-21 06:30:00,0,706469
2023-03-21 06:32:00,0,1110198
2023-03-21 06:34:00,0,886743
2023-03-21 06:36:00,0,943764
2023-03-21 06:38:00,179814,3696503
2023-03-21 06:40:00,179811,3295597
2023-03-21 06:42:00,0,1062093
2023-03-21 06:44:00,0,863118
2023-03-21 06:46:00,410,932341
2023-03-21 06:48:00,410,1057678
2023-03-21 06:50:00,0,715799
2023-03-21 06:52:00,0,1080934
2023-03-21 06:54:00,0,835220
2023-03-21 06:56:00,0,912862
2023-03-21 06:58:00,0,1067236
2023-03-21 07:00:00,0,707561
2023-03-21 07:02:00,0,1420038
2023-03-21 07:04:00,0,1222838
2023-03-21 07:06:00,0,935683
2023-03-21 07:08:00,0,1088580
2023-03-21 07:10:00,0,743105
2023-03-21 07:12:00,0,1074797
2023-03-21 07:14:00,0,824388
2023-03-21 07:16:00,0,916793
2023-03-21 07:18:00,0,1080661
2023-03-21 07:20:00,0,726767
2023-03-21 07:22:00,0,1065461
2023-03-21 07:24:00,0,868218
2023-03-21 07:26:00,0,945175
2023-03-21 07:28:00,0,1051989
2023-03-21 07:30:00,0,691720
2023-03-21 07:32:00,0,1136201
2023-03-21 07:34:00,0,887512
2023-03-21 07:36:00,0,917504
2023-03-21 07:38:00,2594,1098092
2023-03-21 07:40:00,2594,693817
2023-03-21 07:42:00,0,1110062
2023-03-21 07:44:00,0,922465
2023-03-21 07:46:00,0,980582
2023-03-21 07:48:00,1229,1069420
2023-03-21 07:50:00,1229,742376
