"Time","Transmit Total","Receive Total"
2023-03-20 21:46:00,633009,545970
2023-03-20 21:48:00,686856,579560
2023-03-20 21:50:00,550823,469555
2023-03-20 21:52:00,581740,458957
2023-03-20 21:54:00,552382,444748
2023-03-20 21:56:00,627004,521191
2023-03-20 21:58:00,694981,575878
2023-03-20 22:00:00,552842,462015
2023-03-20 22:02:00,579746,459263
2023-03-20 22:04:00,564248,453111
2023-03-20 22:06:00,579289,470804
2023-03-20 22:08:00,702189,580816
2023-03-20 22:10:00,560278,464175
2023-03-20 22:12:00,572871,451720
2023-03-20 22:14:00,561794,460428
2023-03-20 22:16:00,559427,444297
2023-03-20 22:18:00,670740,561847
2023-03-20 22:20:00,621096,513064
2023-03-20 22:22:00,630958,488513
2023-03-20 22:24:00,619729,500599
2023-03-20 22:26:00,568490,452215
2023-03-20 22:28:00,674778,564536
2023-03-20 22:30:00,664655,561956
2023-03-20 22:32:00,572063,453047
2023-03-20 22:34:00,564796,466153
2023-03-20 22:36:00,575706,456564
2023-03-20 22:38:00,639188,539509
2023-03-20 22:40:00,678529,562644
2023-03-20 22:42:00,553727,447661
2023-03-20 22:44:00,608164,490614
2023-03-20 22:46:00,612126,473211
2023-03-20 22:48:00,587911,498123
2023-03-20 22:50:00,677915,560167
2023-03-20 22:52:00,559632,450511
2023-03-20 22:54:00,568242,472426
2023-03-20 22:56:00,578868,463421
2023-03-20 22:58:00,577102,479955
2023-03-20 23:00:00,673980,555570
2023-03-20 23:02:00,570295,461630
2023-03-20 23:04:00,571336,477792
2023-03-20 23:06:00,580488,472331
2023-03-20 23:08:00,631521,524504
2023-03-20 23:10:00,676591,576331
2023-03-20 23:12:00,636609,538894
2023-03-20 23:14:00,566935,457538
2023-03-20 23:16:00,565043,458820
2023-03-20 23:18:00,573831,478873
2023-03-20 23:20:00,680131,556617
2023-03-20 23:22:00,669299,568857
2023-03-20 23:24:00,575598,458926
2023-03-20 23:26:00,562026,453960
2023-03-20 23:28:00,607230,487045
2023-03-20 23:30:00,674731,545271
2023-03-20 23:32:00,665639,568185
2023-03-20 23:34:00,573938,457815
2023-03-20 23:36:00,590697,471618
2023-03-20 23:38:00,596390,477125
2023-03-20 23:40:00,561513,458885
2023-03-20 23:42:00,654738,558227
2023-03-20 23:44:00,572769,458573
2023-03-20 23:46:00,581435,484689
2023-03-20 23:48:00,624505,487270
2023-03-20 23:50:00,558955,452114
2023-03-20 23:52:00,676386,574181
2023-03-20 23:54:00,610572,485905
2023-03-20 23:56:00,578461,481406
2023-03-20 23:58:00,579659,470813
2023-03-21 00:00:00,558972,460006
2023-03-21 00:02:00,680854,577832
2023-03-21 00:04:00,646504,529339
2023-03-21 00:06:00,583834,482823
2023-03-21 00:08:00,611511,482607
2023-03-21 00:10:00,584738,478982
2023-03-21 00:12:00,667081,555519
2023-03-21 00:14:00,706148,584435
2023-03-21 00:16:00,582325,492134
2023-03-21 00:18:00,580170,472184
2023-03-21 00:20:00,567743,475723
2023-03-21 00:22:00,626027,519694
2023-03-21 00:24:00,650993,551097
2023-03-21 00:26:00,576780,480768
2023-03-21 00:28:00,581629,466998
2023-03-21 00:30:00,565255,470800
2023-03-21 00:32:00,589050,475021
2023-03-21 00:34:00,700404,576790
2023-03-21 00:36:00,634668,503887
2023-03-21 00:38:00,568057,461100
2023-03-21 00:40:00,557275,459925
2023-03-21 00:42:00,574335,455606
2023-03-21 00:44:00,662887,570367
2023-03-21 00:46:00,631691,497060
2023-03-21 00:48:00,580842,463364
2023-03-21 00:50:00,581155,478872
2023-03-21 00:52:00,591371,469228
2023-03-21 00:54:00,662633,568831
2023-03-21 00:56:00,679531,548070
2023-03-21 00:58:00,609151,478526
2023-03-21 01:00:00,606627,494496
2023-03-21 01:02:00,573267,459368
2023-03-21 01:04:00,631931,544016
2023-03-21 01:06:00,690075,568923
2023-03-21 01:08:00,579492,471427
