"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-16 22:56:00,233876,132493,182912,155068,119959,177831
2023-03-16 22:58:00,233575,150995,178571,157459,127736,163095
2023-03-16 23:00:00,229220,130156,178921,151107,118166,174290
2023-03-16 23:02:00,232485,148793,171481,148881,126414,158175
2023-03-16 23:04:00,302367,164012,174016,201419,171644,161326
2023-03-16 23:06:00,286074,131901,185065,191817,119894,178654
2023-03-16 23:08:00,237742,151343,182394,156930,127744,167579
2023-03-16 23:10:00,228612,129513,177664,149389,117684,173317
2023-03-16 23:12:00,234992,149461,172682,150858,127396,158776
2023-03-16 23:14:00,323174,163775,197538,201363,171310,185295
2023-03-16 23:16:00,308437,163672,185386,211876,161124,176841
2023-03-16 23:18:00,241933,131622,175160,152463,117955,161526
2023-03-16 23:20:00,239279,128763,187674,151025,117453,182640
2023-03-16 23:22:00,238251,148385,176433,154390,126911,160826
2023-03-16 23:24:00,273064,162508,181147,183024,169877,173619
2023-03-16 23:26:00,307151,177464,172003,207569,177905,153904
2023-03-16 23:28:00,233403,131559,177706,156367,117959,162830
2023-03-16 23:30:00,252241,128045,200421,150675,117030,195694
2023-03-16 23:32:00,258239,149319,195135,150934,128046,181519
2023-03-16 23:34:00,228528,147857,184476,152366,146417,180718
2023-03-16 23:36:00,308976,183400,176176,207309,181208,161052
2023-03-16 23:38:00,237664,131756,182100,156705,118170,167211
2023-03-16 23:40:00,227375,130892,179727,150630,118430,175666
2023-03-16 23:42:00,233039,153613,173940,150614,130210,161094
2023-03-16 23:44:00,227016,128887,180936,148498,116727,177103
2023-03-16 23:46:00,306208,180979,171211,204346,179967,155873
2023-03-16 23:48:00,243751,131698,178545,162816,118094,164196
2023-03-16 23:50:00,230212,141468,180183,153283,123532,174661
2023-03-16 23:52:00,235293,141385,176272,151276,124188,163171
2023-03-16 23:54:00,227578,127327,180568,148805,115873,175873
2023-03-16 23:56:00,306733,179424,171905,206447,179090,155045
2023-03-16 23:58:00,319234,136732,203388,199909,125301,189112
2023-03-17 00:00:00,250024,146428,193596,149943,125464,182815
2023-03-17 00:02:00,233278,132587,175046,152638,119207,161425
2023-03-17 00:04:00,227611,125574,181137,151492,115101,174701
2023-03-17 00:06:00,308809,177972,173223,207363,178492,155496
2023-03-17 00:08:00,315806,159125,196026,212838,163345,190157
2023-03-17 00:10:00,226889,147886,167195,149493,126742,151981
2023-03-17 00:12:00,233889,132718,176025,153898,119332,162039
2023-03-17 00:14:00,226529,130627,180986,147689,117406,178481
2023-03-17 00:16:00,291503,183740,196118,179109,181440,182404
2023-03-17 00:18:00,344362,162889,222629,211369,171717,217416
2023-03-17 00:20:00,226910,149014,168890,150647,126515,154440
2023-03-17 00:22:00,236796,132733,179946,156887,119418,165067
2023-03-17 00:24:00,228574,129521,184040,152810,117031,179062
2023-03-17 00:26:00,235507,152390,175857,159333,143932,159858
2023-03-17 00:28:00,308713,161765,189224,210988,171036,181572
2023-03-17 00:30:00,226872,148124,167910,150094,126125,153192
2023-03-17 00:32:00,233357,132674,174822,152299,119324,161514
2023-03-17 00:34:00,230541,146791,177927,154217,125519,165624
2023-03-17 00:36:00,261078,132881,200886,159929,119585,185958
2023-03-17 00:38:00,335775,159286,213220,208811,169944,206195
2023-03-17 00:40:00,243731,145567,167968,162755,124891,151854
2023-03-17 00:42:00,235759,132553,187561,158720,119239,180438
2023-03-17 00:44:00,232145,147020,176850,158084,125638,159473
2023-03-17 00:46:00,235156,133068,173207,156770,119621,158546
2023-03-17 00:48:00,307167,163344,187793,206431,171255,183001
2023-03-17 00:50:00,293009,161387,166603,192315,143369,155311
2023-03-17 00:52:00,234931,130665,184092,150314,118355,180314
2023-03-17 00:54:00,255846,150268,198352,153582,127715,184748
2023-03-17 00:56:00,265727,132584,206179,155891,119223,192425
2023-03-17 00:58:00,308216,160833,186807,208233,169994,180124
2023-03-17 01:00:00,299167,170228,168846,198835,173798,156456
2023-03-17 01:02:00,233927,128828,182323,151204,117527,177164
2023-03-17 01:04:00,232389,148662,173987,153122,127015,158781
2023-03-17 01:06:00,233587,132698,173735,153780,119348,159457
2023-03-17 01:08:00,263827,179603,184931,174235,179192,171687
2023-03-17 01:10:00,299810,162697,171109,201480,170048,157825
2023-03-17 01:12:00,233265,127152,181334,151523,116685,175297
2023-03-17 01:14:00,233112,148017,174670,155248,127437,157931
2023-03-17 01:16:00,232469,131273,180593,155109,117751,173720
2023-03-17 01:18:00,235908,157082,177216,158207,142043,159813
2023-03-17 01:20:00,300301,163120,171695,201941,170681,158532
2023-03-17 01:22:00,232533,132395,184884,149013,119419,182317
2023-03-17 01:24:00,252674,153762,196468,149462,130324,184841
2023-03-17 01:26:00,232185,130006,180469,153653,117581,175361
2023-03-17 01:28:00,234541,150469,175183,154168,128108,160203
2023-03-17 01:30:00,301722,162833,170911,201708,170377,157973
2023-03-17 01:32:00,263520,130430,183858,173204,118167,179670
2023-03-17 01:34:00,229040,141242,173266,149425,123992,160581
2023-03-17 01:36:00,234844,128396,183879,156950,116450,176886
2023-03-17 01:38:00,240251,149418,182281,159090,127592,165180
2023-03-17 01:40:00,302619,162716,169036,198524,170034,157459
2023-03-17 01:42:00,326631,162792,204406,200693,151072,200325
2023-03-17 01:44:00,229265,132844,173789,150204,119490,160959
2023-03-17 01:46:00,231504,126474,178243,152546,115655,171742
2023-03-17 01:48:00,235438,147435,176090,157446,126632,158357
2023-03-17 01:50:00,299450,163745,180372,202503,171156,171943
2023-03-17 01:52:00,306755,177672,175469,204351,178261,158501
2023-03-17 01:54:00,240575,132777,185378,152631,119395,172082
2023-03-17 01:56:00,233348,126792,181673,157319,115564,173897
2023-03-17 01:58:00,236673,148132,178953,160810,126854,160501
2023-03-17 02:00:00,247734,158389,183529,166258,163737,178760
2023-03-17 02:02:00,304040,181897,174640,202103,179572,161098
2023-03-17 02:04:00,230021,132995,175365,152526,119563,161802
2023-03-17 02:06:00,256169,167246,295915,165945,155680,289691
2023-03-17 02:08:00,428345,209150,394322,199477,187359,374580
2023-03-17 02:10:00,279328,153925,221475,157867,145853,216015
2023-03-17 02:12:00,303939,179464,172846,201312,178550,158430
2023-03-17 02:14:00,229201,132690,169703,149172,119359,157040
2023-03-17 02:16:00,234034,140435,183724,154014,122394,178097
2023-03-17 02:18:00,236120,132711,179315,158427,119320,164066
2023-03-17 02:20:00,227982,129922,174433,148062,118527,170909
2023-03-17 02:22:00,305667,178434,172902,201685,177650,158722
2023-03-17 02:24:00,270135,132675,174521,182351,119350,159938
2023-03-17 02:26:00,235296,145946,179365,157747,125126,165311
2023-03-17 02:28:00,233556,132957,177894,156338,119603,163035
2023-03-17 02:30:00,253732,129411,202566,153366,118239,197258
2023-03-17 02:32:00,302952,178407,171423,199514,177786,156923
2023-03-17 02:34:00,301414,149814,181452,200866,148132,178174
2023-03-17 02:36:00,248321,151604,188170,156044,128336,174145
2023-03-17 02:38:00,237028,132578,180955,155208,119223,166651
2023-03-17 02:40:00,230290,129932,180632,153500,117916,175248
2023-03-17 02:42:00,286237,182444,174952,189689,179827,161441
2023-03-17 02:44:00,301340,160482,178257,199737,169794,173933
2023-03-17 02:46:00,261041,149208,201671,160691,127279,185170
2023-03-17 02:48:00,257805,131562,203139,159744,117975,187871
2023-03-17 02:50:00,231252,140835,182180,156850,123303,174833
2023-03-17 02:52:00,237117,151774,178335,156980,152792,163914
2023-03-17 02:54:00,301533,157940,177970,201010,168287,172259
2023-03-17 02:56:00,235542,147804,172958,153923,127207,156692
2023-03-17 02:58:00,232335,131159,181714,153881,117811,173604
2023-03-17 03:00:00,228339,148292,166938,148986,127107,152112
2023-03-17 03:02:00,232476,131775,173321,149631,118227,161015
2023-03-17 03:04:00,302828,163122,181715,203155,171102,177991
2023-03-17 03:06:00,236838,153651,180634,157753,130240,165460
2023-03-17 03:08:00,238277,129014,191772,158548,116748,184957
2023-03-17 03:10:00,231057,149832,173032,156731,127761,156510
2023-03-17 03:12:00,257074,131778,198727,153359,118131,186107
2023-03-17 03:14:00,302612,161021,179588,202720,170037,174965
2023-03-17 03:16:00,283050,141870,179526,192217,124756,164076
2023-03-17 03:18:00,232587,128099,184225,154089,116290,178306
2023-03-17 03:20:00,229466,148981,169399,151840,127313,154159
2023-03-17 03:22:00,237020,132811,175925,150553,119286,163766
2023-03-17 03:24:00,299188,178116,174088,197195,177960,168188
2023-03-17 03:26:00,307323,155897,178236,207611,157873,163266
2023-03-17 03:28:00,244759,126827,197461,159997,115588,189255
2023-03-17 03:30:00,240001,147553,179568,153553,126621,163347
2023-03-17 03:32:00,235929,132314,182121,153828,119018,174652
2023-03-17 03:34:00,291828,177871,189994,177682,177440,175728
2023-03-17 03:36:00,333111,163845,205099,210608,171286,190009
2023-03-17 03:38:00,238763,130725,193581,160224,117591,187136
2023-03-17 03:40:00,228471,152363,171023,149706,129087,158661
2023-03-17 03:42:00,234099,132045,182743,148034,119598,179656
2023-03-17 03:44:00,227261,166825,169056,150151,158124,155035
2023-03-17 03:46:00,306223,163737,176718,205469,172719,162476
2023-03-17 03:48:00,232518,129126,185550,154909,116775,179951
2023-03-17 03:50:00,226392,152282,168397,148597,128875,155626
2023-03-17 03:52:00,236684,130746,182691,149634,118963,179030
