"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc0b50fe0be417)","Transmit Total (lxc0c76d1cbcf21)","Transmit Total (lxc1b365d1aeffb)","Transmit Total (lxc212dabdd3101)","Transmit Total (lxc2261ca0283f4)","Transmit Total (lxc259e871f6d0c)","Transmit Total (lxc291281b603ac)","Transmit Total (lxc35e9bc295a0c)","Transmit Total (lxc4550613e5de3)","Transmit Total (lxc4cf70bf74cce)","Transmit Total (lxc4ff33ab70345)","Transmit Total (lxc578068b371f4)","Transmit Total (lxc8224a39e8700)","Transmit Total (lxc8adbeb750e3f)","Transmit Total (lxc953e6e46c070)","Transmit Total (lxc95f308cab6d1)","Transmit Total (lxc9a229b32004d)","Transmit Total (lxc9c1a42b5409e)","Transmit Total (lxc9fecc55a4ec6)","Transmit Total (lxc_health)","Transmit Total (lxca8909a38a5c3)","Transmit Total (lxcaefae006e0ae)","Transmit Total (lxcbaae61bb59f9)","Transmit Total (lxcbe46e8f92045)","Transmit Total (lxcc98ddd4e021a)","Transmit Total (lxccf80711784ca)","Transmit Total (lxce1132a8b1efa)","Transmit Total (lxcee0aa8190d09)","Transmit Total (lxcee90dc48a2db)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc0b50fe0be417)","Receive Total (lxc0c76d1cbcf21)","Receive Total (lxc1b365d1aeffb)","Receive Total (lxc212dabdd3101)","Receive Total (lxc2261ca0283f4)","Receive Total (lxc259e871f6d0c)","Receive Total (lxc291281b603ac)","Receive Total (lxc35e9bc295a0c)","Receive Total (lxc4550613e5de3)","Receive Total (lxc4cf70bf74cce)","Receive Total (lxc4ff33ab70345)","Receive Total (lxc578068b371f4)","Receive Total (lxc8224a39e8700)","Receive Total (lxc8adbeb750e3f)","Receive Total (lxc953e6e46c070)","Receive Total (lxc95f308cab6d1)","Receive Total (lxc9a229b32004d)","Receive Total (lxc9c1a42b5409e)","Receive Total (lxc9fecc55a4ec6)","Receive Total (lxc_health)","Receive Total (lxca8909a38a5c3)","Receive Total (lxcaefae006e0ae)","Receive Total (lxcbaae61bb59f9)","Receive Total (lxcbe46e8f92045)","Receive Total (lxcc98ddd4e021a)","Receive Total (lxccf80711784ca)","Receive Total (lxce1132a8b1efa)","Receive Total (lxcee0aa8190d09)","Receive Total (lxcee90dc48a2db)"
2023-03-11 09:34:00,0,11821,42084,107693,0,471,1808,134,66357,220,31.5,87.2,0,133,21832,447,4.67,404,0,66.1,165,435,1828,207,31.9,1938,15914,6858,0,157,0,66.8,0,78.2,11821,0,40701,100610,0,262,165,22.8,2364,223,21.6,66.2,0,22.8,24495,253,5.03,583,0,41,105,530,196,229,25.8,2311,15852,1012,0.389,136,0,41.4,0,3657
2023-03-11 09:36:00,0.389,10027,18071,69378,0,467,1739,123,66272,217,32.9,87.2,0,127,157,444,5.47,404,0,66.4,162,364,1766,206,32.6,1840,15904,6732,0,156,0,66.4,0,78.0,10027,0.389,17517,74294,0,260,156,20.9,2356,217,23.5,66.2,0,21.9,568,249,6.26,582,0,41.4,94.0,408,191,228,26.6,2178,15842,1029,0.389,134,0,41,0,3599
2023-03-11 09:38:00,0.389,11187,19186,69886,0,466,1865,134,66364,227,33.5,86.5,0,127,154,446,3.13,402,0,66.4,157,403,1892,204,32.3,1958,15920,7063,0,154,0,66.4,0,122,11187,0.389,18690,76193,0,259,147,22.8,2346,230,24.6,65.5,0,21.9,570,251,3.13,581,0,41.7,88.4,466,175,228,26.2,2266,15852,1053,0,135,0,41,0,3556
2023-03-11 09:40:00,0,10420,18640,94702,0,468,1802,128,66338,223,30.7,85.8,0,126,152,449,5.70,404,0,66.4,160,420,1823,203,32.3,1894,15917,6870,0,154,0,66.4,0,123,10420,0,17928,75715,0,261,175,21.9,2364,225,20.1,64.7,0,21.9,566,256,6.46,582,0,41.7,92.1,495,183,228,26.2,2237,15854,1025,0,135,0,41,0,3558
2023-03-11 09:42:00,0,11155,35413,108475,0,467,1749,123,66305,222,30.7,86.8,0,122,16053,447,4.73,403,0,66.1,164,353,1774,205,31.9,1880,15908,6693,0,154,0,66.4,0,76.1,11155,0,34281,93660,0,260,161,20.9,2368,229,20.4,65.8,0,20.9,18129,253,10.7,582,0,41.4,96.9,397,212,228,25.8,2224,15847,1002,0,136,0,41,0,3569
2023-03-11 09:44:00,0,11958,42373,99908,0,467,1809,123,66345,223,33.7,87.2,0,121,21843,445,4.12,403,0,66.1,163,429,1821,204,32.6,1935,15909,6944,0,155,0,66.5,0,75.5,11958,0,40833,100857,0,260,159,20.9,2357,231,24.4,66.2,0,20.9,24528,249,3.73,583,0,41.4,101,520,195,228,26.6,2292,15855,1045,0,135,0,41,0,3539
2023-03-11 09:46:00,0,10147,18082,71165,0,467,1740,112,66299,224,31.5,87.2,0,111,176,450,5.76,403,0,65.7,159,366,1764,204,32.6,1835,15924,6827,0,153,0,66.4,0,76.3,10147,0,17640,74411,0,260,156,19,2351,225,21.3,66.2,0,19,572,261,6.06,582,0,41.4,91.7,411,195,228,26.6,2163,15862,1066,0,134,0,41,0,3569
2023-03-11 09:48:00,0,11220,19186,69404,0,464,1869,123,66404,224,30.7,87.2,0,122,154,448,6.73,404,0,66.1,163,407,1891,203,32.3,1967,15936,6989,0,154,0,66.4,0,122,11220,0,18724,76144,0,259,167,20.9,2358,226,20.8,66.2,0,20.9,561,260,8.36,583,0,41,95.4,471,191,228,26.2,2270,15857,1023,0,134,0,41.4,0,3556
2023-03-11 09:50:00,0,10082,18678,71569,0,467,1813,118,66368,220,30.7,87.2,0,116,156,445,5.10,404,0,66.1,163,449,1885,205,32.3,1899,15925,6892,0,153,0,66.5,0,124,10082,0,17612,74813,0,260,172,20.0,2359,221,20.1,66.2,0,20.0,568,249,6.03,583,0,41,95.4,541,213,228,26.2,2272,15861,1039,0,137,0,41.4,0,3640
2023-03-11 09:52:00,0,10634,28614,77709,0,465,1758,129,66302,220,58.6,87.2,0,122,9767,447,3.27,403,0,66.5,164,385,1832,205,32.6,1865,15916,6698,0,155,0,65.7,0,76.5,10634,0,27609,85466,0,260,157,21.9,2349,226,64.9,66.2,0,20.9,11186,253,3.27,582,0,41,96.7,449,201,228,26.6,2240,15858,1029,0,137,0,41,0,3628
2023-03-11 09:54:00,0,12258,42994,99772,0,455,1870,134,66395,225,33.8,86.6,0,133,21953,435,3.27,403,0,66.4,155,430,1887,204,32.3,1977,15921,6968,0,155,0,66.4,0,75.8,12258,0,41257,101585,0,253,160,22.8,2376,233,23.7,65.5,0,22.8,24617,245,3.27,583,0,41,86.2,524,189,228,26.2,2293,15860,1063,0,135,0,41.4,0,3598
2023-03-11 09:56:00,0,9296,17571,68139,0,463,1705,123,66234,227,30.7,87.3,0,122,158,446,5.10,403,0,66.4,163,369,1721,207,33,1788,15929,6619,0,157,0,66.1,0.389,75.1,9296,0,16797,73208,0,259,176,20.9,2353,231,20.8,66.2,0,20.9,571,250,11.0,582,0,41,101,419,193,228,26.9,2163,15860,1032,0,140,0,41,0,3539
2023-03-11 09:58:00,0,10842,19193,69639,0,467,1888,129,66405,221,30.7,87.2,0,127,169,443,4.50,404,0,65.3,163,407,1908,208,32.3,1971,15926,6992,0,154,0,66.1,0,118,10842,0,18352,75846,0,260,171,21.9,2358,221,20.1,66.2,0,21.9,573,247,5.32,583,0,39.9,95.4,469,196,228,26.2,2279,15861,1024,0,135,0,41,0,3586
2023-03-11 10:00:00,0,10921,18666,75219,0,468,1804,135,66363,222,32.1,87.2,0,133,173,448,3.27,404,0,66.1,164,423,1809,206,32.6,1904,15916,6919,0,154,0,66.1,0,120,10921,0,18442,75865,0,261,165,22.8,2352,223,22.5,66.2,0,22.8,570,253,3.27,583,0,40.3,97.4,496,174,228,26.6,2244,15858,1021,0,135,0,41,0,3587
2023-03-11 10:02:00,0,11583,23374,71780,0,468,1744,134,66312,222,32.9,87.2,0,132,5003,447,4.30,404,0,66.1,158,351,1767,206,32.3,1873,15921,6728,0,155,0,66.4,0,76.5,11583,0,23826,81002,0,261,163,22.8,2344,229,24.0,66.2,0,23.2,5898,253,4.73,583,0,41.0,90.2,394,199,228,26.2,2229,15857,1068,0,136,0,41,0,3569
2023-03-11 10:04:00,0,12242,42968,122956,0,467,1871,129,66439,224,32.1,87.2,0,127,21916,447,6.60,404,0,66.4,161,430,1884,205,32.3,1983,15936,7023,0,155,0,66.0,0,75.4,12242,0,41191,102230,0,260,179,22.2,2366,228,23.8,66.2,0,22.2,24609,251,7.79,583,0,41.8,99.1,523,182,229,26.2,2301,15869,1045,0,135,0,41.8,0,3628
2023-03-11 10:06:00,0,8940,17546,68074,0,467,1717,123,66296,222,30.7,87.2,0,127,174,444,5.80,404,0,66.4,164,365,1736,206,33,1787,15948,6668,0,155,0.389,65.7,0,76.7,8940,0,16439,72779,0,260,164,21.3,2357,223,20.1,66.2,0,21.9,577,249,6.56,583,0,41.4,97.6,409,189,228,26.9,2170,15885,1036,0,133,0.389,41.8,0,3657
2023-03-11 10:08:00,0,10918,19193,69727,0,469,1864,129,66429,222,30.7,87.2,0,127,169,449,3.97,400,0,66.5,159,405,1881,205,32.3,1968,15924,7036,0,155,0.389,66.1,0,120,10918,0,18425,75999,0,261,162,21.9,2367,223,20.1,66.2,0,21.9,566,259,3.97,580,0,41,91.7,469,183,228,26.2,2281,15860,1054,0,135,0.389,41,0,3615
