"Time","0(192.168.0.211:10250)","0(192.168.0.211:6443)","200(192.168.0.211:10250)","200(192.168.0.211:6443)","201(192.168.0.211:10250)","201(192.168.0.211:6443)","403(192.168.0.211:10250)","403(192.168.0.211:6443)","404(192.168.0.211:10250)","404(192.168.0.211:6443)","409(192.168.0.211:10250)","409(192.168.0.211:6443)","422(192.168.0.211:10250)","422(192.168.0.211:6443)","500(192.168.0.211:10250)","500(192.168.0.211:6443)","503(192.168.0.211:10250)","503(192.168.0.211:6443)","504(192.168.0.211:10250)","504(192.168.0.211:6443)"
2023-03-23 04:50:00,0,0,23.8,23.8,0.417,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:52:00,0,0,23.1,23.1,0.367,0.367,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:54:00,0,0,22.7,22.7,0.367,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:56:00,0,0,23.1,23.2,0.406,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 04:58:00,0,0,22.9,22.8,0.406,0.400,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:00:00,0,0,23.8,23.9,0.422,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:02:00,0,0,23.1,23.1,0.400,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:04:00,0,0,23.0,22.9,0.378,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:06:00,0,0,23.7,23.7,0.383,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:08:00,0,0,23.4,23.3,0.378,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:10:00,0,0,23.0,23.0,0.400,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:12:00,0,0,23.0,23.1,0.383,0.383,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:14:00,0,0,22.8,22.7,0.361,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:16:00,0,0,23.0,22.9,0.378,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:18:00,0,0,23.2,23.2,0.378,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:20:00,0,0,23.2,23.2,0.389,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:22:00,0,0,23.1,23.1,0.389,0.389,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:24:00,0,0,22.7,22.6,0.367,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:26:00,0,0,22.9,23.0,0.383,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:28:00,0,0,22.8,22.7,0.361,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:30:00,0,0,23.0,23.1,0.367,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:32:00,0,0,23.0,23.0,0.378,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:34:00,0,0,23.5,23.6,0.378,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:36:00,0,0,24.1,23.9,0.417,0.422,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:38:00,0,0,23.0,22.9,0.417,0.417,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:40:00,0,0,22.8,22.8,0.372,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:42:00,0,0,23.8,24.0,0.378,0.394,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:44:00,0,0,24.1,23.9,0.361,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:46:00,0,0,23.1,23.2,0.406,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
2023-03-23 05:48:00,0,0,22.7,22.8,0.417,0.406,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0
