"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc065c53ebb186)","Transmit Total (lxc112201e91bdd)","Transmit Total (lxc31a18ef1c7a9)","Transmit Total (lxc4bc7dd70a645)","Transmit Total (lxc56ca4202df8d)","Transmit Total (lxc5a79d5ba43a7)","Transmit Total (lxc60183762415c)","Transmit Total (lxc671f68b87d4c)","Transmit Total (lxc6742cb9c73e8)","Transmit Total (lxc677514151648)","Transmit Total (lxc6878f18c3bad)","Transmit Total (lxc6a5ee68e74ae)","Transmit Total (lxc6df0a0a9ae16)","Transmit Total (lxc711d9d9ccaed)","Transmit Total (lxc77e316fd9553)","Transmit Total (lxc7b296e734ec5)","Transmit Total (lxc7dc8d2fe1b5f)","Transmit Total (lxc7de4e72c399e)","Transmit Total (lxc886931b76f29)","Transmit Total (lxc_health)","Transmit Total (lxcba5d8dc031d5)","Transmit Total (lxcbf44a8db0d00)","Transmit Total (lxcd1a0550bd660)","Transmit Total (lxcd980b65d7e59)","Transmit Total (lxcda5bb31ba605)","Transmit Total (lxcdea961bf232d)","Transmit Total (lxceb50a9da2ffb)","Transmit Total (lxceec6fd46dfaf)","Transmit Total (lxcf2945b926349)","Transmit Total (lxcfae62b1bb3cc)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc065c53ebb186)","Receive Total (lxc112201e91bdd)","Receive Total (lxc31a18ef1c7a9)","Receive Total (lxc4bc7dd70a645)","Receive Total (lxc56ca4202df8d)","Receive Total (lxc5a79d5ba43a7)","Receive Total (lxc60183762415c)","Receive Total (lxc671f68b87d4c)","Receive Total (lxc6742cb9c73e8)","Receive Total (lxc677514151648)","Receive Total (lxc6878f18c3bad)","Receive Total (lxc6a5ee68e74ae)","Receive Total (lxc6df0a0a9ae16)","Receive Total (lxc711d9d9ccaed)","Receive Total (lxc77e316fd9553)","Receive Total (lxc7b296e734ec5)","Receive Total (lxc7dc8d2fe1b5f)","Receive Total (lxc7de4e72c399e)","Receive Total (lxc886931b76f29)","Receive Total (lxc_health)","Receive Total (lxcba5d8dc031d5)","Receive Total (lxcbf44a8db0d00)","Receive Total (lxcd1a0550bd660)","Receive Total (lxcd980b65d7e59)","Receive Total (lxcda5bb31ba605)","Receive Total (lxcdea961bf232d)","Receive Total (lxceb50a9da2ffb)","Receive Total (lxceec6fd46dfaf)","Receive Total (lxcf2945b926349)","Receive Total (lxcfae62b1bb3cc)"
2023-03-11 09:10:00,0,70.4,6662,35326,0,1890,0.600,63.9,0,38.5,2650,3.43,0,446,19,19,1889,103,0,89.8,467,31.5,0,3098,31.6,116,1902,143,0,452,38.5,6957,410,64.2,4428,70.4,0,2874,26793,0,171,0.600,39.8,0,19,2652,3.57,0,256,38.5,38.5,184,232,0,94.6,260,20.6,0,115,25.5,20.0,176,95.9,0,251,19,1034,582,39.4,1364
2023-03-11 09:12:00,0,70.4,5852,42784,0,1702,0,65.3,0,38.5,1070,3.67,0,450,19,19,1716,103,0,90.1,466,30.7,0,85.3,31.6,127,1722,143,0,456,38.5,6641,408,64.6,4241,70.4,0,9080,30077,0,176,0,40.5,0,19,1069,3.80,0,256,38.5,38.5,183,232,0,95,260,19.7,0,77.6,25.5,21.9,172,95.9,0,257,19,1078,582,40.2,1375
2023-03-11 09:14:00,0,71.8,9071,62640,0,1888,51.9,65.7,0,38.5,2648,3.67,0,446,19,409,1909,208,0,90.1,468,33.5,0,271,32.1,122,1912,143,0,455,743,7077,407,66.1,4459,71.8,0,25754,51800,0,160,30.6,40.3,0,19,2649,3.80,0,256,38.5,657,182,277,0,95,261,28.5,0,81.6,26.0,25.8,174,95.9,0,260,506,1072,582,41,1366
2023-03-11 09:16:00,0,70.4,6673,35357,0,1898,0,65.0,0,38.5,2656,3.67,0,445,19.0,19.0,1924,212,0,89.8,467,34.3,0,256,32.1,116,1916,143,0,452,38.5,6996,407,65.7,4470,70.4,0,2900,24025,0,159,0,39.9,0,19.0,2664,3.80,0,248,38.5,38.5,190,281,0,95.0,266,29.4,0,73.9,26.0,24.9,182,95.9,0,251,19.0,1047,582,40.3,1369
2023-03-11 09:18:00,0,70.4,5096,33511,0,1699,0.600,65.0,0,38.5,1071,3.67,0,449,19,19,1720,105,0,90.9,454,30.7,0,84.6,32.3,122,1731,143,0,441,38.5,6623,406,65.7,4284,70.4,0,1316,20716,0,159,0.600,39.9,0,19,1076,3.80,0,255,38.5,38.5,179,235,0,95,253,19.7,0,77.9,26.2,20.9,179,95.9,0,246,19,1035,582,40.3,1377
2023-03-11 09:20:00,0,71.1,6700,35308,0,1893,0.600,66.8,0,38.5,2650,4.37,0,447,19.0,19.0,1895,103,0,90.1,467,56.1,0,256,32.3,133,1913,142,0,456,38.5,6968,406,67.5,4431,71.1,0,2897,23785,0,188,0.600,41.4,0,19.4,2650,4.50,0,253,38.5,38.5,192,232,0,95.0,260,62.8,0,73.9,26.2,22.8,176,94.5,0,256,19.0,1049,580,42.1,1361
2023-03-11 09:22:00,0,71.5,5129,33604,0,1702,0,66.8,0,38.5,1070,4.13,0,445,19,19,1729,103,0,90.1,467,57.7,0,71.7,32.3,122,1738,142,0,453,38.5,6619,404,66.1,4237,71.5,0,1324,20452,0,172,0,41.7,0,19,1070,4.27,0,249,38.5,38.5,204,232,0,95,260,63.6,0,70.6,26.2,20.9,184,94.9,0,253,19,1044,580,41,1380
2023-03-11 09:24:00,0,71.5,9067,62512,0,1869,44.6,66.8,0,38.5,2652,3.43,0,446,19.0,384,1894,188,0,90.1,466,32.1,0,269,31.9,127,1904,143,0,452,754,6997,406,65.7,4414,71.5,0,25720,51511,0,161,30.6,41.7,0,19.0,2656,3.57,0,251,38.5,669,190,261,0,95.0,260,21.9,0,81.6,25.7,21.8,184,95.9,0,251,482,1053,582,40.6,1367
2023-03-11 09:26:00,0,69.6,6673,36034,0,1868,0,67.2,0,38.5,2659,3.43,0,450,19,19,1896,191,0,90.5,466,33.5,0,1541,31.6,127,1890,143,0,456,38.5,7016,405,66.8,27768,69.6,0,2903,49443,0,160,0,42.5,0,19,2659,3.57,0,257,38.5,38.5,193,265,0,94.6,260,23.3,0,91.8,25.5,21.9,174,95.9,0,256,19,1089,582,41.4,2004
2023-03-11 09:28:00,0,70,5092,33704,0,1695,0.600,67.5,0.389,38.5,1080,3.67,0,435,19,19,1698,105,0,90.9,465,33.5,0,85.3,32.1,122,1711,143,0,454,38.5,6687,407,67.1,5874,70,0,1322,22342,0,172,0.600,42.1,0,19,1078,3.80,0,246,38.5,38.5,189,234,0,94.6,259,23.3,0,77.9,26.0,20.9,185,95.9,0,255,19,1062,582,41.7,1478
2023-03-11 09:30:00,0,70.4,6667,35401,0,1894,0.600,67.8,0,38.5,2656,3.67,0,445,19,19,1897,102,0,90.9,467,30.7,0,273,33.0,116,1906,143,0,451,38.5,7002,408,68.2,6075,70.4,0,2893,25316,0,183,0.600,41.8,0,19,2649,3.80,0,249,38.5,38.5,190,232,0,95,260,19.7,0,89.0,26.4,20.0,190,95.9,0,251,19,1048,582,42.2,1470
2023-03-11 09:32:00,0,71.1,5087,33550,0,1708,0,66.4,0,38.5,1082,3.43,0,452,19,19,1729,103,0,89.8,467,31.5,0,72.1,32.1,116,1729,143,0,453,38.5,6656,409,66.4,4256,71.1,0,1306,20487,0,160,0,41,0,19,1075,3.57,0,263,38.5,38.5,188,232,0,95,260,20.6,0,70.6,26.0,20.0,161,95.9,0,253,19,1079,582,41,1351
2023-03-11 09:34:00,0.389,72.2,9068,62534,0,1880,44.2,66.1,0,38.5,2659,3.90,0,451,19,380,1908,190,0,89.4,464,31.5,0,791,31.9,121,1906,143,0,455,754,7043,408,66.1,4433,72.2,0.389,25699,52110,0,169,30.6,41,0,19,2655,4.03,0,262,38.5,669,197,261,0,95.4,258,20.5,0,95.8,25.7,20.9,174,95.9,0,255,477,1068,582,40.6,1361
