"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-11 22:00:00,16853,110368,15507,0,0,0,7462,0
2023-03-11 22:04:00,229524,104619,139345,0,0,0,7807,0
2023-03-11 22:08:00,14260,42138,15436,0,0,0,7918,0
2023-03-11 22:12:00,11859,90855,15579,0,0,0,7670,0
2023-03-11 22:16:00,16480,109072,15378,0,0,0,7840,0
2023-03-11 22:20:00,16656,105025,33499,0,0,0,7674,0
2023-03-11 22:24:00,16030,106355,15226,0,0,0,7791,0
2023-03-11 22:28:00,17748,40870,15366,0,0,0,7892,0
2023-03-11 22:32:00,15711,80516,33449,0,0,0,7795,0
2023-03-11 22:36:00,17220,113998,15309,0,0,0,8398,0
2023-03-11 22:40:00,17341,105084,15545,0,0,0,8136,0
2023-03-11 22:44:00,16405,108050,16050,0,0,0,8063,0
2023-03-11 22:48:00,16847,14303,15444,0,0,0,7801,0
2023-03-11 22:52:00,16642,92654,15444,0,0,0,7730,0
2023-03-11 22:56:00,14407,118428,15939,0,0,0,7810,0
2023-03-11 23:00:00,11814,108470,15229,0,0,0,7587,0
2023-03-11 23:04:00,174067,98537,50879,0,0,0,7970,0
2023-03-11 23:08:00,16809,14136,15338,0,0,0,7760,0
2023-03-11 23:12:00,16796,107924,15588,0,0,0,7799,0
2023-03-11 23:16:00,16393,122677,15528,0,0,0,7978,0
2023-03-11 23:20:00,16877,110487,15704,0,0,0,8091,0
2023-03-11 23:24:00,16682,99587,15712,0,0,0,7959,0
2023-03-11 23:28:00,16914,60038,15437,0,0,0,7736,0
2023-03-11 23:32:00,16860,81054,33117,0,0,0,7796,0
2023-03-11 23:36:00,16110,115582,15271,0,0,0,7969,0
2023-03-11 23:40:00,16323,107680,15759,0,0,0,7467,0
2023-03-11 23:44:00,16866,109488,32952,0,0,0,7963,0
2023-03-11 23:48:00,17994,16996,15894,0,0,0,7850,0
2023-03-11 23:52:00,15657,113404,15186,0,0,0,7711,0
2023-03-11 23:56:00,16946,114590,15619,0,0,0,7896,0
2023-03-12 00:00:00,14046,105970,15180,0,0,0,7735,0
2023-03-12 00:04:00,728361,108020,484127,0,0,0,7820,0
2023-03-12 00:08:00,16302,16095,15126,0,0,0,7867,0
2023-03-12 00:12:00,16856,114359,15501,0,0,0,7532,0
2023-03-12 00:16:00,14521,113951,15387,0,0,0,8085,0
2023-03-12 00:20:00,13828,108737,32966,0,0,0,7478,0
2023-03-12 00:24:00,14373,104454,15356,0,0,0,7824,0
2023-03-12 00:28:00,13023,14161,15479,0,0,0,7835,0
2023-03-12 00:32:00,13987,113806,32768,0,0,0,7625,0
2023-03-12 00:36:00,13794,114176,15237,0,0,0,8006,0
2023-03-12 00:40:00,18576,113636,15792,0,0,0,7668,0
2023-03-12 00:44:00,16975,103405,15269,0,0,0,7832,0
2023-03-12 00:48:00,16906,60736,15413,0,0,0,7949,0
2023-03-12 00:52:00,16866,86992,15365,0,0,0,7451,0
2023-03-12 00:56:00,16545,114023,15711,0,0,0,8089,0
2023-03-12 01:00:00,16405,108261,15300,0,0,0,7633,0
2023-03-12 01:04:00,138209,97315,52196,0,0,0,8617,0
2023-03-12 01:08:00,16801,14141,15422,0,0,0,7834,0
2023-03-12 01:12:00,14329,111943,15456,0,0,0,7636,0
2023-03-12 01:16:00,14070,112642,15700,0,0,0,8049,0
2023-03-12 01:20:00,15825,106305,15217,0,0,0,7742,0
2023-03-12 01:24:00,15052,106772,15514,0,0,0,8264,0
2023-03-12 01:28:00,15896,15495,15450,0,0,0,8442,0
2023-03-12 01:32:00,15747,113892,33681,0,0,0,7645,0
2023-03-12 01:36:00,17910,112467,15379,0,0,0,7899,0
2023-03-12 01:40:00,14012,115115,15319,0,0,0,7557,0
2023-03-12 01:44:00,14253,108279,32784,0,0,0,7813,0
2023-03-12 01:48:00,13815,14442,15715,0,0,0,7938,0
2023-03-12 01:52:00,14209,113139,15694,0,0,0,7966,0
2023-03-12 01:56:00,14615,110502,15140,0,0,0,8179,0
2023-03-12 02:00:00,14475,115849,15588,0,0,0,7683,0
2023-03-12 02:04:00,268960,109954,146770,0,0,0,7787,0
2023-03-12 02:08:00,14906,16260,15621,0,0,0,8043,0
2023-03-12 02:12:00,14049,115243,15484,0,0,0,7579,0
2023-03-12 02:16:00,15740,123123,15381,0,0,0,7985,0
2023-03-12 02:20:00,13015,109739,33788,0,0,0,7623,0
2023-03-12 02:24:00,14560,105351,15408,0,0,0,7752,0
2023-03-12 02:28:00,14845,13883,15470,0,0,0,7922,0
2023-03-12 02:32:00,16266,113940,32089,0,0,0,7511,0
2023-03-12 02:36:00,15996,113970,15459,0,0,0,8146,0
2023-03-12 02:40:00,18369,107789,15861,0,0,0,7606,0
2023-03-12 02:44:00,16228,103958,15428,0,0,0,7656,0
2023-03-12 02:48:00,15778,14516,15322,0,0,0,8392,0
2023-03-12 02:52:00,16632,106636,15716,0,0,0,9144,0
2023-03-12 02:56:00,12120,111962,15259,0,0,0,8216,0
2023-03-12 03:00:00,17543,108636,15753,0,0,0,7637,0
2023-03-12 03:04:00,159510,108124,50380,0,0,0,7611,0
