"Time","cattle-fleet-local-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-17 01:44:00,0,34118,230942,0,63799,0,0,0,15792
2023-03-17 01:48:00,0,33452,228428,0,27209,0,0,0,15703
2023-03-17 01:52:00,0,36284,228648,0,30841,0,0,0,16977
2023-03-17 01:56:00,0,31952,223997,0,28407,0,0,0,15577
2023-03-17 02:00:00,0,32518,5869,0,27997,0,0,0,15976
2023-03-17 02:04:00,0,588787,232638,0,282859,0,0,0,16057
2023-03-17 02:08:00,0,33501,252276,0,28917,0,0,0,15873
2023-03-17 02:12:00,0,34379,231633,0,29000,0,0,0,16554
2023-03-17 02:16:00,0,34044,220160,0,61784,0,0,0,15777
2023-03-17 02:20:00,0,38330,6041,0,30409,0,0,0,16004
2023-03-17 02:24:00,0,33511,226449,0,31124,0,0,0,15969
2023-03-17 02:28:00,0,35421,230952,0,27878,0,0,0,15660
2023-03-17 02:32:00,0,33584,229921,0,62925,0,0,0,16512
2023-03-17 02:36:00,0,33410,225564,0,28886,0,0,0,16180
2023-03-17 02:40:00,0,34164,6005,0,28738,0,0,0,15785
2023-03-17 02:44:00,0,33963,226375,0,29921,0,0,0,16359
2023-03-17 02:48:00,0,34546,228995,0,27168,0,0,0,15577
2023-03-17 02:52:00,0,35697,226072,0,31106,0,0,0,16042
2023-03-17 02:56:00,0,33552,223043,0,25655,0,0,0,16653
2023-03-17 03:00:00,0,37806,5970,0,30867,0,0,0,15750
2023-03-17 03:04:00,0,242395,226355,0,99005,0,0,0,16162
2023-03-17 03:08:00,0,35258,230513,0,29484,0,0,0,16140
2023-03-17 03:12:00,0,33270,226640,0,28358,0,0,0,16046
2023-03-17 03:16:00,0,37599,224506,0,27928,0,0,0,16599
2023-03-17 03:20:00,0,34329,5981,0,29540,0,0,0,15694
2023-03-17 03:24:00,0,36343,229399,0,31274,0,0,0,16051
2023-03-17 03:28:00,0,34947,226402,0,28890,0,0,0,15852
2023-03-17 03:32:00,0,33314,229235,0,63640,0,0,0,15987
2023-03-17 03:36:00,0,33159,224508,0,29843,0,0,0,16376
2023-03-17 03:40:00,0,36415,5826,0,30270,0,0,0,15769
2023-03-17 03:44:00,0,33470,231138,0,61661,0,441,0,15598
2023-03-17 03:48:00,0,32994,230441,0,30930,0,0,0,16230
2023-03-17 03:52:00,0,34938,222744,0,27189,0,0,0,15833
2023-03-17 03:56:00,0,36598,225017,0,27673,0,0,0,16402
2023-03-17 04:00:00,0,33944,6013,0,30801,0,0,0,15957
2023-03-17 04:04:00,0,526377,225324,0,262078,0,0,0,15345
2023-03-17 04:08:00,0,33275,231515,0,30097,0,0,0,16121
2023-03-17 04:12:00,0,35826,227456,0,28366,0,0,0,16248
2023-03-17 04:16:00,0,33445,225690,0,63293,0,0,0,16050
2023-03-17 04:20:00,0,36142,5787,0,29619,0,0,0,15944
2023-03-17 04:24:00,0,33918,236437,0,29327,0,0,0,15747
2023-03-17 04:28:00,0,35529,225259,0,29480,0,0,0,16234
2023-03-17 04:32:00,0,32464,224112,0,64897,0,0,0,16187
