"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca2b0b9903cdc)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca2b0b9903cdc)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-20 13:52:00,0.389,11589,36535,188835,0,1943,136,177,31.5,126,2016,67.5,420,0,7199,77.4,3.73,147,87.6,0,17566,1960,124,32.7,286,1640,67.7,19,332,0,0.389,128,156,0,11589,0.389,19414,80261,0.389,203,31.6,108,21.6,30.3,2311,43.2,6285,0,1124,3615,3.73,130,67.0,0,17455,214,29.0,26.2,74.2,16533,42.9,38.5,410,0,0,30.3,598,0
2023-03-20 13:54:00,0,11496,79754,229781,0,1934,130,180,32.9,126,1986,66.7,2185,0,7190,79.2,4.30,147,87.5,0,17572,1963,135,31.8,294,1630,66.2,19,348,0,0,128,41716,0,11496,0,23506,85992,0,201,30.3,117,23.6,30.3,2276,42.5,43214,0,1135,3587,4.73,131,66.9,0,17463,227,32.0,25.7,79.1,16527,41,38.5,425,0,0,35.2,46024,0
2023-03-20 13:56:00,0,11647,146258,278039,0,1712,130,163,30.7,132,1843,65.4,5827,0,6719,80,4.97,146,87.4,0,17571,1731,135,31.6,72.1,1442,66.7,897,456,0,0,133,105000,0,11647,0,31462,96765,0,188,30.3,97.5,21.6,31.6,2266,40.6,99802,0,1122,3633,11.0,132,67.3,0,17461,209,31.6,25.5,70.6,16376,40.7,1603,611,0,0,31.6,115131,0
2023-03-20 13:58:00,0,11527,67840,198491,0,1936,129,161,32.1,126,2032,66.1,2327,0,7181,117,4.97,147,87.5,0,17578,1959,129,31.6,286,1635,65.9,634,444,0,0,128,29256,0,11527,0,23321,85620,0,198,30.3,94.6,22.9,30.3,2356,42.1,32394,0,1179,3649,11.3,136,68.4,0,17462,223,30.3,25.5,73.9,16393,41,1134,598,0,0,30.3,32381,0
2023-03-20 14:00:00,0,8988,35586,155221,0,1751,130,160,32.1,121,1800,66.4,419,0,6709,80.9,3.27,148,88.1,0,17592,1756,128,31.6,1676,1441,66.6,19,347,0,0,128,157,0,8988,0,16826,75539,0,209,30.3,91.3,22.6,29.0,2216,42.5,6286,0,1093,3612,3.27,133,69.1,0,17471,215,30.3,25.5,97.2,16393,41.4,38.5,426,0,0,30.3,597,0
2023-03-20 14:02:00,0,10276,36177,159873,0,1908,130,163,32.3,126,1948,66.4,421,0,7015,79.9,4.67,148,87.8,0,17587,1940,129,31.6,2026,1559,66.0,19,334,0,0,128,152,0,10276,0,18096,77284,0,188,30.3,101,22.3,30.3,2305,41.7,6287,0.389,1132,3610,5.09,132,68.8,0,17476,234,30.3,25.5,104,16396,41,38.5,400,0,0,30.3,593,0
2023-03-20 14:04:00,0,11202,36418,157766,0,1960,124,160,31.5,126,1974,66.5,419,0,7125,79.2,3.50,147,88.1,0,17578,1975,128,31.8,294,1622,66.1,19,343,0,0,127,151,0,11202,0,19029,78137,0,171,29.0,96.9,21.4,30.3,2265,41.7,6286,0.389,1129,3609,3.50,132,68.4,0,17465,190,30.3,25.7,78.8,16374,41.0,38.5,420,0,0,30.3,590,0
2023-03-20 14:06:00,0,13929,50504,174779,0,1747,136,160,30.7,132,1832,66.1,1015,0,6689,78.8,5.81,149,88.1,0,17579,1755,118,31.8,79.4,1437,66.5,19,345,0,0,122,14297,0,13929,0,23164,82360,0,160,31.6,91.5,20.1,31.6,2251,41.4,18863,0,1074,3632,6.56,133,68.4,0,17461,175,27.7,25.7,75.1,16346,41.0,38.5,423,0,0,29.0,16115,0
2023-03-20 14:08:00,0,14417,59701,193366,0,1960,130,169,32.1,116,2022,66.4,1715,0,64588,119,5.57,145,86.5,0,17576,1986,135,32.0,579,1642,66.1,281,437,0,0,122,21869,0,14417,0,24958,143696,0,178,30.3,104,22.6,27.7,2323,41.4,25714,0,2620,3695,6.38,134,66.6,0,17462,199,31.6,26.0,86.6,16383,41.4,419,584,0,0,29.0,24446,0
2023-03-20 14:10:00,0,9899,35851,154260,0,1804,124,160,31.5,121,1852,66.1,423,0,6865,81.3,3.27,143,88.1,0,17566,1821,129,31.6,442,1542,66.4,19,350,0,0,128,161,0,9899,0,17763,76246,0,200,29.0,92.4,22.4,29.0,2186,41,6285,0,1139,3664,3.27,134,68.0,0,17463,221,30.3,25.5,88.2,16385,42.1,38.5,431,0,0,30.3,604,0
