"Time","Cluster","172.16.66.87:9796","172.16.66.90:9796","172.16.66.91:9796"
2023-03-04 15:28:00,0.0220,0.0218,0.0336,0.0107
2023-03-04 15:30:00,0.0201,0.0207,0.0289,0.0109
2023-03-04 15:32:00,0.0175,0.0205,0.0211,0.0108
2023-03-04 15:34:00,0.0251,0.0223,0.0323,0.0205
2023-03-04 15:36:00,0.0212,0.0221,0.0304,0.0110
2023-03-04 15:38:00,0.0184,0.0228,0.0218,0.0107
2023-03-04 15:40:00,0.0216,0.0209,0.0331,0.0109
2023-03-04 15:42:00,0.0195,0.0197,0.0285,0.0104
2023-03-04 15:44:00,0.0184,0.0209,0.0236,0.0107
2023-03-04 15:46:00,0.0221,0.0229,0.0339,0.00956
2023-03-04 15:48:00,0.0172,0.0139,0.0267,0.0111
2023-03-04 15:50:00,0.0174,0.0212,0.0199,0.0109
2023-03-04 15:52:00,0.0218,0.0204,0.0341,0.0109
2023-03-04 15:54:00,0.0189,0.0205,0.0255,0.0107
2023-03-04 15:56:00,0.0199,0.0225,0.0264,0.0108
2023-03-04 15:58:00,0.0232,0.0259,0.0332,0.0105
2023-03-04 16:00:00,0.0182,0.0206,0.0231,0.0108
2023-03-04 16:02:00,0.0191,0.0203,0.0280,0.00898
2023-03-04 16:04:00,0.0217,0.0208,0.0334,0.0108
2023-03-04 16:06:00,0.0192,0.0228,0.0238,0.0109
2023-03-04 16:08:00,0.0207,0.0210,0.0304,0.0108
2023-03-04 16:10:00,0.0219,0.0206,0.0344,0.0108
2023-03-04 16:12:00,0.0187,0.0202,0.0251,0.0108
2023-03-04 16:14:00,0.0220,0.0214,0.0318,0.0127
2023-03-04 16:16:00,0.0243,0.0232,0.0373,0.0123
2023-03-04 16:18:00,0.0184,0.0223,0.0220,0.0108
2023-03-04 16:20:00,0.0199,0.0204,0.0299,0.00942
2023-03-04 16:22:00,0.0213,0.0204,0.0329,0.0107
2023-03-04 16:24:00,0.0169,0.0196,0.0220,0.00928
2023-03-04 16:26:00,0.0227,0.0222,0.0349,0.0111
2023-03-04 16:28:00,0.0218,0.0226,0.0338,0.00904
2023-03-04 16:30:00,0.0173,0.0205,0.0204,0.0109
2023-03-04 16:32:00,0.0212,0.0200,0.0328,0.0109
2023-03-04 16:34:00,0.0220,0.0216,0.0339,0.0106
2023-03-04 16:36:00,0.0235,0.0229,0.0171,0.0306
2023-03-04 16:38:00,0.0219,0.0218,0.0326,0.0112
2023-03-04 16:40:00,0.0203,0.0170,0.0332,0.0108
2023-03-04 16:42:00,0.0162,0.0192,0.0170,0.0123
2023-03-04 16:44:00,0.0193,0.0186,0.0332,0.00612
2023-03-04 16:46:00,0.0210,0.0213,0.0338,0.00791
2023-03-04 16:48:00,0.0176,0.0226,0.0180,0.0124
2023-03-04 16:50:00,0.0209,0.0198,0.0319,0.0108
2023-03-04 16:52:00,0.0195,0.0183,0.0294,0.0108
2023-03-04 16:54:00,0.0170,0.0208,0.0194,0.0108
2023-03-04 16:56:00,0.0210,0.0225,0.0329,0.00745
2023-03-04 16:58:00,0.0213,0.0215,0.0334,0.00902
2023-03-04 17:00:00,0.0165,0.0207,0.0182,0.0107
2023-03-04 17:02:00,0.0209,0.0188,0.0335,0.0105
2023-03-04 17:04:00,0.0229,0.0200,0.0341,0.0145
2023-03-04 17:06:00,0.0243,0.0219,0.0173,0.0337
2023-03-04 17:08:00,0.0207,0.0217,0.0319,0.00846
2023-03-04 17:10:00,0.0222,0.0210,0.0395,0.00604
2023-03-04 17:12:00,0.0168,0.0221,0.0177,0.0106
2023-03-04 17:14:00,0.0227,0.0219,0.0339,0.0123
2023-03-04 17:16:00,0.0237,0.0215,0.0343,0.0153
2023-03-04 17:18:00,0.0206,0.0265,0.0162,0.0191
2023-03-04 17:20:00,0.0217,0.0211,0.0335,0.0106
2023-03-04 17:22:00,0.0216,0.0204,0.0335,0.0107
2023-03-04 17:24:00,0.0166,0.0222,0.0169,0.0108
2023-03-04 17:26:00,0.0224,0.0210,0.0370,0.00911
2023-03-04 17:28:00,0.0237,0.0259,0.0344,0.0107
2023-03-04 17:30:00,0.0173,0.0226,0.0185,0.0109
2023-03-04 17:32:00,0.0219,0.0219,0.0348,0.00902
2023-03-04 17:34:00,0.0213,0.0202,0.0331,0.0106
2023-03-04 17:36:00,0.0162,0.0199,0.0180,0.0108
2023-03-04 17:38:00,0.0224,0.0228,0.0341,0.0104
2023-03-04 17:40:00,0.0225,0.0209,0.0358,0.0108
2023-03-04 17:42:00,0.0152,0.0177,0.0171,0.0110
2023-03-04 17:44:00,0.0214,0.0209,0.0342,0.00905
2023-03-04 17:46:00,0.0206,0.0203,0.0305,0.0108
2023-03-04 17:48:00,0.0235,0.0211,0.0168,0.0325
2023-03-04 17:50:00,0.0190,0.0209,0.0354,0.000752
2023-03-04 17:52:00,0.0216,0.0208,0.0335,0.0106
2023-03-04 17:54:00,0.0163,0.0209,0.0172,0.0108
2023-03-04 17:56:00,0.0234,0.0251,0.0341,0.0109
2023-03-04 17:58:00,0.0227,0.0218,0.0350,0.0113
2023-03-04 18:00:00,0.0157,0.0219,0.0139,0.0113
2023-03-04 18:02:00,0.0217,0.0203,0.0340,0.0108
2023-03-04 18:04:00,0.0232,0.0205,0.0399,0.00914
2023-03-04 18:06:00,0.0165,0.0203,0.0165,0.0125
2023-03-04 18:08:00,0.0225,0.0228,0.0337,0.0109
2023-03-04 18:10:00,0.0209,0.0207,0.0329,0.00912
2023-03-04 18:12:00,0.0202,0.0222,0.0160,0.0224
2023-03-04 18:14:00,0.0214,0.0202,0.0334,0.0107
2023-03-04 18:16:00,0.0220,0.0214,0.0341,0.0105
2023-03-04 18:18:00,0.0173,0.0238,0.0173,0.0109
2023-03-04 18:20:00,0.0222,0.0213,0.0362,0.00926
2023-03-04 18:22:00,0.0221,0.0215,0.0342,0.0106
2023-03-04 18:24:00,0.0180,0.0203,0.0216,0.0122
2023-03-04 18:26:00,0.0199,0.0165,0.0341,0.00908
2023-03-04 18:28:00,0.0228,0.0236,0.0338,0.0110
2023-03-04 18:30:00,0.0170,0.0208,0.0180,0.0124
2023-03-04 18:32:00,0.0241,0.0258,0.0343,0.0120
2023-03-04 18:34:00,0.0218,0.0204,0.0341,0.0108
2023-03-04 18:36:00,0.0178,0.0231,0.0164,0.0138
2023-03-04 18:38:00,0.0245,0.0226,0.0417,0.00924
2023-03-04 18:40:00,0.0219,0.0209,0.0339,0.0109
2023-03-04 18:42:00,0.0162,0.0204,0.0175,0.0107
2023-03-04 18:44:00,0.0205,0.0203,0.0321,0.00904
2023-03-04 18:46:00,0.0235,0.0243,0.0336,0.0124
2023-03-04 18:48:00,0.0175,0.0230,0.0184,0.0110
2023-03-04 18:50:00,0.0203,0.0208,0.0322,0.00779
2023-03-04 18:52:00,0.0217,0.0206,0.0335,0.0108
2023-03-04 18:54:00,0.0175,0.0217,0.0185,0.0122
2023-03-04 18:56:00,0.0210,0.0212,0.0311,0.0108
2023-03-04 18:58:00,0.0228,0.0239,0.0336,0.0109
2023-03-04 19:00:00,0.0169,0.0210,0.0187,0.0110
2023-03-04 19:02:00,0.0216,0.0204,0.0337,0.0108
2023-03-04 19:04:00,0.0214,0.0194,0.0341,0.0108
2023-03-04 19:06:00,0.0161,0.0197,0.0177,0.0109
2023-03-04 19:08:00,0.0211,0.0244,0.0297,0.00930
2023-03-04 19:10:00,0.0223,0.0219,0.0341,0.0110
2023-03-04 19:12:00,0.0195,0.0292,0.0186,0.0108
2023-03-04 19:14:00,0.0138,0.0201,0.0320,-0.011
2023-03-04 19:16:00,0.0219,0.0202,0.0340,0.0115
2023-03-04 19:18:00,0.0184,0.0251,0.0189,0.0111
2023-03-04 19:20:00,0.0210,0.0204,0.0316,0.0110
2023-03-04 19:22:00,0.0232,0.0200,0.0387,0.0108
2023-03-04 19:24:00,0.0187,0.0266,0.0188,0.0108
2023-03-04 19:26:00,0.0222,0.0207,0.0348,0.0110
2023-03-04 19:28:00,0.0229,0.0239,0.0337,0.0110
2023-03-04 19:30:00,0.0169,0.0200,0.0182,0.0126
2023-03-04 19:32:00,0.0241,0.0216,0.0318,0.0189
2023-03-04 19:34:00,0.0232,0.0220,0.0379,0.00967
2023-03-04 19:36:00,0.0166,0.0206,0.0185,0.0108
2023-03-04 19:38:00,0.0243,0.0252,0.0340,0.0136
2023-03-04 19:40:00,0.0222,0.0205,0.0342,0.0118
2023-03-04 19:42:00,0.0144,0.0204,0.0185,0.00416
2023-03-04 19:44:00,0.0211,0.0191,0.0331,0.0109
2023-03-04 19:46:00,0.0214,0.0199,0.0334,0.0110
2023-03-04 19:48:00,0.0183,0.0246,0.0177,0.0127
2023-03-04 19:50:00,0.0210,0.0194,0.0326,0.0109
2023-03-04 19:52:00,0.0216,0.0202,0.0338,0.0108
2023-03-04 19:54:00,0.0160,0.0217,0.0171,0.00923
2023-03-04 19:56:00,0.0215,0.0209,0.0328,0.0109
2023-03-04 19:58:00,0.0248,0.0275,0.0346,0.0124
2023-03-04 20:00:00,0.0170,0.0206,0.0177,0.0126
2023-03-04 20:02:00,0.0178,0.0162,0.0310,0.00607
2023-03-04 20:04:00,0.0232,0.0202,0.0385,0.0109
2023-03-04 20:06:00,0.0194,0.0256,0.0210,0.0116
2023-03-04 20:08:00,0.0221,0.0229,0.0324,0.0110
2023-03-04 20:10:00,0.0238,0.0259,0.0340,0.0116
2023-03-04 20:12:00,0.0157,0.0203,0.0147,0.0121
2023-03-04 20:14:00,0.0207,0.0206,0.0309,0.0107
2023-03-04 20:16:00,0.0219,0.0204,0.0340,0.0111
2023-03-04 20:18:00,0.0168,0.0224,0.0173,0.0108
2023-03-04 20:20:00,0.0234,0.0212,0.0349,0.0140
2023-03-04 20:22:00,0.0219,0.0203,0.0340,0.0113
2023-03-04 20:24:00,0.0174,0.0194,0.0203,0.0125
2023-03-04 20:26:00,0.0210,0.0197,0.0327,0.0106
2023-03-04 20:28:00,0.0234,0.0229,0.0366,0.0106
