"Time","Transmit Total","Receive Total"
2023-03-11 18:38:00,439915,331904
2023-03-11 18:40:00,611726,495958
2023-03-11 18:42:00,446718,337780
2023-03-11 18:44:00,459008,352584
2023-03-11 18:46:00,470566,353270
2023-03-11 18:48:00,452989,342375
2023-03-11 18:50:00,654575,521055
2023-03-11 18:52:00,521261,379140
2023-03-11 18:54:00,445326,333797
2023-03-11 18:56:00,461740,346453
2023-03-11 18:58:00,440731,332667
2023-03-11 19:00:00,617916,498560
2023-03-11 19:02:00,488143,371492
2023-03-11 19:04:00,468262,347357
2023-03-11 19:06:00,484794,373458
2023-03-11 19:08:00,436881,328202
2023-03-11 19:10:00,625618,501381
2023-03-11 19:12:00,521127,387977
2023-03-11 19:14:00,497373,363552
2023-03-11 19:16:00,471016,354800
2023-03-11 19:18:00,440300,331414
2023-03-11 19:20:00,611022,502187
2023-03-11 19:22:00,493574,382162
2023-03-11 19:24:00,470001,361460
2023-03-11 19:26:00,463977,348914
2023-03-11 19:28:00,459316,341150
2023-03-11 19:30:00,638984,507494
2023-03-11 19:32:00,526124,412340
2023-03-11 19:34:00,497087,363151
2023-03-11 19:36:00,511090,374199
2023-03-11 19:38:00,459053,353036
2023-03-11 19:40:00,593890,481973
2023-03-11 19:42:00,586741,470473
2023-03-11 19:44:00,447680,335243
2023-03-11 19:46:00,486998,361906
2023-03-11 19:48:00,458525,347173
2023-03-11 19:50:00,593524,480613
2023-03-11 19:52:00,574887,462418
2023-03-11 19:54:00,447828,336657
2023-03-11 19:56:00,472569,362654
2023-03-11 19:58:00,505290,372257
2023-03-11 20:00:00,637180,496460
2023-03-11 20:02:00,593662,479864
2023-03-11 20:04:00,449139,335164
2023-03-11 20:06:00,461030,346998
2023-03-11 20:08:00,457531,345321
2023-03-11 20:10:00,592339,480265
2023-03-11 20:12:00,603283,491754
2023-03-11 20:14:00,465263,359629
2023-03-11 20:16:00,460070,344687
2023-03-11 20:18:00,480802,364125
2023-03-11 20:20:00,590074,477579
2023-03-11 20:22:00,609398,494008
2023-03-11 20:24:00,462940,347963
2023-03-11 20:26:00,445000,333374
2023-03-11 20:28:00,509192,381497
2023-03-11 20:30:00,597160,481027
2023-03-11 20:32:00,625535,514538
2023-03-11 20:34:00,463688,348501
2023-03-11 20:36:00,464104,343210
2023-03-11 20:38:00,477770,356311
2023-03-11 20:40:00,599836,478461
2023-03-11 20:42:00,604546,493702
2023-03-11 20:44:00,466806,350509
2023-03-11 20:46:00,455886,347457
2023-03-11 20:48:00,456959,345359
2023-03-11 20:50:00,565196,461873
2023-03-11 20:52:00,648613,515391
2023-03-11 20:54:00,485752,365837
2023-03-11 20:56:00,442627,330675
2023-03-11 20:58:00,462687,348350
2023-03-11 21:00:00,540170,423641
2023-03-11 21:02:00,600173,487812
2023-03-11 21:04:00,466671,351741
2023-03-11 21:06:00,446985,334498
2023-03-11 21:08:00,467877,364943
2023-03-11 21:10:00,519767,404823
2023-03-11 21:12:00,653229,517808
2023-03-11 21:14:00,464477,348658
2023-03-11 21:16:00,455442,338959
2023-03-11 21:18:00,457124,345582
2023-03-11 21:20:00,498155,383553
2023-03-11 21:22:00,603789,486129
2023-03-11 21:24:00,475182,351075
2023-03-11 21:26:00,456803,353256
2023-03-11 21:28:00,458423,346550
2023-03-11 21:30:00,507644,383550
2023-03-11 21:32:00,584639,474167
2023-03-11 21:34:00,470163,352608
2023-03-11 21:36:00,444683,332391
2023-03-11 21:38:00,457360,345266
2023-03-11 21:40:00,514049,376487
2023-03-11 21:42:00,631998,501627
2023-03-11 21:44:00,483973,376117
2023-03-11 21:46:00,453641,338838
2023-03-11 21:48:00,472576,356522
2023-03-11 21:50:00,462239,346656
2023-03-11 21:52:00,590572,478937
2023-03-11 21:54:00,483864,360162
2023-03-11 21:56:00,460028,344360
2023-03-11 21:58:00,491619,361414
2023-03-11 22:00:00,473449,354840
2023-03-11 22:02:00,599041,497304
2023-03-11 22:04:00,466714,352010
2023-03-11 22:06:00,486335,365656
2023-03-11 22:08:00,435058,326982
2023-03-11 22:10:00,470903,352622
2023-03-11 22:12:00,584098,474948
2023-03-11 22:14:00,479498,362468
2023-03-11 22:16:00,470607,353337
2023-03-11 22:18:00,485450,355246
2023-03-11 22:20:00,525492,396587
2023-03-11 22:22:00,583697,474967
2023-03-11 22:24:00,514349,393619
2023-03-11 22:26:00,461268,346086
2023-03-11 22:28:00,445978,334070
2023-03-11 22:30:00,475078,356597
2023-03-11 22:32:00,588955,478299
2023-03-11 22:34:00,563123,426463
2023-03-11 22:36:00,511684,374503
2023-03-11 22:38:00,449570,349278
2023-03-11 22:40:00,466081,351103
2023-03-11 22:42:00,610141,495038
2023-03-11 22:44:00,531314,418472
