"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-15 11:08:00,0,12353,36347,164919,0,1939,119,161,31.5,121,2030,66.3,420,0,7174,117,6.50,147,87.7,0,17566,1968,117,31.6,1607,66.2,19,371,0,0,122,156,0,12353,0,20158,78963,0,191,27.7,101,21.3,29.0,2333,40.7,6284,0,1107,3625,7.68,132,66.6,0,17436,222,27.7,25.5,16295,41.7,38.5,465,0,0,29.0,581,0
2023-03-15 11:10:00,0,12187,36248,156781,0,1947,119,159,32.5,116,1975,65.9,422,0,7101,78.9,4.30,148,88.1,0,17572,1972,124,31.6,1598,66.2,19,332,0,0,117,154,0,12187,0,19962,78417,0,197,27.7,90.1,27.2,27.7,2196,41.4,6280,0,1104,3617,4.67,133,66.6,0,17432,226,29.0,25.5,16311,41.7,38.5,396,0,0,27.7,583,0
2023-03-15 11:12:00,0,11178,35482,156189,0,1734,124,163,32.9,116,1826,66.3,420,0,6708,76.4,3.50,146,88.2,0,17552,1741,123,31.6,1424,66.9,19,339,0,0,121,153,0,11178,0,18961,76774,0,201,29.0,95.2,27.4,32.6,2301,40.6,6280,0.389,1116,3569,3.50,133,67.0,0,17422,216,29.0,25.5,16290,42.5,38.5,410,0,0,29.0,580,0
2023-03-15 11:14:00,0,11034,46514,168280,0,1951,125,161,32.1,120,1964,66.3,842,0,7119,77.9,4.77,149,88.0,0,17555,1971,124,31.6,1617,67.2,19.0,341,0,0,117,10028,0,11034,0,19831,78552,0.389,171,29.0,91.8,21.9,29.0,2191,41.0,15047,0,1123,3661,5.13,129,66.5,0,17447,206,33.9,25.5,16266,42.5,38.5,407,0,0,27.6,11392,0
2023-03-15 11:16:00,0,12955,58844,182958,0,1797,124,163,32.1,121,1897,66.9,1724,0,6847,79.1,6.51,150,87.5,0,17551,1818,129,31.6,1492,67.0,321,383,0,0,127,21761,0,12955,0,23457,82609,0,148,29.0,96.3,22.7,29.0,2328,42.6,25613,0,1099,3738,7.68,129,66.6,0,17440,182,35.2,25.5,16274,42.5,537,488,0,0,30.3,24259,0
2023-03-15 11:18:00,0,12620,36075,182771,0,1878,124,160,31.5,120,1953,66.7,421,0,6975,116,3.27,149,87.8,0,17552,1883,124,31.6,1556,66.7,19,361,0,0,117,173,0,12620,0,20420,79194,0,181,29.0,98.4,26.3,29.4,2318,41.5,6288,0,1076,3631,3.27,133,66.6,0,17437,180,29.0,25.5,16285,41,38.5,446,0,0,32.6,589,0
2023-03-15 11:20:00,0.389,11288,36236,156592,0,1950,124,163,30.7,121,1973,65.8,419,0,7100,81.5,4.30,145,87.1,0,17566,1971,124,31.6,1633,66.5,19,335,0,0,122,174,0,11288,0.389,19098,77281,0,173,29.0,95.5,20.4,29.4,2200,41,6283,0,1096,3665,4.69,134,66.6,0,17444,198,29.0,25.5,16282,40.6,38.5,397,0,0,33.9,583,0
2023-03-15 11:22:00,0.389,10310,35469,158193,0,1724,124,160,31.5,121,1808,66.3,418,0,6753,77.8,3.93,148,87.3,0,17555,1749,118,31.8,1477,65.8,19,341,0,0,122,173,0,10310,0.389,18127,75762,0,158,29.0,91.7,21.9,29.0,2289,41.4,6286,0,1098,3616,4.32,140,67.3,0,17430,191,27.7,25.7,16271,40.6,38.5,411,0,0,29.0,576,0
2023-03-15 11:24:00,0,11192,36234,167430,0,1958,130,164,32.9,132,1976,66.5,419,0,7154,78.8,5.11,148,88.1,0,17559,1967,124,32.3,1648,67.2,19,332,0.389,0,122,162,0,11192,0,19000,77354,0,182,30.3,97.4,23.8,31.6,2197,41.4,6287,0,1086,3639,11.1,140,68.0,0,17430,198,29.4,26.2,16276,43.2,38.5,393,0,0,29.0,580,0
2023-03-15 11:26:00,0,13383,59178,183471,0,1806,130,178,32.9,126,1898,66.9,1723,0,6844,79.6,2.53,145,87.8,0,17564,1817,129,32.3,1477,66.9,373,377,0.389,0,128,21899,0,13383,0,23926,83140,0,165,30.3,117,23.5,30.3,2307,42.5,25751,0,1071,3616,2.53,133,67.3,0,17440,181,30.7,26.2,16255,42.8,645,474,0,0,30.3,24466,0
2023-03-15 11:28:00,0,11822,35799,157523,0,1797,119,160,30.7,116,1888,66.5,421,0,6852,118,6.07,147,86.2,0,17574,1824,124,31.8,1496,66.3,19,356,0,0,128,158,0,11822,0,19626,77524,0,159,27.7,91.8,20.1,27.7,2306,41.7,6288,0,1087,3607,6.82,130,65.5,0,17452,194,29.0,25.7,16256,41.7,38.5,441,0,0,30.3,582,0
2023-03-15 11:30:00,0,11606,36222,156497,0,1940,124,161,33.5,121,1973,65.8,419,0,7077,78.3,6.73,150,86.3,0,17554,1955,124,31.8,1632,65.8,19,329,0,0,122,159,0,11606,0,19410,77608,0,173,29.0,93.5,23.5,29.0,2196,40.6,6288,0,1061,3624,7.92,132,65.1,0,17436,179,29.0,25.7,16265,41.7,38.5,395,0,0,29.4,588,0
2023-03-15 11:32:00,0,10633,35538,155974,0,1676,130,163,32.1,126,1813,65.6,419,0,6611,76.4,3.27,149,87.5,0,17561,1702,129,31.8,1430,66.2,19,334,0,0,122,150,0,10633,0,18447,75906,0,149,30.3,95.5,22.6,30.3,2274,40.3,6282,0,1011,3569,3.27,131,66.9,0,17437,171,30.3,25.7,16326,41.7,38.5,409,0,0,29.0,580,0
2023-03-15 11:34:00,0,11241,36250,156869,0,1919,119,160,32.9,116,1982,65.8,420,0.389,7037,79.5,3.27,147,87.5,0,17557,1936,128,32.3,1621,66.1,19,330,0,0,133,173,0,11241,0,19046,77142,0,163,27.7,91.8,22.7,27.7,2231,41.0,6284,0,1034,3609,3.27,132,67.7,0,17437,187,30.3,26.2,16282,41.4,38.5,390,0,0,31.6,584,0.389
2023-03-15 11:36:00,0,13778,59307,186216,0,1866,119,163,32.9,109,1961,66.1,1719,0,6938,80.2,4.44,147,87.8,0,17543,1887,124,32.3,1583,67.3,375,387,0,0,117,21766,0,13778,0,24351,83998,0,193,27.7,102,22.7,26.3,2342,42.8,25593,0,1072,3640,9.95,134,67.3,0,17429,218,29.0,26.2,16305,42.9,669,492,0,0,27.7,24299,0
2023-03-15 11:38:00,0,13728,41426,167182,0,1720,124,159,32.1,121,1848,66.5,1013,0,6781,117,6.74,146,88.6,0,17543,1737,117,32.3,1444,67.0,375,412,0,0,116,5093,0.389,13728,0,22628,81351,0,194,29.0,96.4,21.6,29.0,2330,42.1,10785,0,1119,3655,13.8,134,66.6,0,17437,219,27.7,26.2,16289,42.6,669,538,0,0,27.7,6001,0
2023-03-15 11:40:00,0,10896,36230,156769,0,1941,124,162,31.5,126,1972,65.8,420,0,7113,79.3,3.97,147,88.3,0,17561,1957,129,32.3,1615,66.0,19,331,0,0,122,166,0,10896,0,18688,77128,0,191,29.0,95.4,21.2,30.3,2191,42.1,6283,0,1109,3624,3.97,135,65.8,0.389,17439,214,30.3,26.2,16307,41,38.5,399,0.389,0,29.0,590,0
2023-03-15 11:42:00,0,9156,35441,179551,0.389,1716,130,164,31.5,126,1824,66.1,420,0,6668,79.1,6.04,149,88.2,0.389,17543,1738,129,32.3,1433,66.0,19,336,0,0,133,159,0,9156,0,16947,75009,0,187,30.3,97.1,21.4,30.3,2294,42.5,6284,0,1055,3699,6.96,136,66.6,0,17428,215,30.3,26.2,16301,40.6,38.5,409,0,0,31.6,578,0
2023-03-15 11:44:00,0,10586,36207,180438,0.389,1952,124,160,32.9,126,1969,66.0,424,0,7150,78.3,5.21,145,87.7,0.389,17539,1976,129,32.3,1607,65.8,19,327,0,0,122,155,0,10586,0,18359,77174,0,205,29.0,91.4,22.9,30.3,2197,40.6,6280,0,1145,3632,6.13,132,66.6,0,17429,229,30.3,26.2,16303,40.6,38.5,391,0,0,29.0,581,0
2023-03-15 11:46:00,0,12672,59650,186040,0,1945,136,162,30.7,132,2018,65.6,1723,0,7139,79.9,4.06,144,88.1,0,17557,1991,124,32.3,1628,66.1,375,397,0,0,122,21844,0,12672,0,23268,83203,0,201,31.6,99.2,21.2,31.6,2330,40.3,25686,0,1103,3633,4.46,133,68.0,0,17429,222,29.0,26.2,16286,41.4,669,514,0,0,29.0,24413,0
2023-03-15 11:48:00,0,12469,57908,181305,0,1742,119,167,56.3,115,1832,66.3,1682,0,6741,119,3.50,146,88.2,0,17557,1747,129,31.8,1451,66.6,375,414,0,0,128,20903,0,12469,0,22966,82198,0,186,27.6,106,63.9,27.6,2318,41.7,24852,0,1085,3671,3.50,134,69.1,0,17438,205,30.3,25.7,16294,43.2,669,530,0,0,30.3,23372,0
2023-03-15 11:50:00,0,10646,36237,156535,0,1951,113,164,35.1,121,1963,66.1,425,0,7122,82.6,5,147,88.1,0,17554,1976,124,31.6,1622,66.9,19,335,0,0,117,154,0,10646,0,18448,76683,0,204,26.3,97.7,24.6,29.0,2194,40.6,6281,0,1110,3727,5.37,135,67.7,0,17448,236,29.0,25.5,16295,42.9,38.5,398,0,0,27.7,579,0
2023-03-15 11:52:00,0,10672,35482,158071,0,1730,130,160,34.2,132,1811,66.3,424,0,6787,80.4,5,145,88.3,0,17561,1748,123,31.6,1443,66.2,19,340,0,0,122,155,0,10672,0,18491,76263,0,188,36.1,91.8,23.8,31.6,2286,40.6,6283,0,1098,3778,5.43,134,66.9,0,17434,219,29.0,25.5,16283,41.4,38.5,416,0,0,29.0,582,0
