"Time","Transmit Total","Receive Total"
2023-03-11 16:26:00,430358,321287
2023-03-11 16:28:00,614922,487502
2023-03-11 16:30:00,518097,387232
2023-03-11 16:32:00,438592,333637
2023-03-11 16:34:00,450466,340885
2023-03-11 16:36:00,430031,319990
2023-03-11 16:38:00,596606,491222
2023-03-11 16:40:00,475454,370007
2023-03-11 16:42:00,478262,364881
2023-03-11 16:44:00,448126,330870
2023-03-11 16:46:00,439579,330734
2023-03-11 16:48:00,575115,469425
2023-03-11 16:50:00,526558,397681
2023-03-11 16:52:00,481980,356470
2023-03-11 16:54:00,434425,327417
2023-03-11 16:56:00,419735,312845
2023-03-11 16:58:00,573346,468024
2023-03-11 17:00:00,549278,439682
2023-03-11 17:02:00,439560,336339
2023-03-11 17:04:00,461731,354402
2023-03-11 17:06:00,423265,315859
2023-03-11 17:08:00,583772,476484
2023-03-11 17:10:00,535588,429848
2023-03-11 17:12:00,436196,333262
2023-03-11 17:14:00,483580,351827
2023-03-11 17:16:00,450140,331487
2023-03-11 17:18:00,595788,479877
2023-03-11 17:20:00,560666,454318
2023-03-11 17:22:00,425742,321600
2023-03-11 17:24:00,436580,328980
2023-03-11 17:26:00,443384,340544
2023-03-11 17:28:00,621601,477826
2023-03-11 17:30:00,915013,720355
2023-03-11 17:32:00,567582,403698
2023-03-11 17:34:00,546732,420243
2023-03-11 17:36:00,419887,316813
2023-03-11 17:38:00,570074,461424
2023-03-11 17:40:00,580841,471338
2023-03-11 17:42:00,420490,318418
2023-03-11 17:44:00,441930,332642
2023-03-11 17:46:00,423727,319118
2023-03-11 17:48:00,542504,431237
2023-03-11 17:50:00,590388,478613
2023-03-11 17:52:00,453490,347572
2023-03-11 17:54:00,445138,336106
2023-03-11 17:56:00,444036,341069
2023-03-11 17:58:00,584314,449543
2023-03-11 18:00:00,660383,525734
2023-03-11 18:02:00,423010,320610
2023-03-11 18:04:00,454411,346249
2023-03-11 18:06:00,424415,322005
2023-03-11 18:08:00,534797,413888
2023-03-11 18:10:00,600800,481823
2023-03-11 18:12:00,420559,318915
2023-03-11 18:14:00,440595,329125
2023-03-11 18:16:00,421970,318542
2023-03-11 18:18:00,503193,392268
2023-03-11 18:20:00,580652,471408
2023-03-11 18:22:00,472301,346194
2023-03-11 18:24:00,487600,356645
2023-03-11 18:26:00,452791,347686
2023-03-11 18:28:00,462773,352521
2023-03-11 18:30:00,602196,489881
2023-03-11 18:32:00,420635,318055
2023-03-11 18:34:00,443488,334821
2023-03-11 18:36:00,427635,320999
2023-03-11 18:38:00,450102,341076
2023-03-11 18:40:00,578779,470223
2023-03-11 18:42:00,418171,316475
2023-03-11 18:44:00,464691,354829
2023-03-11 18:46:00,432305,326965
2023-03-11 18:48:00,462770,354611
2023-03-11 18:50:00,585324,474686
2023-03-11 18:52:00,488590,364982
2023-03-11 18:54:00,479665,347718
2023-03-11 18:56:00,435394,330025
2023-03-11 18:58:00,425819,316799
2023-03-11 19:00:00,595186,481504
2023-03-11 19:02:00,425465,324589
2023-03-11 19:04:00,457503,339453
2023-03-11 19:06:00,447093,332631
2023-03-11 19:08:00,424101,316694
2023-03-11 19:10:00,581090,471244
2023-03-11 19:12:00,444983,344705
2023-03-11 19:14:00,452000,343459
2023-03-11 19:16:00,478021,351063
2023-03-11 19:18:00,492767,364047
2023-03-11 19:20:00,582694,473371
2023-03-11 19:22:00,464156,362198
2023-03-11 19:24:00,433204,326336
2023-03-11 19:26:00,433731,328333
2023-03-11 19:28:00,418661,309770
2023-03-11 19:30:00,631554,501176
2023-03-11 19:32:00,472028,367400
2023-03-11 19:34:00,475139,347267
2023-03-11 19:36:00,450676,347588
2023-03-11 19:38:00,438209,322785
2023-03-11 19:40:00,597107,487060
2023-03-11 19:42:00,493345,390662
2023-03-11 19:44:00,460240,351531
2023-03-11 19:46:00,434165,328150
2023-03-11 19:48:00,429728,324215
2023-03-11 19:50:00,581696,471607
2023-03-11 19:52:00,524054,422818
2023-03-11 19:54:00,431560,324550
2023-03-11 19:56:00,436125,329870
2023-03-11 19:58:00,422028,314822
2023-03-11 20:00:00,582436,470659
2023-03-11 20:02:00,581047,456430
2023-03-11 20:04:00,450472,344100
2023-03-11 20:06:00,429992,323688
2023-03-11 20:08:00,427712,319394
2023-03-11 20:10:00,591791,483849
2023-03-11 20:12:00,550887,447393
2023-03-11 20:14:00,455158,346619
2023-03-11 20:16:00,433180,326847
2023-03-11 20:18:00,434277,326285
2023-03-11 20:20:00,575443,467286
2023-03-11 20:22:00,564384,461422
2023-03-11 20:24:00,425666,320345
2023-03-11 20:26:00,457097,327613
2023-03-11 20:28:00,472465,340720
2023-03-11 20:30:00,575227,462959
2023-03-11 20:32:00,598999,494615
2023-03-11 20:34:00,451877,337828
2023-03-11 20:36:00,477225,360797
2023-03-11 20:38:00,428307,319738
2023-03-11 20:40:00,579570,470353
2023-03-11 20:42:00,622040,494918
2023-03-11 20:44:00,486824,357262
2023-03-11 20:46:00,432866,326342
2023-03-11 20:48:00,431613,323401
2023-03-11 20:50:00,537272,427571
2023-03-11 20:52:00,578164,473720
2023-03-11 20:54:00,430984,323242
2023-03-11 20:56:00,421052,316359
2023-03-11 20:58:00,451653,341670
2023-03-11 21:00:00,533839,420280
2023-03-11 21:02:00,611389,504624
2023-03-11 21:04:00,479284,348928
2023-03-11 21:06:00,474226,347468
2023-03-11 21:08:00,432132,322617
2023-03-11 21:10:00,502028,393023
2023-03-11 21:12:00,577936,473291
2023-03-11 21:14:00,441460,332536
2023-03-11 21:16:00,421961,317366
2023-03-11 21:18:00,433994,325451
2023-03-11 21:20:00,480114,371829
2023-03-11 21:22:00,620204,493147
2023-03-11 21:24:00,500359,370620
2023-03-11 21:26:00,422594,317808
2023-03-11 21:28:00,462718,351670
2023-03-11 21:30:00,491288,370637
2023-03-11 21:32:00,596285,494166
2023-03-11 21:34:00,439277,331835
2023-03-11 21:36:00,425698,321423
2023-03-11 21:38:00,436267,326909
2023-03-11 21:40:00,460445,350876
2023-03-11 21:42:00,564394,462081
2023-03-11 21:44:00,491660,360667
2023-03-11 21:46:00,439623,335929
2023-03-11 21:48:00,429965,320794
2023-03-11 21:50:00,459911,350383
2023-03-11 21:52:00,566080,463850
2023-03-11 21:54:00,468483,360850
2023-03-11 21:56:00,420679,316592
2023-03-11 21:58:00,462205,351274
2023-03-11 22:00:00,437960,326307
2023-03-11 22:02:00,568492,464282
2023-03-11 22:04:00,449456,341251
2023-03-11 22:06:00,418250,314708
2023-03-11 22:08:00,425637,316125
2023-03-11 22:10:00,433149,324823
2023-03-11 22:12:00,609584,486052
2023-03-11 22:14:00,514187,382633
2023-03-11 22:16:00,442787,339970
2023-03-11 22:18:00,429441,320062
2023-03-11 22:20:00,458839,350327
2023-03-11 22:22:00,566930,463043
2023-03-11 22:24:00,483917,376837
2023-03-11 22:26:00,427189,323386
2023-03-11 22:28:00,446211,327679
2023-03-11 22:30:00,443559,331389
2023-03-11 22:32:00,567720,464484
2023-03-11 22:34:00,532556,403699
2023-03-11 22:36:00,452865,348335
2023-03-11 22:38:00,422479,315224
2023-03-11 22:40:00,438179,329765
2023-03-11 22:42:00,580692,478840
2023-03-11 22:44:00,511601,403451
2023-03-11 22:46:00,457786,352905
2023-03-11 22:48:00,419705,312398
2023-03-11 22:50:00,454259,347299
2023-03-11 22:52:00,559320,457479
2023-03-11 22:54:00,529089,421596
2023-03-11 22:56:00,430119,325140
2023-03-11 22:58:00,472891,341847
2023-03-11 23:00:00,447182,334460
2023-03-11 23:02:00,571639,471135
2023-03-11 23:04:00,539931,431591
2023-03-11 23:06:00,428326,323467
2023-03-11 23:08:00,441461,333961
2023-03-11 23:10:00,438953,329156
2023-03-11 23:12:00,645027,521017
2023-03-11 23:14:00,602046,470652
2023-03-11 23:16:00,456199,351122
2023-03-11 23:18:00,417335,309358
2023-03-11 23:20:00,457053,338335
2023-03-11 23:22:00,583554,480486
2023-03-11 23:24:00,564194,457633
2023-03-11 23:26:00,430210,325077
2023-03-11 23:28:00,422268,313158
2023-03-11 23:30:00,444954,332302
2023-03-11 23:32:00,573325,470016
2023-03-11 23:34:00,594274,487178
2023-03-11 23:36:00,432549,325741
2023-03-11 23:38:00,466309,336762
2023-03-11 23:40:00,478454,344633
2023-03-11 23:42:00,562305,459248
2023-03-11 23:44:00,582545,473523
2023-03-11 23:46:00,438777,332498
2023-03-11 23:48:00,417815,310758
2023-03-11 23:50:00,432675,322746
2023-03-11 23:52:00,541622,437084
2023-03-11 23:54:00,577303,469820
2023-03-11 23:56:00,475207,346457
2023-03-11 23:58:00,423263,315705
2023-03-12 00:00:00,458128,346329
2023-03-12 00:02:00,535995,431799
2023-03-12 00:04:00,603953,497284
2023-03-12 00:06:00,434595,328163
2023-03-12 00:08:00,469454,352868
2023-03-12 00:10:00,443586,326802
2023-03-12 00:12:00,527873,422190
