"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-16 18:50:00,0,85.1,13959,46178,269,0,11607,4320,4453,0,1874,128,0,129,305,32.1,454,64238,3.90,0,32.3,66.1,66.0,0,106,0.600,127,17729,306,2585,219,85.1,0,18184,112091,269,0,3407,1448,1434,0,217,21.9,0,26.8,379,21.5,253,2378,4.03,0,26.2,40.6,41,0,235,0.600,26.8,10754,439,1280,218
2023-03-16 18:52:00,0,84.0,14243,47365,270,0.389,16747,4787,27212,0,1884,122,0,124,304,31.5,453,64239,4.13,0,32.3,66.5,65.7,0,103,0,126,28667,303,2584,222,84.0,0,29085,153328,270,0,3555,1547,1987,0,224,20.9,0,25.8,378,20.6,259,2363,4.27,0,26.2,41.1,41,0,232,0,21.9,11051,441,1278,222
2023-03-16 18:54:00,0,77.8,13587,46161,270,0,15189,4791,4497,0,1889,127,0,128,306,30.7,469,64264,4.83,0,32.3,65.7,65.7,0,103,37.6,121,19128,508,2584,225,77.8,0,19801,118431,270,0,3551,1529,1465,0,227,21.9,0,21.9,378,19.7,262,2370,4.97,0,26.2,40.3,41,0,233,34.7,20.9,10224,587,1284,220
2023-03-16 18:56:00,0,79.3,15381,47795,269,0,11526,4347,4467,0,1884,128,0,129,305,32.9,470,64273,4.60,0,32.3,66.4,66.5,0,104,37.6,132,19756,503,2585,222,79.3,0,20402,114568,269,0,3413,1457,1446,0,219,26.8,0,21.9,378,22.5,262,2379,4.73,0,26.2,41.1,41.5,0,232,34.7,22.8,12025,588,1286,217
2023-03-16 18:58:00,0,82.2,15398,47865,270,0,14645,4719,4404,0,1824,128,0,129,305,32.3,471,64222,3.67,0,32.3,66.6,66.5,0,185,0,137,28194,303,2586,217,82.2,0,28623,127051,270,0.389,3355,1509,1451,0,226,26.8,0.389,21.9,378,21.4,263,2381,3.80,0,26.2,41.1,41.5,0,260,0,23.8,12207,442,1280,211
2023-03-16 19:00:00,0.389,82.2,13649,45857,270,0,11648,4348,4469,0.389,1875,139,0,140,305,31.5,470,64198,3.43,0,32.3,65.8,65.8,0,108,0.600,137,19680,305,2586,221,82.2,0.389,20126,114291,270,0.389,3411,1450,1452,0,208,23.8,0.389,23.8,378,20.5,262,2364,3.57,0,26.2,40.3,41,0,234,0.600,23.8,10442,441,1281,215
2023-03-16 19:02:00,0.389,81.8,13693,46292,269,0,15542,4749,4544,0.389,1981,133,0,135,304,30.7,466,64275,3.43,0,32.3,66.1,66.1,0,103,0,132,27844,306,2586,225,81.8,0.389,28272,127949,269,0,3679,1498,1414,0,200,22.8,0,22.8,378,19.7,260,2383,3.57,0,26.2,41,42.1,0,232,0,22.8,10494,440,1281,228
2023-03-16 19:04:00,0,78.2,13215,45260,268,0,14630,4705,4385,0,1834,133,0,135,303,32.9,472,64166,3.43,0,32.3,66.4,65.7,0,103,37.6,121,18317,507,2584,220,78.2,0,19007,116702,268,0,3262,1461,1392,0,179,22.8,0,22.8,380,22.5,263,2346,3.57,0,26.2,41,41.7,0,233,35.1,20.9,9840,588,1279,215
2023-03-16 19:06:00,0,79.3,14858,47054,269,0,13208,4348,4493,0,1878,128,0,129,304,30.7,470,64222,3.43,0,32.0,67.3,65.7,0,104,37.6,115,19721,505,2613,219,79.3,0,20364,116255,269,0,3360,1412,1425,0.389,175,21.9,0,21.9,378,19.7,262,2347,3.57,0,26.0,41.5,41,0,231,35.1,20.0,11506,589,1293,213
2023-03-16 19:08:00,0,73.4,15304,47754,269,0,16455,4770,6467,0,1798,116,0,117,308,32.8,469,64221,3.43,0,31.6,66.0,66.5,0,184,0,132,23252,307,2588,223,73.4,0,23688,125726,270,0,3356,1493,1526,0.389,176,20.0,0,20.0,376,21.5,262,2381,3.57,0,25.5,40.3,43.2,0,260,0,22.8,12106,439,1284,218
2023-03-16 19:10:00,0,78.2,13608,46393,269,0,11784,4340,27187,0,1881,128,0,129,307,35.0,470,64252,3.43,0,31.6,65.8,66.1,0,108,0.600,126,19709,307,2582,223,78.2,0,20158,137935,270,0,3432,1432,1956,0,188,21.9,0,21.9,378,24.3,262,2379,3.57,0,25.5,40.3,41.7,0,234,0.600,21.9,10409,440,1277,224
2023-03-16 19:12:00,0,83.7,13385,45818,269,0,15412,4699,4530,0,1945,122,0,124,305,32.5,469,64304,3.67,0,32.0,65.8,65.7,0,104,0.600,126,26484,307,2585,223,83.7,0,26905,126337,269,0,3639,1470,1398,0,171,20.9,0,20.9,380,21.6,262,2378,3.80,0,26.0,40.3,40.6,0,231,0.600,21.9,10199,439,1281,225
2023-03-16 19:14:00,0,75.2,13892,45879,269,0,14588,4708,4391,0,1805,122,0,124,307,30.7,470,64191,4.13,0,32.3,65.8,65.7,0,103,0,126,17029,304,2585,225,75.2,0,17500,114861,270,0,3293,1460,1387,0,172,20.9,0,20.9,379,19.7,262,2377,4.27,0,26.2,40.3,41.7,0,232,0,21.9,10680,442,1281,220
2023-03-16 19:16:00,0,79.6,15824,48227,269,0,11571,4353,4466,0,1886,128,0,129,307,30.7,468,64259,4.13,0.389,32.3,66.0,65.7,0,103,38.0,121,25410,506,2586,220,79.6,0,26051,120800,269,0,3414,1440,1431,0,210,21.9,0,21.9,376,19.7,261,2369,4.27,0,26.2,40.6,41.7,0,232,35.0,20.9,12465,587,1280,215
2023-03-16 19:18:00,0,78.2,16492,48796,270,0,14596,4718,4384,0,1815,122,0,124,301,33.7,470,64183,3.67,0,32.0,65.8,65.3,0,187,0,121,17791,304,2590,218,78.2,0,18253,116005,270,0,3326,1486,1406,0,193,20.9,0,20.9,380,28.4,262,2363,4.19,0,26.0,40.3,41.4,0,262,0,20.9,13288,440,1281,211
2023-03-16 19:20:00,0,82.6,13782,45867,270,0,11607,4339,4462,0,1875,122,0,124,305,31.5,467,64245,3.43,0,31.8,65.7,65.3,0,108,0.600,115,19681,303,2584,223,82.6,0,20139,114309,270,0,3406,1414,1401,0,175,21.3,0,20.9,379,25.8,260,2354,3.57,0,25.7,40.6,41,0,235,0.600,20.0,10574,442,1278,224
2023-03-16 19:22:00,0,86.6,13622,46166,269,0,17130,4780,4560,0,1950,122,0,124,307,30.7,468,64306,3.67,0,31.8,65.6,66.1,0,104,0.600,126,27988,303,2584,225,86.6,0,28424,129805,269,0,3694,1482,1414,0,182,20.9,0,20.9,379,19.7,261,2367,3.80,0,25.7,40.6,41.5,0,232,0.600,21.9,10426,441,1286,226
2023-03-16 19:24:00,0,85.1,13392,45496,270,0,14731,4790,4420,0,1831,122,0.389,124,308,32.1,470,64172,4.13,0,31.8,66.0,65.8,0.389,103,0,120,18781,305,2585,220,85.1,0,19251,117149,270,0,3323,1504,1419,0,201,20.9,0,20.9,378,26.8,262,2372,4.27,0,25.7,40.6,41.5,0,232,0,20.9,10179,440,1286,213
2023-03-16 19:26:00,0,82.2,15332,47606,269,0,11555,4338,4453,0,1881,127,0.389,128,305,33.7,467,64263,4.13,0,31.8,65.7,65.7,0.389,103,39.1,137,28442,508,2585,222,82.2,0,29048,124017,269,0,3354,1423,1409,0,190,21.9,0,22.2,378,28.7,260,2363,4.27,0,25.7,40.3,41,0,232,35.0,23.8,11993,586,1281,215
2023-03-16 19:28:00,0,76.7,15870,48062,269,0,14590,4702,4381,0,1801,144,0,146,305,31.5,468,64208,4.13,0,32.0,66.1,66.1,0,186,0.389,132,18968,306,2584,221,76.7,0,19426,117213,269,0,3279,1486,1395,0,180,24.7,0,25.1,378,20.6,261,2365,4.27,0,26.0,40.6,41.4,0,262,0,22.8,12664,441,1279,215
2023-03-16 19:30:00,0,79.6,13498,46173,270,0,11635,4385,27175,0,1890,133,0,135,309,30.7,469,64252,4.13,0,32.3,66.0,66.5,0,107,0.600,121,19678,306,2587,222,79.6,0,20133,137807,270,0,3357,1443,1948,0,198,22.8,0,22.8,376,19.7,261,2383,4.27,0,26.2,40.6,42.2,0,235,0.600,20.9,10292,439,1283,227
2023-03-16 19:32:00,0,77.8,13943,46756,269,0,14917,4700,27161,0,1883,128,0,129,310,32.1,458,64306,4.13,0,32.0,66.2,65.7,0,105,0.600,121,27879,307,2586,225,77.8,0,28293,150270,270,0,3415,1469,1940,0,192,21.9,0,21.9,376,21.6,256,2384,4.27,0,26.0,40.7,40.6,0,231,0.600,20.9,10755,438,1281,226
2023-03-16 19:34:00,0,82.6,13072,45064,269,0,14587,4707,4393,0,1802,128,0,129,307,32.9,454,64235,4.13,0,31.6,65.9,66.0,0,105,0,126,19685,305,2583,223,82.6,0,20152,117887,269,0,3311,1477,1400,0,175,21.9,0,21.9,378,22.4,253,2388,4.27,0,25.5,40.3,41,0,231,0,21.9,9855,441,1277,223
2023-03-16 19:36:00,0,76.0,16278,48726,270,0,13155,4337,4454,0,1868,128,0,129,304,32.9,468,64264,4.13,0,31.8,66.1,66.6,0,9765,38.2,127,27552,506,2591,218,76.0,0,28169,134775,270,0,3418,1418,1406,0,168,21.8,0,21.8,379,22.5,261,2383,4.27,0,25.7,40.6,42.1,0,291,35.3,21.8,12927,586,1283,211
2023-03-16 19:38:00,0,74.1,17419,50265,269,0,16770,4784,6552,0,1883,128,0,129,304,32.1,468,64272,4.13,0,32.3,65.8,66.4,0,188,37.8,115,18140,504,2586,228,74.1,0,18809,121337,269,0,3516,1519,1533,0,199,21.9,0,21.9,380,21.6,261,2378,4.27,0,26.2,40.7,42.1,0,262,34.9,25.3,14049,587,1283,225
2023-03-16 19:40:00,0,78.5,12954,45054,270,0,11638,4346,4468,0,1896,121,0,123,308,30.7,468,64253,4.13,0,32.3,66.1,65.7,0,106,0,127,19555,305,2582,225,78.5,0,20019,114538,270,0,3391,1433,1416,0,204,20.9,0,25.8,378,19.7,266,2377,4.27,0.389,26.2,40.6,41.4,0,235,0,21.9,9739,441,1277,221
2023-03-16 19:42:00,0,79.6,13044,45204,269,0,14969,4709,4452,0,1866,123,0,124,307,32.9,467,64242,4.60,0,32.3,65.7,66.1,0,103,0.600,137,21162,306,2587,222,79.6,0,21612,119808,269,0,3468,1471,1399,0,168,20.9,0,20.9,377,22.4,261,2368,4.73,0,26.2,40.6,41,0,232,0.600,23.8,9843,440,1286,216
2023-03-16 19:44:00,0,82.6,13554,45635,270,0,14593,4710,4385,0,1806,133,0,135,307,32.1,469,64224,5.22,0,32.3,65.7,65.7,0,104,0,116,19722,303,2585,225,82.6,0,20189,117855,270,0,3315,1465,1414,0,172,22.8,0,22.8,378,22.0,261,2382,4.97,0,26.2,40.3,40.6,0,232,0,20.0,10343,441,1285,225
2023-03-16 19:46:00,0,77.1,15317,47673,270,0,11538,4342,4465,0,1941,117,0,118,307,32.9,469,64272,4.60,0,32.7,65.7,66.4,0,119,38.2,121,26242,506,2583,221,77.1,0,26885,121637,270,0,3361,1411,1405,0,217,24.9,0,20.0,379,22.4,261,2389,4.73,0,26.2,40.3,42.8,0,247,35.3,20.9,11959,588,1277,215
2023-03-16 19:48:00,0,78.2,13983,46352,269,0,15063,4709,4463,0,1873,117,0,118,308,31.5,469,64231,4.13,0,32.7,65.7,66.7,0,185,38.2,126,16917,506,2584,225,78.2,0,17624,115847,269,0,3495,1473,1401,0,182,20.0,0,20.0,377,20.5,262,2386,4.27,0,26.2,40.3,43.1,0,260,35.3,21.9,10598,588,1279,222
2023-03-16 19:50:00,0,73.8,13280,45667,270,0,11144,4345,27117,0,1807,128,0,129,305,31.5,469,64187,4.13,0,32.3,65.7,66.7,0,106,0,137,29037,304,2586,223,73.8,0,29456,147284,270,0,3137,1429,1936,0,180,21.9,0,21.9,379,20.6,261,2356,4.27,0,26.2,40.3,41.7,0,234,0,23.8,10088,440,1283,220
2023-03-16 19:52:00,0,77.1,12652,45485,269,0.389,16755,4791,27213,0,1874,133,0,135,304,32.9,469,64264,4.13,0,32.3,65.8,66.0,0,104,0.600,120,17472,304,2583,223,77.1,0,17931,141160,269,0,3546,1514,1938,0,192,22.8,0,22.8,379,22.5,262,2378,4.27,0,26.2,40.3,41,0.389,232,0.600,20.9,9446,439,1279,223
2023-03-16 19:54:00,0,80.7,14372,46715,269,0.389,14761,4802,4433,0,1820,122,0,124,308,32.9,469,64211,4.13,0,32.3,66.2,66.5,0,102,0,116,19747,304,2585,223,80.7,0,20196,118141,269,0,3379,1534,1440,0,218,20.9,0,20.9,377,22.0,262,2374,4.27,0,26.2,40.6,41.7,0.389,233,0,20.0,11165,442,1281,223
2023-03-16 19:56:00,0,73.8,15216,47582,270,0,11536,4346,4453,0,1872,122,0,124,306,31.5,465,64279,4.13,0,32.3,66.0,66.1,0,103,38.2,126,28869,505,2583,219,73.8,0,29483,124349,270,0,3372,1436,1416,0,191,20.9,0,20.9,380,20.1,259,2375,4.27,0,26.2,41,41.7,0,232,35.3,21.9,11876,588,1279,213
2023-03-16 19:58:00,0,76.7,14110,46719,270,0,15465,4711,4523,0.389,1941,127,0,128,306,30.7,469,64292,4.13,0,32.3,66.0,66.4,0,190,38.2,121,19752,505,2584,224,76.7,0,20438,119612,269,0.389,3681,1475,1415,0,166,21.9,0.389,21.9,379,19.7,261,2366,4.27,0,26.2,40.6,41.4,0,264,35.3,20.9,10735,587,1279,221
2023-03-16 20:00:00,0,80.7,12331,44183,270,0,11150,4347,4397,0,1816,122,0,124,308,32.1,470,64204,4.13,0,32.3,66.1,66.1,0,109,0,126,28327,304,2587,223,80.7,0,28752,123136,270,0,3165,1431,1404,0,192,20.9,0,20.9,376,21.6,262,2363,4.27,0,26.2,40.6,41.7,0,234,0,21.9,9127,440,1283,220
2023-03-16 20:02:00,0,80.7,13991,46311,270,0,14976,4703,4464,0,1874,128,0,129,307,32.9,465,64271,4.13,0,32.3,65.8,65.7,0,103,0.600,132,18904,304,2586,217,80.7,0,19345,117348,270,0,3485,1485,1415,0,193,21.9,0,21.9,378,22.5,259,2373,4.27,0,26.2,40.3,41,0,233,0.600,22.8,10786,440,1283,212
