"Time","Read","Write"
2023-03-17 08:42:00,0,1049395
2023-03-17 08:44:00,0,830623
2023-03-17 08:46:00,0,948133
2023-03-17 08:48:00,0,1069375
2023-03-17 08:50:00,0,710337
2023-03-17 08:52:00,0,1067129
2023-03-17 08:54:00,0,816742
2023-03-17 08:56:00,0,947860
2023-03-17 08:58:00,0,1071241
2023-03-17 09:00:00,0,739055
2023-03-17 09:02:00,0,1406384
2023-03-17 09:04:00,0,1172821
2023-03-17 09:06:00,0,956416
2023-03-17 09:08:00,0,1079433
2023-03-17 09:10:00,0,736188
2023-03-17 09:12:00,0,1062320
2023-03-17 09:14:00,0,831534
2023-03-17 09:16:00,0,955187
2023-03-17 09:18:00,0,1078892
2023-03-17 09:20:00,0,738645
2023-03-17 09:22:00,0,1056358
2023-03-17 09:24:00,0,838315
2023-03-17 09:26:00,0,985998
2023-03-17 09:28:00,0,1072606
2023-03-17 09:30:00,0,706924
2023-03-17 09:32:00,0,1105966
2023-03-17 09:34:00,0,885555
2023-03-17 09:36:00,0,978034
2023-03-17 09:38:00,0,1109379
2023-03-17 09:40:00,0,740147
2023-03-17 09:42:00,0,1093359
2023-03-17 09:44:00,0,869717
2023-03-17 09:46:00,0,960239
2023-03-17 09:48:00,0,1077931
2023-03-17 09:50:00,0,722853
2023-03-17 09:52:00,0,1065006
2023-03-17 09:54:00,0,809415
2023-03-17 09:56:00,0,956052
2023-03-17 09:58:00,0,1073562
2023-03-17 10:00:00,0,732183
2023-03-17 10:02:00,0,2154302
2023-03-17 10:04:00,0,810325
2023-03-17 10:06:00,0,955733
2023-03-17 10:08:00,0,1068510
2023-03-17 10:10:00,0,719670
2023-03-17 10:12:00,637,1035059
2023-03-17 10:14:00,0,828252
2023-03-17 10:16:00,0,964289
2023-03-17 10:18:00,0,1103462
2023-03-17 10:20:00,0,728724
2023-03-17 10:22:00,0,1062684
2023-03-17 10:24:00,0,802452
2023-03-17 10:26:00,0,983222
2023-03-17 10:28:00,0,1075154
2023-03-17 10:30:00,0,691905
2023-03-17 10:32:00,0,1079091
2023-03-17 10:34:00,0,867536
