"Time","Total"
2023-03-17 01:38:00,0.0751
2023-03-17 01:40:00,0.0812
2023-03-17 01:42:00,0.0621
2023-03-17 01:44:00,0.0750
2023-03-17 01:46:00,0.0800
2023-03-17 01:48:00,0.0813
2023-03-17 01:50:00,0.0804
2023-03-17 01:52:00,0.0623
2023-03-17 01:54:00,0.0757
2023-03-17 01:56:00,0.0784
2023-03-17 01:58:00,0.0793
2023-03-17 02:00:00,0.0797
2023-03-17 02:02:00,0.0678
2023-03-17 02:04:00,0.0751
2023-03-17 02:06:00,0.0785
2023-03-17 02:08:00,0.0835
2023-03-17 02:10:00,0.0775
2023-03-17 02:12:00,0.0767
2023-03-17 02:14:00,0.0757
2023-03-17 02:16:00,0.0637
2023-03-17 02:18:00,0.0756
2023-03-17 02:20:00,0.0780
2023-03-17 02:22:00,0.0802
2023-03-17 02:24:00,0.0807
2023-03-17 02:26:00,0.0629
2023-03-17 02:28:00,0.0746
2023-03-17 02:30:00,0.0759
2023-03-17 02:32:00,0.0823
2023-03-17 02:34:00,0.0732
2023-03-17 02:36:00,0.0757
2023-03-17 02:38:00,0.0739
2023-03-17 02:40:00,0.0645
2023-03-17 02:42:00,0.0858
2023-03-17 02:44:00,0.0779
2023-03-17 02:46:00,0.0787
2023-03-17 02:48:00,0.0789
2023-03-17 02:50:00,0.0587
2023-03-17 02:52:00,0.0764
2023-03-17 02:54:00,0.0765
2023-03-17 02:56:00,0.0795
2023-03-17 02:58:00,0.0758
2023-03-17 03:00:00,0.0650
2023-03-17 03:02:00,0.0725
2023-03-17 03:04:00,0.0699
2023-03-17 03:06:00,0.0834
2023-03-17 03:08:00,0.0790
2023-03-17 03:10:00,0.0732
2023-03-17 03:12:00,0.0740
2023-03-17 03:14:00,0.0693
2023-03-17 03:16:00,0.0792
2023-03-17 03:18:00,0.0787
2023-03-17 03:20:00,0.0779
2023-03-17 03:22:00,0.0780
2023-03-17 03:24:00,0.0682
2023-03-17 03:26:00,0.0782
2023-03-17 03:28:00,0.0767
2023-03-17 03:30:00,0.0810
2023-03-17 03:32:00,0.0776
2023-03-17 03:34:00,0.0683
2023-03-17 03:36:00,0.0775
2023-03-17 03:38:00,0.0740
2023-03-17 03:40:00,0.0788
2023-03-17 03:42:00,0.0774
2023-03-17 03:44:00,0.0705
2023-03-17 03:46:00,0.0745
2023-03-17 03:48:00,0.0656
2023-03-17 03:50:00,0.0786
2023-03-17 03:52:00,0.0779
2023-03-17 03:54:00,0.0753
2023-03-17 03:56:00,0.0777
2023-03-17 03:58:00,0.0591
2023-03-17 04:00:00,0.0754
2023-03-17 04:02:00,0.0687
2023-03-17 04:04:00,0.0697
2023-03-17 04:06:00,0.0812
2023-03-17 04:08:00,0.0571
2023-03-17 04:10:00,0.0767
2023-03-17 04:12:00,0.0739
2023-03-17 04:14:00,0.0776
2023-03-17 04:16:00,0.0835
2023-03-17 04:18:00,0.0719
2023-03-17 04:20:00,0.0745
2023-03-17 04:22:00,0.0671
2023-03-17 04:24:00,0.0810
2023-03-17 04:26:00,0.0838
2023-03-17 04:28:00,0.0763
2023-03-17 04:30:00,0.0802
2023-03-17 04:32:00,0.0615
2023-03-17 04:34:00,0.0760
2023-03-17 04:36:00,0.0838
2023-03-17 04:38:00,0.0779
2023-03-17 04:40:00,0.0768
2023-03-17 04:42:00,0.0456
2023-03-17 04:44:00,0.0559
2023-03-17 04:46:00,0.0527
2023-03-17 04:48:00,0.0622
2023-03-17 04:50:00,0.0604
2023-03-17 04:52:00,0.0673
2023-03-17 04:54:00,0.0682
2023-03-17 04:56:00,0.0466
2023-03-17 04:58:00,0.0615
2023-03-17 05:00:00,0.0652
2023-03-17 05:02:00,0.0585
2023-03-17 05:04:00,0.0607
2023-03-17 05:06:00,0.0490
2023-03-17 05:08:00,0.0593
2023-03-17 05:10:00,0.0614
2023-03-17 05:12:00,0.0668
2023-03-17 05:14:00,0.0624
2023-03-17 05:16:00,0.0526
2023-03-17 05:18:00,0.0653
2023-03-17 05:20:00,0.0569
2023-03-17 05:22:00,0.0602
2023-03-17 05:24:00,0.0618
2023-03-17 05:26:00,0.0460
2023-03-17 05:28:00,0.0550
2023-03-17 05:30:00,0.0486
2023-03-17 05:32:00,0.0587
2023-03-17 05:34:00,0.0566
2023-03-17 05:36:00,0.0540
2023-03-17 05:38:00,0.0557
2023-03-17 05:40:00,0.0405
2023-03-17 05:42:00,0.0562
2023-03-17 05:44:00,0.0573
2023-03-17 05:46:00,0.0574
2023-03-17 05:48:00,0.0588
2023-03-17 05:50:00,0.0367
2023-03-17 05:52:00,0.0554
2023-03-17 05:54:00,0.0577
2023-03-17 05:56:00,0.0593
2023-03-17 05:58:00,0.0584
2023-03-17 06:00:00,0.0457
2023-03-17 06:02:00,0.0559
2023-03-17 06:04:00,0.0491
2023-03-17 06:06:00,0.0621
2023-03-17 06:08:00,0.0574
2023-03-17 06:10:00,0.0501
2023-03-17 06:12:00,0.0573
2023-03-17 06:14:00,0.0416
2023-03-17 06:16:00,0.0594
2023-03-17 06:18:00,0.0593
2023-03-17 06:20:00,0.0553
2023-03-17 06:22:00,0.0585
2023-03-17 06:24:00,0.0381
2023-03-17 06:26:00,0.0584
2023-03-17 06:28:00,0.0542
2023-03-17 06:30:00,0.0589
2023-03-17 06:32:00,0.0569
2023-03-17 06:34:00,0.0365
2023-03-17 06:36:00,0.0594
2023-03-17 06:38:00,0.0526
2023-03-17 06:40:00,0.0566
2023-03-17 06:42:00,0.0606
2023-03-17 06:44:00,0.0442
2023-03-17 06:46:00,0.0560
2023-03-17 06:48:00,0.0464
2023-03-17 06:50:00,0.0571
2023-03-17 06:52:00,0.0600
2023-03-17 06:54:00,0.0531
2023-03-17 06:56:00,0.0576
2023-03-17 06:58:00,0.0383
2023-03-17 07:00:00,0.0563
2023-03-17 07:02:00,0.0601
2023-03-17 07:04:00,0.0573
2023-03-17 07:06:00,0.0613
2023-03-17 07:08:00,0.0373
2023-03-17 07:10:00,0.0547
2023-03-17 07:12:00,0.0587
2023-03-17 07:14:00,0.0579
2023-03-17 07:16:00,0.0595
2023-03-17 07:18:00,0.0430
2023-03-17 07:20:00,0.0534
2023-03-17 07:22:00,0.0498
2023-03-17 07:24:00,0.0597
2023-03-17 07:26:00,0.0604
2023-03-17 07:28:00,0.0483
2023-03-17 07:30:00,0.0558
2023-03-17 07:32:00,0.0411
2023-03-17 07:34:00,0.0565
2023-03-17 07:36:00,0.0605
2023-03-17 07:38:00,0.0532
2023-03-17 07:40:00,0.0559
2023-03-17 07:42:00,0.0393
2023-03-17 07:44:00,0.0569
2023-03-17 07:46:00,0.0589
2023-03-17 07:48:00,0.0600
2023-03-17 07:50:00,0.0582
2023-03-17 07:52:00,0.0397
2023-03-17 07:54:00,0.0587
2023-03-17 07:56:00,0.0548
2023-03-17 07:58:00,0.0581
2023-03-17 08:00:00,0.0593
2023-03-17 08:02:00,0.0496
2023-03-17 08:04:00,0.0565
2023-03-17 08:06:00,0.0465
2023-03-17 08:08:00,0.0579
2023-03-17 08:10:00,0.0573
2023-03-17 08:12:00,0.0553
2023-03-17 08:14:00,0.0567
2023-03-17 08:16:00,0.0410
2023-03-17 08:18:00,0.0572
2023-03-17 08:20:00,0.0568
2023-03-17 08:22:00,0.0567
2023-03-17 08:24:00,0.0592
2023-03-17 08:26:00,0.0397
2023-03-17 08:28:00,0.0613
2023-03-17 08:30:00,0.0535
2023-03-17 08:32:00,0.0576
2023-03-17 08:34:00,0.0572
2023-03-17 08:36:00,0.0495
2023-03-17 08:38:00,0.0546
2023-03-17 08:40:00,0.0450
2023-03-17 08:42:00,0.0600
2023-03-17 08:44:00,0.0566
2023-03-17 08:46:00,0.0539
2023-03-17 08:48:00,0.0565
2023-03-17 08:50:00,0.0410
2023-03-17 08:52:00,0.0558
2023-03-17 08:54:00,0.0621
2023-03-17 08:56:00,0.0587
2023-03-17 08:58:00,0.0569
2023-03-17 09:00:00,0.0387
2023-03-17 09:02:00,0.0561
2023-03-17 09:04:00,0.0580
2023-03-17 09:06:00,0.0617
2023-03-17 09:08:00,0.0575
2023-03-17 09:10:00,0.0410
2023-03-17 09:12:00,0.0575
2023-03-17 09:14:00,0.0577
2023-03-17 09:16:00,0.0594
2023-03-17 09:18:00,0.0597
2023-03-17 09:20:00,0.0423
