"Time","Transmit Total","Receive Total"
2023-03-04 20:26:00,437496,317713
2023-03-04 20:28:00,477390,379469
2023-03-04 20:30:00,543026,423953
2023-03-04 20:32:00,432219,312646
2023-03-04 20:34:00,434660,316477
2023-03-04 20:36:00,438384,317556
2023-03-04 20:38:00,504180,382740
2023-03-04 20:40:00,537719,420008
2023-03-04 20:42:00,434821,315606
2023-03-04 20:44:00,438172,321492
2023-03-04 20:46:00,434115,315525
2023-03-04 20:48:00,450556,346086
2023-03-04 20:50:00,541309,421546
2023-03-04 20:52:00,436741,315555
2023-03-04 20:54:00,443502,324601
2023-03-04 20:56:00,454062,325534
2023-03-04 20:58:00,450617,343592
2023-03-04 21:00:00,541053,420632
2023-03-04 21:02:00,431902,310542
2023-03-04 21:04:00,440392,321974
2023-03-04 21:06:00,487679,343204
2023-03-04 21:08:00,492536,357768
2023-03-04 21:10:00,540857,423296
2023-03-04 21:12:00,435195,314762
2023-03-04 21:14:00,437485,321368
2023-03-04 21:16:00,432183,318699
2023-03-04 21:18:00,438032,327411
2023-03-04 21:20:00,548737,425756
2023-03-04 21:22:00,437228,314584
2023-03-04 21:24:00,438846,322272
2023-03-04 21:26:00,431048,313458
2023-03-04 21:28:00,433904,320156
2023-03-04 21:30:00,547491,427781
2023-03-04 21:32:00,450158,326924
2023-03-04 21:34:00,483529,344835
2023-03-04 21:36:00,439062,319230
2023-03-04 21:38:00,434453,322506
2023-03-04 21:40:00,550642,431823
2023-03-04 21:42:00,467813,337654
2023-03-04 21:44:00,436036,317663
2023-03-04 21:46:00,429204,311128
2023-03-04 21:48:00,433717,319522
2023-03-04 21:50:00,554859,432561
2023-03-04 21:52:00,476356,342374
2023-03-04 21:54:00,435264,319264
2023-03-04 21:56:00,454413,326513
2023-03-04 21:58:00,436143,320610
2023-03-04 22:00:00,601387,457536
2023-03-04 22:02:00,525892,365314
2023-03-04 22:04:00,440420,322500
2023-03-04 22:06:00,479353,340823
2023-03-04 22:08:00,430474,316928
2023-03-04 22:10:00,548240,429863
2023-03-04 22:12:00,510291,377912
2023-03-04 22:14:00,433527,318049
2023-03-04 22:16:00,441304,320797
2023-03-04 22:18:00,427833,312781
2023-03-04 22:20:00,546347,426258
2023-03-04 22:22:00,515657,384550
2023-03-04 22:24:00,481416,343383
2023-03-04 22:26:00,443827,322304
2023-03-04 22:28:00,430062,315725
2023-03-04 22:30:00,550086,428136
2023-03-04 22:32:00,522334,393352
2023-03-04 22:34:00,432482,317703
2023-03-04 22:36:00,456787,330447
2023-03-04 22:38:00,432089,318681
2023-03-04 22:40:00,547355,429342
2023-03-04 22:42:00,527765,404649
2023-03-04 22:44:00,428997,314456
2023-03-04 22:46:00,507703,356574
2023-03-04 22:48:00,471212,323941
2023-03-04 22:50:00,539315,421120
2023-03-04 22:52:00,536220,415355
2023-03-04 22:54:00,431273,317069
2023-03-04 22:56:00,445116,323827
2023-03-04 22:58:00,429873,315876
2023-03-04 23:00:00,520892,409456
2023-03-04 23:02:00,595640,450863
2023-03-04 23:04:00,458903,318616
2023-03-04 23:06:00,453263,328349
2023-03-04 23:08:00,433489,319285
2023-03-04 23:10:00,507597,401648
2023-03-04 23:12:00,541240,422276
2023-03-04 23:14:00,428008,314556
2023-03-04 23:16:00,441225,321039
2023-03-04 23:18:00,429464,315833
2023-03-04 23:20:00,501310,394009
2023-03-04 23:22:00,546923,422075
2023-03-04 23:24:00,450879,338326
2023-03-04 23:26:00,486925,344654
2023-03-04 23:28:00,433637,317740
2023-03-04 23:30:00,477424,376809
2023-03-04 23:32:00,545425,422939
2023-03-04 23:34:00,428979,315094
2023-03-04 23:36:00,449635,326699
2023-03-04 23:38:00,455766,330232
2023-03-04 23:40:00,459831,358905
2023-03-04 23:42:00,540679,420780
2023-03-04 23:44:00,431171,314796
2023-03-04 23:46:00,442353,321205
2023-03-04 23:48:00,486352,345788
2023-03-04 23:50:00,477840,347145
2023-03-04 23:52:00,544555,421760
2023-03-04 23:54:00,431379,316199
2023-03-04 23:56:00,438125,319271
2023-03-04 23:58:00,437554,323150
2023-03-05 00:00:00,448420,341413
2023-03-05 00:02:00,539294,418035
2023-03-05 00:04:00,434638,320141
2023-03-05 00:06:00,447778,324664
2023-03-05 00:08:00,453377,336621
2023-03-05 00:10:00,506405,361982
2023-03-05 00:12:00,588386,444179
2023-03-05 00:14:00,430298,314834
2023-03-05 00:16:00,434440,317513
2023-03-05 00:18:00,439913,323802
2023-03-05 00:20:00,436710,319142
2023-03-05 00:22:00,537395,415432
2023-03-05 00:24:00,439127,321587
2023-03-05 00:26:00,435760,316761
2023-03-05 00:28:00,435839,321425
2023-03-05 00:30:00,436430,319221
2023-03-05 00:32:00,534174,415098
