"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc365bec88272f)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxce90b7b3404f6)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc365bec88272f)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxce90b7b3404f6)","Receive Total (lxcfc36a1177bf4)"
2023-03-23 03:40:00,0,86.2,14937,62917,270,0,9965,4323,27176,0,1159,1870,123,0,124,307,30.7,130,72700,4.76,0,31.8,66.1,65.7,0.389,106,0.600,452,19747,306,2585,1212,220,86.2,0,20194,151759,270,0,1901,1420,1905,0,656,205,29.0,0,29.0,376,19.7,30.3,2679,4.50,0,25.7,41,40.6,0.389,235,0.989,256,11194,440,1281,708,221
2023-03-23 03:42:00,0,84.8,14292,63756,270,0,9699,4696,27105,0,1171,1796,122,0,129,306,30.7,130,72677,4.13,0,32.3,65.7,65.3,0,9764,0,436,20950,311,2583,1223,225,84.8,0,21390,162536,270,0,1830,1485,1891,0,663,184,29.0,0,30.3,379,19.7,30.3,2670,4.27,0,26.2,40.6,41,0,288,0,247,10548,435,1279,714,221
2023-03-23 03:44:00,0,88.8,16703,66409,270,0,10202,4312,4499,0,1158,1931,122,0,124,304,34.7,118,72733,4.13,0,32.3,65.7,65.7,0,9765,37.6,438,29335,510,2583,1211,225,88.8,0,29965,149749,270,0.389,1878,1413,1411,0,656,184,29.4,0,29.0,380,29.5,27.7,2655,4.27,0,26.2,40.3,41.4,0,286,34.7,247,12813,582,1279,709,221
2023-03-23 03:46:00,0,87.0,16168,63909,270,0.389,9920,4672,4432,0,1160,1904,128,0,124,308,31.1,136,72653,4.60,0,31.8,66.1,66.0,0,118,0,451,20990,306,2585,1212,222,87.0,0,21448,129820,270,0.389,1842,1463,1402,0,664,216,30.7,0.389,29.0,377,19.7,31.6,2659,4.73,0,25.7,40.6,42.1,0,247,0,256,12415,439,1286,714,217
2023-03-23 03:48:00,0,82.2,15058,64247,270,0.389,9755,4683,4365,0,1171,1790,128,0,123,307,30.7,135,72634,4.83,0,31.6,65.7,65.7,0,189,0.600,445,28937,310,2584,1224,219,82.2,0,29363,137879,270,0,1831,1474,1401,0,669,198,30.3,0.389,29.0,376,19.7,31.6,2667,4.97,0.389,25.5,40.3,41.4,0,264,0.600,249,11312,437,1279,719,213
2023-03-23 03:50:00,0,84.4,13506,61277,270,0,9914,4312,4430,0,1158,1855,117,0,118,306,32.2,130,72676,4.60,0,31.6,65.7,65.7,0,109,0.600,447,18796,307,2585,1211,227,84.4,0,19246,136323,270,0,1856,1413,1404,0,656,183,27.7,0,27.7,377,26.3,30.3,2650,4.73,0.389,25.5,40.3,41,0,233,0.600,251,9755,439,1280,707,230
2023-03-23 03:52:00,0,84.4,14952,63938,271,0,9555,4761,4319,0,1170,1726,121,0,117,307,35.0,130,72551,4.13,0,31.6,65.8,65.7,0,105,0,451,25653,306,2585,1225,223,84.4,0,26079,134189,270,0,1793,1499,1390,0,663,192,29.0,0,27.7,376,30.2,30.3,2647,4.27,0,25.5,40.3,41,0,231,0,262,11218,439,1281,713,218
2023-03-23 03:54:00,0,82.2,15067,64419,270,0,10251,4394,4529,0,1172,1952,122,0,124,307,33.5,124,72746,4.13,0,31.6,65.7,65.8,0,105,38.0,448,17713,509,2584,1226,216,82.2,0,18377,127038,270,0,1885,1442,1409,0,664,193,29.0,0,29.0,378,23.5,29.0,2661,4.27,0,25.5,40.3,41.7,0,232,35.0,252,11149,583,1279,715,209
2023-03-23 03:56:00,0,80,16017,63736,269,0,9917,4732,4480,0,1160,1891,127,0,129,308,30.7,130,72682,4.13,0,32.0,65.8,65.7,0,103,0,444,20994,312,2601,1209,222,80,0,21430,130358,268,0,1818,1496,1427,0,657,197,30.3,0,30.3,376,19.7,35.2,2662,4.27,0,26.0,40.3,41,0,233,0,248,12273,434,1285,707,216
2023-03-23 03:58:00,0,81.1,15249,64523,269,0,10650,4701,4376,0,1170,1812,122,0,129,305,32.3,130,72628,4.13,0,32.3,65.8,65.7,0,185,0.600,448,30761,307,2586,1225,228,81.1,0,31186,141574,268,0,1936,1494,1425,0,663,219,29.0,0,30.3,379,21.4,35.2,2679,4.27,0,26.2,40.3,40.3,0,261,0.600,253,11516,437,1282,715,229
