"Time","DROPPED","FORWARDED"
2023-03-21 02:36:00,0,93.5
2023-03-21 02:38:00,0.0200,88.6
2023-03-21 02:40:00,0,167
2023-03-21 02:42:00,0,91.0
2023-03-21 02:44:00,0,89.5
2023-03-21 02:46:00,0,93.3
2023-03-21 02:48:00,0.0400,88.0
2023-03-21 02:50:00,0.0400,216
2023-03-21 02:52:00,0,93.1
2023-03-21 02:54:00,0.0600,89.7
2023-03-21 02:56:00,0.0200,94.2
2023-03-21 02:58:00,0.0600,90.1
2023-03-21 03:00:00,0.0400,140
2023-03-21 03:02:00,0.0800,91.8
2023-03-21 03:04:00,0,90.7
2023-03-21 03:06:00,0,93.8
2023-03-21 03:08:00,0,89.6
2023-03-21 03:10:00,0,88.4
2023-03-21 03:12:00,0,93.4
2023-03-21 03:14:00,0,89.4
2023-03-21 03:16:00,0.0200,94.0
2023-03-21 03:18:00,0.0200,90.2
2023-03-21 03:20:00,0.0600,88.4
2023-03-21 03:22:00,0.0800,104
2023-03-21 03:24:00,0.0600,88.3
2023-03-21 03:26:00,0.0200,95.2
2023-03-21 03:28:00,0,92.1
2023-03-21 03:30:00,0,90.5
2023-03-21 03:32:00,0,185
2023-03-21 03:34:00,0.0200,89.9
2023-03-21 03:36:00,0.0200,94.5
2023-03-21 03:38:00,0.0600,90.8
2023-03-21 03:40:00,0.0200,88.5
2023-03-21 03:42:00,0.0200,211
2023-03-21 03:44:00,0.0400,89.4
2023-03-21 03:46:00,0.0400,94.4
2023-03-21 03:48:00,0.100,89.8
2023-03-21 03:50:00,0,89.2
2023-03-21 03:52:00,0,130
2023-03-21 03:54:00,0,88.8
2023-03-21 03:56:00,0,94.9
2023-03-21 03:58:00,0.0800,90.2
2023-03-21 04:00:00,0.0200,89.2
2023-03-21 04:02:00,0,92.0
2023-03-21 04:04:00,0.0200,264
2023-03-21 04:06:00,0,94.5
2023-03-21 04:08:00,0.0600,90.0
2023-03-21 04:10:00,0.0600,89.3
2023-03-21 04:12:00,0.0200,90.7
2023-03-21 04:14:00,0.0200,89.9
2023-03-21 04:16:00,0,174
2023-03-21 04:18:00,0,88.0
2023-03-21 04:20:00,0,89.2
2023-03-21 04:22:00,0.0600,91.0
2023-03-21 04:24:00,0,89.3
2023-03-21 04:26:00,0.0200,226
2023-03-21 04:28:00,0.0400,88.0
2023-03-21 04:30:00,0.0400,90.2
2023-03-21 04:32:00,0.0600,88.7
2023-03-21 04:34:00,0.0200,88.7
2023-03-21 04:36:00,0.0400,152
2023-03-21 04:38:00,0.0200,88.0
2023-03-21 04:40:00,0,89.6
2023-03-21 04:42:00,0,88.7
2023-03-21 04:44:00,0,89.1
2023-03-21 04:46:00,0,95.1
2023-03-21 04:48:00,0.0200,90.4
2023-03-21 04:50:00,0.0200,91.0
2023-03-21 04:52:00,0.0400,90.3
2023-03-21 04:54:00,0.0200,92.0
2023-03-21 04:56:00,0.0600,94.6
2023-03-21 04:58:00,0.0800,89.6
2023-03-21 05:00:00,0.0400,90.7
2023-03-21 05:02:00,0,89.5
2023-03-21 05:04:00,0,89.8
2023-03-21 05:06:00,0,94.4
2023-03-21 05:08:00,0,160
2023-03-21 05:10:00,0.0200,89.8
2023-03-21 05:12:00,0,89.5
2023-03-21 05:14:00,0.0200,89.0
2023-03-21 05:16:00,0.0200,92.7
2023-03-21 05:18:00,0.0800,218
2023-03-21 05:20:00,0.0400,89.8
2023-03-21 05:22:00,0.0200,89.6
2023-03-21 05:24:00,0.0400,89.1
2023-03-21 05:26:00,0,93.1
2023-03-21 05:28:00,0,167
2023-03-21 05:30:00,0,90.6
2023-03-21 05:32:00,0,88.9
2023-03-21 05:34:00,0,88.7
2023-03-21 05:36:00,0.0600,94.6
2023-03-21 05:38:00,0.0200,94.1
2023-03-21 05:40:00,0.0200,89.1
2023-03-21 05:42:00,0.0200,89.6
2023-03-21 05:44:00,0.0200,89.1
2023-03-21 05:46:00,0.0200,94.3
2023-03-21 05:48:00,0.0400,89.5
2023-03-21 05:50:00,0,89.6
2023-03-21 05:52:00,0,91.4
2023-03-21 05:54:00,0,89.1
2023-03-21 05:56:00,0.0200,92.8
2023-03-21 05:58:00,0.0400,88.9
2023-03-21 06:00:00,0.0200,133
2023-03-21 06:02:00,0.0600,90.5
2023-03-21 06:04:00,0.0400,88.6
2023-03-21 06:06:00,0.0200,107
2023-03-21 06:08:00,0,90.1
2023-03-21 06:10:00,0,210
2023-03-21 06:12:00,0.0600,89.8
2023-03-21 06:14:00,0,88.5
2023-03-21 06:16:00,0,94.3
2023-03-21 06:18:00,0,88.8
2023-03-21 06:20:00,0.0200,196
2023-03-21 06:22:00,0.0600,91.0
2023-03-21 06:24:00,0.0200,89.4
2023-03-21 06:26:00,0.0200,95.2
2023-03-21 06:28:00,0.0800,88.8
2023-03-21 06:30:00,0,112
2023-03-21 06:32:00,0,89.6
2023-03-21 06:34:00,0.0200,87.5
2023-03-21 06:36:00,0.0400,95.0
2023-03-21 06:38:00,0,88.8
2023-03-21 06:40:00,0,90.5
2023-03-21 06:42:00,0,92.8
2023-03-21 06:44:00,0,89.0
2023-03-21 06:46:00,0.0200,96.6
2023-03-21 06:48:00,0,88.8
2023-03-21 06:50:00,0.0400,90.0
2023-03-21 06:52:00,0.0600,112
2023-03-21 06:54:00,0.0600,88.8
2023-03-21 06:56:00,0.0400,94.6
2023-03-21 06:58:00,0.0600,88.0
2023-03-21 07:00:00,0.0400,90.3
2023-03-21 07:02:00,0,193
2023-03-21 07:04:00,0,89.0
2023-03-21 07:06:00,0,94.3
2023-03-21 07:08:00,0.0200,88.2
2023-03-21 07:10:00,0,89.3
2023-03-21 07:12:00,0.0200,220
2023-03-21 07:14:00,0.0400,88.5
2023-03-21 07:16:00,0.0400,93.5
2023-03-21 07:18:00,0.0800,88.8
2023-03-21 07:20:00,0.0600,90.1
2023-03-21 07:22:00,0,141
2023-03-21 07:24:00,0,89.6
2023-03-21 07:26:00,0,93.9
2023-03-21 07:28:00,0,89.4
2023-03-21 07:30:00,0,87.7
2023-03-21 07:32:00,0.0200,89.7
2023-03-21 07:34:00,0.0200,89.1
2023-03-21 07:36:00,0,95.7
2023-03-21 07:38:00,0.0200,90.4
2023-03-21 07:40:00,0.0600,90.4
2023-03-21 07:42:00,0.0600,90.3
2023-03-21 07:44:00,0.0200,90.5
2023-03-21 07:46:00,0.0200,95.6
2023-03-21 07:48:00,0,89.9
2023-03-21 07:50:00,0,89.8
2023-03-21 07:52:00,0,89.9
2023-03-21 07:54:00,0,161
2023-03-21 07:56:00,0.0200,94.4
2023-03-21 07:58:00,0.0200,90.4
2023-03-21 08:00:00,0,89.0
2023-03-21 08:02:00,0.0800,89.9
2023-03-21 08:04:00,0.0200,221
2023-03-21 08:06:00,0.0200,93.6
2023-03-21 08:08:00,0.0200,89.9
2023-03-21 08:10:00,0.100,87.8
2023-03-21 08:12:00,0,90.4
2023-03-21 08:14:00,0,168
2023-03-21 08:16:00,0,93.9
2023-03-21 08:18:00,0.0200,91.1
2023-03-21 08:20:00,0.0200,88.3
2023-03-21 08:22:00,0.0200,90.2
2023-03-21 08:24:00,0.0600,95.0
2023-03-21 08:26:00,0.100,91.9
2023-03-21 08:28:00,0.0800,89.4
2023-03-21 08:30:00,0.0200,87.5
2023-03-21 08:32:00,0.0400,89.5
2023-03-21 08:34:00,0,90.9
2023-03-21 08:36:00,0,93.7
2023-03-21 08:38:00,0,90.8
2023-03-21 08:40:00,0,88.9
2023-03-21 08:42:00,0.0200,92.2
2023-03-21 08:44:00,0,91.2
2023-03-21 08:46:00,0.0400,138
2023-03-21 08:48:00,0.0200,88.8
2023-03-21 08:50:00,0.0400,88.0
2023-03-21 08:52:00,0.0200,89.8
2023-03-21 08:54:00,0.0200,88.9
2023-03-21 08:56:00,0.0400,268
2023-03-21 08:58:00,0.0200,256
2023-03-21 09:00:00,0,87.3
2023-03-21 09:02:00,0,89.5
2023-03-21 09:04:00,0,89.8
2023-03-21 09:06:00,0,93.8
2023-03-21 09:08:00,0,155
2023-03-21 09:10:00,0.0400,89.3
2023-03-21 09:12:00,0.0200,90.0
2023-03-21 09:14:00,0,87.9
2023-03-21 09:16:00,0.0400,93.1
2023-03-21 09:18:00,0.0400,89.7
2023-03-21 09:20:00,0.0400,88.9
2023-03-21 09:22:00,0,89.9
2023-03-21 09:24:00,0,87.2
2023-03-21 09:26:00,0,94.5
2023-03-21 09:28:00,0,88.7
2023-03-21 09:30:00,0,90.1
2023-03-21 09:32:00,0,88.6
2023-03-21 09:34:00,0,88.4
2023-03-21 09:36:00,0.0800,94.1
2023-03-21 09:38:00,0,88.2
2023-03-21 09:40:00,0,140
2023-03-21 09:42:00,0.0600,89.0
2023-03-21 09:44:00,0.0400,87.3
2023-03-21 09:46:00,0.0800,93.1
2023-03-21 09:48:00,0,88.7
2023-03-21 09:50:00,0,214
2023-03-21 09:52:00,0,89.8
2023-03-21 09:54:00,0,87.7
2023-03-21 09:56:00,0.0400,94.4
2023-03-21 09:58:00,0.0400,87.4
