"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","8765/TCP","9093/TCP","9443/TCP"
2023-03-20 16:00:00,3.32,,,6.08,9.22,3.38,2.52,1.94,86.0,5.22,,1.72,1.68
2023-03-20 16:02:00,3.42,1.62,,6.28,8.84,3.14,2.50,2.08,,5.18,,1.78,1.76
2023-03-20 16:04:00,3.40,,,6.56,8.84,3.22,2.56,1.90,,5.24,1.60,1.74,1.68
2023-03-20 16:06:00,3.58,1.88,2.08,6.56,9.16,3.30,2.52,2.12,,5.20,,1.70,
2023-03-20 16:08:00,3.30,1.66,,6.28,9.14,3.26,2.52,2.18,,5.20,,1.72,1.68
2023-03-20 16:10:00,3.38,,,6.30,8.98,3.34,2.50,2.16,18.2,5.26,,1.70,1.68
2023-03-20 16:12:00,3.24,1.62,,6,8.54,3.32,2.48,2.06,,5.18,,1.80,1.68
2023-03-20 16:14:00,3.44,,,6.42,9.18,3.26,2.50,2.14,,5.16,1.60,1.74,1.70
2023-03-20 16:16:00,3.56,1.88,2.02,6.40,8.90,3.36,2.54,2.12,,5.14,,1.88,
2023-03-20 16:18:00,3.32,,,6,8.72,3.22,2.52,2.06,,5.14,1.64,1.74,1.66
2023-03-20 16:20:00,3.30,,,6.18,8.42,3.34,2.54,2.08,,5.20,1.62,1.70,1.68
2023-03-20 16:22:00,3.46,1.62,,6.32,8.80,3.36,2.54,2.08,,5.16,,1.78,1.66
2023-03-20 16:24:00,3.40,,,6.14,8.74,3.24,2.58,2.06,,5.20,1.60,1.72,1.66
2023-03-20 16:26:00,3.44,1.88,1.76,6.24,9.26,3.30,2.52,2.02,,5.22,,,1.68
2023-03-20 16:28:00,3.30,,,6.16,9.10,3.36,2.52,1.94,,5.18,1.60,1.72,1.68
2023-03-20 16:30:00,3.30,,,6.10,8.94,3.18,2.54,2.10,,5.22,1.60,1.78,1.68
2023-03-20 16:32:00,3.34,,1.88,6.06,16.1,3.16,2.50,2.10,25.5,5.26,,1.78,
2023-03-20 16:34:00,3.38,,,6.32,9.06,3.28,2.56,2.10,,5.18,1.62,1.70,1.68
2023-03-20 16:36:00,3.48,1.88,1.96,6.50,9.16,3.12,2.56,2.06,,5.12,,1.76,
2023-03-20 16:38:00,3.16,1.58,,6.18,8.88,3.16,2.48,1.92,,5.18,,1.72,1.66
2023-03-20 16:40:00,3.22,,,6.24,9.18,3.08,2.56,2.06,,5.18,1.66,1.82,1.70
2023-03-20 16:42:00,3.52,,,6.08,9.14,3.12,2.54,2.10,85.3,5.24,,1.80,1.68
2023-03-20 16:44:00,3.42,,,6.12,16,3.42,2.60,2.14,7.42,5.20,,1.78,1.68
2023-03-20 16:46:00,3.58,2.06,2.22,6.48,8.88,3.34,2.56,2.10,,5.22,,1.80,
2023-03-20 16:48:00,3.38,,,6.30,8.90,3.14,2.52,2.12,,5.18,1.60,1.62,1.68
2023-03-20 16:50:00,3.40,,,6.58,8.94,3.28,2.54,2.14,,5.16,1.62,1.72,1.66
2023-03-20 16:52:00,3.50,,,6.32,9.16,3.22,2.48,1.96,,5.20,1.66,1.64,1.68
2023-03-20 16:54:00,3.40,,,6.04,15.8,3.50,2.56,2.08,99.3,5.22,,1.78,1.68
2023-03-20 16:56:00,3.66,1.88,1.78,6.36,8.92,3.28,2.52,2.04,,5.22,,,1.68
2023-03-20 16:58:00,3.48,1.58,,6.26,9,3.30,2.56,2.18,,5.18,,1.70,1.68
2023-03-20 17:00:00,3.34,,,6.28,8.50,3.22,2.52,2.06,,5.16,1.66,1.72,1.68
2023-03-20 17:02:00,3.48,,,6.34,9.02,3.20,2.52,2,,5.14,1.64,1.66,1.68
2023-03-20 17:04:00,3.36,,,6.18,8.74,3.34,2.54,2.10,41.1,5.16,,1.68,1.68
2023-03-20 17:06:00,3.58,1.88,2.22,6.44,8.70,3.32,2.54,2.14,,5.10,,1.70,
2023-03-20 17:08:00,3.24,1.66,,6.28,8.98,3.28,2.56,2.08,,5.20,,1.70,1.68
2023-03-20 17:10:00,3.30,,,6.38,8.74,3.30,2.56,2.10,,5.18,1.62,1.68,1.68
2023-03-20 17:12:00,3.32,1.62,,6.04,8.32,3.08,2.56,2.10,,5.12,,1.64,1.74
2023-03-20 17:14:00,3.32,,,6.22,8.42,3.14,2.58,2.04,,5.12,1.60,1.62,1.66
2023-03-20 17:16:00,3.46,1.88,1.86,6.32,8.98,3.22,2.44,2.08,,5.04,,,1.68
2023-03-20 17:18:00,3.30,,,6.08,8.46,3.28,2.48,2.06,,5.12,1.60,1.66,1.68
2023-03-20 17:20:00,3.40,,,6.50,8.66,3.32,2.56,2.02,,5.10,1.62,1.72,1.80
2023-03-20 17:22:00,3.44,1.62,,6.32,9.40,3.26,2.50,2.14,,5.16,,1.76,1.68
2023-03-20 17:24:00,3.48,,,6.18,9.28,3.34,2.58,2.08,,5.18,1.62,1.70,1.68
2023-03-20 17:26:00,3.54,1.88,3.26,6.44,14.5,3.20,2.54,2.12,4.70,5.24,,,
2023-03-20 17:28:00,3.36,,,6.10,9.14,3.34,2.50,2.08,,5.22,1.60,1.72,1.68
2023-03-20 17:30:00,3.40,,,6.04,9.06,3.22,2.60,2.22,,5.24,1.60,1.66,1.68
2023-03-20 17:32:00,3.40,1.62,,6.24,9.10,3.26,2.52,2.16,,5.20,,1.74,1.68
2023-03-20 17:34:00,3.48,,,6.14,9.22,3.22,2.52,2.02,,5.18,1.68,1.76,1.68
2023-03-20 17:36:00,3.46,1.88,3.24,7,16.2,3.24,2.46,2.04,70.9,5.20,,,
2023-03-20 17:38:00,3.40,,,6.20,9.04,3.12,2.56,2.16,,5.18,1.64,1.72,1.68
2023-03-20 17:40:00,3.46,,,6.18,9.24,3.30,2.54,2.08,,5.20,1.64,1.76,1.68
2023-03-20 17:42:00,3.46,1.62,,6.10,9.04,3.22,2.62,2.02,,5.18,,1.70,1.68
2023-03-20 17:44:00,3.40,1.58,,6.24,9.06,3.28,2.50,1.98,,5.18,,1.74,1.68
2023-03-20 17:46:00,3.44,2.06,2.20,6.44,12.5,3.32,2.60,2.10,94.3,5.20,,,
2023-03-20 17:48:00,3.30,,,5.94,9.14,3.22,2.50,1.92,,5.22,1.64,1.74,1.66
2023-03-20 17:50:00,3.26,,,6.18,8.84,3.20,2.52,2.08,,5.16,1.58,1.80,1.68
2023-03-20 17:52:00,3.30,1.62,,6,9.02,3.16,2.60,2.10,,5.22,,1.66,1.66
2023-03-20 17:54:00,3.32,,,6.16,9.04,3.18,2.46,2.06,,5.16,1.62,1.74,1.68
2023-03-20 17:56:00,3.32,1.88,2.14,6.66,8.68,3.22,2.48,2.12,31.4,5.18,,,
2023-03-20 17:58:00,3.38,,,6.06,8.96,3.36,2.46,2.08,,5.20,1.66,1.74,1.68
2023-03-20 18:00:00,3.40,,,6.16,8.60,3.30,2.52,2.10,,5.14,1.62,1.76,1.68
2023-03-20 18:02:00,3.40,1.64,,6.04,9.16,3.24,2.58,2.10,,5.10,,1.74,1.76
2023-03-20 18:04:00,3.36,,,6.16,9.06,3.28,2.50,2.18,,5.26,1.58,1.70,1.68
2023-03-20 18:06:00,3.46,1.88,2.20,6.58,8.94,3.26,2.54,2.04,,5.14,,,1.70
2023-03-20 18:08:00,3.38,1.66,,6.36,9.10,3.30,2.54,2.04,,5.20,1.68,1.78,
2023-03-20 18:10:00,3.28,,,6.12,8.66,3.22,2.52,2.06,,5.22,1.58,1.68,1.68
2023-03-20 18:12:00,3.48,,,6.56,8.50,3.22,2.52,2.10,,5.16,1.64,1.72,1.68
2023-03-20 18:14:00,3.32,,,6.20,8.96,3.20,2.54,2.02,,5.20,1.60,1.62,1.68
2023-03-20 18:16:00,3.58,1.88,1.86,6.56,8.78,3.26,2.56,2.08,,5.12,,1.78,
2023-03-20 18:18:00,3.22,,,6.24,15.8,3.30,2.52,2.12,15.4,5.16,,1.70,1.68
2023-03-20 18:20:00,3.22,,,6.36,9.28,3.18,2.48,2.10,,5.22,1.60,1.78,1.66
2023-03-20 18:22:00,3.46,,,6.38,9.02,3.08,2.50,2.06,,5.14,1.64,1.72,1.68
2023-03-20 18:24:00,3.22,,,6.06,8.86,3.22,2.64,1.98,,5.24,1.64,1.72,1.68
2023-03-20 18:26:00,3.48,1.88,1.76,6.40,9.06,3.22,2.52,2.06,,5.20,,1.74,
2023-03-20 18:28:00,3.38,,,6.08,15.9,3.38,2.48,2.04,84.5,5.16,,1.66,1.68
2023-03-20 18:30:00,3.44,,,6.12,8.88,3.22,2.48,1.98,,5.16,1.60,1.64,1.68
2023-03-20 18:32:00,3.36,1.62,,6.58,9.10,3.24,2.50,2,,5.20,,1.76,1.72
2023-03-20 18:34:00,3,,,5.96,9.02,3.02,2.54,2,,5.20,1.60,1.66,1.68
2023-03-20 18:36:00,3.48,1.88,1.82,6.52,8.74,3.22,2.52,2.12,,5.14,,,1.68
2023-03-20 18:38:00,3.32,,,6.12,8.96,3.40,2.48,2.12,86.9,5.14,,1.70,1.68
2023-03-20 18:40:00,3.40,,,5.98,8.56,3.38,2.58,2.06,,5.18,1.58,1.72,1.68
2023-03-20 18:42:00,3.46,,,6.58,8.50,3.26,2.54,2.06,,5.24,1.66,1.70,1.68
2023-03-20 18:44:00,3.36,,,6.30,8.76,3.40,2.48,2.02,,5.26,1.60,1.72,1.68
