"Time","avg","min","max"
2023-03-04 21:26:00,98.0,98.0,98.0
2023-03-04 21:28:00,100,100,100
2023-03-04 21:30:00,98.8,98.8,98.8
2023-03-04 21:32:00,101,101,101
2023-03-04 21:34:00,100,100,100
2023-03-04 21:36:00,99.0,99.0,99.0
2023-03-04 21:38:00,102,102,102
2023-03-04 21:40:00,97.9,97.9,97.9
2023-03-04 21:42:00,99.6,99.6,99.6
2023-03-04 21:44:00,103,103,103
2023-03-04 21:46:00,97.4,97.4,97.4
2023-03-04 21:48:00,102,102,102
2023-03-04 21:50:00,99.6,99.6,99.6
2023-03-04 21:52:00,96.6,96.6,96.6
2023-03-04 21:54:00,103,103,103
2023-03-04 21:56:00,98.8,98.8,98.8
2023-03-04 21:58:00,101,101,101
2023-03-04 22:00:00,97.4,97.4,97.4
2023-03-04 22:02:00,98.7,98.7,98.7
2023-03-04 22:04:00,102,102,102
2023-03-04 22:06:00,97.1,97.1,97.1
2023-03-04 22:08:00,102,102,102
2023-03-04 22:10:00,102,102,102
2023-03-04 22:12:00,100,100,100
2023-03-04 22:14:00,101,101,101
2023-03-04 22:16:00,96.7,96.7,96.7
2023-03-04 22:18:00,101,101,101
2023-03-04 22:20:00,126,126,126
2023-03-04 22:22:00,96.6,96.6,96.6
2023-03-04 22:24:00,101,101,101
2023-03-04 22:26:00,96.2,96.2,96.2
2023-03-04 22:28:00,96.8,96.8,96.8
2023-03-04 22:30:00,144,144,144
2023-03-04 22:32:00,96.6,96.6,96.6
2023-03-04 22:34:00,100,100,100
2023-03-04 22:36:00,100,100,100
2023-03-04 22:38:00,102,102,102
2023-03-04 22:40:00,170,170,170
2023-03-04 22:42:00,102,102,102
2023-03-04 22:44:00,104,104,104
2023-03-04 22:46:00,98.5,98.5,98.5
2023-03-04 22:48:00,102,102,102
2023-03-04 22:50:00,191,191,191
2023-03-04 22:52:00,99.8,99.8,99.8
2023-03-04 22:54:00,105,105,105
2023-03-04 22:56:00,97.7,97.7,97.7
2023-03-04 22:58:00,101,101,101
2023-03-04 23:00:00,211,211,211
2023-03-04 23:02:00,99.6,99.6,99.6
2023-03-04 23:04:00,103,103,103
2023-03-04 23:06:00,99.2,99.2,99.2
2023-03-04 23:08:00,102,102,102
2023-03-04 23:10:00,228,228,228
2023-03-04 23:12:00,102,102,102
2023-03-04 23:14:00,103,103,103
2023-03-04 23:16:00,98.2,98.2,98.2
2023-03-04 23:18:00,101,101,101
2023-03-04 23:20:00,227,227,227
2023-03-04 23:22:00,99.5,99.5,99.5
2023-03-04 23:24:00,103,103,103
2023-03-04 23:26:00,97.4,97.4,97.4
2023-03-04 23:28:00,101,101,101
2023-03-04 23:30:00,216,216,216
2023-03-04 23:32:00,98.0,98.0,98.0
2023-03-04 23:34:00,102,102,102
2023-03-04 23:36:00,98.7,98.7,98.7
2023-03-04 23:38:00,98.5,98.5,98.5
2023-03-04 23:40:00,193,193,193
2023-03-04 23:42:00,98.2,98.2,98.2
2023-03-04 23:44:00,101,101,101
2023-03-04 23:46:00,96.0,96.0,96.0
2023-03-04 23:48:00,100,100,100
2023-03-04 23:50:00,169,169,169
2023-03-04 23:52:00,98.0,98.0,98.0
2023-03-04 23:54:00,101,101,101
2023-03-04 23:56:00,97.5,97.5,97.5
2023-03-04 23:58:00,101,101,101
2023-03-05 00:00:00,148,148,148
2023-03-05 00:02:00,96.1,96.1,96.1
2023-03-05 00:04:00,103,103,103
2023-03-05 00:06:00,98.5,98.5,98.5
2023-03-05 00:08:00,100,100,100
2023-03-05 00:10:00,126,126,126
2023-03-05 00:12:00,102,102,102
2023-03-05 00:14:00,101,101,101
2023-03-05 00:16:00,97.1,97.1,97.1
2023-03-05 00:18:00,101,101,101
2023-03-05 00:20:00,110,110,110
2023-03-05 00:22:00,101,101,101
2023-03-05 00:24:00,105,105,105
2023-03-05 00:26:00,101,101,101
2023-03-05 00:28:00,107,107,107
2023-03-05 00:30:00,101,101,101
2023-03-05 00:32:00,101,101,101
2023-03-05 00:34:00,106,106,106
2023-03-05 00:36:00,103,103,103
2023-03-05 00:38:00,104,104,104
2023-03-05 00:40:00,98.9,98.9,98.9
2023-03-05 00:42:00,99.5,99.5,99.5
