"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc29fde128c3be)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc29fde128c3be)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-13 12:40:00,0,88.8,13666,47146,268,0,11129,4339,4384,0,148,1805,128,0,129,306,32.9,468,67262,4.13,0,32.0,65.7,66.1,0,105,0.600,126,28511,303,2586,220,88.8,0,28954,126500,268,0,3199,1426,1430,0,76.2,210,21.9,0,21.9,377,22.4,261,2507,4.27,0,26.0,40.6,41.7,0,236,0.600,22.2,10272,440,1279,220
2023-03-13 12:42:00,0,84.0,14768,48575,270,0,14958,4713,4465,0,230,1882,122,0,124,306,30.7,468,67272,4.13,0,32.3,65.7,66.1,0,104,0.600,126,18178,303,2586,222,84.0,0,18640,119870,270,0,3496,1466,1417,0,78.8,192,20.9,0,20.9,379,19.7,261,2504,4.27,0,26.2,40.3,41.4,0,231,0.600,21.9,11364,441,1280,222
2023-03-13 12:44:00,0,84.0,13425,47308,268,0,12207,4753,4573,0,288,1966,122,0,124,304,32.9,467,67316,4.13,0,32.0,65.8,65.7,0,104,0,127,20192,305,2613,228,84.0,0,20639,119726,270,0,3626,1485,1418,0.389,75.3,192,20.9,0,20.9,379,22.9,260,2487,4.27,0,26.0,40.3,40.6,0,230,0,21.9,10027,439,1293,224
2023-03-13 12:46:00,0,88.1,15646,49276,265,0,14019,4334,4322,0,80.9,1794,121,0,123,303,34.3,468,67214,4.13,0.389,31.6,65.9,65.7,0,104,38.0,132,29751,505,2586,219,88.1,0,30412,130613,269,0,3111,1449,1424,0,75.1,236,20.9,0,20.9,379,24.7,262,2510,4.27,0,25.5,40.3,41,0,232,35.0,22.8,12091,584,1287,212
2023-03-13 12:48:00,0,76.7,15529,49527,265,0,15091,4710,4479,0,220,1902,128,0,124,304,32.1,470,67383,4.13,0,31.6,66.5,65.7,0,189,0,121,20260,307,2584,222,76.7,0,20721,122295,270,0,3530,1467,1413,0,74.3,204,21.9,0,20.9,379,21.5,262,2524,4.27,0,25.5,41,41.4,0,261,0,20.9,12122,437,1285,216
2023-03-13 12:50:00,0,77.4,15561,49165,265,0,11225,4377,4425,0,431,1822,128,0,124,306,31.5,471,67305,4.13,0,32.0,66.1,66.9,0,105,0.600,126,28944,306,2613,219,77.4,0,29357,127414,269,0,3201,1413,1408,0,83.6,193,21.9,0,20.9,379,25.7,262,2522,4.27,0,26.0,40.6,41.5,0,235,0.600,21.9,12172,438,1293,213
2023-03-13 12:52:00,0,77.8,14678,48269,265,0,16238,4789,4407,0,151,1805,128,0,129,307,32.9,470,67261,4.13,0,32.3,65.7,66.1,0,104,0.600,115,19266,304,2584,222,77.8,0,19712,122093,269,0,3281,1485,1396,0,76.9,191,21.9,0,22.2,378,27.5,262,2517,4.27,0,26.2,40.3,40.6,0,231,0.600,20.0,11269,440,1279,222
2023-03-13 12:54:00,0,80,11838,46154,265,0,12279,4798,28143,0,288,1955,117,0,118,304,31.5,468,67438,4.13,0,32.3,65.4,66.1,0,104,0,105,20139,303,2583,227,80,0,20582,143945,270,0,3623,1487,1960,0,75.3,179,20.0,0,20.3,379,25.6,261,2524,4.27,0,26.2,40.0,41.4,0,230,0,18.1,8431,440,1279,230
2023-03-13 12:56:00,0,83.7,14605,48298,265,0,14492,4395,4438,0.389,148,1823,106,0,112,304,32.3,469,67384,4.13,0,32.3,65.8,66.4,0,104,38.0,120,28611,503,2614,219,83.7,0,29265,130625,269,0,3263,1449,1435,0,76.9,199,18.1,0,19,379,26.5,262,2517,4.27,0,26.2,40.4,42.1,0,230,35.0,20.9,11035,586,1296,213
2023-03-13 12:58:00,0.389,84.4,15670,49644,265,0,15025,4726,4468,0.389,2522,1894,133,0,129,303,32.3,470,67419,4.13,0,32.3,66.1,66.4,0.389,189,0,132,20296,304,2586,220,84.4,0.389,20766,124842,269,0,3511,1493,1402,0,110,194,22.8,0,21.9,380,21.5,262,2518,4.66,0,26.2,40.3,42.1,0,263,0,27.7,12252,441,1283,215
2023-03-13 13:00:00,0.389,84.0,14875,48632,265,0,11607,4338,4464,0,217,1881,139,0,140,304,30.7,471,67450,4.60,0,31.8,66.5,66.1,0.389,121,0.367,126,28190,304,2582,223,84.0,0.389,28607,127094,269,0,3390,1418,1406,0,72.8,171,23.8,0,28.7,380,19.7,268,2526,5.12,0,25.7,40.6,41.4,0,248,0.367,21.9,11489,441,1277,223
2023-03-13 13:02:00,0,77.8,14603,48067,265,0,14139,4756,4371,0,80.1,1759,117,0,118,306,32.1,467,67304,4.83,0,31.6,65.7,66.1,0,118,0.600,116,18486,304,2614,225,77.8,0,18939,119027,270,0,3094,1488,1418,0,74.4,193,20.0,0,24.9,380,21.5,261,2503,4.97,0,25.5,40.3,41.4,0,244,0.600,20.0,11200,441,1295,225
2023-03-13 13:04:00,0,80,14282,48239,265,0,12138,4716,4543,0,288,1964,122,0,129,305,34.3,470,67503,4.37,0,31.6,66.5,65.7,0,103,0,126,20119,306,2585,222,80,0,20554,119698,270,0,3626,1462,1401,0,75.0,195,20.9,0,21.9,378,24.7,262,2529,4.50,0,25.5,41.1,41.4,0,232,0,21.9,10890,438,1285,217
2023-03-13 13:06:00,0,77.8,15636,49391,265,0.389,16123,4350,4383,0,139,1813,133,0,135,304,32.1,467,67365,4.13,0,31.6,66.1,65.7,0,103,38.0,121,25219,506,2585,223,77.8,0,25856,128572,269,0,3308,1424,1395,0,70.9,192,27.8,0,22.8,378,22.0,260,2508,4.27,0,25.5,40.6,41,0,232,35.0,20.9,12091,584,1280,218
2023-03-13 13:08:00,0,84.0,16309,50668,265,0,17075,4849,6600,0,448,1904,121,0,123,303,32.9,467,67408,4.13,0,31.6,66.4,65.4,0,184,38.0,121,20335,503,2613,221,84.0,0,21020,127507,270,0,3622,1529,1524,0,89.6,180,25.9,0,20.9,380,22.8,261,2499,4.27,0,25.5,41.4,40.4,0,261,35.0,20.9,12745,587,1293,216
2023-03-13 13:10:00,0,80.7,14990,49048,264,0,12233,4335,4538,0,1026,1946,133,0,129,304,33.7,471,67487,4.13,0,32.0,66.4,65.4,0,105,0,126,26922,305,2585,219,80.7,0,27340,127338,268,0,3639,1420,1419,0,103,195,23.2,0,21.9,380,23.3,263,2521,4.27,0,26.0,41.4,40.4,0,235,0,21.9,11598,439,1281,218
2023-03-13 13:12:00,0,80.4,14741,48118,265,0,14046,4719,4331,0,80.1,1754,128,0,129,303,31.5,468,67276,4.13,0,32.3,66.1,66.1,0,103,0.600,126,17321,303,2584,220,80.4,0,17776,117545,270,0.389,3084,1476,1428,0,75.5,206,21.9,0,21.9,379,20.6,261,2506,4.27,0,26.2,40.6,41.4,0,232,0.600,21.9,11328,441,1280,215
2023-03-13 13:14:00,0,82.2,15509,49591,265,0,12244,4778,4609,0,297,1986,133,0,135,303,32.1,470,67492,4.13,0,32.0,66.1,66.8,0,103,0,131,29711,303,2613,225,82.2,0,30116,130165,270,0,3620,1485,1440,0,79.5,191,22.8,0,22.8,379,21.5,262,2504,4.27,0,26.0,41.0,42.5,0,232,0,22.8,12118,441,1293,221
2023-03-13 13:16:00,0,87.0,15726,49565,265,0,14570,4360,4443,0,139,1860,128,0.389,129,304,59.0,469,67363,4.13,0,31.6,66.1,66.7,0,9748,38.0,126,19975,504,2613,223,87.0,0,20672,131502,269,0,3326,1454,1439,0,70.9,224,21.9,0.389,21.9,379,65.3,261,2508,4.27,0,25.5,41.0,42.5,0,287,35.4,21.9,12108,586,1293,219
2023-03-13 13:18:00,0,86.6,15540,49612,265,0,15123,4714,4480,0,229,1896,128,0.389,129,306,34.1,469,67498,4.13,0,31.6,66.1,65.7,0,187,38.4,126,20299,504,2584,220,86.6,0,20995,122747,270,0,3578,1470,1410,0,78.0,201,21.9,0.389,21.9,378,22.6,262,2521,4.27,0,25.5,40.6,42.1,0,260,35.4,21.9,11958,587,1279,214
