"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-11 17:16:00,14576,113351,15512,0,0,0,7611
2023-03-11 17:20:00,13690,114249,15823,0,0,0,8168
2023-03-11 17:24:00,14615,98489,15782,0,0,0,7892
2023-03-11 17:28:00,16807,72046,15520,0,0,0,8030
2023-03-11 17:32:00,14092,79711,33185,0,0,0,7619
2023-03-11 17:36:00,16658,114610,15686,0,0,0,7650
2023-03-11 17:40:00,15605,112085,15665,0,0,0,8204
2023-03-11 17:44:00,17885,115947,32563,0,0,0,7433
2023-03-11 17:48:00,15918,49401,15614,0,0,0,7771
2023-03-11 17:52:00,12807,65151,15788,0,0,0,8016
2023-03-11 17:56:00,14629,111431,15398,0,0,0,7770
2023-03-11 18:00:00,14239,112803,16011,0,0,0,8118
2023-03-11 18:04:00,618000,116631,441892,0,0,0,7731
2023-03-11 18:08:00,14967,41972,15807,0,0,0,7928
2023-03-11 18:12:00,14480,71165,15580,0,0,0,8039
2023-03-11 18:16:00,14321,114416,33736,0,0,0,7595
2023-03-11 18:20:00,14434,114111,15778,0,0,0,7980
2023-03-11 18:24:00,12162,113207,15780,0,0,0,7759
2023-03-11 18:28:00,16799,44059,15592,0,0,0,7700
2023-03-11 18:32:00,16628,72269,33786,0,0,0,8331
2023-03-11 18:36:00,16958,109911,15451,0,0,0,7634
2023-03-11 18:40:00,16722,115532,15520,0,0,0,8123
2023-03-11 18:44:00,16927,115067,16006,0,0,0,7733
2023-03-11 18:48:00,16178,47665,15558,0,0,0,7760
2023-03-11 18:52:00,17315,63090,15753,0,0,0,7886
2023-03-11 18:56:00,16710,114863,15536,0,0,0,7335
2023-03-11 19:00:00,16877,115057,15682,0,0,0,8298
2023-03-11 19:04:00,122332,114164,50325,0,0,0,7955
2023-03-11 19:08:00,16063,11963,16103,0,0,0,7733
2023-03-11 19:12:00,16561,57750,15523,0,0,0,7896
2023-03-11 19:16:00,17027,113277,15488,0,0,0,7628
2023-03-11 19:20:00,16879,116427,15970,0,0,0,8402
2023-03-11 19:24:00,16991,126742,15521,0,0,0,7799
2023-03-11 19:28:00,16185,51494,15989,0,0,0,7700
2023-03-11 19:32:00,16708,62938,32651,0,0,0,8113
2023-03-11 19:36:00,16760,113862,15574,0,0,0,7417
2023-03-11 19:40:00,16946,113249,15885,0,0,0,8249
2023-03-11 19:44:00,16893,113371,34063,0,0,0,7733
2023-03-11 19:48:00,16305,48568,15501,0,0,0,7715
2023-03-11 19:52:00,17109,65135,15630,0,0,0,8147
2023-03-11 19:56:00,16455,129658,15760,0,0,0,7425
2023-03-11 20:00:00,16836,115233,15983,0,0,0,7997
2023-03-11 20:04:00,241818,116834,144741,0,0,0,8153
2023-03-11 20:08:00,16243,56339,15566,0,0,0,7852
2023-03-11 20:12:00,16706,54607,16029,0,0,0,7793
2023-03-11 20:16:00,16879,114834,33184,0,0,0,7748
2023-03-11 20:20:00,16586,114332,15790,0,0,0,8069
2023-03-11 20:24:00,16710,115420,15407,0,0,0,7766
2023-03-11 20:28:00,16874,48517,15833,0,0,0,7847
2023-03-11 20:32:00,16635,63217,32424,0,0,0,8000
2023-03-11 20:36:00,17478,118598,15457,0,0,0,7786
2023-03-11 20:40:00,16053,111171,15878,0,0,0,7746
2023-03-11 20:44:00,17418,113296,15557,0,0,0,8090
2023-03-11 20:48:00,16031,50507,15907,0,0,0,7892
2023-03-11 20:52:00,17289,64442,15749,0,0,0,7841
2023-03-11 20:56:00,16725,113180,15712,0,0,0,7744
2023-03-11 21:00:00,16492,114965,15857,0,0,0,7834
2023-03-11 21:04:00,138264,121328,50278,0,0,0,7750
2023-03-11 21:08:00,17594,44644,15895,0,0,0,7961
2023-03-11 21:12:00,16223,73788,15491,0,0,0,7909
2023-03-11 21:16:00,16448,112716,15604,0,0,0,7734
2023-03-11 21:20:00,17118,114173,15751,0,0,0,7558
2023-03-11 21:24:00,17225,115417,16206,0,0,0,8271
2023-03-11 21:28:00,16542,28865,15538,0,0,0,7748
2023-03-11 21:32:00,16723,84265,33308,0,0,0,7953
2023-03-11 21:36:00,17266,114843,15770,0,0,0,7949
2023-03-11 21:40:00,17530,112772,15461,0,0,0,7674
2023-03-11 21:44:00,16781,114933,33462,0,0,0,7948
2023-03-11 21:48:00,17572,49231,15527,0,0,0,7799
2023-03-11 21:52:00,16642,65146,15431,0,0,0,8229
2023-03-11 21:56:00,16544,116595,15850,0,0,0,7514
2023-03-11 22:00:00,17994,110272,15856,0,0,0,7802
2023-03-11 22:04:00,259835,114807,146491,0,0,0,8346
2023-03-11 22:08:00,16013,48210,15519,0,0,0,7621
2023-03-11 22:12:00,14897,64491,15461,0,0,0,8013
2023-03-11 22:16:00,16872,114307,32559,0,0,0,7822
2023-03-11 22:20:00,15873,111688,15817,0,0,0,7830
2023-03-11 22:24:00,12626,114212,15508,0,0,0,8276
2023-03-11 22:28:00,15055,50561,15816,0,0,0,7831
2023-03-11 22:32:00,12297,62274,32358,0,0,0,8016
2023-03-11 22:36:00,15359,114806,15370,0,0,0,7672
2023-03-11 22:40:00,15838,112639,15954,0,0,0,7824
2023-03-11 22:44:00,16207,113111,15502,0,0,0,8026
2023-03-11 22:48:00,16979,49004,15571,0,0,0,8074
2023-03-11 22:52:00,17185,63630,15907,0,0,0,7840
2023-03-11 22:56:00,16574,104642,15875,0,0,0,7721
2023-03-11 23:00:00,16588,115350,15751,0,0,0,7853
2023-03-11 23:04:00,104116,113379,52601,0,0,0,8031
2023-03-11 23:08:00,16762,48895,15844,0,0,0,7840
2023-03-11 23:12:00,16614,63091,15975,0,0,0,7895
2023-03-11 23:16:00,17096,113893,15513,0,0,0,7887
2023-03-11 23:20:00,16779,116122,15794,0,0,0,7909
2023-03-11 23:24:00,16748,112268,15555,0,0,0,8084
2023-03-11 23:28:00,16792,58291,15801,0,0,0,7855
2023-03-11 23:32:00,15524,57270,33858,0,0,0,7797
2023-03-11 23:36:00,16924,110439,15572,0,0,0,7867
2023-03-11 23:40:00,15561,112252,15719,0,0,0,7663
2023-03-11 23:44:00,14738,118237,33548,0,0,0,8124
2023-03-11 23:48:00,16738,43230,15487,0,0,0,7830
2023-03-11 23:52:00,16657,70551,15552,0,0,0,7622
2023-03-11 23:56:00,16944,121022,15848,0,0,0,8127
2023-03-12 00:00:00,16404,114395,15583,0,0,0,7633
2023-03-12 00:04:00,658135,104302,483035,0,0,0,8250
2023-03-12 00:08:00,17571,50953,15403,0,0,0,7827
2023-03-12 00:12:00,16824,67791,15548,0,0,0,7628
2023-03-12 00:16:00,16217,115185,33352,0,0,0,8057
2023-03-12 00:20:00,16864,110891,16184,0,0,0,7470
2023-03-12 00:24:00,17073,114741,15517,0,0,0,8246
2023-03-12 00:28:00,16939,47272,15868,0,0,0,7939
2023-03-12 00:32:00,16686,64915,32608,0,0,0,7594
2023-03-12 00:36:00,16802,113368,15503,0,0,0,8062
2023-03-12 00:40:00,16142,113078,15789,0,0,0,7785
2023-03-12 00:44:00,16201,105237,15455,0,0,0,7931
2023-03-12 00:48:00,13318,50453,15693,0,0,0,7967
2023-03-12 00:52:00,15386,63660,15710,0,0,0,7696
2023-03-12 00:56:00,14149,113367,15743,0,0,0,7731
2023-03-12 01:00:00,12662,114636,15320,0,0,0,7790
2023-03-12 01:04:00,121120,114750,50273,0,0,0,8096
2023-03-12 01:08:00,13738,49943,15492,0,0,0,7933
2023-03-12 01:12:00,15381,63670,15964,0,0,0,7472
2023-03-12 01:16:00,14102,114560,15639,0,0,0,8022
2023-03-12 01:20:00,14272,103493,15549,0,0,0,7797
2023-03-12 01:24:00,13053,117237,15731,0,0,0,8026
2023-03-12 01:28:00,15433,49785,15715,0,0,0,7951
2023-03-12 01:32:00,15019,66115,32991,0,0,0,7553
2023-03-12 01:36:00,17047,114233,15616,0,0,0,7631
2023-03-12 01:40:00,16432,113153,15907,0,0,0,7503
2023-03-12 01:44:00,16380,107438,32893,0,0,0,8346
2023-03-12 01:48:00,16487,29561,15600,0,0,0,7960
2023-03-12 01:52:00,16290,85810,15989,0,0,0,7776
2023-03-12 01:56:00,16451,112317,15197,0,0,0,7997
2023-03-12 02:00:00,13957,114415,15979,0,0,0,7749
2023-03-12 02:04:00,254216,112393,144970,0,0,0,8155
2023-03-12 02:08:00,17227,49993,15766,0,0,0,7801
2023-03-12 02:12:00,16497,64593,15265,0,0,0,7734
2023-03-12 02:16:00,16824,114611,33455,0,0,0,8183
2023-03-12 02:20:00,16031,111285,15720,0,0,0,7815
2023-03-12 02:24:00,14103,114319,15674,0,0,0,7711
2023-03-12 02:28:00,16833,49272,15930,0,0,0,8054
2023-03-12 02:32:00,16004,66003,33454,0,0,0,7671
2023-03-12 02:36:00,16419,112117,15464,0,0,0,7997
2023-03-12 02:40:00,16167,115143,15858,0,0,0,7870
2023-03-12 02:44:00,16907,114189,15840,0,0,0,7653
2023-03-12 02:48:00,17188,50469,15643,0,0,0,7825
2023-03-12 02:52:00,15949,64245,15862,0,0,0,7681
2023-03-12 02:56:00,14485,111542,15961,0,0,0,8205
2023-03-12 03:00:00,16926,115940,13861,0,0,0,7781
2023-03-12 03:04:00,118020,112668,51394,0,0,0,7881
2023-03-12 03:08:00,17465,51916,15117,0,0,0,7984
2023-03-12 03:12:00,16666,65469,15419,0,0,0,7553
2023-03-12 03:16:00,16787,110678,14710,0,0,0,7773
2023-03-12 03:20:00,16473,112462,15435,0,0,0,8020
2023-03-12 03:24:00,16673,114950,15786,0,0,0,7851
2023-03-12 03:28:00,16839,74697,14238,0,0,0,8033
2023-03-12 03:32:00,16348,98784,33853,0,0,0,7788
2023-03-12 03:36:00,17309,114933,15563,0,0,0,7918
2023-03-12 03:40:00,16766,110943,15858,0,0,0,7821
2023-03-12 03:44:00,16448,116103,33510,0,0,0,7766
2023-03-12 03:48:00,17041,50408,15587,0,0,0,8009
2023-03-12 03:52:00,16750,64366,15371,0,0,0,7673
2023-03-12 03:56:00,16864,109065,16102,0,0,0,8069
2023-03-12 04:00:00,16562,114809,15475,0,0,0,7823
2023-03-12 04:04:00,201700,114154,140125,0,0,0,7796
2023-03-12 04:08:00,16526,49020,15862,0,0,0,7908
2023-03-12 04:12:00,16971,65604,15996,0,0,0,7833
2023-03-12 04:16:00,16665,115580,34089,0,0,0,7987
2023-03-12 04:20:00,17006,110599,15492,0,0,0,7800
2023-03-12 04:24:00,16833,116673,15438,0,0,0,7611
2023-03-12 04:28:00,16821,56809,16143,0,0,0,8089
2023-03-12 04:32:00,16668,56811,33368,0,0,0,7559
2023-03-12 04:36:00,17411,114856,15480,0,0,0,7973
2023-03-12 04:40:00,16290,113311,15632,0,0,0,7762
2023-03-12 04:44:00,16900,114050,15820,0,0,0,7782
2023-03-12 04:48:00,17141,48020,15837,0,0,0,8302
2023-03-12 04:52:00,17110,62849,15461,0,0,0,7596
2023-03-12 04:56:00,16296,111414,15299,0,0,0,7995
2023-03-12 05:00:00,17224,116956,16086,0,0,0,7501
2023-03-12 05:04:00,118896,103350,50440,0,0,0,7780
2023-03-12 05:08:00,16678,48721,15435,0,0,0,8249
2023-03-12 05:12:00,17634,63624,15750,0,0,0,7694
2023-03-12 05:16:00,16269,114040,15879,0,0,0,8037
2023-03-12 05:20:00,16909,112349,15789,0,0,0,7820
2023-03-12 05:24:00,16481,116128,15830,0,0,0,7902
2023-03-12 05:28:00,17078,47551,15893,0,0,0,8099
2023-03-12 05:32:00,16637,65797,33147,0,0,0,7553
2023-03-12 05:36:00,16972,111872,15854,0,0,0,8156
2023-03-12 05:40:00,16726,115720,15349,0,0,0,7865
2023-03-12 05:44:00,17249,112368,32145,0,0,0,7509
2023-03-12 05:48:00,16412,817,15579,0,0,0,8315
2023-03-12 05:52:00,16759,64151,15755,0,0,0,7072
2023-03-12 05:56:00,17137,115511,15457,0,0,0,7841
2023-03-12 06:00:00,16850,113721,15882,0,0,0,7787
2023-03-12 06:04:00,1921140,112742,1404543,0,0,0,7771
2023-03-12 06:08:00,17651,49295,15836,0,0,0,8334
2023-03-12 06:12:00,16433,66043,15468,0,0,0,7686
2023-03-12 06:16:00,17379,114731,15977,0,0,0,7767
2023-03-12 06:20:00,16690,113069,15490,0,0,0,8268
2023-03-12 06:24:00,16768,114059,15765,0,0,0,7517
2023-03-12 06:28:00,16613,48192,15593,0,0,0,8083
2023-03-12 06:32:00,16455,66710,33970,0,0,0,7708
2023-03-12 06:36:00,16781,116445,15541,0,0,0,7810
2023-03-12 06:40:00,16795,113884,15526,0,0,0,8124
2023-03-12 06:44:00,17246,112192,15893,0,0,0,7631
2023-03-12 06:48:00,16531,50322,15601,0,0,0,8115
2023-03-12 06:52:00,16859,63285,15631,0,0,0,7716
2023-03-12 06:56:00,16702,116468,15752,0,0,0,7593
2023-03-12 07:00:00,16913,111169,15608,0,0,0,8180
2023-03-12 07:04:00,117443,113683,51755,0,0,0,7682
2023-03-12 07:08:00,17523,59657,15683,0,0,0,8294
2023-03-12 07:12:00,16089,55020,16053,0,0,0,7586
2023-03-12 07:16:00,16869,114391,15534,0,0,0,7530
2023-03-12 07:20:00,16952,117003,15748,0,0,0,8260
2023-03-12 07:24:00,16922,116161,15708,0,0,0,7601
2023-03-12 07:28:00,16338,48562,16366,0,0,0,8369
2023-03-12 07:32:00,17077,68719,32878,0,0,0,7896
2023-03-12 07:36:00,16824,117409,15865,0,0,0,7436
2023-03-12 07:40:00,16714,112033,15655,0,0,0,8124
2023-03-12 07:44:00,17395,108181,33462,0,0,0,7712
2023-03-12 07:48:00,16710,57346,15615,0,0,0,8117
2023-03-12 07:52:00,17053,55022,15739,0,0,0,7979
2023-03-12 07:56:00,16727,114322,15434,0,0,0,7629
2023-03-12 08:00:00,16251,112103,15818,0,0,0,8072
2023-03-12 08:04:00,264381,115777,141377,0,0,0,7806
2023-03-12 08:08:00,16876,49812,15717,0,0,0,8063
2023-03-12 08:12:00,16998,64292,15794,0,0,0,7528
2023-03-12 08:16:00,16179,113084,33164,0,0,0,7707
2023-03-12 08:20:00,17214,117167,15640,0,0,0,8217
2023-03-12 08:24:00,16434,124785,15736,0,0,0,7728
2023-03-12 08:28:00,17143,50345,15666,0,0,0,7893
2023-03-12 08:32:00,16602,65931,33741,0,0,0,7671
2023-03-12 08:36:00,17298,111327,15834,0,0,0,7712
2023-03-12 08:40:00,17385,113211,15678,0,0,0,8105
2023-03-12 08:44:00,16357,113559,15519,0,0,0,7792
2023-03-12 08:48:00,16695,38679,16012,0,0,0,7903
2023-03-12 08:52:00,17232,78132,15687,0,0,0,7794
2023-03-12 08:56:00,16999,110178,15319,0,0,0,7767
2023-03-12 09:00:00,16745,132509,15663,0,0,0,8174
2023-03-12 09:04:00,118820,115908,52195,0,0,0,7802
2023-03-12 09:08:00,17226,49036,15591,0,0,0,7988
2023-03-12 09:12:00,16380,64197,15710,0,0,0,7716
2023-03-12 09:16:00,17326,117086,15931,0,0,0,7805
2023-03-12 09:20:00,16788,113648,15627,0,0,0,8028
2023-03-12 09:24:00,16864,113308,15566,0,0,0,7857
2023-03-12 09:28:00,16790,47402,15608,0,0,0,7791
2023-03-12 09:32:00,16662,61691,33064,0,0,0,7825
2023-03-12 09:36:00,16793,124545,15862,0,0,0,7628
2023-03-12 09:40:00,17158,112753,15723,0,0,0,8276
2023-03-12 09:44:00,16621,114126,33755,0,0,0,7618
2023-03-12 09:48:00,16969,44444,15496,0,0,0,7749
2023-03-12 09:52:00,16449,69888,15658,0,0,0,8264
2023-03-12 09:56:00,17362,113888,15669,0,0,0,7368
2023-03-12 10:00:00,16570,113956,15393,0,0,0,8122
2023-03-12 10:04:00,255465,114413,153684,0,0,0,7758
2023-03-12 10:08:00,17142,49133,15768,0,0,0,7771
2023-03-12 10:12:00,16953,64071,15421,0,0,0,7859
2023-03-12 10:16:00,16346,113149,32734,0,0,0,7692
2023-03-12 10:20:00,17423,117257,15546,0,0,0,8157
2023-03-12 10:24:00,17026,113059,15670,0,0,0,7821
2023-03-12 10:28:00,16865,48877,15961,0,0,0,7823
2023-03-12 10:32:00,16082,62013,33742,0,0,0,7571
2023-03-12 10:36:00,16974,115548,15792,0,0,0,7840
2023-03-12 10:40:00,17120,116037,15761,0,0,0,8084
2023-03-12 10:44:00,16318,111859,15497,0,0,0,7797
2023-03-12 10:48:00,17359,48386,15986,0,0,0,7644
2023-03-12 10:52:00,16891,66061,15900,0,0,0,8079
2023-03-12 10:56:00,16767,109859,15653,0,0,0,7674
2023-03-12 11:00:00,16316,115984,15815,0,0,0,7880
2023-03-12 11:04:00,121120,112243,49635,0,0,0,7796
2023-03-12 11:08:00,17379,50189,15409,0,0,0,7850
2023-03-12 11:12:00,15998,66001,15453,0,0,0,7931
