"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05ccf7670ce1)","Transmit Total (lxc0e7fd83429f8)","Transmit Total (lxc2f196552a250)","Transmit Total (lxc351507ccd6de)","Transmit Total (lxc35a229aa328a)","Transmit Total (lxc44cc3d42073d)","Transmit Total (lxc64e81a3910f4)","Transmit Total (lxc69dc6236bed5)","Transmit Total (lxc807ae06edaa7)","Transmit Total (lxc8b0393b43750)","Transmit Total (lxc947f9c305662)","Transmit Total (lxc9854d7c0de90)","Transmit Total (lxc9d85bc894392)","Transmit Total (lxc9e1d6b31c79c)","Transmit Total (lxc_health)","Transmit Total (lxca4e4e80fd248)","Transmit Total (lxcb43abd09557c)","Transmit Total (lxcb9f2e6c9b4a1)","Transmit Total (lxcc89cc2f546a7)","Transmit Total (lxcc91b3dc073da)","Transmit Total (lxccdce074c39ef)","Transmit Total (lxce6f41a775b41)","Transmit Total (lxcf877b9881be3)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05ccf7670ce1)","Receive Total (lxc0e7fd83429f8)","Receive Total (lxc2f196552a250)","Receive Total (lxc351507ccd6de)","Receive Total (lxc35a229aa328a)","Receive Total (lxc44cc3d42073d)","Receive Total (lxc64e81a3910f4)","Receive Total (lxc69dc6236bed5)","Receive Total (lxc807ae06edaa7)","Receive Total (lxc8b0393b43750)","Receive Total (lxc947f9c305662)","Receive Total (lxc9854d7c0de90)","Receive Total (lxc9d85bc894392)","Receive Total (lxc9e1d6b31c79c)","Receive Total (lxc_health)","Receive Total (lxca4e4e80fd248)","Receive Total (lxcb43abd09557c)","Receive Total (lxcb9f2e6c9b4a1)","Receive Total (lxcc89cc2f546a7)","Receive Total (lxcc91b3dc073da)","Receive Total (lxccdce074c39ef)","Receive Total (lxce6f41a775b41)","Receive Total (lxcf877b9881be3)"
2023-02-22 11:40:00,0,68.6,11854,31198,0,0.600,32.1,0,444,1498,66.1,1070,469,1690,143,453,37322,66.1,0,32.3,6549,127,17867,2552,4.27,1714,0,248,68.6,0,16345,42432,0,0.600,26.8,0,253,16035,41,1071,266,159,95.9,259,18085,41,0,26.2,1041,35.2,8889,1265,4.13,182,0,114
2023-02-22 11:42:00,0,69.4,16921,56825,0,0,328,0,446,2149,66.4,3127,467,2782,143,453,37421,65.3,0,32.3,12102,122,17368,3148,4.50,2501,0,44115,69.4,0,35239,120595,0,0,25.9,0,251,15864,41.4,2676,260,199,95.9,253,17561,40.3,0,26.2,1291,29.0,10735,1286,4.37,198,0,1239
2023-02-22 11:44:00,0,69.4,17062,61640,0,46.4,35.7,0,450,1471,66.4,1101,467,1696,143,453,36905,66.1,0,32.3,7972,122,17513,2556,4.97,1714,0,252,69.4,0,39258,71384,0,30.6,21.7,0,255,15589,41.4,1079,260,179,95.9,253,17621,40.6,0,26.2,1141,29.0,11805,1266,4.83,204,0,119
2023-02-22 11:46:00,0,68.6,16115,36885,0,0,4721,0,447,5217,66.5,6948,466,11413,143,453,37033,66.1,0,32.3,24067,127,18237,7430,4.97,6702,0.389,38380,68.6,0,17486,135873,0,0,35.8,0,253,15528,41.4,2150,259,215,95.9,253,18295,40.6,0,26.2,1206,30.3,12145,1285,4.83,212,0,837
2023-02-22 11:48:00,0,69.4,14277,34578,0,0.600,4682,0,445,5118,66.4,7358,470,11258,143,454,36754,65.7,0.389,32.3,25695,122,16920,7277,4.97,6613,0,23860,69.4,0,17957,121862,0,0.600,76.6,0,249,15380,41.4,2672,262,220,95.9,255,17061,40.6,0,26.2,1266,29.0,9684,1283,4.83,217,0,472
2023-02-22 11:50:00,0,69.4,12789,32898,0,0.600,295,0,432,1671,65.7,1414,458,2320,143,440,36608,66.4,0,32.3,13515,121,17958,2909,4.97,2077,0,15144,69.4,0,16394,66394,0,0.600,29.6,0,242,15196,40.6,1084,255,183,95.9,246,18033,41,0,26.2,1360,29.0,9835,1273,4.83,200,0,472
2023-02-22 11:52:00,0,69,15108,47476,0,0,33.3,0,447,1662,66.1,2668,465,1865,143,453,36569,66.1,0,32.3,10792,122,21543,2554,5.36,1899,0,253,69,0,29521,62008,0,0,18.9,0,253,15246,41.4,2658,259,163,95.9,254,21759,41,0,26.2,1230,29.0,9454,1263,4.83,207,0,118
2023-02-22 11:54:00,0,68.6,16426,60532,0,49.0,35.5,0,448,1522,66.8,1618,467,1756,142,453,36505,66.1,0,32.7,6782,126,17443,2555,4.97,1759,0,247,68.6,0,39407,69680,0,30.6,22.3,0,253,15196,41.4,1604,261,173,94.5,253,17609,40.6,0,26.2,1078,30.3,10625,1266,5.22,187,0.389,116
2023-02-22 11:56:00,0,68.6,14745,34383,0,0,32.8,0,446,1555,66.4,2143,468,1832,143,454,36570,66.4,0,32.3,6950,133,25999,2580,4.97,1843,0,242,68.6,0,17471,43630,0,0,21.6,0,251,15184,41,2132,260,172,95.9,255,26084,41,0,26.2,1064,31.6,10809,1279,4.83,180,0,110
2023-02-22 11:58:00,0.389,68.6,14149,33673,0,0.600,31.5,0,446,1583,66.4,2655,469,1859,143,453,36498,66.4,0,32.3,7048,127,17172,2549,4.50,1883,0,244,68.6,0.389,17924,44167,0,0.600,21.0,0,251,15179,41,2649,262,166,95.9,253,17355,41,0,26.2,1038,30.3,9589,1263,4.37,201,0,117
2023-02-22 12:00:00,0.389,69,12408,31743,0,0.989,31.5,0,446,1458,66.8,1081,466,1684,143,453,36549,66.8,0,32.3,6539,133,26467,2549,4.27,1711,0,247,69,0.389,16380,41135,0,0.600,20.6,0.389,256,15193,41.4,1074,260,148,95.9,253,26616,41.8,0,26.2,1011,31.6,9502,1268,4.13,191,0,121
2023-02-22 12:02:00,0,69,14283,40200,0,0.389,54.8,0,448,1648,66.4,2658,467,1880,143,453,36545,66.4,0,32.3,7003,138,17338,2552,4.27,1903,0,244,69,0,23870,51228,0,0,60.7,0.389,253,15254,41.4,2661,260,156,95.9,253,17522,41.4,0,26.2,1065,32.9,9122,1272,4.13,176,0,120
2023-02-22 12:04:00,0,68.6,17011,61459,0,49.7,36.2,0,443,1600,66.4,2651,467,1862,143,454,36513,66.7,0,32.3,6926,132,20842,2548,4.26,1885,0,240,68.6,0,40780,71683,0,30.6,25.4,0,247,15200,41.3,2659,260,171,95.9,255,20982,41.3,0.389,26.2,1057,31.6,10208,1262,4.13,198,0,113
2023-02-22 12:06:00,0,68.6,12901,32286,0,0,30.7,0,447,1487,66.1,1071,467,1679,143,454,36519,66.7,0,32.3,6581,133,16608,2550,4.27,1703,0,243,68.6,0,16395,41288,0,0,19.7,0,253,15249,41.4,1070,260,154,95.9,255,16746,41.4,0.389,26.2,1022,31.6,9927,1263,4.13,183,0,111
2023-02-22 12:08:00,0,69,13495,32989,0,0.600,32.1,0,451,1592,65.7,2657,467,1864,143,453,36506,67.1,0,32.3,6974,127,16294,2552,4.50,1883,0,241,69,0,17930,44034,0,0.600,21.5,0,258,15214,40.6,2653,260,171,95.9,253,16479,41.7,0,26.2,1039,30.3,8933,1265,4.37,191,0,117
2023-02-22 12:10:00,0,68.6,11942,31243,0,0.600,30.7,0.389,449,1479,66.4,1082,467,1704,143,453,36516,66.4,0,32.3,6576,127,17017,2549,4.97,1719,0,247,68.6,0,16382,41389,0,0.600,19.7,0,253,15223,41.4,1077,260,148,95.9,253,17175,41,0,26.2,1047,30.3,8977,1261,4.83,163,0,119
2023-02-22 12:12:00,0,69,13925,33469,0,0,31.5,0,443,1620,66.1,2657,469,1859,143,453,36509,66.1,0,32.3,7034,127,16630,2552,4.73,1881,0,245,69,0,17959,44175,0,0.389,20.9,0,247,15218,41,2652,261,159,95.9,253,16787,40.6,0,26.2,1054,30.7,9381,1264,4.60,197,0,111
2023-02-22 12:14:00,0,69.4,17590,61939,0,49.7,31.5,0,434,1632,65.7,2654,451,1857,143,442,36507,66.1,0,32.3,6958,122,17933,2550,4.27,1878,0,243,69.4,0,40650,71616,0,30.6,21.4,0,244,15215,40.3,2654,251,159,95.9,248,18086,40.6,0,26.2,1050,29.0,10753,1263,4.13,179,0,119
2023-02-22 12:16:00,0,68.6,13364,32794,0,0,32.5,0,450,1482,66.1,1079,467,1703,143,454,36499,67.2,0,32.3,6618,122,17378,2581,4.27,1719,0,239,68.6,0,16421,41526,0,0,21.6,0,257,15211,41.4,1072,260,167,96.3,255,17496,41.4,0,26.2,1015,29.0,10394,1279,4.13,181,0,114
2023-02-22 12:18:00,0,69,13827,33299,0,0.600,30.7,0,447,1607,65.7,2656,467,1852,143,452,36515,66.4,0,32.3,6962,138,17687,2552,4.27,1885,0,247,69,0,17923,44150,0,0.600,19.7,0,253,15209,41.4,2651,260,155,95.9,252,17886,41,0,26.2,1009,32.9,9272,1264,4.13,177,0,114
2023-02-22 12:20:00,0,69.4,12244,31651,0,0.600,32.9,0,445,1520,66.1,1083,467,1669,143,454,36554,66.1,0,32.3,6618,127,18009,2550,4.27,1708,0,236,69.4,0,16367,41311,0,0.600,22.5,0,249,15237,41,1081,260,159,95.9,260,18225,41,0,26.2,1070,30.3,9283,1267,4.13,183,0,108
