"Time","0(172.16.66.122:10250)","0(172.16.66.122:6443)","200(172.16.66.122:10250)","200(172.16.66.122:6443)","201(172.16.66.122:10250)","201(172.16.66.122:6443)","403(172.16.66.122:10250)","403(172.16.66.122:6443)","404(172.16.66.122:10250)","404(172.16.66.122:6443)","409(172.16.66.122:10250)","409(172.16.66.122:6443)","422(172.16.66.122:10250)","422(172.16.66.122:6443)","500(172.16.66.122:10250)","500(172.16.66.122:6443)","504(172.16.66.122:10250)","504(172.16.66.122:6443)"
2023-03-11 10:30:00,0,0,20.1,20.1,0.356,0.356,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:32:00,0,0,19.8,19.6,0.411,0.445,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 10:34:00,0,0,19.9,19.9,0.522,0.500,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:36:00,0,0,20.0,19.9,0.533,0.606,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:38:00,0,0,19.3,19.6,0.606,0.556,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:40:00,0,0,19.8,20.0,0.389,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:42:00,0,0,19.7,19.6,0.389,0.422,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 10:44:00,0,0,19.8,19.8,0.411,0.378,0,0,0,0.0111,0,0.00556,0,0,0,0,0,0
2023-03-11 10:46:00,0,0,20.0,19.8,0.372,0.356,0,0,0.0111,0.0111,0.00556,0.00556,0,0,0,0,0,0
2023-03-11 10:48:00,0,0,19.5,19.3,0.356,0.350,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 10:50:00,0,0,19.9,19.9,0.367,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:52:00,0,0,19.9,19.6,0.383,0.367,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 10:54:00,0,0,19.7,19.9,0.356,0.355,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:56:00,0,0,19.7,19.7,0.356,0.372,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 10:58:00,0,0,19.5,19.5,0.356,0.361,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 11:00:00,0,0,20.2,20.0,0.361,0.378,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:02:00,0,0,19.9,19.5,0.383,0.361,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 11:04:00,0,0,19.7,19.8,0.361,0.339,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:06:00,0,0,19.8,19.7,0.344,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:08:00,0,0,19.6,19.5,0.339,0.361,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 11:10:00,0,0,20.1,20.2,0.356,0.350,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:12:00,0,0,19.7,19.6,0.367,0.350,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 11:14:00,0,0,19.4,19.2,0.361,0.342,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 11:16:00,0,0,19.8,20.0,0.361,0.361,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:18:00,0,0,19.9,19.8,0.378,0.367,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 11:20:00,0,0,20.0,19.9,0.350,0.422,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:22:00,0,0,19.6,19.5,0.500,0.528,0,0,0.0111,0,0,0,0,0,0,0,0,0
2023-03-11 11:24:00,0,0,19.8,19.9,0.472,0.539,0,0,0,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:26:00,0,0,19.9,19.7,0.611,0.611,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0
2023-03-11 11:28:00,0,0,19.5,19.4,0.444,0.378,0,0,0,0,0,0,0,0,0,0,0,0
