"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-13 15:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 15:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 15:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 15:36:00,,,33.5,,,4.15,0.0517,0.0517,,,,0.366,,,
2023-03-13 15:38:00,,,33.5,,,4.15,0.0517,0.0517,,,,0.366,,,
2023-03-13 15:40:00,,,33.5,,,4.15,0.0517,0.0517,,,,0.366,,,
2023-03-13 15:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 15:44:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 15:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 15:48:00,,40.9,,,2.65,,0.0517,0.0517,,,15.6,,,,
2023-03-13 15:50:00,,40.9,,,2.65,,0.0517,0.0517,,,15.6,,,,
2023-03-13 15:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 15:54:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 15:56:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 15:58:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 16:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 16:02:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 16:04:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 16:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 16:08:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 16:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 16:12:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 16:14:00,,,33.6,,,4.58,0.0517,0.0517,,,,0.372,,,
2023-03-13 16:16:00,35.0,,33.6,2.80,,4.58,,,,0.400,,,,,
2023-03-13 16:18:00,35.0,,33.6,2.80,,4.58,,,,0.400,,,,,
2023-03-13 16:20:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 16:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 16:24:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
