"Time","min","avg","max","deleted","deleted max"
2023-02-22 18:38:00,105,2565,7468,22234,31087
2023-02-22 18:40:00,105,2565,7468,22234,31087
2023-02-22 18:42:00,105,2565,7468,22234,31087
2023-02-22 18:44:00,105,2565,7468,22234,31087
2023-02-22 18:46:00,105,2565,7468,22234,31087
2023-02-22 18:48:00,105,2565,7468,22234,31087
2023-02-22 18:50:00,105,2565,7468,22234,31087
2023-02-22 18:52:00,105,2565,7468,22234,31087
2023-02-22 18:54:00,105,2565,7468,22234,31087
2023-02-22 18:56:00,105,2565,7468,22234,31087
2023-02-22 18:58:00,105,2565,7468,22234,31087
2023-02-22 19:00:00,105,2565,7468,22234,31087
2023-02-22 19:02:00,105,2565,7468,22234,31087
2023-02-22 19:04:00,105,2565,7468,22234,31087
2023-02-22 19:06:00,105,2565,7468,22234,31087
2023-02-22 19:08:00,105,2565,7468,22234,31087
2023-02-22 19:10:00,105,2565,7468,22234,31087
2023-02-22 19:12:00,105,2565,7468,22234,31087
2023-02-22 19:14:00,105,2565,7468,22234,31087
2023-02-22 19:16:00,105,2565,7468,22234,31087
2023-02-22 19:18:00,105,2565,7468,22234,31087
2023-02-22 19:20:00,105,2565,7468,22234,31087
2023-02-22 19:22:00,105,2565,7468,22234,31087
2023-02-22 19:24:00,105,2565,7468,22234,31087
2023-02-22 19:26:00,105,2565,7468,22234,31087
2023-02-22 19:28:00,105,2565,7468,22234,31087
2023-02-22 19:30:00,105,2565,7468,22234,31087
2023-02-22 19:32:00,105,2565,7468,22234,31087
2023-02-22 19:34:00,105,2565,7468,22234,31087
2023-02-22 19:36:00,105,2565,7468,22234,31087
2023-02-22 19:38:00,105,2565,7468,22234,31087
2023-02-22 19:40:00,105,2565,7468,22234,31087
2023-02-22 19:42:00,105,2565,7468,22234,31087
2023-02-22 19:44:00,105,2565,7468,22234,31087
2023-02-22 19:46:00,105,2565,7468,22234,31087
2023-02-22 19:48:00,105,2565,7468,22234,31087
2023-02-22 19:50:00,105,2565,7468,22234,31087
2023-02-22 19:52:00,105,2565,7468,22234,31087
2023-02-22 19:54:00,105,2565,7468,22234,31087
2023-02-22 19:56:00,105,2565,7468,22234,31087
2023-02-22 19:58:00,105,2565,7468,22234,31087
2023-02-22 20:00:00,105,2565,7468,22234,31087
2023-02-22 20:02:00,105,2567,7468,26680,44425
2023-02-22 20:04:00,105,2567,7468,26680,44425
2023-02-22 20:06:00,105,2567,7468,26680,44425
2023-02-22 20:08:00,110,2527,7342,32563,44425
2023-02-22 20:10:00,110,2527,7342,32563,44425
2023-02-22 20:12:00,110,2527,7342,32563,44425
2023-02-22 20:14:00,110,2527,7342,32563,44425
2023-02-22 20:16:00,110,2527,7342,32563,44425
2023-02-22 20:18:00,110,2527,7342,32563,44425
2023-02-22 20:20:00,110,2527,7342,32563,44425
2023-02-22 20:22:00,110,2527,7342,32563,44425
2023-02-22 20:24:00,110,2527,7342,32563,44425
2023-02-22 20:26:00,110,2527,7342,32563,44425
2023-02-22 20:28:00,110,2527,7342,32563,44425
2023-02-22 20:30:00,110,2527,7342,32563,44425
2023-02-22 20:32:00,110,2527,7342,32563,44425
2023-02-22 20:34:00,110,2527,7342,32563,44425
2023-02-22 20:36:00,110,2527,7342,32563,44425
2023-02-22 20:38:00,110,2527,7342,32563,44425
2023-02-22 20:40:00,110,2527,7342,32563,44425
2023-02-22 20:42:00,110,2527,7342,32563,44425
2023-02-22 20:44:00,110,2527,7342,32563,44425
2023-02-22 20:46:00,110,2527,7342,32563,44425
2023-02-22 20:48:00,110,2527,7342,32563,44425
2023-02-22 20:50:00,110,2527,7342,32563,44425
2023-02-22 20:52:00,110,2527,7342,32563,44425
2023-02-22 20:54:00,110,2527,7342,32563,44425
2023-02-22 20:56:00,110,2527,7342,32563,44425
2023-02-22 20:58:00,110,2527,7342,32563,44425
2023-02-22 21:00:00,110,2527,7342,32563,44425
2023-02-22 21:02:00,110,2527,7342,32563,44425
2023-02-22 21:04:00,110,2527,7342,32563,44425
2023-02-22 21:06:00,110,2527,7342,32563,44425
2023-02-22 21:08:00,110,2527,7342,32563,44425
2023-02-22 21:10:00,110,2527,7342,32563,44425
2023-02-22 21:12:00,110,2527,7342,32563,44425
2023-02-22 21:14:00,110,2527,7342,32563,44425
2023-02-22 21:16:00,110,2527,7342,32563,44425
2023-02-22 21:18:00,110,2527,7342,32563,44425
2023-02-22 21:20:00,110,2527,7342,32563,44425
2023-02-22 21:22:00,110,2527,7342,32563,44425
2023-02-22 21:24:00,110,2527,7342,32563,44425
2023-02-22 21:26:00,110,2527,7342,32563,44425
2023-02-22 21:28:00,110,2527,7342,32563,44425
2023-02-22 21:30:00,110,2527,7342,32563,44425
2023-02-22 21:32:00,110,2527,7342,32563,44425
2023-02-22 21:34:00,110,2527,7342,32563,44425
2023-02-22 21:36:00,110,2527,7342,32563,44425
2023-02-22 21:38:00,110,2527,7342,32563,44425
2023-02-22 21:40:00,110,2527,7342,32563,44425
2023-02-22 21:42:00,110,2527,7342,32563,44425
2023-02-22 21:44:00,110,2527,7342,32563,44425
2023-02-22 21:46:00,110,2527,7342,32563,44425
2023-02-22 21:48:00,110,2527,7342,32563,44425
2023-02-22 21:50:00,110,2527,7342,32563,44425
2023-02-22 21:52:00,110,2527,7342,32563,44425
2023-02-22 21:54:00,110,2527,7342,32563,44425
2023-02-22 21:56:00,110,2527,7342,32563,44425
2023-02-22 21:58:00,110,2527,7342,32563,44425
2023-02-22 22:00:00,110,2527,7342,32563,44425
2023-02-22 22:02:00,110,2527,7342,32563,44425
2023-02-22 22:04:00,110,2527,7342,32563,44425
2023-02-22 22:06:00,110,2527,7342,32563,44425
2023-02-22 22:08:00,110,2527,7342,32563,44425
2023-02-22 22:10:00,110,2527,7342,32563,44425
2023-02-22 22:12:00,110,2527,7342,32563,44425
2023-02-22 22:14:00,110,2527,7342,32563,44425
2023-02-22 22:16:00,110,2527,7342,32563,44425
2023-02-22 22:18:00,110,2527,7342,32563,44425
2023-02-22 22:20:00,110,2527,7342,32563,44425
2023-02-22 22:22:00,110,2527,7342,32563,44425
2023-02-22 22:24:00,110,2527,7342,32563,44425
2023-02-22 22:26:00,110,2527,7342,32563,44425
2023-02-22 22:28:00,110,2527,7342,32563,44425
2023-02-22 22:30:00,110,2527,7342,32563,44425
2023-02-22 22:32:00,110,2527,7342,32563,44425
2023-02-22 22:34:00,110,2527,7342,32563,44425
2023-02-22 22:36:00,110,2527,7342,32563,44425
2023-02-22 22:38:00,110,2527,7342,32563,44425
2023-02-22 22:40:00,110,2527,7342,32563,44425
2023-02-22 22:42:00,110,2527,7342,32563,44425
2023-02-22 22:44:00,110,2527,7342,32563,44425
2023-02-22 22:46:00,110,2527,7342,32563,44425
2023-02-22 22:48:00,110,2527,7342,32563,44425
2023-02-22 22:50:00,110,2527,7342,32563,44425
2023-02-22 22:52:00,110,2527,7342,32563,44425
2023-02-22 22:54:00,110,2527,7342,32563,44425
2023-02-22 22:56:00,110,2527,7342,32563,44425
2023-02-22 22:58:00,110,2527,7342,32563,44425
2023-02-22 23:00:00,110,2527,7342,32563,44425
2023-02-22 23:02:00,110,2527,7342,32563,44425
2023-02-22 23:04:00,110,2527,7342,32563,44425
2023-02-22 23:06:00,110,2527,7342,32563,44425
2023-02-22 23:08:00,110,2527,7342,32563,44425
2023-02-22 23:10:00,110,2527,7342,32563,44425
2023-02-22 23:12:00,110,2527,7342,32563,44425
2023-02-22 23:14:00,110,2528,7342,32539,44354
2023-02-22 23:16:00,110,2528,7342,32539,44354
