"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc658d02a437db)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc658d02a437db)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-20 13:40:00,0,81.1,13638,46896,269,0,10663,4333,4307,0,1733,132,0,134,71.2,306,32.9,468,68266,3.67,0,31.6,66.1,65.7,0,107,0.600,121,20183,303,2585,225,81.1,0,20651,118976,270,0,2984,1432,1415,0,204,31.6,0,31.6,70.2,378,23.2,261,2512,3.80,0,25.5,41,41.4,0,236,0.989,29.0,10226,441,1281,221
2023-03-20 13:42:00,0,81.5,13163,47277,269,0,15392,4713,4523,0,1945,122,0,124,297,305,33.5,471,68410,3.43,0,31.6,66.1,65.7,0,104,0,126,21562,307,2586,220,81.5,0,22029,126685,269,0,3713,1496,1434,0,221,33.9,0,29.0,79.9,378,23.6,262,2515,3.57,0,25.5,40.6,42.1,0,232,0,35.3,9753,438,1283,215
2023-03-20 13:44:00,0,84.4,13370,47612,269,0,13824,4713,4519,0,1951,128,0,129,297,308,30.7,470,68394,3.67,0,32.0,65.5,66.1,0,102,38.0,121,20255,508,2583,223,84.4,0,20960,123877,269,0,3720,1499,1440,0,217,30.3,0,35.2,79.5,376,19.7,262,2535,3.80,0,25.5,39.9,41.1,0,233,35.0,29.0,9797,585,1284,224
2023-03-20 13:46:00,0,77.8,15942,49712,269,0,12275,4330,4305,0,1785,139,0,140,72.3,305,32.1,468,68220,4.13,0,32.0,65.6,65.3,0,9813,38.0,121,29016,506,2582,221,77.8,0,29671,140608,270,0,3053,1444,1438,0.389,237,32.9,0,32.9,70.2,378,21.6,261,2515,4.27,0,25.5,40.6,41.4,0,307,35.0,29.0,12386,588,1282,216
2023-03-20 13:48:00,0,79.6,16023,50459,269,0,15504,4710,4536,0,1956,128,0,129,1790,307,33.6,468,68352,4.13,0,31.6,66.4,65.7,0,9895,0,120,19370,307,2585,225,79.6,0,19853,136340,269,0,3782,1508,1434,0.389,220,30.3,0,30.3,105,378,22.5,261,2501,4.27,0,25.5,41,42.1,0,336,0,29.0,12602,439,1280,220
2023-03-20 13:50:00,0,82.9,14275,47741,270,0,10697,4346,4316,0,1741,122,0,124,1566,306,32.2,468,68231,3.67,0,31.6,66.1,66.1,0.389,109,0.600,126,29590,305,2587,222,82.9,0,30008,130298,270,0,3056,1464,1435,0,214,29.0,0,29.0,95.1,378,20.6,261,2517,3.80,0,25.5,40.6,41,0,235,0.600,30.3,10879,439,1282,219
2023-03-20 13:52:00,0,80.4,13968,48753,270,0,17213,4809,28142,0,1965,128,0,129,288,309,31.5,468,68431,3.43,0,31.6,65.7,66.1,0.389,103,0,132,19822,303,2584,224,80.4,0,20278,151262,270,0,3805,1547,2020,0,221,30.3,0,30.3,75.0,376,20.5,261,2517,3.57,0,25.5,40.6,42.1,0,232,0,31.6,10555,441,1279,224
2023-03-20 13:54:00,0,78.9,13903,48692,269,0,13945,4794,28140,0,1961,133,0,135,296,311,30.7,468,68449,3.43,0,31.6,65.8,65.7,0,101,0.600,126,20268,302,2582,223,78.9,0,20744,148220,269,0,3732,1536,2014,0,226,31.6,0,31.6,79.9,376,19.7,261,2524,3.57,0,25.5,40.3,41.4,0,233,0.600,30.3,10489,442,1277,224
2023-03-20 13:56:00,0,76.0,15300,48973,270,0,12283,4336,4327,0,1728,133,0,135,71.2,307,33.5,468,68215,3.43,0,31.6,65.9,66.3,0,104,95.1,126,28992,807,2585,221,76.0,0,29972,130979,270,0,3052,1458,1418,0,202,31.6,0,31.6,70.2,378,23.4,261,2501,3.57,0,25.5,40.3,41.7,0,231,87.7,30.3,11495,806,1281,215
2023-03-20 13:58:00,0.389,80.7,14212,48652,270,0,15507,4730,4558,0,1960,127,0,128,2571,310,30.7,467,68417,3.43,0,31.6,65.8,66.1,0,190,65.8,126,20306,657,2587,223,80.7,0.389,21192,128717,269,0,3795,1529,1429,0,230,30.3,0,30.3,111,376,19.7,260,2519,3.57,0,25.5,40.3,41,0,260,60.7,30.3,10495,698,1283,218
