"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc19baac49013b)","Transmit Total (lxc19bdc82a2f8f)","Transmit Total (lxc1b15a2b5a9b5)","Transmit Total (lxc3a49c4605d4a)","Transmit Total (lxc3f917ecdd144)","Transmit Total (lxc4861fd3a4dcf)","Transmit Total (lxc4a88113a0197)","Transmit Total (lxc4b2dfaf1f74a)","Transmit Total (lxc5a020ca534a0)","Transmit Total (lxc5cf8d3667393)","Transmit Total (lxc65ec27df4c0e)","Transmit Total (lxc743fe122abe5)","Transmit Total (lxc7d95b9b6996f)","Transmit Total (lxc95534620e067)","Transmit Total (lxc9a7e0a10e978)","Transmit Total (lxc9ce1df3cef22)","Transmit Total (lxc9e21ad79a680)","Transmit Total (lxc9f3e81538c96)","Transmit Total (lxc_health)","Transmit Total (lxcaaca9437fdda)","Transmit Total (lxcaaf1223a92e5)","Transmit Total (lxcc21393e88703)","Transmit Total (lxcd26f8087f5ee)","Transmit Total (lxce343dc06c7ec)","Transmit Total (lxce4b97a3a4d29)","Transmit Total (lxced3e9eb0aabf)","Transmit Total (lxcf169989722c7)","Transmit Total (lxcf489e20e115b)","Transmit Total (lxcfa7642c28950)","Transmit Total (lxcfb46c47f9dae)","Transmit Total (lxcfbc3aeaf7c5d)","Transmit Total (lxcff8e8ef11844)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc19baac49013b)","Receive Total (lxc19bdc82a2f8f)","Receive Total (lxc1b15a2b5a9b5)","Receive Total (lxc3a49c4605d4a)","Receive Total (lxc3f917ecdd144)","Receive Total (lxc4861fd3a4dcf)","Receive Total (lxc4a88113a0197)","Receive Total (lxc4b2dfaf1f74a)","Receive Total (lxc5a020ca534a0)","Receive Total (lxc5cf8d3667393)","Receive Total (lxc65ec27df4c0e)","Receive Total (lxc743fe122abe5)","Receive Total (lxc7d95b9b6996f)","Receive Total (lxc95534620e067)","Receive Total (lxc9a7e0a10e978)","Receive Total (lxc9ce1df3cef22)","Receive Total (lxc9e21ad79a680)","Receive Total (lxc9f3e81538c96)","Receive Total (lxc_health)","Receive Total (lxcaaca9437fdda)","Receive Total (lxcaaf1223a92e5)","Receive Total (lxcc21393e88703)","Receive Total (lxcd26f8087f5ee)","Receive Total (lxce343dc06c7ec)","Receive Total (lxce4b97a3a4d29)","Receive Total (lxced3e9eb0aabf)","Receive Total (lxcf169989722c7)","Receive Total (lxcf489e20e115b)","Receive Total (lxcfa7642c28950)","Receive Total (lxcfb46c47f9dae)","Receive Total (lxcfbc3aeaf7c5d)","Receive Total (lxcff8e8ef11844)"
2023-03-04 11:40:00,0,11485,12242,68958,0,85.7,384,0,0,0,66.4,135,134,160,65.7,224,33.5,69920,132,385,90.9,0,1943,32.3,6750,6.03,154,77,1745,133,3.90,0,296,0,415,1757,157,11485,0,11645,71176,0,64.7,82.9,0,0.389,0,41,22.8,22.8,91.7,40.6,232,24.2,2463,22.8,448,94.6,0,2330,26.2,1030,12.3,592,3540,161,22.8,4.03,0,448,0,6171,176,136
2023-03-04 11:42:00,0,10483,31864,116190,0,85.7,469,0,0,0,66.4,141,134,160,66.1,219,32.9,69980,126,436,90.5,0,1962,32.3,6908,3.73,18469,76.2,1826,138,3.90,0,297,0,1197,1844,154,10483,0,12523,74012,0,64.7,91.7,0,0,0,41.4,23.8,22.8,96.4,41,226,27.9,2457,21.9,516,95,0,2184,26.2,1028,3.73,20688,3539,174,23.8,4.03,0,446,0,22647,205,135
2023-03-04 11:44:00,0,10090,35139,92061,0,87.2,132,0,0,0,65.7,130,134,162,66.1,222,32.3,69922,126,410,89.8,0,1927,32.3,7411,4.41,22064,119,1746,127,3.67,0,504,0,1720,1765,153,10090,0,12801,73336,0,66.2,71.3,0,0,0,41,21.9,22.8,96.0,41,223,26.7,2443,21.9,489,95,0,2280,26.2,1042,4.82,24657,3580,170,21.9,3.80,0,594,0,25838,204,134
2023-03-04 11:46:00,0,10641,12758,70948,0,87.6,216,0,0,0,66.4,124,123,163,65.7,224,32.9,69988,121,421,89.8,0,1987,32.3,6891,5.44,176,120,1818,122,3.90,0,298,0,424,1833,153,10641,0,10819,70530,0,66.2,80.5,0,0,0,41.4,20.9,20.9,96.8,40.3,226,22.4,2453,20.9,499,95,0,2278,26.2,1073,6.19,600,3558,153,20.9,4.03,0,447,0,6275,183,134
2023-03-04 11:48:00,0,11722,13243,69340,0,87.6,274,0,0,0,66.1,124,129,161,66.1,224,32.1,70039,120,378,89.8,0,2014,32.3,6990,4.40,178,76.3,1873,127,3.67,0,297,0,417,1897,154,11722,0,11876,72137,0,66.2,82.0,0,0,0,41.4,20.9,21.9,94.2,40.6,226,22.0,2462,20.9,437,95,0,2197,26.2,1078,4.77,598,3539,167,21.9,3.80,0,447,0,6167,202,142
2023-03-04 11:50:00,0,10831,12239,71406,0,87.2,130,0,0,0,66.1,124,129,160,66.1,219,32.3,69940,126,385,89.4,0,1929,32.3,6793,5.13,177,76.1,1761,122,3.67,0,298,0,430,1780,155,10831,0,10993,71138,0,66.2,71.7,0,0,0,41.4,20.9,26.8,96.5,41,225,21.8,2462,21.9,443,95,0,2297,26.2,1012,5.56,596,3540,175,20.9,3.80,0,447,0,6381,204,142
2023-03-04 11:52:00,0,10784,26265,88160,0,87.2,216,0,0,0,66.1,118,117,163,66.1,225,31.5,69978,115,436,89.4,0,1952,32.3,6968,7.68,13096,76.4,1843,116,3.67,0,298,0,973,1852,150,10784,0,12285,73095,0,66.2,80.5,0,0,0,42.1,24.9,24.9,100,40.6,232,20.5,2448,24.9,519,95,0,2179,26.2,1053,8.16,14803,3539,179,24.9,3.80,0,447,0,17877,197,135
2023-03-04 11:54:00,0,10045,35014,90496,0,87.2,131,0,0,0,66.1,118,118,160,66.1,224,30.7,69917,121,408,90.9,0,1919,32.3,6715,6.28,21945,121,1749,116,4.37,0,501,0,1722,1773,153,10045,0,12753,73370,0,66.2,71.3,0,0,0,41.4,20.0,20.0,94.2,40.6,226,20.1,2442,20.9,489,94.6,0,2284,26.2,1070,6.33,24548,3556,162,20.0,4.50,0,594,0,25738,182,136
2023-03-04 11:56:00,0,10521,12732,71393,0,87.2,204,0,0,0,66.1,135,134,163,66.1,222,32.9,69973,132,395,90.5,0,1974,32.3,6977,4.77,176,122,1840,132,4.37,0,298,0,433,1858,155,10521,0,10685,71384,0,66.2,73.1,0,0,0,41,22.8,22.8,95.7,40.6,222,27.8,2445,22.8,458,95,0,2280,26.2,1055,5.19,602,3557,149,22.8,4.50,0,447,0,6380,179,136
2023-03-04 11:58:00,0,12055,13233,69225,0,86.5,1602,0,0,0,65.7,124,123,163,66.1,223,32.9,70024,121,377,90.5,0,2010,32.3,6946,4.63,173,76.9,1888,122,4.37,0,298,0,423,1910,154,12055,0,12209,73140,0,65.5,103,0,0,0,41.4,20.9,20.9,102,40.6,224,22.9,2463,20.9,436,95,0,2200,26.2,1045,5.06,595,3540,156,20.9,4.50,0,447,0,6281,185,135
