"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc138fa602f19f)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc138fa602f19f)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-21 21:10:00,0,79.3,14698,46529,270,0,0,9315,4348,4534,0,1949,116,0,117,308,34.3,119,67683,4.13,0,31.6,66.1,65.7,0.389,110,0.600,445,20247,305,2586,221,79.3,0,20693,117018,270,0,0,1897,1416,1409,0,182,27.7,0,20.0,378,24.3,20.0,2492,4.27,0,25.5,40.6,41.4,0,235,0.600,249,11349,440,1283,217
2023-03-21 21:12:00,0,84.0,13021,44793,270,0,0,8866,4730,4391,0,1807,128,0,129,307,32.1,125,67531,4.13,0,31.8,65.7,65.7,0,105,0.600,450,26972,309,2582,222,84.0,0,27399,123150,270,0,0,1819,1497,1416,0,191,30.3,0,21.9,377,21.6,26.7,2469,4.27,0,25.7,40.3,40.3,0,231,0.600,260,9680,436,1277,217
2023-03-21 21:14:00,0,85.5,13351,45560,269,0,0,9090,4349,27304,0,1882,121,0,124,307,30.7,130,67634,4.13,0,32.0,65.7,65.7,0,105,0,449,17260,305,2584,218,85.5,0,17717,136961,270,0,0,1840,1436,1965,0.389,196,29.0,0,20.9,378,19.7,27.6,2477,4.27,0,26.0,40.3,41.7,0,231,0,255,9994,440,1278,213
2023-03-21 21:16:00,0,81.1,16375,48409,270,0,0,8879,4733,4402,0,1813,122,0,124,306,32.1,136,67620,4.13,0,32.4,66.4,65.7,0,105,37.6,446,26119,504,2588,226,81.1,0,26759,123287,270,0,0,1804,1499,1429,0,207,29.0,0,20.9,379,21.5,22.8,2478,4.27,0,26.0,41.4,42.9,0,231,34.7,249,12876,587,1293,227
2023-03-21 21:18:00,0.389,78.2,16117,48191,269,0,0,9117,4732,4507,0,1894,122,0,124,305,35.0,129,67657,4.13,0,31.8,66.4,65.8,0,200,0,448,17218,307,2585,222,78.2,0.389,17670,114051,269,0,0,1843,1489,1448,0,203,34.0,0,20.9,378,24.2,21.9,2510,4.27,0,25.7,41.4,42.8,0,276,0,253,12768,437,1290,218
2023-03-21 21:20:00,0.389,78.5,13336,45292,270,0.389,0,9324,4351,4528,0,1964,128,0,135,304,30.7,124,67712,4.13,0.389,31.6,66.1,67.2,0,122,0.600,449,20231,309,2585,211,78.5,0.389,20673,117151,270,0,0,1941,1455,1440,0,234,30.3,0,22.8,380,19.7,20.9,2502,4.27,0,25.5,40.6,42.8,0,250,0.600,260,9988,437,1281,212
2023-03-21 21:22:00,0,82.9,15405,47362,270,0.389,0,8863,4782,4407,0,1801,128,0,135,307,30.7,124,67521,4.13,0.389,31.6,65.7,66.4,0,106,0.600,447,29906,308,2585,223,82.9,0,30298,126761,270,0,0,1789,1517,1428,0,210,30.3,0,22.8,377,19.7,20.9,2467,4.27,0,25.5,40.3,41.7,0,230,0.600,252,12086,438,1280,219
2023-03-21 21:24:00,0,80.4,13681,45762,269,0,0,22486,5175,5223,0,2612,133,0,128,310,31.5,124,67613,4.60,0,31.6,65.9,65.7,0,103,0,447,20229,305,2585,219,80.4,0,20687,132981,269,0,0,2077,1498,1437,0,227,31.6,0,27.4,376,20.6,20.9,2483,4.73,0,25.5,40.3,41.4,0,232,0,252,10321,441,1281,213
2023-03-21 21:26:00,0,80.4,17835,50375,270,0,0,22224,5443,5105,0,2575,122,0,135,306,34.3,119,67584,4.83,0,31.6,65.7,65.3,0,9772,37.6,448,28951,506,2584,225,80.4,0,29577,152103,270,0,0,2069,1481,1448,0,252,29.0,0,28.3,376,24.3,20.0,2475,4.97,0,25.5,40.7,40.6,0,294,34.7,252,14339,587,1280,226
2023-03-21 21:28:00,0,85.1,15985,47990,269,0,0,8868,4715,4375,0,1849,121,0,123,304,32.1,130,67585,4.37,0,31.6,65.7,65.8,0,9857,0,447,19194,306,2585,220,85.1,0,19638,125367,269,0,0,1829,1488,1424,0,235,29.0,0,20.9,378,21.6,21.9,2472,4.50,0.389,25.5,40.7,40.6,0,323,0,251,12631,440,1280,215
