"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-22 09:18:00,0,0,0,85860,85860,0
2023-03-22 09:20:00,0,0,0,42007,42007,0
2023-03-22 09:22:00,0,0,0,88246,88246,0
2023-03-22 09:24:00,0,0,0,87154,87154,0
2023-03-22 09:26:00,0,0,0,37934,37934,0
2023-03-22 09:28:00,0,0,0,82443,82443,0
2023-03-22 09:30:00,0,0,0,35317,35317,0
2023-03-22 09:32:00,0,0,0,105472,105472,0
2023-03-22 09:34:00,0,0,0,105335,105335,0
2023-03-22 09:36:00,0,0,0,40823,40823,0
2023-03-22 09:38:00,0,0,0,84878,84878,0
2023-03-22 09:40:00,0,0,0,43804,43804,0
2023-03-22 09:42:00,0,0,0,107427,107427,0
2023-03-22 09:44:00,0,0,0,108385,108385,0
2023-03-22 09:46:00,0,0,0,40664,40664,0
2023-03-22 09:48:00,0,0,0,83604,83604,0
2023-03-22 09:50:00,0,0,0,43941,43941,0
2023-03-22 09:52:00,0,0,0,86016,86016,0
2023-03-22 09:54:00,0,0,0,86767,86767,0
2023-03-22 09:56:00,0,0,0,41483,41483,0
2023-03-22 09:58:00,0,0,0,86403,86403,0
2023-03-22 10:00:00,0,0,0,37865,37865,0
2023-03-22 10:02:00,0,0,0,269175,269175,0
2023-03-22 10:04:00,0,0,0,85288,85288,0
2023-03-22 10:06:00,0,0,0,46239,46239,0
2023-03-22 10:08:00,0,0,0,91978,91978,0
2023-03-22 10:10:00,0,0,0,44419,44419,0
2023-03-22 10:12:00,0,0,0,86380,86380,0
2023-03-22 10:14:00,0,0,0,91614,91614,0
2023-03-22 10:16:00,0,0,0,41188,41188,0
2023-03-22 10:18:00,0,0,0,110956,110956,0
2023-03-22 10:20:00,250,250,0,45033,45033,0
2023-03-22 10:22:00,0,0,0,82557,82557,0
2023-03-22 10:24:00,0,0,0,87973,87973,0
2023-03-22 10:26:00,45.5,45.5,0,44760,44760,0
2023-03-22 10:28:00,45.5,45.5,0,91364,91364,0
2023-03-22 10:30:00,0,0,0,40459,40459,0
2023-03-22 10:32:00,0,0,0,105244,105244,0
2023-03-22 10:34:00,0,0,0,110865,110865,0
2023-03-22 10:36:00,0,0,0,45784,45784,0
2023-03-22 10:38:00,0,0,0,84309,84309,0
2023-03-22 10:40:00,0,0,0,39003,39003,0
2023-03-22 10:42:00,0,0,0,89975,89975,0
2023-03-22 10:44:00,0,0,0,86380,86380,0
2023-03-22 10:46:00,0,0,0,40095,40095,0
2023-03-22 10:48:00,0,0,0,85129,85129,0
2023-03-22 10:50:00,0,0,0,41028,41028,0
2023-03-22 10:52:00,0,0,0,85493,85493,0
2023-03-22 10:54:00,0,0,0,80145,80145,0
2023-03-22 10:56:00,0,0,0,44715,44715,0
2023-03-22 10:58:00,0,0,0,92407,92407,0
2023-03-22 11:00:00,0,0,0,41574,41574,0
2023-03-22 11:02:00,0,0,0,131254,131254,0
2023-03-22 11:04:00,0,0,0,133211,133211,0
2023-03-22 11:06:00,0,0,0,40414,40414,0
2023-03-22 11:08:00,0,0,0,84082,84082,0
2023-03-22 11:10:00,0,0,0,40892,40892,0
2023-03-22 11:12:00,0,0,0,83149,83149,0
2023-03-22 11:14:00,0,0,0,85060,85060,0
2023-03-22 11:16:00,0,0,0,41847,41847,0
2023-03-22 11:18:00,0,0,0,86881,86881,0
2023-03-22 11:20:00,0,0,0,41188,41188,0
2023-03-22 11:22:00,0,0,0,118966,118966,0
2023-03-22 11:24:00,0,0,0,122470,122470,0
2023-03-22 11:26:00,0,0,0,43327,43327,0
2023-03-22 11:28:00,0,0,0,86767,86767,0
2023-03-22 11:30:00,0,0,0,40141,40141,0
2023-03-22 11:32:00,0,0,0,107474,107474,0
2023-03-22 11:34:00,0,0,0,111753,111753,0
2023-03-22 11:36:00,0,0,0,45079,45079,0
2023-03-22 11:38:00,0,0,0,86653,86653,0
2023-03-22 11:40:00,0,0,0,39367,39367,0
2023-03-22 11:42:00,0,0,0,107383,107383,0
2023-03-22 11:44:00,0,0,0,114301,114301,0
2023-03-22 11:46:00,0,0,0,48265,48265,0
2023-03-22 11:48:00,0,0,0,85931,85931,0
2023-03-22 11:50:00,0,0,0,44851,44851,0
