"Time","Read (sda)","Write (sda)"
2023-03-11 17:02:00,0,223209
2023-03-11 17:04:00,0,221750
2023-03-11 17:06:00,0,116557
2023-03-11 17:08:00,0,44373
2023-03-11 17:10:00,0,116795
2023-03-11 17:12:00,0,86105
2023-03-11 17:14:00,0,75389
2023-03-11 17:16:00,0,109740
2023-03-11 17:18:00,0,48930
2023-03-11 17:20:00,0,119498
2023-03-11 17:22:00,0,83230
2023-03-11 17:24:00,0,78962
2023-03-11 17:26:00,0,117874
2023-03-11 17:28:00,0,54256
2023-03-11 17:30:00,0,127681
2023-03-11 17:32:00,0,47309
2023-03-11 17:34:00,0,115143
2023-03-11 17:36:00,0,119376
2023-03-11 17:38:00,0,54272
2023-03-11 17:40:00,0,120991
2023-03-11 17:42:00,0,53726
2023-03-11 17:44:00,0,121264
2023-03-11 17:46:00,0,119761
2023-03-11 17:48:00,0,52969
2023-03-11 17:50:00,0,113892
2023-03-11 17:52:00,0,47747
2023-03-11 17:54:00,0,114201
2023-03-11 17:56:00,0,115644
2023-03-11 17:58:00,0,45579
2023-03-11 18:00:00,0,117828
2023-03-11 18:02:00,0,890048
2023-03-11 18:04:00,0,111785
2023-03-11 18:06:00,0,110546
2023-03-11 18:08:00,0,47701
2023-03-11 18:10:00,0,114788
2023-03-11 18:12:00,0,50079
2023-03-11 18:14:00,0,113755
2023-03-11 18:16:00,0,116008
2023-03-11 18:18:00,0,47303
2023-03-11 18:20:00,0,115516
2023-03-11 18:22:00,0,48077
2023-03-11 18:24:00,0,114119
2023-03-11 18:26:00,0,113641
2023-03-11 18:28:00,0,51428
2023-03-11 18:30:00,0,120455
2023-03-11 18:32:00,0,51496
2023-03-11 18:34:00,0,118238
2023-03-11 18:36:00,0,118679
2023-03-11 18:38:00,0,50762
2023-03-11 18:40:00,0,119922
2023-03-11 18:42:00,0,50654
2023-03-11 18:44:00,0,119344
2023-03-11 18:46:00,0,118525
2023-03-11 18:48:00,0,50597
2023-03-11 18:50:00,0,119111
2023-03-11 18:52:00,0,50881
2023-03-11 18:54:00,0,118474
2023-03-11 18:56:00,0,119034
2023-03-11 18:58:00,0,49903
2023-03-11 19:00:00,0,117919
2023-03-11 19:02:00,0,192967
2023-03-11 19:04:00,0,164386
2023-03-11 19:06:00,0,116759
2023-03-11 19:08:00,0,51411
2023-03-11 19:10:00,0,119239
2023-03-11 19:12:00,0,51723
2023-03-11 19:14:00,0,116895
2023-03-11 19:16:00,0,118133
2023-03-11 19:18:00,0,51723
2023-03-11 19:20:00,0,120317
2023-03-11 19:22:00,0,52332
2023-03-11 19:24:00,0,119612
2023-03-11 19:26:00,0,118520
2023-03-11 19:28:00,0,51063
2023-03-11 19:30:00,0,120710
2023-03-11 19:32:00,0,52998
2023-03-11 19:34:00,0,118465
2023-03-11 19:36:00,0,118998
2023-03-11 19:38:00,0,52975
2023-03-11 19:40:00,0,119890
2023-03-11 19:42:00,0,52565
2023-03-11 19:44:00,0,120331
2023-03-11 19:46:00,0,118957
2023-03-11 19:48:00,0,50955
2023-03-11 19:50:00,0,121250
2023-03-11 19:52:00,0,51814
2023-03-11 19:54:00,0,119032
2023-03-11 19:56:00,0,119761
2023-03-11 19:58:00,0,50176
2023-03-11 20:00:00,0,119731
2023-03-11 20:02:00,0,361586
2023-03-11 20:04:00,0,119831
2023-03-11 20:06:00,0,117396
2023-03-11 20:08:00,0,50352
2023-03-11 20:10:00,0,118511
2023-03-11 20:12:00,0,50904
2023-03-11 20:14:00,0,118092
2023-03-11 20:16:00,0,117705
2023-03-11 20:18:00,0,50353
2023-03-11 20:20:00,0,119489
2023-03-11 20:22:00,0,51246
2023-03-11 20:24:00,0,118170
2023-03-11 20:26:00,0,116722
2023-03-11 20:28:00,0,49983
2023-03-11 20:30:00,0,117305
2023-03-11 20:32:00,0,51160
2023-03-11 20:34:00,0,118261
2023-03-11 20:36:00,0,117419
2023-03-11 20:38:00,0,49761
2023-03-11 20:40:00,0,118716
2023-03-11 20:42:00,0,53833
2023-03-11 20:44:00,0,118088
2023-03-11 20:46:00,0,117883
2023-03-11 20:48:00,0,50222
2023-03-11 20:50:00,0,117669
2023-03-11 20:52:00,0,52253
2023-03-11 20:54:00,0,117055
2023-03-11 20:56:00,0,117592
2023-03-11 20:58:00,0,48720
2023-03-11 21:00:00,0,118477
2023-03-11 21:02:00,0,191374
2023-03-11 21:04:00,0,164887
2023-03-11 21:06:00,0,117064
2023-03-11 21:08:00,0,50176
2023-03-11 21:10:00,0,117669
2023-03-11 21:12:00,0,50961
2023-03-11 21:14:00,0,117550
2023-03-11 21:16:00,0,117806
2023-03-11 21:18:00,0,50341
2023-03-11 21:20:00,0,117637
2023-03-11 21:22:00,0,50113
2023-03-11 21:24:00,0,118070
2023-03-11 21:26:00,0,115940
2023-03-11 21:28:00,0,51399
2023-03-11 21:30:00,0,123116
2023-03-11 21:32:00,0,53172
2023-03-11 21:34:00,0,121227
2023-03-11 21:36:00,0,120627
2023-03-11 21:38:00,0,50699
2023-03-11 21:40:00,0,119171
2023-03-11 21:42:00,0,53931
2023-03-11 21:44:00,0,120673
2023-03-11 21:46:00,0,120536
2023-03-11 21:48:00,0,53385
2023-03-11 21:50:00,0,123577
2023-03-11 21:52:00,0,53544
2023-03-11 21:54:00,0,120536
2023-03-11 21:56:00,0,118374
2023-03-11 21:58:00,0,51200
2023-03-11 22:00:00,0,121196
2023-03-11 22:02:00,0,377721
2023-03-11 22:04:00,0,120499
2023-03-11 22:06:00,0,117692
2023-03-11 22:08:00,0,49926
2023-03-11 22:10:00,0,120228
2023-03-11 22:12:00,0,51450
2023-03-11 22:14:00,0,120081
2023-03-11 22:16:00,0,118761
2023-03-11 22:18:00,0,52025
2023-03-11 22:20:00,0,118693
2023-03-11 22:22:00,0,43822
2023-03-11 22:24:00,0,118270
2023-03-11 22:26:00,0,111593
2023-03-11 22:28:00,0,48274
2023-03-11 22:30:00,0,112071
2023-03-11 22:32:00,0,45870
2023-03-11 22:34:00,0,114938
2023-03-11 22:36:00,0,116827
2023-03-11 22:38:00,0,46239
2023-03-11 22:40:00,0,119558
2023-03-11 22:42:00,0,51570
2023-03-11 22:44:00,0,119785
2023-03-11 22:46:00,0,119603
2023-03-11 22:48:00,0,50392
2023-03-11 22:50:00,0,118738
2023-03-11 22:52:00,0,50625
2023-03-11 22:54:00,0,118374
2023-03-11 22:56:00,0,118056
2023-03-11 22:58:00,0,50199
2023-03-11 23:00:00,0,116531
2023-03-11 23:02:00,22.8,194628
2023-03-11 23:04:00,22.8,172123
2023-03-11 23:06:00,0,118579
2023-03-11 23:08:00,0,52315
2023-03-11 23:10:00,0,120027
2023-03-11 23:12:00,0,51695
2023-03-11 23:14:00,0,120058
2023-03-11 23:16:00,0,118420
2023-03-11 23:18:00,0,51547
2023-03-11 23:20:00,0,118033
2023-03-11 23:22:00,0,51461
2023-03-11 23:24:00,0,119262
2023-03-11 23:26:00,0,119535
2023-03-11 23:28:00,0,50875
2023-03-11 23:30:00,0,117965
2023-03-11 23:32:00,0,44464
2023-03-11 23:34:00,0,115066
2023-03-11 23:36:00,0,119103
2023-03-11 23:38:00,0,51177
2023-03-11 23:40:00,0,113651
2023-03-11 23:42:00,0,44869
2023-03-11 23:44:00,0,113550
2023-03-11 23:46:00,0,118752
2023-03-11 23:48:00,0,50068
2023-03-11 23:50:00,0,118647
2023-03-11 23:52:00,0,50495
2023-03-11 23:54:00,0,119649
2023-03-11 23:56:00,0,120163
2023-03-11 23:58:00,0,51359
2023-03-12 00:00:00,0,120436
2023-03-12 00:02:00,4119,929883
2023-03-12 00:04:00,0,120172
2023-03-12 00:06:00,0,118215
2023-03-12 00:08:00,0,52007
2023-03-12 00:10:00,0,121251
2023-03-12 00:12:00,0,53885
2023-03-12 00:14:00,0,120422
2023-03-12 00:16:00,0,119456
2023-03-12 00:18:00,0,52696
2023-03-12 00:20:00,0,121037
2023-03-12 00:22:00,0,54022
2023-03-12 00:24:00,0,120459
2023-03-12 00:26:00,0,118192
2023-03-12 00:28:00,0,50495
2023-03-12 00:30:00,0,118656
2023-03-12 00:32:00,0,50625
2023-03-12 00:34:00,0,118465
2023-03-12 00:36:00,0,117513
2023-03-12 00:38:00,0,51132
2023-03-12 00:40:00,0,118147
2023-03-12 00:42:00,0,52133
2023-03-12 00:44:00,0,117487
2023-03-12 00:46:00,0,114187
2023-03-12 00:48:00,0,47627
2023-03-12 00:50:00,0,114756
2023-03-12 00:52:00,0,48742
2023-03-12 00:54:00,0,115607
2023-03-12 00:56:00,0,116930
2023-03-12 00:58:00,0,46626
2023-03-12 01:00:00,0,117100
2023-03-12 01:02:00,0,162975
2023-03-12 01:04:00,0,259565
2023-03-12 01:06:00,0,115999
2023-03-12 01:08:00,0,46694
2023-03-12 01:10:00,0,118511
2023-03-12 01:12:00,0,48456
2023-03-12 01:14:00,0,115484
2023-03-12 01:16:00,0,114633
2023-03-12 01:18:00,0,47627
2023-03-12 01:20:00,0,114620
2023-03-12 01:22:00,0,47036
2023-03-12 01:24:00,0,116577
2023-03-12 01:26:00,0,113664
2023-03-12 01:28:00,0,46439
2023-03-12 01:30:00,0,112627
2023-03-12 01:32:00,0,48014
2023-03-12 01:34:00,0,117874
2023-03-12 01:36:00,0,119103
2023-03-12 01:38:00,0,50944
2023-03-12 01:40:00,0,118772
2023-03-12 01:42:00,0,49948
2023-03-12 01:44:00,0,115726
2023-03-12 01:46:00,0,123244
2023-03-12 01:48:00,0,50381
2023-03-12 01:50:00,0,119658
2023-03-12 01:52:00,0,49374
2023-03-12 01:54:00,0,123730
2023-03-12 01:56:00,0,121606
2023-03-12 01:58:00,0,46666
2023-03-12 02:00:00,0,113573
2023-03-12 02:02:00,0,374761
2023-03-12 02:04:00,0,121014
2023-03-12 02:06:00,0,118761
2023-03-12 02:08:00,0,51041
2023-03-12 02:10:00,0,122425
2023-03-12 02:12:00,0,53294
2023-03-12 02:14:00,0,119931
2023-03-12 02:16:00,0,119089
2023-03-12 02:18:00,0,51012
2023-03-12 02:20:00,0,114005
2023-03-12 02:22:00,0,44783
2023-03-12 02:24:00,0,114096
2023-03-12 02:26:00,0,113573
2023-03-12 02:28:00,0,48930
2023-03-12 02:30:00,0,116031
2023-03-12 02:32:00,0,52611
2023-03-12 02:34:00,0,118270
2023-03-12 02:36:00,0,119808
2023-03-12 02:38:00,0,50716
2023-03-12 02:40:00,0,118295
2023-03-12 02:42:00,0,49601
2023-03-12 02:44:00,0,119376
2023-03-12 02:46:00,0,120172
2023-03-12 02:48:00,0,52679
2023-03-12 02:50:00,0,118884
2023-03-12 02:52:00,0,47400
2023-03-12 02:54:00,0,110546
2023-03-12 02:56:00,0,114360
2023-03-12 02:58:00,0,54324
2023-03-12 03:00:00,0,120273
2023-03-12 03:02:00,0,190532
2023-03-12 03:04:00,0,165729
2023-03-12 03:06:00,0,120058
2023-03-12 03:08:00,0,52025
2023-03-12 03:10:00,0,116927
2023-03-12 03:12:00,0,53658
2023-03-12 03:14:00,0,118434
2023-03-12 03:16:00,0,121387
2023-03-12 03:18:00,0,53043
2023-03-12 03:20:00,0,120309
2023-03-12 03:22:00,0,50216
2023-03-12 03:24:00,0,119521
2023-03-12 03:26:00,0,120058
2023-03-12 03:28:00,0,51632
2023-03-12 03:30:00,0,153128
2023-03-12 03:32:00,0,52656
2023-03-12 03:34:00,0,118830
2023-03-12 03:36:00,0,119180
2023-03-12 03:38:00,0,52087
2023-03-12 03:40:00,0,119799
2023-03-12 03:42:00,0,53385
2023-03-12 03:44:00,0,119831
2023-03-12 03:46:00,0,122197
2023-03-12 03:48:00,0,52292
2023-03-12 03:50:00,0,118966
2023-03-12 03:52:00,0,49357
2023-03-12 03:54:00,0,116827
2023-03-12 03:56:00,0,119430
2023-03-12 03:58:00,0,50176
2023-03-12 04:00:00,0,121847
2023-03-12 04:02:00,0,346858
2023-03-12 04:04:00,0,120331
2023-03-12 04:06:00,0,118776
2023-03-12 04:08:00,0,51041
2023-03-12 04:10:00,0,121865
2023-03-12 04:12:00,0,52656
2023-03-12 04:14:00,0,119012
2023-03-12 04:16:00,0,118065
2023-03-12 04:18:00,0,53771
2023-03-12 04:20:00,0,121045
2023-03-12 04:22:00,0,51246
2023-03-12 04:24:00,0,119248
2023-03-12 04:26:00,0,118952
2023-03-12 04:28:00,0,50893
2023-03-12 04:30:00,0,119931
2023-03-12 04:32:00,0,50739
2023-03-12 04:34:00,0,118511
2023-03-12 04:36:00,0,118943
2023-03-12 04:38:00,0,50699
2023-03-12 04:40:00,0,119398
2023-03-12 04:42:00,0,49675
2023-03-12 04:44:00,0,116850
2023-03-12 04:46:00,0,118224
2023-03-12 04:48:00,0,51701
2023-03-12 04:50:00,0,118843
2023-03-12 04:52:00,0,50654
2023-03-12 04:54:00,0,119285
2023-03-12 04:56:00,0,118502
2023-03-12 04:58:00,0,51541
2023-03-12 05:00:00,0,118215
2023-03-12 05:02:00,0,189736
2023-03-12 05:04:00,0,188461
2023-03-12 05:06:00,0,118292
2023-03-12 05:08:00,0,52367
2023-03-12 05:10:00,0,118684
2023-03-12 05:12:00,0,50404
2023-03-12 05:14:00,0,117237
2023-03-12 05:16:00,0,118101
2023-03-12 05:18:00,0,51154
2023-03-12 05:20:00,0,121523
2023-03-12 05:22:00,0,50904
2023-03-12 05:24:00,0,118975
2023-03-12 05:26:00,0,119157
2023-03-12 05:28:00,0,53294
2023-03-12 05:30:00,0,119684
2023-03-12 05:32:00,0,51570
2023-03-12 05:34:00,0,119649
2023-03-12 05:36:00,0,118875
2023-03-12 05:38:00,0,51889
2023-03-12 05:40:00,0,118443
2023-03-12 05:42:00,0,51132
2023-03-12 05:44:00,0,118374
