"Time","Receive Errors (172.16.66.87:9796)","Receive Errors (172.16.66.90:9796)","Receive Errors (172.16.66.91:9796)","Receive Total (172.16.66.87:9796)","Receive Total (172.16.66.90:9796)","Receive Total (172.16.66.91:9796)","Transmit Errors (172.16.66.87:9796)","Transmit Errors (172.16.66.90:9796)","Transmit Errors (172.16.66.91:9796)","Receive Dropped (172.16.66.87:9796)","Receive Dropped (172.16.66.90:9796)","Receive Dropped (172.16.66.91:9796)","Transmit Dropped (172.16.66.87:9796)","Transmit Dropped (172.16.66.90:9796)","Transmit Dropped (172.16.66.91:9796)","Transmit Total (172.16.66.87:9796)","Transmit Total (172.16.66.90:9796)","Transmit Total (172.16.66.91:9796)"
2023-03-04 17:38:00,0,0,0,281,228,129,0,0,0,0,0,0,0,0,0,287,217,157
2023-03-04 17:40:00,0,0,0,219,193,125,0,0,0,0,0,0,0,0,0,227,171,152
2023-03-04 17:42:00,0,0,0,214,189,125,0,0,0,0,0,0,0,0,0,220,164,153
2023-03-04 17:44:00,0,0,0,205,160,120,0,0,0,0,0,0,0,0,0,202,151,151
2023-03-04 17:46:00,0,0,0,204,202,118,0,0,0,0,0,0,0,0,0,201,190,147
2023-03-04 17:48:00,0,0,0,276,224,126,0,0,0,0,0,0,0,0,0,281,215,155
2023-03-04 17:50:00,0,0,0,209,166,119,0,0,0,0,0,0,0,0,0,210,155,148
2023-03-04 17:52:00,0,0,0,204,161,119,0,0,0,0,0,0,0,0,0,205,149,149
2023-03-04 17:54:00,0,0,0,202,159,120,0,0,0,0,0,0,0,0,0,203,150,150
2023-03-04 17:56:00,0,0,0,207,192,120,0,0,0,0,0,0,0,0,0,204,181,149
2023-03-04 17:58:00,0,0,0,287,251,130,0,0,0,0,0,0,0,0,0,302,232,159
2023-03-04 18:00:00,0,0,0,207,165,123,0,0,0,0,0,0,0,0,0,209,155,151
2023-03-04 18:02:00,0,0,0,203,158,120,0,0,0,0,0,0,0,0,0,203,147,149
2023-03-04 18:04:00,0,0,0,201,157,119,0,0,0,0,0,0,0,0,0,200,150,149
2023-03-04 18:06:00,0,0,0,211,182,120,0,0,0,0,0,0,0,0,0,210,169,148
2023-03-04 18:08:00,0,0,0,279,225,136,0,0,0,0,0,0,0,0,0,290,216,158
2023-03-04 18:10:00,0,0,0,210,167,130,0,0,0,0,0,0,0,0,0,213,155,151
2023-03-04 18:12:00,0,0,0,204,161,124,0,0,0,0,0,0,0,0,0,202,150,151
2023-03-04 18:14:00,0,0,0,205,162,122,0,0,0,0,0,0,0,0,0,202,154,149
2023-03-04 18:16:00,0,0,0,209,171,123,0,0,0,0,0,0,0,0,0,208,157,149
2023-03-04 18:18:00,0,0,0,280,225,130,0,0,0,0,0,0,0,0,0,283,213,156
2023-03-04 18:20:00,0,0,0,215,166,124,0,0,0,0,0,0,0,0,0,212,155,151
2023-03-04 18:22:00,0,0,0,213,184,121,0,0,0,0,0,0,0,0,0,220,162,150
2023-03-04 18:24:00,0,0,0,212,185,120,0,0,0,0,0,0,0,0,0,218,167,149
2023-03-04 18:26:00,0,0,0,211,164,122,0,0,0,0,0,0,0,0,0,210,153,151
2023-03-04 18:28:00,0,0,0,276,221,125,0,0,0,0,0,0,0,0,0,283,212,155
2023-03-04 18:30:00,0,0,0,227,161,128,0,0,0,0,0,0,0,0,0,227,151,157
2023-03-04 18:32:00,0,0,0,204,160,120,0,0,0,0,0,0,0,0,0,202,148,149
2023-03-04 18:34:00,0,0,0,202,159,118,0,0,0,0,0,0,0,0,0,201,150,147
2023-03-04 18:36:00,0,0,0,207,168,120,0,0,0,0,0,0,0,0,0,211,154,148
2023-03-04 18:38:00,0,0,0,278,223,126,0,0,0,0,0,0,0,0,0,284,213,155
2023-03-04 18:40:00,0,0,0,247,189,129,0,0,0,0,0,0,0,0,0,258,167,156
2023-03-04 18:42:00,0,0,0,214,185,123,0,0,0,0,0,0,0,0,0,222,163,151
2023-03-04 18:44:00,0,0,0,200,157,118,0,0,0,0,0,0,0,0,0,197,149,148
2023-03-04 18:46:00,0,0,0,206,167,132,0,0,0,0,0,0,0,0,0,212,156,153
2023-03-04 18:48:00,0,0,0,277,224,128,0,0,0,0,0,0,0,0,0,282,215,156
2023-03-04 18:50:00,0,0,0,249,164,126,0,0,0,0,0,0,0,0,0,256,154,156
2023-03-04 18:52:00,0,0,0,205,159,123,0,0,0,0,0,0,0,0,0,207,149,151
2023-03-04 18:54:00,0,0,0,202,156,119,0,0,0,0,0,0,0,0,0,198,148,149
2023-03-04 18:56:00,0,0,0,205,163,119,0,0,0,0,0,0,0,0,0,203,152,148
2023-03-04 18:58:00,0,0,0,278,222,125,0,0,0,0,0,0,0,0,0,281,214,155
2023-03-04 19:00:00,0,0,0,262,163,128,0,0,0,0,0,0,0,0,0,268,154,157
2023-03-04 19:02:00,0,0,0,206,161,124,0,0,0,0,0,0,0,0,0,206,152,152
2023-03-04 19:04:00,0,0,0,201,157,121,0,0,0,0,0,0,0,0,0,198,150,150
2023-03-04 19:06:00,0,0,0,206,168,120,0,0,0,0,0,0,0,0,0,208,156,149
2023-03-04 19:08:00,0,0,0,286,247,126,0,0,0,0,0,0,0,0,0,300,228,155
2023-03-04 19:10:00,0,0,0,283,198,127,0,0,0,0,0,0,0,0,0,299,176,156
2023-03-04 19:12:00,0,0,0,209,161,121,0,0,0,0,0,0,0,0,0,206,150,151
2023-03-04 19:14:00,0,0,0,203,153,118,0,0,0,0,0,0,0,0,0,199,146,149
2023-03-04 19:16:00,0,0,0,205,161,122,0,0,0,0,0,0,0,0,0,207,150,150
2023-03-04 19:18:00,0,0,0,278,226,130,0,0,0,0,0,0,0,0,0,286,216,157
2023-03-04 19:20:00,0,0,0,282,193,133,0,0,0,0,0,0,0,0,0,293,183,160
2023-03-04 19:22:00,0,0,0,205,165,131,0,0,0,0,0,0,0,0,0,207,154,153
2023-03-04 19:24:00,0,0,0,201,157,127,0,0,0,0,0,0,0,0,0,205,148,150
2023-03-04 19:26:00,0,0,0,206,162,123,0,0,0,0,0,0,0,0,0,204,150,150
2023-03-04 19:28:00,0,0,0,277,222,127,0,0,0,0,0,0,0,0,0,283,211,154
2023-03-04 19:30:00,0,0,0,277,196,126,0,0,0,0,0,0,0,0,0,285,185,156
2023-03-04 19:32:00,0,0,0,205,163,119,0,0,0,0,0,0,0,0,0,206,151,150
2023-03-04 19:34:00,0,0,0,203,181,119,0,0,0,0,0,0,0,0,0,199,162,150
2023-03-04 19:36:00,0,0,0,215,191,121,0,0,0,0,0,0,0,0,0,224,167,150
2023-03-04 19:38:00,0,0,0,278,221,125,0,0,0,0,0,0,0,0,0,285,212,155
2023-03-04 19:40:00,0,0,0,280,208,127,0,0,0,0,0,0,0,0,0,288,197,157
2023-03-04 19:42:00,0,0,0,207,163,122,0,0,0,0,0,0,0,0,0,204,152,151
2023-03-04 19:44:00,0,0,0,201,154,117,0,0,0,0,0,0,0,0,0,198,147,147
