"Time","192.168.0.211:6443"
2023-03-23 10:48:00,14569
2023-03-23 10:52:00,14571
2023-03-23 10:56:00,14573
2023-03-23 11:00:00,14565
2023-03-23 11:04:00,14572
2023-03-23 11:08:00,14563
2023-03-23 11:12:00,14568
2023-03-23 11:16:00,14571
2023-03-23 11:20:00,14557
2023-03-23 11:24:00,14557
2023-03-23 11:28:00,14558
2023-03-23 11:32:00,14556
2023-03-23 11:36:00,14565
2023-03-23 11:40:00,14552
2023-03-23 11:44:00,14549
2023-03-23 11:48:00,14550
2023-03-23 11:52:00,14552
2023-03-23 11:56:00,14563
2023-03-23 12:00:00,14557
2023-03-23 12:04:00,14554
2023-03-23 12:08:00,14551
2023-03-23 12:12:00,14556
2023-03-23 12:16:00,14562
2023-03-23 12:20:00,14552
2023-03-23 12:24:00,14553
2023-03-23 12:28:00,14551
2023-03-23 12:32:00,14556
2023-03-23 12:36:00,14559
2023-03-23 12:40:00,14552
2023-03-23 12:44:00,14556
2023-03-23 12:48:00,14551
2023-03-23 12:52:00,14556
2023-03-23 12:56:00,14561
2023-03-23 13:00:00,14555
2023-03-23 13:04:00,14554
2023-03-23 13:08:00,14554
2023-03-23 13:12:00,14560
2023-03-23 13:16:00,14564
2023-03-23 13:20:00,14562
2023-03-23 13:24:00,14569
2023-03-23 13:28:00,14570
2023-03-23 13:32:00,14569
2023-03-23 13:36:00,14578
2023-03-23 13:40:00,14575
2023-03-23 13:44:00,14575
2023-03-23 13:48:00,14580
2023-03-23 13:52:00,14577
2023-03-23 13:56:00,14585
2023-03-23 14:00:00,14577
2023-03-23 14:04:00,14589
2023-03-23 14:08:00,14589
2023-03-23 14:12:00,14592
2023-03-23 14:16:00,14601
2023-03-23 14:20:00,14597
2023-03-23 14:24:00,14597
2023-03-23 14:28:00,14596
2023-03-23 14:32:00,14601
2023-03-23 14:36:00,14608
2023-03-23 14:40:00,14597
2023-03-23 14:44:00,14597
2023-03-23 14:48:00,14593
2023-03-23 14:52:00,14592
2023-03-23 14:56:00,14594
2023-03-23 15:00:00,14587
2023-03-23 15:04:00,14591
2023-03-23 15:08:00,14584
2023-03-23 15:12:00,14581
2023-03-23 15:16:00,14580
2023-03-23 15:20:00,14569
2023-03-23 15:24:00,14563
2023-03-23 15:28:00,14562
2023-03-23 15:32:00,14566
2023-03-23 15:36:00,14566
2023-03-23 15:40:00,14552
2023-03-23 15:44:00,14552
2023-03-23 15:48:00,14551
2023-03-23 15:52:00,14554
2023-03-23 15:56:00,14563
2023-03-23 16:00:00,14554
2023-03-23 16:04:00,14554
