"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf97c652df312)"
2023-03-15 10:50:00,0,76.4,34320,63218,0,0,0,0,0,179,296,136,454,65.7,447,38.5,0,588,32.3,0,38.5,1796,4.50,450,0,65.8,41749,19,1816,6829,1345,76.4,0,35678,60314,0,0,0,0.389,0,224,111,31.6,254,41,252,19,0,701,26.2,0,19,192,4.37,251,0.389,40.6,29474,38.9,216,1094,1335
2023-03-15 10:52:00,0,75.6,25396,53562,0,0,0,0,0,179,292,136,443,65.7,432,38.5,0,585,32.0,0,38.5,1857,4.27,436,0,65.9,41666,19,1883,7018,1609,75.6,0,35881,60472,0,0,0,0,0,224,112,31.6,250,40.6,241,19,0,701,26.0,0,19,188,4.13,243,0,41,20257,38.5,216,1103,1605
2023-03-15 10:54:00,0,78.2,27418,80383,0,0,0,0,62.4,177,292,136,441,65.7,436,746,0,588,32.0,0,38.5,1936,4.50,440,0,65.9,41698,19,1959,7037,1868,78.2,0,59571,89585,0,0,0,0,152,224,105,31.6,245,40.3,247,467,0,701,25.5,0,19,196,4.37,246,0,41,19190,38.5,219,1088,1865
2023-03-15 10:56:00,0,74.9,35445,67596,0,0,0,0,62,178,295,130,454,65.7,451,746,0,587,31.6,0,38.5,1717,4.97,453,0,65.7,41757,19,1741,6699,1070,74.9,0,38937,63923,0,0,0,0,152,221,108,30.3,254,40.3,256,467,0,700,25.5,0,19,191,4.83,254,0,40.3,29931,38.5,214,1103,1072
2023-03-15 10:58:00,0,79.3,24207,52329,0,0,0,0,0,178,292,124,454,65.7,446,38.9,0,586,32.0,0,38.5,1959,4.50,449,0,65.8,41728,19,1979,7160,1867,79.3,0,36192,61339,0,0,0,0,0,220,111,29.0,259,40.3,250,19,0,701,26.0,0,19,202,4.37,251,0,40.6,18795,38.5,225,1093,1864
2023-03-15 11:00:00,0,86.6,33404,62222,0,0,0,0,0,176,294,129,454,65.7,447,38.5,0,589,32.3,0,38.5,1803,4.27,448,0,65.4,41763,19.4,1827,6837,1346,86.6,0,35710,60241,0,0,0,0,0,223,108,30.3,254,40.3,252,19,0,698,26.2,0,19,197,4.13,250,0,40.6,28546,38.5,223,1118,1336
2023-03-15 11:02:00,0,81.1,25064,53295,0,0,0,0,0,179,299,141,453,65.7,450,38.5,0,589,32.0,0,38.5,1797,4.66,451,0,66.7,41664,19,1824,6876,1348,81.1,0,35620,60007,0,0,0,0,0,222,113,32.9,253,40.3,260,19,0,698,26.0,0.389,19,198,4.13,254,0,42.1,20183,38.5,227,1157,1342
2023-03-15 11:04:00,0,80.8,32521,85888,0,0,0,0.389,62.0,179,296,136,453,65.7,449,501,0,587,31.6,0,36.4,1956,4.27,452,0,67.0,41734,18.0,1966,7105,1876,80.8,0,59327,89432,0,0,0,0,151,222,113,31.6,252,41.0,259,374,0,700,25.5,0,18.0,207,4.13,254,0,42.1,24388,36.4,223,1109,1863
2023-03-15 11:06:00,0,76.7,27299,76810,0,0.389,0,0.389,62,179,294,124,456,65.7,447,501,0.389,588,31.6,0.389,38.5,1737,4.27,448,0,65.7,41694,19,1753,6745,1080,76.7,0,55263,83519,0,0,0.389,0,151,224,106,29.0,257,40.6,252,374,0,699,25.5,0,19,197,4.13,250,0,41.4,20269,38.5,222,1127,1071
2023-03-15 11:08:00,0,73.8,22837,50922,0,0.389,0,0,0,179,290,119,456,66.1,447,38.5,0.389,586,32.0,0.389,38.5,1941,4.27,450,0,65.7,41665,19,1966,7209,1873,73.8,0,36137,61359,0,0,0.389,0,0,222,102,27.7,260,41.4,251,19,0,697,26.0,0,19,184,4.13,253,0,41,17427,38.5,224,1137,1866
2023-03-15 11:10:00,0.389,74.5,32575,61399,0,0,0.389,0,0,180,299,119,452,65.7,445,38.5,0,586,32.3,0,38.9,1955,4.27,451,0,65.8,41694,19,1968,7129,1865,74.5,0.389,36162,61480,0,0,0,0,0,221,117,27.7,257,40.6,249,19,0,701,26.2,0,19,200,4.13,254,0,42.1,27176,38.5,227,1161,1865
2023-03-15 11:12:00,0.389,73.0,24641,52733,0,0,0.389,0,0,177,294,119,454,65.8,448,38.5,0,588,32.3,0,38.9,1729,4.27,448,0,65.8,41669,19,1738,6725,1073,73.0,0.389,35346,59366,0,0,0,0,0,224,106,27.7,254,40.3,253,19,0,698,26.2,0,19,194,4.13,250,0,41,20021,38.5,201,1083,1079
2023-03-15 11:14:00,0,75.6,35750,89066,0,0,0,0,62,176,294,124,454,65.8,449,619,0,586,32.3,0,38.5,1947,4.73,448,0,65.7,41713,19,1972,7076,1865,75.6,0,59242,89346,0,0,0,0,153,224,113,29.0,253,40.6,260,417,0,700,26.2,0,19,166,4.60,255,0,40.6,27604,38.5,191,1071,1869
2023-03-15 11:16:00,0,73.4,27628,80286,0,0,0,0,62,176,290,124,455,65.7,449,619,0,587,32.3,0,38.5,1728,4.50,450,0,66.1,41699,19,1740,6681,1071,73.4,0,58437,87223,0,0,0,0,153,224,109,33.9,256,40.6,252,417,0,701,26.2,0,19,163,4.37,252,0,41,20252,38.5,175,1059,1072
2023-03-15 11:18:00,0,80.4,25384,53564,0,0,0,0,0,178,293,124,454,65.7,445,38.5,0,589,32.3,0,38.5,1941,4.27,449,0,65.8,41702,19,1950,7129,1872,80.4,0,36171,61428,0,0,0,0,0,222,111,29.0,254,40.3,248,19,0,697,26.2,0,19.4,164,4.13,251,0,41.4,19964,38.5,184,1113,1867
2023-03-15 11:20:00,0,76.3,35294,64279,0,0,0,0,0,176,295,124,454,65.3,446,38.5,0,589,32.0,0,38.5,1950,4.27,447,0,65.8,41825,19,1969,7084,1878,76.3,0,36255,61568,0,0,0,0,0,224,111,29.0,254,40.3,250,19,0,698,26.0,0,19,169,4.13,249,0,40.7,29902,38.5,188,1097,1870
2023-03-15 11:22:00,0,78.5,23747,51815,0,0,0,0,0,177,290,124,456,65.7,451,38.5,0,585,31.8,0,38.5,1729,4.27,449,0,65.8,41689,19,1746,6813,1079,78.5,0,35359,59452,0,0,0,0,0,224,105,29.0,256,40.3,256,19,0,702,25.7,0,19,169,4.13,251,0,40.4,19136,38.5,191,1107,1070
2023-03-15 11:24:00,0,78.2,35213,75276,0,0,0,0,0,177,293,130,454,65.7,447,38.5,0,587,31.6,0,38.5,1953,4.27,447,0.389,65.8,41748,19,1977,7105,1867,78.2,0,46531,73806,0.389,0,0,0,0.389,223,110,30.7,254,40.6,252,19,0,700,25.5,0,19,177,4.13,249,0,40.6,28838,38.5,205,1072,1862
2023-03-15 11:26:00,0,76.3,27666,80509,0.389,0,0,0,62,178,297,130,452,66.0,445,727,0,587,31.6,0,38.5,1717,4.27,447,0,65.7,41680,19,1744,6703,1069,76.3,0,58738,87656,0,0,0,0,152,225,113,30.3,252,41,250,470,0,701,25.5,0,19,144,4.13,249,0,41.4,20225,38.5,180,1059,1070
2023-03-15 11:28:00,0,78.5,24588,52745,0,0,0,0,0,178,301,119,456,66.4,449,38.5,0,587,31.6,0,38.5,1967,4.50,451,0,65.7,41703,19,1973,7158,1866,78.5,0,36166,61431,0,0,0,0,0,224,120,27.7,255,41.9,255,19,0,700,25.5,0,19,181,4.37,254,0,42.1,19167,38.5,180,1098,1866
2023-03-15 11:30:00,0,75.2,29496,57932,0,0,0,0,0,179,292,124,442,65.7,434,38.5,0,589,31.6,0,38.5,1931,4.96,436,0,66.1,41792,19.0,1950,6994,1870,75.2,0,36257,61359,0,0,0,0,0,222,109,29.0,248,41.0,243,19.0,0.389,699,25.5,0,19.0,166,4.83,243,0,41.4,24110,38.5,188,1055,1863
2023-03-15 11:32:00,0,74.9,23139,51050,0,0,0,0,0,177,295,130,453,66.0,447,38.5,0,589,31.6,0,38.5,1675,4.97,448,0,65.7,41755,19,1706,6659,1083,74.9,0,35443,59276,0,0,0,0,0,224,108,30.3,252,41,252,19,0.389,701,25.5,0,19,142,4.83,249,0,41,18526,38.5,187,1054,1079
2023-03-15 11:34:00,0,81.5,33626,62407,0,0,0,0,0,176,303,119,453,65.7,448,38.5,0,586,32.0,0,38.5,1911,4.73,447,0,65.7,41822,19,1924,7029,1871,81.5,0,36262,61404,0,0,0,0,0,225,122,27.7,253,40.6,259,19,0,700,26.0,0,19,171,4.60,249,0,40.6,28247,38.5,189,1066,1867
2023-03-15 11:36:00,0,75.6,27926,80772,0,0,0,0,62,179,299,119,457,66.1,447,751,0,587,32.3,0,38.5,1799,4.50,450,0,65.4,41754,19,1805,6887,1333,75.6,0,58912,88461,0,0,0,0,153,223,118,27.7,258,40.6,251,471,0,700,26.2,0,19,199,4.37,254,0,40.6,20236,38.5,205,1074,1335
2023-03-15 11:38:00,0,74.1,29677,58240,0,0,0,0,0,177,293,124,457,65.7,446,38.5,0,586,32.0,0,38.5,1879,4.27,449,0,65.4,41731,19,1892,7094,1599,74.1,0,35913,60632,0,0,0,0,0,225,109,29.0,256,40.3,250,19,0,696,26.0,0,19,207,4.13,252,0,39.9,24549,38.5,225,1113,1599
2023-03-15 11:40:00,0,78.2,25663,54021,0,0,0,0,0,177,294,124,452,65.7,447,38.5,0,585,31.6,0,38.5,1947,4.27,448,0,65.5,41726,19,1967,7097,1866,78.2,0,36188,61646,0,0.389,0,0,0,223,113,29.0,252,40.3,251,19,0,697,25.5,0,19,195,4.13,250,0,39.9,20263,38.5,223,1094,1864
2023-03-15 11:42:00,0,74.5,21835,49795,0,0,0,0,0,178,298,130,454,65.7,451,38.5,0,590,31.6,0,38.5,1721,4.27,450,0,65.9,41636,19,1735,6754,1074,74.5,0,35335,59518,0,0,0,0,0,223,118,30.3,254,41.4,257,19,0,698,25.5,0,19,185,4.13,252,0,40.6,17199,38.5,214,1090,1080
2023-03-15 11:44:00,0,77.8,32446,61207,0,0,0,0,0,179,292,124,456,65.8,447,38.5,0,588,32.0,0,38.5,1953,4.73,451,0,65.8,41727,19,1958,7120,1865,77.8,0,36193,61416,0,0,0,0,0,224,104,29.0,261,41,251,19,0,699,26.0,0,19,199,4.99,254,0,40.3,27057,38.5,209,1112,1862
2023-03-15 11:46:00,0,84.4,27761,80758,0,0,0,0,62,177,289,136,455,65.8,445,751,0,583,32.3,0,38.5,1787,4.97,448,0,65.9,41687,19,1858,6823,1348,84.4,0,59006,88477,0,0,0,0,151,224,106,31.6,260,40.3,248,471,0,704,26.2,0,19,183,4.83,250,0,40.6,20068,38.5,230,1103,1341
2023-03-15 11:48:00,0,78.2,33772,70009,0,0,0,0,62,180,291,119,452,65.8,450,751,0,586,32.3,0,38.5,1818,4.73,448,0,65.8,41760,19,1863,6848,1347,78.2,0,43130,69200,0,0,0,0,151,222,104,27.7,252,40.3,255,471,0,703,26.2,0,19,199,4.60,250,0,40.6,27626,38.5,252,1062,1338
2023-03-15 11:50:00,0,74.9,25667,53959,0,0,0,0,0.389,180,300,113,456,66.1,452,38.5,0,586,32.3,0,38.5,1962,4.27,452,0,65.8,41706,19,1978,7079,1874,74.9,0,36190,61416,0,0,0,0.389,0,223,116,26.3,258,41,258,19,0,702,26.2,0,19,199,4.13,254,0.389,40.6,20253,38.9,230,1080,1862
2023-03-15 11:52:00,0,73.4,24387,52545,0,0,0,0,0,177,301,130,454,66.1,446,38.5,0,588,32.3,0,38.5,1725,4.27,449,0,66.0,41700,19,1738,6788,1085,73.4,0,35388,59469,0,0,0,0,0,224,120,30.3,254,41.7,250,19,0,701,26.2,0,19,194,4.13,251,0,41,19762,38.5,204,1113,1081
2023-03-15 11:54:00,0,80.0,35308,64289,0,0,0,0,0,177,295,130,452,65.4,444,38.5,0,589,32.2,0,38.5,1948,4.27,448,0,65.8,41786,19,1972,7106,1872,80.0,0,36248,61506,0,0,0,0,0,225,107,30.3,252,40.6,248,19,0,698,25.7,0,19,198,4.13,250,0,40.3,29928,38.5,223,1139,1865
2023-03-15 11:56:00,0,79.7,27388,80315,0,0,0,0,62,176,292,136,452,65.4,447,751,0,587,32.0,0,38.5,1955,4.66,448,0,65.8,41672,19,1977,7118,1863,79.7,0,59456,89530,0,0,0,0,153,224,104,31.6,252,39.9,257,471,0,699,25.5,0,19,205,4.13,250,0,41,19156,38.5,229,1136,1862
2023-03-15 11:58:00,0,77.8,36321,89960,0,0,0,0,62,176,297,141,456,65.7,450,751,0,587,31.6,0,38.5,1727,4.66,450,0,65.6,41786,19.4,1739,6727,1072,77.8,0,58752,87779,0,0,0,0,153,225,117,32.9,262,40.3,260,471,0,699,25.5,0.389,19,198,4.13,253,0,41.0,28902,38.5,215,1127,1074
2023-03-15 12:00:00,0,80.7,25665,54014,0,0,0,0.389,0,176,296,136,455,65.7,447,38.5,0.389,589,31.6,0,38.5,1944,4.27,450,0,66.2,41700,19.4,1960,7139,1871,80.7,0,36181,61466,0,0,0,0,0,224,108,31.6,255,40.3,252,19,0,697,25.5,0.389,19,200,4.13,253,0,41.0,20259,38.5,213,1154,1864
2023-03-15 12:02:00,0,74.9,23158,51355,0,0,0,0.389,0,178,293,130,453,66.1,449,38.5,0.389,589,31.6,0,38.5,1750,4.50,450,0,66.1,41695,19,1774,6793,1080,74.9,0,35385,59591,0,0,0,0,0,224,107,30.3,252,40.6,259,19,0,699,25.5,0,19,199,4.37,255,0,40.3,18529,38.5,229,1142,1071
2023-03-15 12:04:00,0,81.8,29415,58073,0,0,0,0,0,179,297,130,457,66.0,448,38.5,0,586,31.6,0,38.5,1964,4.03,436,0,65.7,41766,19.0,1985,7103,1873,81.8,0,36230,61458,0,0,0,0,0,222,116,36.0,257,40.6,258,19.0,0,699,25.5,0,19.0,205,3.90,243,0,40.3,24015,38.5,232,1120,1868
2023-03-15 12:06:00,0,77.1,26494,79451,0,0.389,0,0,62,180,296,124,443,65.7,448,751,0,589,31.6,0,38.9,1978,4.27,451,0,65.6,41729,19,1984,7206,1874,77.1,0,59552,89780,0,0,0.389,0,153,221,116,29.0,248,40.3,252,471,0,698,25.5,0,19,211,4.13,254,0,40.3,18265,38.5,227,1147,1865
2023-03-15 12:08:00,0,73.0,35436,89013,0,0,0,0,62,178,296,130,455,65.7,436,751,0,586,31.6,0.389,38.5,1746,4.27,450,0,65.3,41768,19,1750,6801,1085,73.0,0,58789,87960,0,0,0,0,154,223,117,30.3,254,40.3,245,472,0,696,25.5,0,19,195,4.13,252,0,41,28014,38.5,209,1099,1082
