"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-16 18:48:00,0,11255,34753,162490,0,1786,130,164,30.7,126,1855,66.4,422,0,6913,116,6.89,149,87.6,0,16888,1813,124,32.3,1484,66.3,19,366,0,0,122,174,0,11255,0,18627,73838,0,194,30.3,98.1,20.1,30.3,2307,42.1,6282,0,1119,3607,7.68,134,67.3,0,16783,227,33.9,26.2,15891,41.7,38.5,454,0,0,29.0,580,0
2023-03-16 18:50:00,0,11527,34927,149664,0,1855,124,163,31.5,121,1870,66.6,422,0,7002,79.3,3.03,148,87.2,0,16890,1868,123,32.3,1522,66.8,19,334,0.389,0,127,176,0,11527,0,18874,74091,0.389,188,29.0,96.1,21.7,29.0,2185,41.7,6280,0,1104,3595,3.03,132,66.9,0.389,16790,212,33.9,26.2,15893,42.5,38.5,399,0,0.389,30.3,584,0
2023-03-16 18:52:00,0,11765,34946,179030,0,1862,130,160,32.9,116,1905,66.5,418,0,7093,78.5,3.03,149,86,0,16888,1889,124,32.3,1551,66.8,19,326,0,0,122,172,0,11765,0,19116,75137,0,186,30.3,91.9,29.6,27.7,2293,42.1,6284,0,1133,3570,3.03,140,65.5,0,16778,225,29.0,26.2,15897,42.1,38.5,393,0,0,29.0,575,0
2023-03-16 18:54:00,0,10985,58263,176359,0,1867,124,162,32.9,121,1875,66.5,1726,0,7113,79.5,4.53,148,85.9,0,16879,1886,118,32.3,1548,66.0,369,374,0,0,117,21928,0,10985,0,21104,77819,0,197,29.0,99.0,28.9,33.9,2262,42.1,25750,0,1161,3639,4.96,140,65.5,0,16769,216,27.7,26.2,15902,41.7,652,472,0,0,27.7,24464,0
2023-03-16 18:56:00,0,12773,49873,170033,0,1878,136,160,30.7,132,1908,65.7,1383,0,7105,80,6.59,146,87.6,0,16875,1898,118,32.3,1613,67.0,369,385,0,0,122,13810,0,12773,0,22122,78624,0,204,31.6,91.8,20.8,31.6,2248,41,18526,0,1152,3646,8.04,133,68.8,0,16769,224,27.7,26.2,15911,42.6,652,494,0,0,29.0,15567,0
2023-03-16 18:58:00,0,12631,34767,152707,0,1793,147,166,32.1,137,1865,65.8,421,0,6922,119,3.93,145,87.8,0,16874,1832,135,32.3,1536,67.4,19,355,0,0,133,171,0,12631,0,20013,75440,0,193,34.2,100.0,26.9,32.9,2323,41.4,6281,0,1108,3616,4.56,132,67.3,0,16776,228,31.6,26.2,15906,42.9,38.5,440,0,0,36.6,583,0
2023-03-16 19:00:00,0,11203,34901,149605,0,1865,141,163,31.5,132,1870,67.0,419,0.389,7019,79.2,2.90,144,88.3,0,16895,1887,135,32.3,1561,66.4,19,325,0,0,139,173,0,11203,0,18563,73746,0,194,32.9,96.3,21.4,31.6,2194,42.1,6283,0,1110,3640,2.90,134,67.7,0,16781,228,31.6,26.2,15897,41.7,38.5,382,0,0,37.9,580,0
2023-03-16 19:02:00,0,11461,35214,155122,0,1959,129,158,54.5,132,1968,66.3,420,0.389,7213,77.3,4.43,144,88.2,0,16899,1972,140,32.3,1615,67.2,19,334,0,0,133,178,0,11461,0,18833,74278,0,176,30.3,90.0,61.9,31.6,2309,41.7,6286,0,1114,3668,4.35,135,67.7,0,16787,199,32.9,26.2,15871,43.3,38.5,403,0,0,31.6,589,0
2023-03-16 19:04:00,0,10346,57608,174355,0,1813,124,160,58.3,116,1834,65.8,1716,0,6896,78.4,4.06,146,88.3,0.389,16886,1833,135,32.3,1510,67.6,281,385,0,0,133,21775,0,10346,0,20407,76414,0,162,29.0,96.7,65.9,27.7,2270,41,25602,0,1079,3669,3.98,134,68.0,0,16781,193,31.6,26.2,15861,42.5,419,489,0,0,31.6,24270,0
2023-03-16 19:06:00,0,12260,57936,180212,0,1863,118,164,33.1,116,1902,66.7,1720,0,7004,79.2,5.10,145,88.5,0,16882,1871,124,31.8,1548,66.3,281,378,0,0,117,21778,0,12260,0,22306,78681,0,160,27.7,102,23.0,27.7,2235,42.5,25607,0,1067,3640,5.86,134,69.5,0,16778,185,29.4,25.7,15860,40.6,419,481,0,0,27.7,24269,0
2023-03-16 19:08:00,0,12544,34785,156575,0,1787,136,163,32.5,132,1866,66.7,421,0,6894,122,2.90,147,87.5,0,16887,1815,124,31.6,1531,66.3,19,370,0,0,117,178,0,12544,0,19955,75305,0,158,31.6,96.3,22.8,31.6,2300,42.5,6288,0,1074,3701,2.90,133,67.7,0,16780,191,29.0,25.5,15872,40.6,38.5,468,0,0,27.7,590,0
2023-03-16 19:10:00,0,11139,34899,173100,0,1856,124,159,32.1,121,1868,66.8,421,0,6996,84.5,3.27,146,88.1,0,16884,1872,129,31.6,1562,66.2,19.4,328,0,0,133,180,0.389,11139,0,18509,74205,0,157,29.0,90.8,23.5,29.0,2209,42.1,6286,0,1106,3726,3.27,133,67.7,0,16763,169,30.3,25.5,15867,41,38.5,396,0,0,31.6,585,0
2023-03-16 19:12:00,0,11166,35203,154971,0,1921,124,167,34.2,126,1969,67.1,421,0,7149,81.3,4.67,150,87.8,0,16903,1943,124,31.6,1579,66.1,19,334,0,0,122,161,0,11166,0,18520,73792,0,152,29.0,106,24.4,30.3,2313,41.7,6283,0,1081,3670,10.2,133,67.3,0,16780,175,29.0,25.5,15868,41.4,38.5,404,0,0,29.0,581,0
2023-03-16 19:14:00,0,11197,48886,164414,0,1798,136,158,30.7,137,1823,65.9,1003,0,6806,79.1,3.70,147,87.7,0,16881,1816,135,31.6,1501,65.8,19,330,0,0,128,13789,0,11197,0,19928,75359,0,154,31.6,95.3,20.4,32.9,2256,41,18391,0,1021,3616,4.14,132,69.1,0,16770,184,31.6,25.5,15868,40.6,38.5,392,0,0,30.3,15544,0.389
2023-03-16 19:16:00,0,13230,58154,178815,0,1868,130,156,30.7,120,1903,66.1,1721,0,7036,80.5,5.57,147,88.0,0,16887,1891,135,31.6,1540,66.1,321,383,0,0,139,21840,0,13230,0,23300,80029,0,176,30.3,88.2,21.2,29.0,2251,41,25667,0,1114,3640,6.38,131,68.8,0,16773,206,31.6,25.5,15873,41.7,537,483,0,0,32.9,24364,0
