"Time","Read (sda)","Write (sda)"
2023-03-05 12:12:00,0,86631
2023-03-05 12:14:00,0,40528
2023-03-05 12:16:00,0,85106
2023-03-05 12:18:00,0,41484
2023-03-05 12:20:00,0,86630
2023-03-05 12:22:00,0,86699
2023-03-05 12:24:00,0,40052
2023-03-05 12:26:00,0,85720
2023-03-05 12:28:00,0,40755
2023-03-05 12:30:00,0,84860
2023-03-05 12:32:00,0,87427
2023-03-05 12:34:00,0,41620
2023-03-05 12:36:00,0,86994
2023-03-05 12:38:00,0,40869
2023-03-05 12:40:00,0,86244
2023-03-05 12:42:00,0,85606
2023-03-05 12:44:00,0,40323
