"Time","Load[5m] (192.168.0.211:9796)","Load[5m] (192.168.0.221:9796)","Load[5m] (192.168.0.222:9796)","Load[1m] (192.168.0.211:9796)","Load[1m] (192.168.0.221:9796)","Load[1m] (192.168.0.222:9796)","Load[15m] (192.168.0.211:9796)","Load[15m] (192.168.0.221:9796)","Load[15m] (192.168.0.222:9796)"
2023-03-23 07:04:00,0.470,0.590,0.380,0.190,0.320,0.210,0.500,0.540,0.440
2023-03-23 07:06:00,0.370,0.490,0.490,0.100,0.200,0.950,0.460,0.510,0.480
2023-03-23 07:08:00,0.410,0.770,0.820,0.390,1.07,1.22,0.460,0.610,0.600
2023-03-23 07:10:00,0.410,0.640,0.790,0.440,0.440,0.950,0.450,0.590,0.620
2023-03-23 07:12:00,0.850,0.440,0.830,1.03,0.0900,0.880,0.620,0.510,0.650
2023-03-23 07:14:00,0.830,0.510,0.680,0.930,0.620,0.500,0.640,0.530,0.620
2023-03-23 07:16:00,0.870,0.770,0.750,0.630,1.20,0.750,0.680,0.620,0.650
2023-03-23 07:18:00,0.860,0.640,0.590,0.560,0.530,0.270,0.710,0.590,0.600
2023-03-23 07:20:00,0.850,0.540,0.690,0.960,0.340,1.04,0.720,0.560,0.630
2023-03-23 07:22:00,0.640,0.850,0.610,0.310,1.54,0.570,0.660,0.660,0.610
2023-03-23 07:24:00,0.610,0.800,0.550,0.500,0.730,0.400,0.640,0.670,0.590
2023-03-23 07:26:00,0.740,0.560,0.520,0.800,0.160,0.410,0.690,0.590,0.580
2023-03-23 07:28:00,0.580,0.410,0.430,0.310,0.0900,0.280,0.630,0.530,0.530
2023-03-23 07:30:00,0.460,0.450,0.540,0.190,0.400,0.720,0.580,0.530,0.560
2023-03-23 07:32:00,0.390,0.320,0.830,0.230,0.0800,1.19,0.530,0.470,0.670
2023-03-23 07:34:00,0.400,0.400,0.730,0.520,0.570,0.480,0.520,0.480,0.650
2023-03-23 07:36:00,0.350,0.320,0.690,0.280,0.230,0.500,0.480,0.440,0.640
2023-03-23 07:38:00,0.290,0.330,0.510,0.170,0.330,0.200,0.440,0.430,0.580
2023-03-23 07:40:00,0.320,0.330,0.730,0.350,0.370,1.34,0.440,0.410,0.650
2023-03-23 07:42:00,0.290,0.370,0.640,0.220,0.340,0.600,0.410,0.420,0.620
2023-03-23 07:44:00,0.280,0.360,0.520,0.270,0.250,0.340,0.390,0.410,0.580
2023-03-23 07:46:00,0.340,0.310,0.460,0.600,0.140,0.330,0.390,0.390,0.550
2023-03-23 07:48:00,0.310,0.360,0.390,0.290,0.380,0.230,0.370,0.400,0.510
2023-03-23 07:50:00,0.440,0.440,0.510,0.860,0.380,0.830,0.400,0.430,0.540
2023-03-23 07:52:00,0.690,0.410,0.500,1.10,0.330,0.390,0.500,0.420,0.530
2023-03-23 07:54:00,0.510,0.360,0.610,0.270,0.180,0.770,0.450,0.400,0.570
2023-03-23 07:56:00,0.480,0.300,0.530,0.280,0.250,0.410,0.450,0.360,0.540
2023-03-23 07:58:00,0.510,0.230,0.570,0.600,0.110,0.620,0.460,0.330,0.560
2023-03-23 08:00:00,0.400,0.240,0.690,0.210,0.260,0.780,0.430,0.320,0.600
2023-03-23 08:02:00,0.530,0.270,0.820,0.630,0.200,1,0.470,0.320,0.660
2023-03-23 08:04:00,0.550,0.210,0.880,0.650,0.0900,0.820,0.480,0.290,0.710
2023-03-23 08:06:00,0.640,0.420,0.720,0.730,0.830,0.420,0.520,0.350,0.670
2023-03-23 08:08:00,0.480,0.540,0.690,0.250,0.790,0.540,0.470,0.410,0.660
2023-03-23 08:10:00,0.490,0.540,0.730,0.520,0.670,0.720,0.470,0.410,0.680
2023-03-23 08:12:00,0.510,0.570,0.700,0.520,0.700,0.830,0.480,0.440,0.670
2023-03-23 08:14:00,0.530,0.540,0.540,0.390,0.410,0.250,0.490,0.440,0.620
2023-03-23 08:16:00,0.700,0.480,0.640,1.08,0.270,0.770,0.550,0.440,0.640
2023-03-23 08:18:00,0.660,0.410,0.560,0.460,0.250,0.500,0.550,0.420,0.610
2023-03-23 08:20:00,0.450,0.410,0.540,0.0700,0.500,0.350,0.490,0.410,0.600
