"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-23 12:50:00,403956,148645,209671,198710,130049,194640
2023-03-23 12:52:00,409367,168923,198790,197037,138656,172531
2023-03-23 12:54:00,409872,149689,200568,198670,129128,174533
2023-03-23 12:56:00,403527,192584,201394,199094,177419,176527
2023-03-23 12:58:00,482596,181987,205713,255187,180806,177126
2023-03-23 13:00:00,404571,148744,210212,198724,129167,193887
2023-03-23 13:02:00,417622,151282,203121,200168,130142,185224
2023-03-23 13:04:00,409089,145638,211182,202430,127012,192853
2023-03-23 13:06:00,404543,178028,201387,201110,155695,173025
2023-03-23 13:08:00,506878,180151,238583,252032,179583,221090
2023-03-23 13:10:00,402054,170908,196184,192687,140198,171701
2023-03-23 13:12:00,408622,150915,200763,197208,129656,174912
2023-03-23 13:14:00,407559,157920,202409,197212,132536,178081
2023-03-23 13:16:00,406194,150782,207039,205925,129879,179216
2023-03-23 13:18:00,486203,181180,222028,263428,180069,201715
2023-03-23 13:20:00,398130,173337,198546,192685,141267,174600
2023-03-23 13:22:00,420327,147848,220297,198345,128088,203193
2023-03-23 13:24:00,416318,168264,198784,197677,146078,171128
2023-03-23 13:26:00,413871,152124,203015,200185,139401,176973
2023-03-23 13:28:00,483620,197557,200438,251279,187762,172031
2023-03-23 13:30:00,423893,152030,200225,212842,131991,175678
2023-03-23 13:32:00,432354,149885,235902,201328,129387,220887
2023-03-23 13:34:00,429774,158174,222333,195278,132348,197080
2023-03-23 13:36:00,402879,146846,208921,195610,127941,191518
2023-03-23 13:38:00,489995,199243,206346,255955,188801,175773
2023-03-23 13:40:00,452967,149297,207776,234467,128351,187953
2023-03-23 13:42:00,409422,172229,201196,198211,139122,174450
2023-03-23 13:44:00,407050,150159,199704,195834,127978,173366
2023-03-23 13:46:00,413227,149045,210376,198315,129148,202288
2023-03-23 13:48:00,487938,183695,206371,256473,182779,180854
2023-03-23 13:50:00,474775,157471,210405,249725,146048,192748
2023-03-23 13:52:00,434010,167671,222519,198035,137725,194969
2023-03-23 13:54:00,429941,148113,232144,196233,128041,216736
2023-03-23 13:56:00,411400,171556,203294,202115,149758,176677
2023-03-23 13:58:00,495483,184459,205936,256632,191155,178355
2023-03-23 14:00:00,474261,182948,200915,244904,172573,178892
2023-03-23 14:02:00,410892,152103,200285,196402,129782,175085
2023-03-23 14:04:00,405368,149444,209694,195039,128224,193616
2023-03-23 14:06:00,403470,218415,201437,197687,193827,175156
2023-03-23 14:08:00,487353,236578,217267,254157,239017,197330
2023-03-23 14:10:00,473862,197909,198283,246549,189308,171157
2023-03-23 14:12:00,409808,150988,206973,197474,129358,187666
2023-03-23 14:14:00,411355,169947,200454,198876,137252,174485
2023-03-23 14:16:00,398910,152224,200055,194416,130778,174807
2023-03-23 14:18:00,485125,180466,233565,227966,180517,216841
2023-03-23 14:20:00,506296,181184,232317,245001,180512,208586
2023-03-23 14:22:00,412823,150017,210891,198509,129544,194132
2023-03-23 14:24:00,412650,167938,199967,198579,136366,172686
2023-03-23 14:26:00,400166,147398,210875,197165,126626,194099
2023-03-23 14:28:00,424637,197785,202488,211369,185276,173673
2023-03-23 14:30:00,473530,180703,198206,243931,180478,174146
2023-03-23 14:32:00,409777,167106,195943,194108,137710,168074
2023-03-23 14:34:00,409368,151205,199930,196656,130192,174914
2023-03-23 14:36:00,401687,149843,213600,200853,128005,196805
2023-03-23 14:38:00,432711,185773,208001,204065,173720,188393
2023-03-23 14:40:00,481836,176721,208042,244445,178709,199783
2023-03-23 14:42:00,410385,169237,198966,197978,139246,171427
2023-03-23 14:44:00,433447,151121,223977,199346,129639,198590
2023-03-23 14:46:00,423056,166141,224207,200825,136254,195659
2023-03-23 14:48:00,413052,155812,206037,204862,136877,177941
2023-03-23 14:50:00,470345,178707,208058,243392,179777,193007
2023-03-23 14:52:00,411732,152822,199999,196564,130949,174528
2023-03-23 14:54:00,411506,145810,205956,195213,127160,189024
2023-03-23 14:56:00,399245,165733,197214,195046,135816,169029
2023-03-23 14:58:00,412815,151727,214547,202780,129833,197454
2023-03-23 15:00:00,475801,200622,199757,247059,189784,175216
2023-03-23 15:02:00,417674,152288,201723,205300,130923,175342
2023-03-23 15:04:00,411668,147634,212833,203542,128014,193934
2023-03-23 15:06:00,400081,149839,202051,197691,128499,175915
2023-03-23 15:08:00,427672,152394,226160,202749,130442,209780
2023-03-23 15:10:00,474939,201015,199663,245682,189891,175627
2023-03-23 15:12:00,452371,148469,209430,224390,128705,198104
2023-03-23 15:14:00,442802,168730,222831,200491,138376,203912
2023-03-23 15:16:00,399301,149268,202404,195585,128709,180270
2023-03-23 15:18:00,419756,173848,202358,200755,150154,176003
2023-03-23 15:20:00,483379,181994,197462,243738,184089,174380
2023-03-23 15:22:00,473589,154666,208714,241220,138070,192347
2023-03-23 15:24:00,413021,151207,201979,200504,130369,176195
2023-03-23 15:26:00,403629,144879,214542,206079,126034,194700
2023-03-23 15:28:00,413236,170053,203889,204347,138558,172978
2023-03-23 15:30:00,501303,179587,235792,252947,181279,219697
2023-03-23 15:32:00,506601,187557,228387,255927,168462,199536
2023-03-23 15:34:00,413938,151178,204564,204154,129750,177275
2023-03-23 15:36:00,399346,165950,201640,201300,136162,171396
2023-03-23 15:38:00,417716,153500,208597,205217,131159,180609
2023-03-23 15:40:00,476092,181167,210986,248426,181894,196431
2023-03-23 15:42:00,492430,201928,215738,254680,189453,187882
2023-03-23 15:44:00,425234,147751,225058,207453,128327,205557
2023-03-23 15:46:00,400297,167840,204221,203348,138089,174884
2023-03-23 15:48:00,409744,153460,208523,208882,131713,179201
2023-03-23 15:50:00,480749,202558,223010,236220,193148,199709
2023-03-23 15:52:00,483702,181834,204947,253251,180850,177993
2023-03-23 15:54:00,415256,147729,210902,201313,128979,192593
2023-03-23 15:56:00,404080,149174,206651,204924,127656,178812
2023-03-23 15:58:00,408218,152641,215829,204160,131002,197862
2023-03-23 16:00:00,437305,203283,199683,214509,193200,183967
2023-03-23 16:02:00,490696,179290,211439,252234,189400,195059
2023-03-23 16:04:00,412036,170001,198105,197493,140128,171379
2023-03-23 16:06:00,402623,149393,201235,198403,127690,176323
2023-03-23 16:08:00,412289,171949,206781,205225,141138,181195
2023-03-23 16:10:00,403141,171420,201966,200659,166198,178597
2023-03-23 16:12:00,589037,178392,290355,337031,179964,275749
2023-03-23 16:14:00,434725,152533,279341,197061,132400,257889
2023-03-23 16:16:00,403005,150657,211909,206909,138717,205859
2023-03-23 16:18:00,408936,172033,205259,209032,141801,182558
2023-03-23 16:20:00,400944,156152,208222,195412,143991,192691
2023-03-23 16:22:00,478498,198843,198415,245980,189299,170528
2023-03-23 16:24:00,414351,151973,200704,198722,130867,174515
2023-03-23 16:26:00,404249,166125,202147,203091,137689,172160
2023-03-23 16:28:00,408941,150665,206388,205002,127929,177519
2023-03-23 16:30:00,401993,147498,207965,195256,128890,193163
2023-03-23 16:32:00,476860,182020,198852,245132,181188,174623
2023-03-23 16:34:00,421268,146347,209055,198901,128025,198918
2023-03-23 16:36:00,403673,165834,201115,201912,137221,171746
2023-03-23 16:38:00,411693,149369,216368,202371,127373,197714
2023-03-23 16:40:00,438620,170235,235518,201403,138929,209250
2023-03-23 16:42:00,480847,180602,202443,248704,179403,176105
2023-03-23 16:44:00,441177,160487,201330,214011,143540,177348
2023-03-23 16:46:00,412131,151208,203882,201041,138127,177291
2023-03-23 16:48:00,409352,150386,217028,205998,128238,198107
2023-03-23 16:50:00,403880,172866,200482,196844,141073,175553
2023-03-23 16:52:00,484343,176370,210429,248828,177153,193096
2023-03-23 16:54:00,462962,171223,197964,232837,140508,170144
2023-03-23 16:56:00,403870,150371,210579,200993,129222,218246
2023-03-23 16:58:00,407897,171610,203894,201331,138567,175844
2023-03-23 17:00:00,402717,152263,199207,195280,131469,175341
2023-03-23 17:02:00,482074,177365,209891,248223,178576,192675
2023-03-23 17:04:00,504804,164146,224186,248212,154487,198143
2023-03-23 17:06:00,428079,151025,237840,202452,134289,221761
2023-03-23 17:08:00,411827,172627,205677,201165,138327,177449
2023-03-23 17:10:00,414224,147742,216981,194495,128742,201438
2023-03-23 17:12:00,494257,200302,209256,249480,190758,181569
2023-03-23 17:14:00,484703,175002,203230,252509,169564,175089
2023-03-23 17:16:00,406064,171242,204851,202711,144876,177225
2023-03-23 17:18:00,412531,151607,203133,200022,136735,175129
2023-03-23 17:20:00,411826,148208,207203,194631,129195,200302
2023-03-23 17:22:00,479524,183454,201438,244620,182248,175662
2023-03-23 17:24:00,485630,179629,211645,251113,179956,194072
2023-03-23 17:26:00,406955,169938,204052,203714,139222,175830
2023-03-23 17:28:00,405963,147657,213493,200984,126761,194173
2023-03-23 17:30:00,423434,169793,218948,192625,139859,193562
2023-03-23 17:32:00,472018,182151,223864,225195,181734,198902
2023-03-23 17:34:00,480244,197592,196043,246552,190030,170688
2023-03-23 17:36:00,404902,152631,202461,201304,131874,179124
2023-03-23 17:38:00,415916,147808,216435,203299,125975,197876
