"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc24a55b6118f2)","Transmit Total (lxc2620cdf5014d)","Transmit Total (lxc27c8bfb255bc)","Transmit Total (lxc2e928844a56f)","Transmit Total (lxc3300f810e11f)","Transmit Total (lxc573a43e1f8d2)","Transmit Total (lxc57952e484e48)","Transmit Total (lxc6a491f057ac7)","Transmit Total (lxc6cffc9e65af3)","Transmit Total (lxc769c27b82d9e)","Transmit Total (lxc7eb535e15136)","Transmit Total (lxc8928d6f5d0b3)","Transmit Total (lxc_health)","Transmit Total (lxca81d0fc879aa)","Transmit Total (lxcafe47d984b50)","Transmit Total (lxccddc051f6a29)","Transmit Total (lxccf3cdc47b0c9)","Transmit Total (lxce6f24bb6c275)","Transmit Total (lxcefae8cd05c83)","Transmit Total (lxcefb8e72134a6)","Transmit Total (lxcfed393d703a1)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc24a55b6118f2)","Receive Total (lxc2620cdf5014d)","Receive Total (lxc27c8bfb255bc)","Receive Total (lxc2e928844a56f)","Receive Total (lxc3300f810e11f)","Receive Total (lxc573a43e1f8d2)","Receive Total (lxc57952e484e48)","Receive Total (lxc6a491f057ac7)","Receive Total (lxc6cffc9e65af3)","Receive Total (lxc769c27b82d9e)","Receive Total (lxc7eb535e15136)","Receive Total (lxc8928d6f5d0b3)","Receive Total (lxc_health)","Receive Total (lxca81d0fc879aa)","Receive Total (lxcafe47d984b50)","Receive Total (lxccddc051f6a29)","Receive Total (lxccf3cdc47b0c9)","Receive Total (lxce6f24bb6c275)","Receive Total (lxcefae8cd05c83)","Receive Total (lxcefb8e72134a6)","Receive Total (lxcfed393d703a1)"
2023-03-11 10:16:00,0,69.7,14179,45453,0,0,66.0,125,0,7837,468,1159,1616,21901,38.5,1852,0,32.3,1701,350,450,65.7,40258,104,454,0,69.7,0,18193,45278,0,0,41.4,21.8,0,1167,260,657,1614,10675,19.0,191,0,26.2,17391,100,253,40.6,22156,232,254,0
2023-03-11 10:18:00,0,69.4,12945,42144,0,0,66.1,126,0,7740,454,1160,1611,17835,38.5,1856,0,32.3,1685,327,436,66.1,40205,103,454,0,69.4,0,18147,44744,0,0,41,22.2,0,1113,253,657,1608,9376,19.4,198,0,26.2,17384,95.2,244,40.6,18124,232,255,0
2023-03-11 10:20:00,0,69.7,12174,43103,0,0,66.1,121,0,7626,466,1158,1081,18385,38.5,1753,0,32.3,1606,333,434,66.1,40230,193,453,0,69.7,0,17626,43915,0,0,41,20.9,0,1123,259,655,1078,9129,19,189,0,26.2,17390,96.5,242,40.7,18734,265,254,0
2023-03-11 10:22:00,0,70.5,13767,44195,0,0,66.4,121,0,8052,468,1160,1875,18198,754,1978,0,32.8,1731,361,447,66.1,40234,111,453,0,70.5,0,19140,46815,0,0,41.4,20.9,0,1171,261,657,1872,9516,486,200,0,26.7,17350,103,249,40.7,18469,243,254,0
2023-03-11 10:24:00,0,69,13147,44399,0,0,66.4,121,0,7693,464,1160,1348,18183,754,1832,0,33.0,1601,361,449,65.7,40290,103,454,0,69,0,18624,53847,0,0,41.4,20.9,0,1112,259,662,1347,9416,486,195,0,26.9,17407,108,253,40.6,18456,232,261,0
2023-03-11 10:26:00,0,70.1,14148,45965,0,0,66.8,137,0,7854,467,1159,1616,26984,38.5,1874,0,33.0,1711,350,448,65.7,40321,103,454,0,70.1,0,18228,53931,0,0,41.7,23.8,0,1129,260,655,1611,10682,19,219,0,26.9,17385,100,251,41.4,27224,232,254,0
2023-03-11 10:28:00,0,70.5,13669,43286,0,0,65.7,126,0,7992,467,1159,1877,18642,38.5,1914,0,33.0,1699,350,447,66.4,40236,9718,455,0,70.5,0,18453,55845,0,0,41,21.9,0,1141,260,655,1872,9865,19,204,0,26.9,17356,100,249,41.4,18877,286,256,0
2023-03-11 10:30:00,0,69,13645,45091,0,0,65.7,125,0,7698,467,1159,1081,19099,38.5,1731,0,32.8,1534,338,448,66.4,40220,9810,443,0,69,0,17650,53960,0,0,40.6,21.9,0,1139,260,655,1087,10627,19,191,0,26.7,17353,97.8,251,41,19332,319,249,0
2023-03-11 10:32:00,0,69.4,13823,43411,0,0,65.7,115,0,7931,466,1160,1872,18758,38.5,1928,0,32.3,1765,350,448,66.0,40219,100,440,0,69.4,0,18431,45555,0,0,41,20.0,0,1090,259,657,1880,9992,19,195,0,26.2,17394,100,251,40.6,19039,228,244,0
2023-03-11 10:34:00,0,69.7,12324,42920,0,0,66.0,125,0,7632,467,1159,1343,17934,692,1779,0,32.3,1648,333,447,66.0,40234,103,453,0,69.7,0,18484,44867,0,0,41.4,21.8,0,1097,260,657,1343,8618,462,185,0,26.2,17386,96.5,249,41.0,18275,232,253,0
2023-03-11 10:36:00,0,69.7,13432,44917,0,0,66.4,121,0,7673,466,1167,1343,23838,38.5,1771,0,32.6,1543,333,448,66.4,40162,103,457,0,69.7,0,17921,44617,0,0,41.4,20.9,0,1166,259,656,1341,10173,19,202,0,26.4,17314,96.5,256,41,24001,232,263,0
2023-03-11 10:38:00,0,70.1,13225,43137,0,0,66.4,115,0,7941,467,1168,1876,18842,38.5,1952,0,32.6,1613,338,447,66.8,40097,103,454,0,70.1,0,18429,45825,0,0.389,41.4,24.9,0,1175,266,656,1879,9407,19,231,0,26.4,17287,97.5,255,41.4,18989,232,254,0
2023-03-11 10:40:00,0,68.6,12432,43661,0,0,66.4,132,0,7564,468,1160,1080,17904,38.5,1725,0,32.6,1490,327,448,66.4,40128,189,451,0,68.6,0,17656,43862,0,0,41.4,22.8,0,1159,261,657,1079,9378,19,211,0,26.4,17326,94.8,251,41.7,18097,258,251,0
2023-03-11 10:42:00,0,69.7,13493,43807,0,0,66.4,132,0,7939,458,1159,1875,17569,38.5,1933,0,32.1,1710,338,434,66.4,40154,120,455,0,69.7,0,18421,45711,0,0,41.4,22.8,0,1181,256,655,1874,9653,19,224,0,26.0,17372,97.5,242,41,17809,251,256,0
2023-03-11 10:44:00,0,69.4,13156,44194,0,0,66.1,126,0,7894,454,1163,1607,16849,745,1927,0,31.6,1603,344,436,66.4,40082,117,454,0,69.4,0,18815,45763,0,0,41.4,21.9,0,1195,253,656,1607,9131,495,245,0,25.5,17313,99.1,244,41,17060,247,255,0
2023-03-11 10:46:00,0,71.6,13736,44832,0,0,66.1,126,0,7735,469,1164,1343,24199,38.5,1839,0,31.6,1636,333,450,66.0,40230,103,452,0,71.6,0,17928,44669,0,0,41.0,21.9,0,1173,261,658,1342,10478,19.0,240,0,25.5,17414,96.5,253,41.0,24452,232,251,0
2023-03-11 10:48:00,0,71.6,13257,42792,0,0,66.0,125,0.389,7975,468,1163,1882,18961,38.5,1930,0.389,31.9,1768,344,447,66.0,40254,103,453,0,71.6,0,18419,45715,0,0,40.6,21.8,0,1199,261,655,1880,9447,19.0,214,0.389,25.7,17416,98.8,250,41.4,19281,233,253,0
2023-03-11 10:50:00,0,69.7,12397,43950,0,0,66.4,121,0.389,7737,469,1163,1349,18449,38.5,1798,0.389,31.9,1617,350,448,66.5,40222,193,454,0,69.7,0,17917,44418,0,0,41,20.9,0,1175,261,655,1341,9106,19,226,0.389,25.7,17356,101,251,41.8,18723,264,255,0
2023-03-11 10:52:00,0.389,69,12215,42081,0,0,66.1,120,0,7772,468,1160,1614,18143,38.5,1840,0,32.0,1613,349,450,66.1,40161,107,442,0,69,0.389,18157,44871,0,0,41,20.9,0,1124,260,657,1609,8662,19,207,0,25.5,17317,101,253,41,18360,236,248,0
2023-03-11 10:54:00,0.389,69,12748,43464,0,0,66.4,110,0,7831,465,1160,1616,17657,754,1865,0,32.0,1708,355,449,65.7,40234,103,439,0,69,0.389,18821,45690,0,0,41.4,19,0,1128,259,657,1616,8748,478,199,0,25.5,17394,102,251,40.3,18001,232,244,0
2023-03-11 10:56:00,0,69.8,13859,44910,0,0.389,66.4,121,0,7709,464,1163,1340,19110,38.5,1781,0,32.1,1591,345,448,66.1,40184,103,454,0.389,69.8,0,17935,44600,0,0,41,20.9,0,1139,259,656,1338,10563,19,191,0,26.0,17359,99.1,250,41.4,19296,233,253,0
2023-03-11 10:58:00,0,69.4,13473,42701,0,0,66.0,115,0,7954,467,1162,1875,19204,38.5,1919,0,32.8,1720,350,449,66.0,40198,104,454,0,69.4,0,18423,45652,0,0,40.6,19.9,0,1095,260,656,1878,9647,19.0,184,0,26.7,17356,100,250,41.4,19458,232,255,0.389
2023-03-11 11:00:00,0,69,12776,44221,0,0,66.8,121,0,7801,465,1159,1346,21856,38.5,1792,0,32.6,1648,333,450,66.8,40287,196,452,0,69,0,17931,44455,0,0,41.4,20.9,0,1167,259,657,1347,9529,19,213,0,26.4,17393,96.1,253,41.4,22153,266,251,0
