"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 14:30:00,15.7,2.72,10.5,9.02
2023-03-11 14:32:00,15.6,2.70,10.3,8.94
2023-03-11 14:34:00,15.7,2.70,10.5,9.04
2023-03-11 14:36:00,28.1,14.7,18.3,14.0
2023-03-11 14:38:00,15.8,2.66,10.5,9.06
2023-03-11 14:40:00,15.8,2.78,10.5,9.02
2023-03-11 14:42:00,15.6,2.74,10.3,8.94
2023-03-11 14:44:00,15.7,2.66,10.5,9.04
2023-03-11 14:46:00,31.4,19.0,20.4,15.0
2023-03-11 14:48:00,15.8,2.74,10.5,9.06
2023-03-11 14:50:00,15.6,2.74,10.3,8.94
2023-03-11 14:52:00,15.8,2.74,10.5,9.02
2023-03-11 14:54:00,15.6,2.72,10.4,9
2023-03-11 14:56:00,34.9,23.5,22.9,16.3
2023-03-11 14:58:00,15.8,2.70,10.5,9.06
2023-03-11 15:00:00,15.7,2.74,10.4,8.96
2023-03-11 15:02:00,15.8,2.78,10.5,9.02
2023-03-11 15:04:00,15.5,2.68,10.4,8.96
2023-03-11 15:06:00,37.2,26.9,24.6,17.0
2023-03-11 15:08:00,15.7,2.70,10.4,8.98
2023-03-11 15:10:00,15.8,2.86,10.6,9.08
2023-03-11 15:12:00,15.6,2.70,10.5,9.02
2023-03-11 15:14:00,15.7,2.76,10.5,9.04
2023-03-11 15:16:00,37.3,27.0,24.6,17.0
2023-03-11 15:18:00,15.7,2.76,10.4,9.02
2023-03-11 15:20:00,15.8,2.74,10.5,9.02
2023-03-11 15:22:00,15.6,2.74,10.3,8.94
2023-03-11 15:24:00,15.7,2.68,10.5,9
2023-03-11 15:26:00,35.8,26.3,23.6,16.1
2023-03-11 15:28:00,15.9,2.68,10.6,9.12
2023-03-11 15:30:00,15.8,2.78,10.5,9.02
2023-03-11 15:32:00,15.6,2.68,10.3,8.94
2023-03-11 15:34:00,15.7,2.66,10.5,9.04
2023-03-11 15:36:00,29.9,22.0,20.2,13.7
2023-03-11 15:38:00,15.9,2.76,10.5,9.06
2023-03-11 15:40:00,15.6,2.72,10.3,8.94
2023-03-11 15:42:00,15.7,2.74,10.5,9.02
2023-03-11 15:44:00,15.6,2.80,10.4,8.96
2023-03-11 15:46:00,26.6,17.4,18,12.6
2023-03-11 15:48:00,15.8,2.66,10.5,9.06
2023-03-11 15:50:00,15.8,2.76,10.3,8.94
2023-03-11 15:52:00,15.7,2.62,10.5,9.02
2023-03-11 15:54:00,15.6,2.60,10.4,8.96
2023-03-11 15:56:00,23.3,13.1,15.8,11.5
2023-03-11 15:58:00,15.7,2.66,10.4,8.98
2023-03-11 16:00:00,15.9,2.78,10.5,9.02
2023-03-11 16:02:00,15.5,2.82,10.3,8.94
2023-03-11 16:04:00,15.7,2.66,10.5,9.04
2023-03-11 16:06:00,20.0,8.60,13.6,10.4
2023-03-11 16:08:00,15.8,2.66,10.4,8.98
2023-03-11 16:10:00,15.9,2.82,10.6,9.08
2023-03-11 16:12:00,15.6,2.72,10.3,8.94
2023-03-11 16:14:00,15.7,2.70,10.5,9.04
2023-03-11 16:16:00,16.4,3.96,11.1,9.20
2023-03-11 16:18:00,15.8,2.70,10.5,9.06
2023-03-11 16:20:00,15.7,2.80,10.3,8.94
2023-03-11 16:22:00,15.7,2.68,10.5,9.02
2023-03-11 16:24:00,15.7,2.74,10.5,9.04
2023-03-11 16:26:00,15.7,2.74,10.4,9
2023-03-11 16:28:00,15.9,2.70,10.6,9.12
2023-03-11 16:30:00,15.7,2.76,10.3,8.94
2023-03-11 16:32:00,15.7,2.82,10.5,9.02
2023-03-11 16:34:00,15.6,2.68,10.4,8.96
2023-03-11 16:36:00,15.7,2.72,10.6,9.10
2023-03-11 16:38:00,15.6,2.66,10.4,8.98
2023-03-11 16:40:00,15.9,2.74,10.5,9.02
2023-03-11 16:42:00,15.7,2.86,10.5,9.02
2023-03-11 16:44:00,15.7,2.66,10.4,8.96
2023-03-11 16:46:00,15.7,2.74,10.6,9.10
2023-03-11 16:48:00,15.6,2.74,10.4,8.98
2023-03-11 16:50:00,15.8,2.72,10.5,9.02
