"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05ca4eb0f903)","Transmit Total (lxc0e4aa2e5ee9a)","Transmit Total (lxc0f98788fb31e)","Transmit Total (lxc13467604ff43)","Transmit Total (lxc13aeaa26d776)","Transmit Total (lxc1f39d9927cdc)","Transmit Total (lxc2368609f7bd1)","Transmit Total (lxc2988b84f3fbb)","Transmit Total (lxc3029f3c52bb4)","Transmit Total (lxc3bd8d7d2aadc)","Transmit Total (lxc4d23d98e0c91)","Transmit Total (lxc52b2b28bbcc8)","Transmit Total (lxc5851cf07f3be)","Transmit Total (lxc6ed88b62a826)","Transmit Total (lxc75fbef30a752)","Transmit Total (lxc8c4c70aed681)","Transmit Total (lxc92de70f2a832)","Transmit Total (lxc9495fc49f853)","Transmit Total (lxc976dc02abaa0)","Transmit Total (lxc_health)","Transmit Total (lxcacaa9500f437)","Transmit Total (lxcaec49258d85b)","Transmit Total (lxcb3eb82635d42)","Transmit Total (lxcbe13c37cde77)","Transmit Total (lxcc071ea49a929)","Transmit Total (lxcc48a5d2d0f1b)","Transmit Total (lxccceb9198d51d)","Transmit Total (lxcd42ff77fa34a)","Transmit Total (lxcde1fff6244fb)","Transmit Total (lxcf62cc55180bf)","Transmit Total (lxcfec0ac61d5e2)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05ca4eb0f903)","Receive Total (lxc0e4aa2e5ee9a)","Receive Total (lxc0f98788fb31e)","Receive Total (lxc13467604ff43)","Receive Total (lxc13aeaa26d776)","Receive Total (lxc1f39d9927cdc)","Receive Total (lxc2368609f7bd1)","Receive Total (lxc2988b84f3fbb)","Receive Total (lxc3029f3c52bb4)","Receive Total (lxc3bd8d7d2aadc)","Receive Total (lxc4d23d98e0c91)","Receive Total (lxc52b2b28bbcc8)","Receive Total (lxc5851cf07f3be)","Receive Total (lxc6ed88b62a826)","Receive Total (lxc75fbef30a752)","Receive Total (lxc8c4c70aed681)","Receive Total (lxc92de70f2a832)","Receive Total (lxc9495fc49f853)","Receive Total (lxc976dc02abaa0)","Receive Total (lxc_health)","Receive Total (lxcacaa9500f437)","Receive Total (lxcaec49258d85b)","Receive Total (lxcb3eb82635d42)","Receive Total (lxcbe13c37cde77)","Receive Total (lxcc071ea49a929)","Receive Total (lxcc48a5d2d0f1b)","Receive Total (lxccceb9198d51d)","Receive Total (lxcd42ff77fa34a)","Receive Total (lxcde1fff6244fb)","Receive Total (lxcf62cc55180bf)","Receive Total (lxcfec0ac61d5e2)"
2023-03-11 08:40:00,0,2658,19272,83888,0,68225,257,66.1,0,1917,210,0,35.4,1968,1884,121,6.50,16248,167,228,66.4,0,89.6,122,32.3,124,9984,0,124,87.2,396,156,0.389,18137,78.7,151,2658,0,27730,88171,0,2411,73.9,40.6,0,192,228,0.389,23.1,2173,209,29.0,7.74,16187,106,225,41.8,0,95,29.0,26.2,20.9,1216,0,20.9,66.2,466,135,0,7661,3571,562
2023-03-11 08:42:00,0,1076,22550,73784,0,68080,85.3,66.1,0,1722,210,0,33.5,1873,1680,132,5.10,16264,159,228,66.8,0,90.3,127,32.1,130,6648,0,129,87.2,379,154,0.389,18517,77.6,4627,1076,0,30861,90208,0,2402,77.9,40.6,0,185,228,0,23.4,2301,172,31.6,5.91,16199,89.9,225,41.7,0,95,30.3,26.0,21.9,1081,0,21.9,66.2,435,134,0,8815,3569,5513
2023-03-11 08:44:00,0,2657,43016,132305,0,68250,257,65.4,0,1918,210,0,30.7,2009,1887,126,4.43,16279,161,229,66.1,0,89.6,127,31.6,130,7146,0.389,129,87.2,423,154,0,18897,77.1,21921,2657,0,49903,113600,0,2408,74.2,40.0,0,185,228,0,19.7,2285,176,30.3,4.80,16214,93.4,235,41.7,0,95,30.3,25.5,21.9,1052,0,21.9,66.2,520,135,0,7753,3540,24594
2023-03-11 08:46:00,0,2657,19328,99435,0,68239,1744,66.1,0,1933,213,0,32.1,1983,1911,132,4.07,16254,159,221,65.3,0,89.2,138,31.9,141,7108,0,140,87.2,406,155,0,27575,76.9,181,2657,0,37133,98618,0,2406,100,40.7,0,191,229,0,22.0,2184,170,31.6,4.43,16195,93.2,224,40.6,0,95.4,32.9,25.7,23.8,1081,0,23.8,66.2,475,134,0,8447,3540,576
2023-03-11 08:48:00,0.389,1076,17711,72082,0,68085,85.7,67.9,0,1724,213,0,34.0,1859,1702,132,4.30,16254,164,216,66.5,0,89.6,127,32.3,129,6672,0,128,87.2,417,155,0,18598,122,175,1076,0.389,26568,85498,0,2403,77.6,41.8,0,179,229,0,22.3,2277,167,32.0,4.73,16194,103,216,41.1,0,95,30.3,26.2,22.2,1032,0.389,22.2,66.2,497,137,0,8647,3558,573
2023-03-11 08:50:00,0,2656,19300,77872,0,68237,256,66.8,0,1892,211,0,30.7,1975,1876,137,6.13,16257,164,225,65.8,0,91.0,138,32.3,141,7028,0,140,87.2,382,152,0,20984,77.0,162,2656,0,30559,90756,0,2411,73.9,41,0,175,228,0,19.7,2177,167,32.9,12.4,16196,102,227,41.4,0,95,32.9,26.2,23.8,1040,0,23.8,66.2,445,135,0.389,7390,3496,565
2023-03-11 08:52:00,0,1076,17662,68934,0,68076,272,66.1,0,1699,208,0,30.7,1877,1671,132,3.70,16266,163,223,66.1,0,90.7,133,32.3,135,6594,0,134,86.5,379,153,0,17521,77.2,159,1076,0,25459,84075,0,2400,88.0,40.6,0,192,228,0,19.7,2307,172,31.6,9.21,16202,95.8,225,41.7,0,95,31.6,26.2,22.8,1032,0,22.8,65.5,435,135,0,8086,3539,564
2023-03-11 08:54:00,0,2657,42955,106425,0,68229,256,65.7,0,1900,210,0,32.9,2004,1865,132,3.27,16265,160,220,66.1,0,89.2,133,32.0,136,7037,0,134,85.7,422,155,0,18330,76.7,21875,2657,0,49304,112050,0,2402,73.9,40.3,0,206,229,0,22.4,2277,163,31.6,3.27,16200,91.8,226,41.7,0,95,32.0,25.8,22.8,1054,0,22.8,64.7,519,136,0,7824,3539,24536
2023-03-11 08:56:00,0,2657,19275,74702,0,68229,257,66.1,0,1923,211,0,33.5,1978,1912,126,4.87,16270,163,223,66.1,0,89.2,133,32.1,135,7055,0,134,85.7,394,153,0,18695,77.9,156,2657,0,28283,88308,0,2407,73.9,41,0,185,228,0,23.4,2179,166,30.3,5.66,16213,96.1,231,41.4,0,95,31.6,26.0,22.8,1073,0,22.8,64.7,455,136,0,7794,3569,572
2023-03-11 08:58:00,0,1076,17707,74042,0,68097,84.9,66.4,0,1703,209,0.389,32.1,1858,1697,120,5.10,16267,167,225,66.4,0,89.6,121,31.6,123,6629,0,123,87.2,419,153,0,18594,122,155,1076,0,26571,85407,0,2410,77.9,41.4,0,174,228,0,21.5,2280,170,29.0,6.01,16202,107,227,41.7,0,95,29.0,25.5,20.9,1056,0,20.9,66.2,498,135,0,7708,3588,568
