"Time","192.168.0.211:10250 pod","192.168.0.221:10250 pod","192.168.0.222:10250 pod","192.168.0.211:10250 worker","192.168.0.221:10250 worker","192.168.0.222:10250 worker"
2023-03-14 01:12:00,0,0,0,0.437,0.421,0.396
2023-03-14 01:16:00,0,0,0,0.421,0.392,0.400
2023-03-14 01:20:00,0,0,0,0.454,0.400,0.413
2023-03-14 01:24:00,0,0,0,0.429,0.392,0.396
2023-03-14 01:28:00,0,0,0,0.421,0.417,0.400
2023-03-14 01:32:00,0,0,0,0.458,0.404,0.400
2023-03-14 01:36:00,0,0,0,0.433,0.400,0.383
2023-03-14 01:40:00,0,0,0,0.450,0.388,0.400
2023-03-14 01:44:00,0,0,0,0.425,0.400,0.404
2023-03-14 01:48:00,0,0,0,0.446,0.392,0.404
2023-03-14 01:52:00,0,0,0,0.438,0.408,0.400
2023-03-14 01:56:00,0,0,0,0.438,0.379,0.404
2023-03-14 02:00:00,0,0,0,0.433,0.388,0.404
2023-03-14 02:04:00,0,0,0,0.429,0.408,0.392
2023-03-14 02:08:00,0,0,0,0.450,0.392,0.408
2023-03-14 02:12:00,0,0,0,0.442,0.408,0.404
2023-03-14 02:16:00,0,0,0,0.429,0.404,0.404
2023-03-14 02:20:00,0,0,0,0.425,0.396,0.400
2023-03-14 02:24:00,0,0,0,0.446,0.388,0.387
2023-03-14 02:28:00,0,0,0,0.433,0.392,0.396
2023-03-14 02:32:00,0,0,0,0.433,0.413,0.396
2023-03-14 02:36:00,0,0,0,0.417,0.392,0.417
2023-03-14 02:40:00,0,0,0,0.446,0.400,0.404
2023-03-14 02:44:00,0,0,0,0.442,0.400,0.408
2023-03-14 02:48:00,0,0,0,0.429,0.388,0.379
2023-03-14 02:52:00,0,0,0,0.429,0.396,0.413
2023-03-14 02:56:00,0,0,0,0.442,0.396,0.404
2023-03-14 03:00:00,0,0,0,0.442,0.404,0.400
2023-03-14 03:04:00,0,0,0,0.429,0.388,0.396
2023-03-14 03:08:00,0,0,0,0.429,0.396,0.396
2023-03-14 03:12:00,0,0,0,0.446,0.413,0.392
2023-03-14 03:16:00,0,0,0,0.429,0.408,0.392
2023-03-14 03:20:00,0,0,0,0.467,0.396,0.379
2023-03-14 03:24:00,0,0,0,0.429,0.404,0.404
2023-03-14 03:28:00,0,0,0,0.425,0.396,0.404
2023-03-14 03:32:00,0,0,0,0.438,0.404,0.396
2023-03-14 03:36:00,0,0,0,0.442,0.404,0.404
2023-03-14 03:40:00,0,0,0,0.433,0.396,0.383
