"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf4214ee191c8)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf4214ee191c8)","Receive Total (lxcf97c652df312)"
2023-03-13 12:40:00,0,75.2,24900,52670,0,0,0,0,0,173,288,130,454,66.1,449,38.5,0,584,31.6,0,38.5,1810,4.27,447,0,65.8,41622,19,1813,6839,148,1348,75.2,0,35581,59937,0,0,0,0,0,223,114,30.3,254,40.6,254,19,0,702,25.5,0,19,171,4.13,249,0,40.6,20058,38.9,196,1087,76.2,1342
2023-03-13 12:42:00,0,78.9,32962,61357,0,0,0,0,0,171,288,130,454,65.7,447,38.5,0,586,31.6,0,38.5,1862,4.27,447,0,66.1,41688,19,1886,7047,220,1609,78.9,0,35871,61009,0,0,0,0,0,226,112,30.3,254,40.6,250,19,0,701,25.5,0,19,161,4.13,249,0,41.4,27889,38.9,182,1104,73.1,1597
2023-03-13 12:44:00,0,82.9,28410,81060,0,0,0,0,62,172,287,124,455,65.7,448,680,0,587,31.6,0,38.5,1921,4.27,451,0,66.4,41641,19,1961,7109,288,1870,82.9,0,59378,89755,0,0,0,0,151,225,106,29.0,256,40.7,254,439,0,698,25.5,0,19,159,4.13,254,0,41.4,20277,38.5,208,1081,74.6,1861
2023-03-13 12:46:00,0,80.4,27344,79883,0,0,0,0,62,174,288,130,455,65.7,449,680,0,583,31.6,0,38.5,1744,4.27,449,0,66.5,41587,19,1801,6783,1416,1080,80.4,0,58575,89097,0,0,0,0,151,223,109,30.3,256,40.3,255,439,0,700,25.5,0,19,180,4.13,251,0,41.4,19984,38.5,216,1076,93.9,1071
2023-03-13 12:48:00,0,81.1,35290,63963,0,0,0,0,0,173,292,129,454,65.7,444,38.5,0,585,31.8,0,38.5,1966,4.27,448,0,66.7,42105,19,1974,7247,291,1871,81.1,0,36550,62181,0,0,0,0,0,224,117,30.3,259,40.6,248,19,0.389,698,25.7,0,19,179,4.13,249,0,41.4,29966,38.5,191,1131,83.5,1866
2023-03-13 12:50:00,0,74.9,24063,51798,0,0,0,0,0,171,287,130,454,65.7,447,38.5,0,585,32.3,0,38.5,1781,4.27,447,0,66.1,41647,19,1812,6877,150,1346,74.9,0,35581,59867,0,0,0,0,0,226,106,30.3,259,40.6,251,19.4,0,696,26.2,0,19,156,4.13,249,0,41.7,19240,38.5,200,1110,84.4,1343
2023-03-13 12:52:00,0.389,80.4,34024,62459,0,0,0,0,0,174,282,118,455,65.7,449,38.9,0,587,32.3,0,38.5,1876,4.27,451,0,65.8,41696,19,1905,7162,228,1611,80.4,0.389,35898,61204,0,0,0,0.389,0.389,224,100.0,27.7,255,41,260,19,0,695,26.2,0,19,152,4.13,253,0.389,41,28949,38.5,194,1096,78.0,1607
2023-03-13 12:54:00,0,76.0,26435,63573,0,0.389,0,0,0,173,288,113,452,66.1,448,38.5,0,586,32.3,0,38.5,1953,4.50,449,0,65.5,41641,19,1967,7173,288,1864,76.0,0,44615,71805,0.389,0,0,0,0,225,113,26.3,252,40.3,258,19,0,697,26.2,0,19,183,4.37,251,0,40.0,20251,38.5,181,1084,75.0,1862
2023-03-13 12:56:00,0,71.6,26307,79000,0,0.389,0,0,62,172,294,124,459,66.1,446,733,0,587,32.7,0,38.5,1724,4.66,454,0,65.4,41653,19,1738,6752,299,1070,71.6,0,58646,87798,0.389,0,0,0,151,226,120,29.0,254,40.6,249,466,0,695,26.2,0,19,180,4.13,251,0,40.7,18911,38.5,209,1122,86.7,1070
2023-03-13 12:58:00,0,80.4,29721,58096,0,0,0,0,0,172,286,141,454,66.6,448,38.5,0,587,32.4,0,38.5,1950,4.66,449,0,65.8,41758,19,1965,7227,507,1872,80.4,0,36193,61963,0,0,0,0,0,225,116,32.9,254,41.1,253,19,0,696,26.0,0,19,165,4.13,251,0,40.6,24375,38.5,184,1139,86.2,1870
2023-03-13 13:00:00,0,81.5,23336,51111,0,0,0,0.389,0,174,284,124,454,66.6,449,38.5,0,588,31.6,0,38.5,1779,4.27,447,0,65.7,41659,19,1803,6834,139,1339,81.5,0,35588,59967,0,0,0,0,0,224,104,29.0,259,40.7,254,19,0,693,25.5,0,19,160,4.13,255,0,41.7,18490,38.5,189,1078,70.9,1341
2023-03-13 13:02:00,0,77.8,33333,61942,0,0,0.389,0.389,0,172,291,119,455,65.7,448,38.5,0,587,31.6,0,38.5,1868,4.27,449,0,65.8,41770,19,1892,6998,229,1596,77.8,0,35938,61183,0,0,0,0,0,225,119,27.7,254,40.6,257,19,0,695,25.5,0,19,167,4.13,257,0,41.4,28251,38.5,180,1043,78.8,1595
