"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-13 20:34:00,0,0,0,286561,286561,0
2023-03-13 20:36:00,0,0,0,317349,317349,0
2023-03-13 20:38:00,0,0,0,343700,343700,0
2023-03-13 20:40:00,0,0,0,285059,285059,0
2023-03-13 20:42:00,0,0,0,335326,335326,0
2023-03-13 20:44:00,0,0,0,275820,275820,0
2023-03-13 20:46:00,0,0,0,321286,321286,0
2023-03-13 20:48:00,0,0,0,337783,337783,0
2023-03-13 20:50:00,0,0,0,269653,269653,0
2023-03-13 20:52:00,0,0,0,349776,349776,0
2023-03-13 20:54:00,0,0,0,279074,279074,0
2023-03-13 20:56:00,0,0,0,314049,314049,0
2023-03-13 20:58:00,0,0,0,341948,341948,0
2023-03-13 21:00:00,0,0,0,273135,273135,0
2023-03-13 21:02:00,0,0,0,344178,344178,0
2023-03-13 21:04:00,0,0,0,299873,299873,0
2023-03-13 21:06:00,0,0,0,309020,309020,0
2023-03-13 21:08:00,0,0,0,333733,333733,0
2023-03-13 21:10:00,0,0,0,267423,267423,0
2023-03-13 21:12:00,0,0,0,342062,342062,0
2023-03-13 21:14:00,0,0,0,303309,303309,0
2023-03-13 21:16:00,0,0,0,318964,318964,0
2023-03-13 21:18:00,0,0,0,341788,341788,0
2023-03-13 21:20:00,0,0,0,274591,274591,0
2023-03-13 21:22:00,0,0,0,350094,350094,0
2023-03-13 21:24:00,0,0,0,281213,281213,0
2023-03-13 21:26:00,0,0,0,308497,308497,0
2023-03-13 21:28:00,0,0,0,347068,347068,0
2023-03-13 21:30:00,0,0,0,275046,275046,0
2023-03-13 21:32:00,0,0,0,342994,342994,0
2023-03-13 21:34:00,0,0,0,303309,303309,0
2023-03-13 21:36:00,0,0,0,338398,338398,0
2023-03-13 21:38:00,0,0,0,341652,341652,0
2023-03-13 21:40:00,0,0,0,273954,273954,0
2023-03-13 21:42:00,0,0,0,324085,324085,0
2023-03-13 21:44:00,0,0,0,294662,294662,0
2023-03-13 21:46:00,0,0,0,329500,329500,0
2023-03-13 21:48:00,0,0,0,347500,347500,0
2023-03-13 21:50:00,0,0,0,280758,280758,0
2023-03-13 21:52:00,0,0,0,330752,330752,0
2023-03-13 21:54:00,0,0,0,299213,299213,0
2023-03-13 21:56:00,0,0,0,322173,322173,0
2023-03-13 21:58:00,0,0,0,339581,339581,0
2023-03-13 22:00:00,0,0,0,279142,279142,0
2023-03-13 22:02:00,0,0,0,337146,337146,0
2023-03-13 22:04:00,0,0,0,298303,298303,0
2023-03-13 22:06:00,0,0,0,318510,318510,0
2023-03-13 22:08:00,0,0,0,338671,338671,0
2023-03-13 22:10:00,0,0,0,283398,283398,0
2023-03-13 22:12:00,0,0,0,344428,344428,0
2023-03-13 22:14:00,0,0,0,291908,291908,0
2023-03-13 22:16:00,0,0,0,319926,319926,0
2023-03-13 22:18:00,0,0,0,342835,342835,0
2023-03-13 22:20:00,0,0,0,275615,275615,0
2023-03-13 22:22:00,0,0,0,330115,330115,0
2023-03-13 22:24:00,0,0,0,299509,299509,0
2023-03-13 22:26:00,0,0,0,319147,319147,0
2023-03-13 22:28:00,0,0,0,344656,344656,0
2023-03-13 22:30:00,0,0,0,260164,260164,0
2023-03-13 22:32:00,0,0,0,364122,364122,0
2023-03-13 22:34:00,0,0,0,306517,306517,0
2023-03-13 22:36:00,0,0,0,308406,308406,0
2023-03-13 22:38:00,0,0,0,322924,322924,0
2023-03-13 22:40:00,0,0,0,276594,276594,0
2023-03-13 22:42:00,0,0,0,342016,342016,0
2023-03-13 22:44:00,0,0,0,291339,291339,0
2023-03-13 22:46:00,0,0,0,335303,335303,0
2023-03-13 22:48:00,0,0,0,346271,346271,0
2023-03-13 22:50:00,0,0,0,281646,281646,0
2023-03-13 22:52:00,0,0,0,336509,336509,0
2023-03-13 22:54:00,0,0,0,286401,286401,0
2023-03-13 22:56:00,0,0,0,310340,310340,0
2023-03-13 22:58:00,0,0,0,326337,326337,0
2023-03-13 23:00:00,0,0,0,276434,276434,0
2023-03-13 23:02:00,0,0,0,334871,334871,0
2023-03-13 23:04:00,0,0,0,300487,300487,0
2023-03-13 23:06:00,0,0,0,310021,310021,0
2023-03-13 23:08:00,0,0,0,328499,328499,0
2023-03-13 23:10:00,0,0,0,279598,279598,0
2023-03-13 23:12:00,0,0,0,336964,336964,0
2023-03-13 23:14:00,0,0,0,275319,275319,0
2023-03-13 23:16:00,0,0,0,306517,306517,0
2023-03-13 23:18:00,0,0,0,332026,332026,0
2023-03-13 23:20:00,0,0,0,287039,287039,0
2023-03-13 23:22:00,0,0,0,340810,340810,0
2023-03-13 23:24:00,0,0,0,276617,276617,0
2023-03-13 23:26:00,0,0,0,321058,321058,0
2023-03-13 23:28:00,0,0,0,347773,347773,0
2023-03-13 23:30:00,0,0,0,269653,269653,0
2023-03-13 23:32:00,0,0,0,343814,343814,0
2023-03-13 23:34:00,0,0,0,301215,301215,0
2023-03-13 23:36:00,0,0,0,325268,325268,0
2023-03-13 23:38:00,0,0,0,331002,331002,0
2023-03-13 23:40:00,0,0,0,253838,253838,0
2023-03-13 23:42:00,0,0,0,341561,341561,0
2023-03-13 23:44:00,0,0,0,301420,301420,0
2023-03-13 23:46:00,0,0,0,335758,335758,0
2023-03-13 23:48:00,0,0,0,338011,338011,0
2023-03-13 23:50:00,0,0,0,271701,271701,0
2023-03-13 23:52:00,0,0,0,333005,333005,0
2023-03-13 23:54:00,0,0,0,280553,280553,0
2023-03-13 23:56:00,0,0,0,324085,324085,0
2023-03-13 23:58:00,0,0,0,324972,324972,0
2023-03-14 00:00:00,0,0,0,272065,272065,0
2023-03-14 00:02:00,0,0,0,342949,342949,0
2023-03-14 00:04:00,0,0,0,293820,293820,0
2023-03-14 00:06:00,0,0,0,329296,329296,0
2023-03-14 00:08:00,0,0,0,328203,328203,0
2023-03-14 00:10:00,0,0,0,274591,274591,0
2023-03-14 00:12:00,0,0,0,336646,336646,0
2023-03-14 00:14:00,0,0,0,306441,306441,0
2023-03-14 00:16:00,0,0,0,315711,315711,0
2023-03-14 00:18:00,0,0,0,350231,350231,0
2023-03-14 00:20:00,0,0,0,262167,262167,0
2023-03-14 00:22:00,0,0,0,349321,349321,0
2023-03-14 00:24:00,0,0,0,282442,282442,0
2023-03-14 00:26:00,0,0,0,315051,315051,0
2023-03-14 00:28:00,0,0,0,341129,341129,0
2023-03-14 00:30:00,0,0,0,272498,272498,0
2023-03-14 00:32:00,0,0,0,332481,332481,0
2023-03-14 00:34:00,0,0,0,298234,298234,0
2023-03-14 00:36:00,0,0,0,340014,340014,0
2023-03-14 00:38:00,0,0,0,359470,359470,0
2023-03-14 00:40:00,0,0,0,272225,272225,0
2023-03-14 00:42:00,0,0,0,350390,350390,0
2023-03-14 00:44:00,0,0,0,287585,287585,0
2023-03-14 00:46:00,0,0,0,305471,305471,0
2023-03-14 00:48:00,0,0,0,326636,326636,0
2023-03-14 00:50:00,0,0,0,268366,268366,0
2023-03-14 00:52:00,0,0,0,336873,336873,0
2023-03-14 00:54:00,0,0,0,291362,291362,0
2023-03-14 00:56:00,0,0,0,320853,320853,0
2023-03-14 00:58:00,0,0,0,339558,339558,0
2023-03-14 01:00:00,0,0,0,271679,271679,0
2023-03-14 01:02:00,0,0,0,338648,338648,0
2023-03-14 01:04:00,0,0,0,291112,291112,0
2023-03-14 01:06:00,0,0,0,326542,326542,0
2023-03-14 01:08:00,0,0,0,346158,346158,0
2023-03-14 01:10:00,0,0,0,266354,266354,0
2023-03-14 01:12:00,0,0,0,338967,338967,0
2023-03-14 01:14:00,0,0,0,290247,290247,0
2023-03-14 01:16:00,0,0,0,331822,331822,0
2023-03-14 01:18:00,0,0,0,339581,339581,0
2023-03-14 01:20:00,0,0,0,277550,277550,0
2023-03-14 01:22:00,728,728,0,347022,347022,0
2023-03-14 01:24:00,728,728,0,297665,297665,0
2023-03-14 01:26:00,0,0,0,306290,306290,0
2023-03-14 01:28:00,0,0,0,329341,329341,0
2023-03-14 01:30:00,0,0,0,278164,278164,0
2023-03-14 01:32:00,0,0,0,314277,314277,0
2023-03-14 01:34:00,0,0,0,298075,298075,0
2023-03-14 01:36:00,0,0,0,371029,371029,0
2023-03-14 01:38:00,0,0,0,408462,408462,0
2023-03-14 01:40:00,0,0,0,282260,282260,0
2023-03-14 01:42:00,0,0,0,338034,338034,0
2023-03-14 01:44:00,0,0,0,285628,285628,0
2023-03-14 01:46:00,0,0,0,327339,327339,0
2023-03-14 01:48:00,0,0,0,337146,337146,0
2023-03-14 01:50:00,0,0,0,269517,269517,0
2023-03-14 01:52:00,0,0,0,335895,335895,0
2023-03-14 01:54:00,0,0,0,284718,284718,0
2023-03-14 01:56:00,0,0,0,326042,326042,0
2023-03-14 01:58:00,0,0,0,346431,346431,0
2023-03-14 02:00:00,0,0,0,278710,278710,0
2023-03-14 02:02:00,0,0,0,346522,346522,0
2023-03-14 02:04:00,0,0,0,295890,295890,0
2023-03-14 02:06:00,0,0,0,308452,308452,0
2023-03-14 02:08:00,0,0,0,342357,342357,0
2023-03-14 02:10:00,0,0,0,272088,272088,0
2023-03-14 02:12:00,0,0,0,328340,328340,0
2023-03-14 02:14:00,0,0,0,296095,296095,0
2023-03-14 02:16:00,0,0,0,333938,333938,0
2023-03-14 02:18:00,0,0,0,344223,344223,0
2023-03-14 02:20:00,0,0,0,283694,283694,0
2023-03-14 02:22:00,0,0,0,337283,337283,0
2023-03-14 02:24:00,0,0,0,293638,293638,0
2023-03-14 02:26:00,0,0,0,317599,317599,0
2023-03-14 02:28:00,0,0,0,339285,339285,0
2023-03-14 02:30:00,0,0,0,285423,285423,0
2023-03-14 02:32:00,0,0,0,330752,330752,0
2023-03-14 02:34:00,0,0,0,295731,295731,0
2023-03-14 02:36:00,0,0,0,325996,325996,0
2023-03-14 02:38:00,683,683,0,347022,347022,0
2023-03-14 02:40:00,0,0,0,284581,284581,0
2023-03-14 02:42:00,0,0,0,352734,352734,0
2023-03-14 02:44:00,364,364,0,278096,278096,0
2023-03-14 02:46:00,0,0,0,336668,336668,0
2023-03-14 02:48:00,0,0,0,337192,337192,0
2023-03-14 02:50:00,0,0,0,276912,276912,0
2023-03-14 02:52:00,0,0,0,337101,337101,0
2023-03-14 02:54:00,0,0,0,307928,307928,0
2023-03-14 02:56:00,0,0,0,324244,324244,0
2023-03-14 02:58:00,0,0,0,334689,334689,0
2023-03-14 03:00:00,0,0,0,283466,283466,0
2023-03-14 03:02:00,0,0,0,340628,340628,0
2023-03-14 03:04:00,0,0,0,298894,298894,0
2023-03-14 03:06:00,0,0,0,329634,329634,0
2023-03-14 03:08:00,0,0,0,346544,346544,0
2023-03-14 03:10:00,0,0,0,280690,280690,0
2023-03-14 03:12:00,0,0,0,343268,343268,0
2023-03-14 03:14:00,0,0,0,298416,298416,0
2023-03-14 03:16:00,0,0,0,307063,307063,0
2023-03-14 03:18:00,0,0,0,338284,338284,0
2023-03-14 03:20:00,0,0,0,292409,292409,0
2023-03-14 03:22:00,0,0,0,320740,320740,0
2023-03-14 03:24:00,0,0,0,279142,279142,0
2023-03-14 03:26:00,0,0,0,318623,318623,0
2023-03-14 03:28:00,0,0,0,334939,334939,0
2023-03-14 03:30:00,0,0,0,275615,275615,0
2023-03-14 03:32:00,0,0,0,374716,374716,0
2023-03-14 03:34:00,0,0,0,287516,287516,0
2023-03-14 03:36:00,0,0,0,321923,321923,0
2023-03-14 03:38:00,0,0,0,356580,356580,0
2023-03-14 03:40:00,0,0,0,295026,295026,0
2023-03-14 03:42:00,0,0,0,339900,339900,0
2023-03-14 03:44:00,0,0,0,281054,281054,0
2023-03-14 03:46:00,0,0,0,306517,306517,0
2023-03-14 03:48:00,0,0,0,339536,339536,0
2023-03-14 03:50:00,0,0,0,269904,269904,0
2023-03-14 03:52:00,0,0,0,339649,339649,0
2023-03-14 03:54:00,0,0,0,292409,292409,0
2023-03-14 03:56:00,0,0,0,337078,337078,0
2023-03-14 03:58:00,0,0,0,339058,339058,0
2023-03-14 04:00:00,0,0,0,259550,259550,0
2023-03-14 04:02:00,0,0,0,355851,355851,0
2023-03-14 04:04:00,0,0,0,283791,283791,0
2023-03-14 04:06:00,0,0,0,312639,312639,0
2023-03-14 04:08:00,0,0,0,394650,394650,0
2023-03-14 04:10:00,0,0,0,267924,267924,0
2023-03-14 04:12:00,0,0,0,334029,334029,0
2023-03-14 04:14:00,0,0,0,298030,298030,0
2023-03-14 04:16:00,0,0,0,335690,335690,0
2023-03-14 04:18:00,0,0,0,356875,356875,0
2023-03-14 04:20:00,0,0,0,260551,260551,0
2023-03-14 04:22:00,0,0,0,342357,342357,0
2023-03-14 04:24:00,0,0,0,293069,293069,0
2023-03-14 04:26:00,0,0,0,330433,330433,0
2023-03-14 04:28:00,0,0,0,345589,345589,0
2023-03-14 04:30:00,0,0,0,278642,278642,0
2023-03-14 04:32:00,0,0,0,330593,330593,0
2023-03-14 04:34:00,0,0,0,293979,293979,0
2023-03-14 04:36:00,0,0,0,320853,320853,0
2023-03-14 04:38:00,0,0,0,344246,344246,0
2023-03-14 04:40:00,0,0,0,268561,268561,0
2023-03-14 04:42:00,0,0,0,322219,322219,0
2023-03-14 04:44:00,0,0,0,302990,302990,0
2023-03-14 04:46:00,0,0,0,311342,311342,0
2023-03-14 04:48:00,0,0,0,323971,323971,0
2023-03-14 04:50:00,0,0,0,276821,276821,0
2023-03-14 04:52:00,0,0,0,357126,357126,0
2023-03-14 04:54:00,0,0,0,286561,286561,0
2023-03-14 04:56:00,0,0,0,309225,309225,0
2023-03-14 04:58:00,0,0,0,349571,349571,0
2023-03-14 05:00:00,0,0,0,272498,272498,0
2023-03-14 05:02:00,0,0,0,327839,327839,0
