"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6237b799514f)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd39cb2af2558)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6237b799514f)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd39cb2af2558)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-23 03:40:00,0,11943,37541,191797,0,1854,473,162,30.7,115,1938,65.8,417,0,10434,78.2,5.80,337,148,88.4,0,18306,1871,461,32.0,1595,65.8,19,334,0,0,450,142622,164,0,11943,0,20111,105604,0.389,182,264,96.8,20.8,27.7,2190,41,6287,0,2713,3653,6.59,77.7,132,67.2,0,18187,205,260,26.0,17062,41.7,38.5,399,0,0,252,6741,600,0
2023-03-23 03:42:00,0,11017,47063,211556,0,1777,473,157,30.7,121,1922,65.5,815,0,13450,81.2,5.80,337,146,88.3,0,18318,1801,455,32.3,1507,65.8,19,337,0,0,453,145753,9530,0,11017,0,20114,106882,0.389,167,265,88.2,20.4,29.0,2302,41.4,14590,0,2693,3835,6.59,77.7,130,66.3,0,18193,191,255,26.2,17059,41.7,38.5,409,0,0,253,7105,10880,0
2023-03-23 03:44:00,0,13688,61132,205884,0,1924,476,163,33.7,120,2005,66.1,1719,0,14209,81.1,4.17,349,146,87.3,0,18328,1933,457,32.4,1596,65.9,370,396,0,0,451,151358,21798,0,13688,0,24598,114295,0,170,267,95.4,24.4,29.0,2200,42.1,25619,0,2980,3716,4.56,79.2,129,67.7,0,18205,195,256,26.0,17044,42.8,664,502,0,0,253,7533,24373,0
2023-03-23 03:46:00,0,13193,37623,168895,0,1854,474,162,31.5,116,1985,66.3,415,0,10387,78.8,4.53,354,149,87.4,0,18319,1910,457,32.2,1535,66.1,19,349,0,0,450,142517,172,0,13193,0,21330,105643,0,180,265,93.5,21.3,27.7,2328,41.4,6287,0,2673,3616,4.90,85.1,128,67.7,0,18205,218,256,25.7,17049,42.1,38.5,426,0,0,252,6783,598,0
2023-03-23 03:48:00,0,11744,37331,171982,0,1770,473,197,30.7,115,1917,65.9,416,0,13421,121,3.27,342,153,87.4,0,18304,1797,459,31.8,1509,66.2,19,349,0,0,450,145975,185,0,11744,0,19902,106568,0,166,265,136,20.1,27.7,2317,41.4,6286,0,2676,3638,3.27,83.6,130,68.0,0,18194,204,258,25.7,17054,41.5,38.5,429,0,0,252,6957,606,0
2023-03-23 03:50:00,0,10506,37511,176856,0,1843,476,196,31.5,121,1935,65.8,416,0,10414,80.4,7.11,349,153,87.3,0,18300,1865,458,32.3,1529,65.9,19,335,0,0,451,142305,182,0,10506,0,18636,103203,0,171,267,128,21.7,29.0,2194,40.3,6284,0,2743,3588,8.28,79.2,128,66.2,0,18191,196,258,26.2,17049,41.1,38.5,398,0,0,252,6869,601,0
2023-03-23 03:52:00,0,11383,37041,166637,0,1724,475,160,33.7,121,1863,65.9,417,0,14851,79.6,5.70,338,147,87.3,0,18294,1744,460,32.3,1427,65.8,19,340,0,0,449,145401,168,0,11383,0,19509,105882,0,174,266,91.9,24.4,29.0,2307,41,6287,0,2538,3587,6.46,77.3,129,67.3,0,18187,186,257,26.2,17040,41.4,38.5,409,0,0,251,6965,596,0
2023-03-23 03:54:00,0.389,12154,61135,195795,0,1934,471,163,54.0,121,1988,66.3,1721,0,15938,79.9,4.53,337,147,87.4,0,18303,1948,457,32.3,1591,65.7,370,398,0,0,455,150811,21840,0.389,12154,0.389,23077,111792,0,165,269,100.0,62.0,29.0,2190,43.3,25671,0,3015,3610,4.96,77.3,133,67.7,0,18187,193,261,26.2,17033,42.1,664,513,0,0,257,7422,24423,0
2023-03-23 03:56:00,0,13080,37582,177443,0,1860,472,163,57.8,126,1974,66.0,417,0,10397,80.5,5.02,344,148,87.4,0,18303,1878,447,31.7,1548,66.3,19,327,0,0,453,143254,167,0,13080,0,21211,106163,0,175,264,101,65.3,30.3,2322,42.8,6292,0,2726,3656,5.06,77.9,132,67.7,0,18184,201,250,26.0,17056,42.8,38.5,390,0,0,254,6733,603,0
2023-03-23 03:58:00,0,11931,37329,173282,0,1796,472,162,33.1,138,1922,66.0,411,0,14428,120,6.17,327,145,87.4,0,18300,1807,460,31.8,1515,66.3,19,353,0,0,449,146807,168,0,11931,0,20075,108247,0,202,264,98.8,21.9,32.9,2320,41.4,6291,0,2720,3626,6.92,75.4,131,67.7,0,18190,215,258,25.7,17072,41.7,38.5,430,0,0,251,7000,604,0
