"Time","avg","min","max"
2023-03-17 00:00:00,87.4,87.4,87.4
2023-03-17 00:02:00,88.2,88.2,88.2
2023-03-17 00:04:00,87.4,87.4,87.4
2023-03-17 00:06:00,115,115,115
2023-03-17 00:08:00,86.8,86.8,86.8
2023-03-17 00:10:00,90.1,90.1,90.1
2023-03-17 00:12:00,87.7,87.7,87.7
2023-03-17 00:14:00,85.9,85.9,85.9
2023-03-17 00:16:00,199,199,199
2023-03-17 00:18:00,87.2,87.2,87.2
2023-03-17 00:20:00,88.0,88.0,88.0
2023-03-17 00:22:00,88.6,88.6,88.6
2023-03-17 00:24:00,88.6,88.6,88.6
2023-03-17 00:26:00,205,205,205
2023-03-17 00:28:00,86.1,86.1,86.1
2023-03-17 00:30:00,87.3,87.3,87.3
2023-03-17 00:32:00,86.7,86.7,86.7
2023-03-17 00:34:00,87.3,87.3,87.3
2023-03-17 00:36:00,121,121,121
2023-03-17 00:38:00,86.1,86.1,86.1
2023-03-17 00:40:00,87.9,87.9,87.9
2023-03-17 00:42:00,88.9,88.9,88.9
2023-03-17 00:44:00,88.6,88.6,88.6
2023-03-17 00:46:00,93.0,93.0,93.0
2023-03-17 00:48:00,86.2,86.2,86.2
2023-03-17 00:50:00,88.1,88.1,88.1
2023-03-17 00:52:00,87.1,87.1,87.1
2023-03-17 00:54:00,87.5,87.5,87.5
2023-03-17 00:56:00,93.7,93.7,93.7
2023-03-17 00:58:00,129,129,129
2023-03-17 01:00:00,88.5,88.5,88.5
2023-03-17 01:02:00,88.3,88.3,88.3
2023-03-17 01:04:00,87.1,87.1,87.1
2023-03-17 01:06:00,93.4,93.4,93.4
2023-03-17 01:08:00,208,208,208
2023-03-17 01:10:00,88.0,88.0,88.0
2023-03-17 01:12:00,89.1,89.1,89.1
2023-03-17 01:14:00,88.0,88.0,88.0
2023-03-17 01:16:00,91.5,91.5,91.5
2023-03-17 01:18:00,179,179,179
2023-03-17 01:20:00,89.3,89.3,89.3
2023-03-17 01:22:00,88.4,88.4,88.4
2023-03-17 01:24:00,87.8,87.8,87.8
2023-03-17 01:26:00,89.9,89.9,89.9
2023-03-17 01:28:00,99.5,99.5,99.5
2023-03-17 01:30:00,89.0,89.0,89.0
2023-03-17 01:32:00,88.3,88.3,88.3
2023-03-17 01:34:00,86.6,86.6,86.6
2023-03-17 01:36:00,91.8,91.8,91.8
2023-03-17 01:38:00,86.8,86.8,86.8
2023-03-17 01:40:00,87.2,87.2,87.2
2023-03-17 01:42:00,89.8,89.8,89.8
2023-03-17 01:44:00,89.1,89.1,89.1
2023-03-17 01:46:00,90.4,90.4,90.4
2023-03-17 01:48:00,85.4,85.4,85.4
2023-03-17 01:50:00,138,138,138
2023-03-17 01:52:00,88.9,88.9,88.9
2023-03-17 01:54:00,85.7,85.7,85.7
2023-03-17 01:56:00,90.4,90.4,90.4
2023-03-17 01:58:00,88.0,88.0,88.0
2023-03-17 02:00:00,215,215,215
2023-03-17 02:02:00,90.0,90.0,90.0
2023-03-17 02:04:00,86.8,86.8,86.8
2023-03-17 02:06:00,101,101,101
2023-03-17 02:08:00,87.7,87.7,87.7
2023-03-17 02:10:00,161,161,161
2023-03-17 02:12:00,87.8,87.8,87.8
2023-03-17 02:14:00,87.5,87.5,87.5
2023-03-17 02:16:00,91.8,91.8,91.8
2023-03-17 02:18:00,86.1,86.1,86.1
2023-03-17 02:20:00,88.4,88.4,88.4
2023-03-17 02:22:00,89.5,89.5,89.5
2023-03-17 02:24:00,87.7,87.7,87.7
2023-03-17 02:26:00,92.3,92.3,92.3
2023-03-17 02:28:00,89.4,89.4,89.4
2023-03-17 02:30:00,86.3,86.3,86.3
2023-03-17 02:32:00,88.6,88.6,88.6
2023-03-17 02:34:00,87.9,87.9,87.9
2023-03-17 02:36:00,92.4,92.4,92.4
2023-03-17 02:38:00,88.5,88.5,88.5
