"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-16 21:08:00,3.30,,,6.04,8.88,3.50,2.58,2.08,80.1,5.14,1.80,1.68
2023-03-16 21:10:00,3.44,1.52,,6.08,8.60,3.20,2.56,2.06,,5.24,1.72,1.68
2023-03-16 21:12:00,3.38,1.62,,6.06,8.88,3.28,2.56,2,,5.22,1.72,1.68
2023-03-16 21:14:00,3.30,1.52,,6.02,9.10,3.30,2.50,1.86,,5.22,1.82,1.68
2023-03-16 21:16:00,3.46,1.88,1.82,6.18,9.18,3.26,2.52,2.10,,5.22,1.78,
2023-03-16 21:18:00,3.32,,,6.16,9.10,3.16,2.44,2.02,10.5,5.24,1.80,1.68
2023-03-16 21:20:00,3.36,1.52,,6.16,9.28,3.04,2.50,2.08,,5.20,1.72,1.68
2023-03-16 21:22:00,3.38,1.62,,6.22,9.06,3.28,2.56,2.04,,5.12,1.82,1.68
2023-03-16 21:24:00,3.30,1.52,,6.16,9.22,3.18,2.50,2.02,,5.10,1.78,1.64
2023-03-16 21:26:00,3.32,1.88,2.20,6.30,9.26,3.14,2.50,1.94,,5.14,1.74,
2023-03-16 21:28:00,3.14,1.58,,6.14,8.98,3.14,2.54,2,,5.20,1.68,1.68
2023-03-16 21:30:00,3.16,1.52,,6.08,9.02,3.26,2.58,2.08,,5.22,1.68,1.68
2023-03-16 21:32:00,3.36,1.62,,6.20,8.96,3.24,2.60,2.18,,5.16,1.68,1.68
2023-03-16 21:34:00,3.42,1.52,,6.38,9.04,3.34,2.50,2.06,,5.28,1.70,1.68
2023-03-16 21:36:00,3.46,1.88,2.24,6.12,9.04,3.26,2.54,2.10,,5.24,,1.80
2023-03-16 21:38:00,3.36,1.58,,6.14,8.84,3.30,2.58,2.12,,5.14,1.80,1.68
2023-03-16 21:40:00,3.34,,,6.22,16.1,3.26,2.58,2.12,32.7,5.22,1.70,1.68
2023-03-16 21:42:00,3.38,1.62,,6.10,9.18,3.32,2.48,2.10,,5.20,1.80,1.70
2023-03-16 21:44:00,3.34,1.70,,6.08,8.94,3.30,2.54,2.04,,5.24,1.74,1.68
2023-03-16 21:46:00,3.38,2.06,2.18,6.16,8.56,3.28,2.54,2.14,,5.22,,1.68
2023-03-16 21:48:00,3.34,1.58,,6.20,8.76,3.20,2.50,2.10,,5.16,1.64,1.68
2023-03-16 21:50:00,3.32,,,6.04,15.8,3.34,2.52,2,97.5,5.18,1.70,1.68
2023-03-16 21:52:00,3.24,1.62,,6.16,8.56,3.24,2.48,2.08,,5.18,1.76,1.66
2023-03-16 21:54:00,3.24,1.52,,6.18,8.72,3.16,2.64,2.14,,5.20,1.70,1.76
2023-03-16 21:56:00,3.34,1.88,2.06,6.08,8.60,3.16,2.52,2.04,,5.14,,1.78
2023-03-16 21:58:00,3.28,1.58,,6.22,8.42,3.16,2.52,2,,5.10,1.58,1.68
2023-03-16 22:00:00,3.18,,,6.34,8.44,3.34,2.54,2.02,68.4,5.18,1.56,1.68
