"Time","Drop","PolicyVerdict","Trace"
2023-03-15 18:44:00,0.100,1.10,87.9
2023-03-15 18:46:00,0.0200,1.62,90.3
2023-03-15 18:48:00,0.0200,1.10,84.5
2023-03-15 18:50:00,0,1.30,86.5
2023-03-15 18:52:00,0,1.10,211
2023-03-15 18:54:00,0,1.24,85.7
2023-03-15 18:56:00,0.0200,1.62,90.6
2023-03-15 18:58:00,0,1.10,84.6
2023-03-15 19:00:00,0.0200,1.14,84.6
2023-03-15 19:02:00,0,1.12,132
2023-03-15 19:04:00,0.0400,1.26,85.8
2023-03-15 19:06:00,0.0800,1.62,90.6
2023-03-15 19:08:00,0.0400,1.10,84.2
2023-03-15 19:10:00,0.0400,1.28,85.2
2023-03-15 19:12:00,0.0200,1.10,87.2
2023-03-15 19:14:00,0,1.24,85.3
2023-03-15 19:16:00,0,1.46,89.6
2023-03-15 19:18:00,0,1.24,86.0
2023-03-15 19:20:00,0.0400,1.30,87.0
2023-03-15 19:22:00,0.0200,1.10,86.8
2023-03-15 19:24:00,0,1.26,105
2023-03-15 19:26:00,0,1.46,90.0
2023-03-15 19:28:00,0.120,1.26,85.1
2023-03-15 19:30:00,0,1.30,85.1
2023-03-15 19:32:00,0.0400,1.10,85.6
2023-03-15 19:34:00,0.0200,1.10,188
2023-03-15 19:36:00,0,1.48,89.5
2023-03-15 19:38:00,0,1.26,87.2
2023-03-15 19:40:00,0,1.14,85.8
2023-03-15 19:42:00,0,1.14,86.5
2023-03-15 19:44:00,0.0200,1.28,203
2023-03-15 19:46:00,0,1.46,90.2
2023-03-15 19:48:00,0.0600,1.10,86.2
2023-03-15 19:50:00,0.0600,1.30,85.3
2023-03-15 19:52:00,0.0800,1.24,86.2
2023-03-15 19:54:00,0.0600,1.26,119
2023-03-15 19:56:00,0.0400,1.46,88.9
2023-03-15 19:58:00,0.0400,1.26,87.3
2023-03-15 20:00:00,0,1.16,84.4
2023-03-15 20:02:00,0,1.26,86.0
2023-03-15 20:04:00,0,1.28,84.7
2023-03-15 20:06:00,0,1.46,97.4
2023-03-15 20:08:00,0.0200,1.24,85.8
2023-03-15 20:10:00,0.0400,1.14,84.3
2023-03-15 20:12:00,0,1.10,85.7
2023-03-15 20:14:00,0.0200,1.26,85.3
2023-03-15 20:16:00,0.0200,1.46,125
2023-03-15 20:18:00,0.0200,1.26,85.6
2023-03-15 20:20:00,0.0200,1.14,84.0
2023-03-15 20:22:00,0.0400,1.10,86
2023-03-15 20:24:00,0,1.10,84.0
2023-03-15 20:26:00,0,1.46,207
2023-03-15 20:28:00,0,1.26,85.6
2023-03-15 20:30:00,0.0200,1.10,84.2
2023-03-15 20:32:00,0.0400,1.26,87.2
2023-03-15 20:34:00,0,1.10,85.8
2023-03-15 20:36:00,0.0400,1.62,187
2023-03-15 20:38:00,0,1.26,85.0
2023-03-15 20:40:00,0,1.10,84.0
2023-03-15 20:42:00,0.0600,1.26,87.3
2023-03-15 20:44:00,0.0400,1.14,88.2
2023-03-15 20:46:00,0.0800,1.62,104
2023-03-15 20:48:00,0,1.14,85.7
2023-03-15 20:50:00,0,1.10,85.1
2023-03-15 20:52:00,0,1.26,85.6
2023-03-15 20:54:00,0,1.10,85.9
2023-03-15 20:56:00,0.0400,1.62,89.2
2023-03-15 20:58:00,0,1.26,85.0
2023-03-15 21:00:00,0.0200,1.24,86.8
2023-03-15 21:02:00,0.0800,1.26,86.3
