"Time","FIN","RST","SYN","SYN-ACK"
2023-03-15 17:38:00,13.7,2.72,9.42,7.96
2023-03-15 17:40:00,13.6,2.92,9.46,7.98
2023-03-15 17:42:00,13.6,2.76,9.32,7.92
2023-03-15 17:44:00,13.6,2.80,9.44,8
2023-03-15 17:46:00,13.7,2.76,9.46,8
2023-03-15 17:48:00,13.5,2.64,9.30,7.90
2023-03-15 17:50:00,26.0,14.0,16.8,13.3
2023-03-15 17:52:00,13.7,2.84,9.40,7.96
2023-03-15 17:54:00,13.6,2.76,9.34,7.92
2023-03-15 17:56:00,13.6,2.74,9.42,7.98
2023-03-15 17:58:00,13.6,2.78,9.38,7.94
2023-03-15 18:00:00,35.1,27.1,23.4,15.8
2023-03-15 18:02:00,13.6,2.82,9.40,7.96
2023-03-15 18:04:00,13.5,2.76,9.30,7.90
2023-03-15 18:06:00,13.7,2.78,9.50,8.02
2023-03-15 18:08:00,13.7,2.70,9.38,7.94
2023-03-15 18:10:00,22.3,15.2,15.7,10.5
2023-03-15 18:12:00,13.7,2.84,9.40,7.96
2023-03-15 18:14:00,13.6,2.74,9.30,7.90
2023-03-15 18:16:00,13.6,2.68,9.50,8.02
2023-03-15 18:18:00,13.6,2.76,9.36,7.94
2023-03-15 18:20:00,13.6,2.68,9.50,8
2023-03-15 18:22:00,13.6,2.88,9.32,7.92
2023-03-15 18:24:00,13.5,2.70,9.30,7.90
2023-03-15 18:26:00,13.6,2.76,9.50,8.02
2023-03-15 18:28:00,13.6,2.76,9.34,7.92
2023-03-15 18:30:00,13.6,2.90,9.56,8.02
2023-03-15 18:32:00,13.5,2.76,9.32,7.92
2023-03-15 18:34:00,13.4,2.78,9.30,7.90
2023-03-15 18:36:00,13.6,2.70,9.50,8.02
2023-03-15 18:38:00,13.5,2.70,9.30,7.90
2023-03-15 18:40:00,13.7,2.92,9.54,8.02
2023-03-15 18:42:00,28.5,17.0,18.4,14.0
2023-03-15 18:44:00,13.6,2.68,9.36,7.96
2023-03-15 18:46:00,13.7,2.74,9.50,8.02
2023-03-15 18:48:00,13.5,2.74,9.30,7.90
2023-03-15 18:50:00,13.5,2.76,9.54,8.02
2023-03-15 18:52:00,33.3,26.8,22.3,14.8
2023-03-15 18:54:00,13.5,2.66,9.34,7.92
2023-03-15 18:56:00,13.5,2.80,9.50,8.02
2023-03-15 18:58:00,13.5,2.66,9.30,7.90
2023-03-15 19:00:00,13.6,2.78,9.38,7.94
2023-03-15 19:02:00,19.7,11.9,13.9,9.56
2023-03-15 19:04:00,13.5,2.74,9.38,7.94
2023-03-15 19:06:00,13.7,2.66,9.50,8.02
2023-03-15 19:08:00,13.5,2.68,9.30,7.90
2023-03-15 19:10:00,13.5,2.68,9.40,7.96
2023-03-15 19:12:00,13.5,2.72,9.32,7.92
2023-03-15 19:14:00,13.6,2.80,9.38,7.94
2023-03-15 19:16:00,13.7,2.74,9.42,7.98
2023-03-15 19:18:00,13.6,2.82,9.34,7.92
2023-03-15 19:20:00,13.7,2.90,9.46,7.98
2023-03-15 19:22:00,13.5,2.86,9.30,7.92
2023-03-15 19:24:00,17.7,4.50,11.5,10.1
2023-03-15 19:26:00,13.5,2.76,9.44,8
2023-03-15 19:28:00,13.6,2.82,9.38,7.94
2023-03-15 19:30:00,13.6,2.74,9.46,7.98
2023-03-15 19:32:00,13.5,2.68,9.32,7.92
2023-03-15 19:34:00,31.2,20.9,20.2,14.9
2023-03-15 19:36:00,13.6,2.68,9.46,8
2023-03-15 19:38:00,13.5,2.62,9.38,7.94
2023-03-15 19:40:00,13.6,2.88,9.40,7.94
2023-03-15 19:42:00,13.6,2.92,9.40,7.96
2023-03-15 19:44:00,31.2,25.4,21.4,13.8
2023-03-15 19:46:00,13.8,2.76,9.44,7.98
2023-03-15 19:48:00,13.6,2.78,9.30,7.90
2023-03-15 19:50:00,13.6,2.76,9.46,7.98
2023-03-15 19:52:00,13.6,2.76,9.36,7.94
2023-03-15 19:54:00,17.9,9.42,12.8,8.96
2023-03-15 19:56:00,13.6,2.74,9.42,7.98
2023-03-15 19:58:00,13.6,2.68,9.38,7.94
2023-03-15 20:00:00,13.6,2.68,9.42,7.96
2023-03-15 20:02:00,13.6,2.80,9.40,7.96
2023-03-15 20:04:00,13.6,2.76,9.42,7.96
2023-03-15 20:06:00,13.7,2.92,9.56,8.10
2023-03-15 20:08:00,13.7,2.78,9.38,7.94
2023-03-15 20:10:00,13.5,2.68,9.38,7.94
2023-03-15 20:12:00,13.5,2.76,9.32,7.92
2023-03-15 20:14:00,13.5,2.74,9.38,7.94
2023-03-15 20:16:00,21.0,7.16,13.5,11.6
2023-03-15 20:18:00,13.5,2.70,9.38,7.94
2023-03-15 20:20:00,13.5,2.84,9.38,7.94
2023-03-15 20:22:00,13.6,2.84,9.32,7.92
2023-03-15 20:24:00,13.4,2.74,9.30,7.90
2023-03-15 20:26:00,33.7,24.2,22.0,15.8
2023-03-15 20:28:00,13.6,2.80,9.38,7.94
2023-03-15 20:30:00,13.5,2.72,9.30,7.90
2023-03-15 20:32:00,13.6,2.80,9.40,7.96
2023-03-15 20:34:00,13.4,2.72,9.30,7.90
2023-03-15 20:36:00,28.2,23.1,19.7,12.5
2023-03-15 20:38:00,13.6,2.74,9.38,7.94
2023-03-15 20:40:00,13.5,2.66,9.30,7.90
2023-03-15 20:42:00,13.6,2.80,9.40,7.96
2023-03-15 20:44:00,13.5,2.62,9.44,8
2023-03-15 20:46:00,15.2,5.66,11.0,8.10
2023-03-15 20:48:00,13.5,2.68,9.38,7.94
2023-03-15 20:50:00,13.5,2.76,9.30,7.90
2023-03-15 20:52:00,13.7,2.80,9.40,7.96
2023-03-15 20:54:00,13.5,2.66,9.30,7.90
2023-03-15 20:56:00,13.6,2.70,9.50,8.02
2023-03-15 20:58:00,13.6,2.72,9.38,7.94
2023-03-15 21:00:00,13.5,2.60,9.34,7.92
2023-03-15 21:02:00,13.7,2.94,9.42,7.96
2023-03-15 21:04:00,13.6,2.78,9.30,7.90
2023-03-15 21:06:00,13.6,2.72,9.42,7.98
2023-03-15 21:08:00,22.3,8.94,14.3,11.9
2023-03-15 21:10:00,13.7,2.90,9.38,7.94
2023-03-15 21:12:00,13.6,2.84,9.32,7.92
2023-03-15 21:14:00,13.5,2.74,9.30,7.90
