"Time","10250/TCP","3000/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-15 13:10:00,3.20,,1.52,,6.08,9.08,3.36,2.52,1.92,,5.22,1.80,1.72
2023-03-15 13:12:00,3.48,,1.62,,6.16,8.80,3.34,2.52,2.10,,5.18,1.76,1.68
2023-03-15 13:14:00,3.42,,1.52,,5.82,8.96,3.28,2.58,2.06,,5.18,1.76,1.68
2023-03-15 13:16:00,3.58,,1.88,2.22,6.18,9.24,3.26,2.56,2.08,,5.16,,1.68
2023-03-15 13:18:00,3.40,,1.58,,6.04,9,3.24,2.54,2.06,,5.26,1.74,1.68
2023-03-15 13:20:00,3.40,,1.52,,6.14,8.88,3.36,2.52,2.06,,5.24,1.72,1.70
2023-03-15 13:22:00,3.40,,1.62,,6.04,8.88,3.34,2.54,2.12,,5.22,1.68,1.68
2023-03-15 13:24:00,3.30,,1.52,,5.96,9.14,3.24,2.52,2.08,,5.26,1.86,1.68
2023-03-15 13:26:00,3.62,,1.88,1.82,6.36,9.12,3.26,2.50,1.98,,5.22,1.70,
2023-03-15 13:28:00,3.32,,1.58,,6.08,8.96,3.28,2.52,2.20,,5.10,1.74,1.66
2023-03-15 13:30:00,3.38,,1.52,,5.96,9.04,3.34,2.56,2.10,,5.16,1.74,1.70
2023-03-15 13:32:00,3.42,,1.62,,6.04,8.64,3.28,2.54,2.16,,5.14,1.78,1.68
2023-03-15 13:34:00,3.32,,1.52,,5.86,8.78,3.24,2.60,2.02,,5.22,1.68,1.78
2023-03-15 13:36:00,3.58,,2.06,2.68,6.48,9.18,3.32,2.54,2,,5.20,1.78,
2023-03-15 13:38:00,3.28,,1.84,,5.90,9.16,3.08,2.60,2.06,,5.18,1.72,1.64
2023-03-15 13:40:00,3.36,,,,5.90,15.8,3,2.50,2.10,49.2,5.18,1.72,1.70
2023-03-15 13:42:00,3.40,,1.62,,6.20,8.94,3.14,2.48,2.04,,5.22,1.74,1.70
2023-03-15 13:44:00,3.20,,1.70,,5.90,8.90,3.22,2.54,2,,5.24,1.76,1.68
2023-03-15 13:46:00,3.58,,2.06,2.22,6.28,9.14,3.26,2.56,1.96,,5.14,1.72,
2023-03-15 13:48:00,3.26,,1.58,,6.04,8.78,3.16,2.52,1.94,,5.18,1.66,1.66
2023-03-15 13:50:00,3.44,,,,5.86,15.7,3.42,2.48,2.02,99.2,5.26,1.76,1.68
2023-03-15 13:52:00,3.36,,1.62,,6.38,9.02,3.40,2.60,2.14,,5.20,1.82,1.68
2023-03-15 13:54:00,3.40,,1.52,,6.16,9.34,3.24,2.56,2.10,,5.18,1.72,1.68
2023-03-15 13:56:00,3.66,,1.88,2.18,6.40,9.10,3.28,2.56,2.12,,5.16,1.72,
2023-03-15 13:58:00,3.38,,1.58,,6.20,8.98,3.24,2.52,2.10,,5.16,1.72,1.64
2023-03-15 14:00:00,3.34,,,,6.18,9.18,3.38,2.52,2.08,52.5,5.26,1.70,1.68
2023-03-15 14:02:00,3.56,,1.62,,6.18,9.26,3.28,2.52,2.14,,5.22,1.76,1.76
2023-03-15 14:04:00,3.36,,1.52,,5.96,9.14,3.20,2.52,2.10,,5.24,1.70,1.68
2023-03-15 14:06:00,3.48,,2.10,3.20,6.46,9.20,3.10,2.56,2.08,,5.12,1.72,
2023-03-15 14:08:00,3.36,,1.80,,5.94,9.02,3.28,2.52,2,,5.20,1.76,1.68
2023-03-15 14:10:00,3.36,,1.52,,6,8.64,3.20,2.58,2.04,,5.14,1.70,1.68
2023-03-15 14:12:00,3.42,,1.62,,6.06,9.14,3.30,2.50,2.18,,5.22,1.70,1.68
2023-03-15 14:14:00,3.24,,1.52,,5.86,9.10,3.18,2.50,2.06,,5.20,1.70,1.66
2023-03-15 14:16:00,3.44,,1.88,2.10,6.36,9.10,3.18,2.56,2.04,,5.12,1.76,
2023-03-15 14:18:00,3.32,,1.58,,6.02,8.68,3.24,2.52,1.86,,5.22,1.50,1.68
2023-03-15 14:20:00,3.20,,1.52,,5.96,9.02,3.12,2.56,2.06,,5.16,1.66,1.68
2023-03-15 14:22:00,3.22,,,,6.08,11.9,3.14,2.56,2.06,1.82,5.20,1.74,1.68
2023-03-15 14:24:00,3.30,,1.52,,5.88,8.84,3.24,2.50,2.06,,5.18,1.74,1.68
2023-03-15 14:26:00,3.48,,1.88,1.82,6.30,8.90,3.12,2.58,2.02,,5.16,1.76,
2023-03-15 14:28:00,3.38,,1.58,,6.08,8.52,3.12,2.50,2.12,,5.22,1.68,1.68
2023-03-15 14:30:00,3.42,,1.52,,6.14,8.76,3.30,2.54,2.16,,5.12,1.78,1.68
2023-03-15 14:32:00,3.42,,,,6.22,15.9,3.42,2.58,2.08,62.5,5.14,1.74,1.68
2023-03-15 14:34:00,3.34,,1.52,,6,8.62,3.30,2.54,2.06,,5.20,1.66,1.66
2023-03-15 14:36:00,3.54,,1.88,1.82,6.20,8.48,3.24,2.52,2.04,,5.26,1.70,
2023-03-15 14:38:00,3.36,,1.58,,5.82,8.74,3.18,2.50,2.16,,5.14,1.64,1.66
2023-03-15 14:40:00,3.36,,1.52,,6.20,8.82,3.18,2.56,2.12,,5.22,1.68,1.68
2023-03-15 14:42:00,3.28,,,,6.26,12.3,3.50,2.56,2.02,98.4,5.16,1.68,1.70
2023-03-15 14:44:00,3.28,,1.70,,5.86,8.78,3.28,2.48,2,,5.14,1.70,1.68
2023-03-15 14:46:00,3.48,,2.06,1.86,6.28,8.42,3.28,2.52,2.06,,5.10,1.68,
2023-03-15 14:48:00,3.44,,1.58,,6.28,9,3.22,2.56,2,,5.18,1.64,1.68
2023-03-15 14:50:00,3.34,,1.52,,6.04,9.14,3.24,2.58,2.02,,5.20,1.74,1.68
2023-03-15 14:52:00,3.34,,,,6,9.24,3.36,2.52,2.04,38.0,5.20,1.74,1.68
2023-03-15 14:54:00,3.38,,1.52,,6.02,9.42,3.30,2.52,2.14,,5.18,1.74,1.68
2023-03-15 14:56:00,3.58,,1.88,1.80,6.20,9.14,3.32,2.52,2.02,,5.16,1.70,
2023-03-15 14:58:00,3.26,,1.58,,6.08,9.10,3.06,2.52,2.10,,5.18,1.70,1.68
2023-03-15 15:00:00,3.24,,1.52,,6.06,9.14,3.06,2.54,2.02,,5.22,1.76,1.68
2023-03-15 15:02:00,3.16,,1.62,,6.18,9.14,3.20,2.54,2.02,,5.20,1.80,1.72
2023-03-15 15:04:00,3.22,,1.52,,5.94,9.38,2.96,2.54,2.06,,5.12,1.74,1.68
2023-03-15 15:06:00,3.44,,1.88,1.94,6.28,9.02,3.32,2.52,2.04,,5.16,1.76,
2023-03-15 15:08:00,3.32,,1.66,,6.06,9.26,3.28,2.52,2.10,,5.24,1.72,1.68
2023-03-15 15:10:00,3.42,,1.52,,5.94,9.26,3.26,2.54,2.10,,5.20,1.72,1.68
2023-03-15 15:12:00,3.40,,1.62,,6.12,9.14,3.28,2.56,2.04,,5.20,1.64,1.68
2023-03-15 15:14:00,3.42,,,,6.08,13.9,3.18,2.50,2.14,5.54,5.18,1.70,1.66
2023-03-15 15:16:00,3.46,,1.88,2.22,6.42,9.30,3.20,2.50,2.10,,5.08,1.80,
2023-03-15 15:18:00,3.22,,1.58,,6.18,9.14,3.24,2.48,2.04,,5.20,1.64,1.68
2023-03-15 15:20:00,3.28,,1.52,,5.86,8.82,3.28,2.52,2.08,,5.20,1.72,1.68
2023-03-15 15:22:00,3.36,,1.62,,6.10,8.84,3.26,2.46,2.08,,5.18,1.64,1.68
2023-03-15 15:24:00,3.20,,,,5.88,15.9,3.36,2.48,2.12,73.4,5.18,1.80,1.66
2023-03-15 15:26:00,3.56,,1.88,2.18,6.16,8.78,3.32,2.50,1.96,,5.16,1.74,
2023-03-15 15:28:00,3.26,,1.58,,6.16,8.98,3.04,2.58,2.16,,5.16,1.74,1.68
2023-03-15 15:30:00,3.36,,1.52,,6.10,8.78,3.18,2.52,2.06,,5.20,1.72,1.66
2023-03-15 15:32:00,3.40,,1.62,,5.92,8.86,3.16,2.50,1.98,,5.24,1.76,1.68
2023-03-15 15:34:00,3.32,,,,6.06,10.7,3.40,2.48,2.10,92.0,5.18,1.66,1.68
