"Time","failure","success","failure","success","failure","success"
2023-03-22 00:52:00,,0.0000987,,0.000103,,0.0000896
2023-03-22 00:54:00,,0.0000757,,0.000102,,0.0000712
2023-03-22 00:56:00,,0.0000719,,0.0000852,,0.0000614
2023-03-22 00:58:00,,0.0000833,,0.0000777,,0.0000964
2023-03-22 01:00:00,,0.0000648,,0.0000634,,0.0000653
2023-03-22 01:02:00,,0.0000631,,0.0000645,,0.0000622
2023-03-22 01:04:00,,0.0000708,,0.0000996,,0.0000711
2023-03-22 01:06:00,,0.0000586,,0.0000926,,0.0000664
2023-03-22 01:08:00,,0.0000648,,0.0000727,,0.0000645
2023-03-22 01:10:00,,0.0000720,,0.0000801,,0.0000918
2023-03-22 01:12:00,,0.0000623,,0.0000871,,0.0000954
2023-03-22 01:14:00,,0.0000612,,0.0000673,,0.0000629
2023-03-22 01:16:00,,0.0000787,,0.0000941,,0.0000999
2023-03-22 01:18:00,,0.0000712,,0.000105,,0.000103
2023-03-22 01:20:00,,0.0000609,,0.0000699,,0.0000599
2023-03-22 01:22:00,,0.0000702,,0.000123,,0.0000729
2023-03-22 01:24:00,,0.0000959,,0.0000679,,0.0000761
2023-03-22 01:26:00,,0.0000601,,0.0000677,,0.0000832
2023-03-22 01:28:00,,0.0000705,,0.0000996,,0.0000679
2023-03-22 01:30:00,,0.0000627,,0.0000649,,0.0000570
2023-03-22 01:32:00,,0.0000772,,0.000106,,0.0000935
2023-03-22 01:34:00,,0.0000579,,0.0000902,,0.0000777
2023-03-22 01:36:00,,0.0000535,,0.0000679,,0.0000850
2023-03-22 01:38:00,,0.0000671,,0.0000904,,0.0000673
2023-03-22 01:40:00,,0.0000637,,0.000121,,0.0000611
2023-03-22 01:42:00,,0.0000711,,0.0000751,,0.0000683
2023-03-22 01:44:00,,0.0000770,,0.0000775,,0.0000894
2023-03-22 01:46:00,,0.0000710,,0.0000938,,0.0000722
2023-03-22 01:48:00,,0.0000703,,0.0000963,,0.0000857
2023-03-22 01:50:00,,0.0000610,,0.0000859,,0.0000611
2023-03-22 01:52:00,,0.0000736,,0.0000686,,0.0000747
2023-03-22 01:54:00,,0.0000735,,0.0000959,,0.0000632
2023-03-22 01:56:00,,0.0000876,,0.000103,,0.0000686
2023-03-22 01:58:00,,0.0000624,,0.0000863,,0.0000739
2023-03-22 02:00:00,,0.0000589,,0.0000564,,0.0000733
2023-03-22 02:02:00,,0.0000693,,0.0000931,,0.0000653
2023-03-22 02:04:00,,0.0000917,,0.0000908,,0.0000642
2023-03-22 02:06:00,,0.0000956,,0.0000967,,0.0000742
2023-03-22 02:08:00,,0.0000690,,0.0000997,,0.0000637
2023-03-22 02:10:00,,0.0000764,,0.000110,,0.0000817
2023-03-22 02:12:00,,0.0000696,,0.0000691,,0.0000696
2023-03-22 02:14:00,,0.0000694,,0.0000867,,0.0000554
2023-03-22 02:16:00,,0.000106,,0.0000716,,0.0000727
2023-03-22 02:18:00,,0.0000602,,0.000102,,0.0000637
2023-03-22 02:20:00,,0.0000631,,0.000102,,0.0000830
2023-03-22 02:22:00,,0.0000678,,0.0000673,,0.0000725
2023-03-22 02:24:00,,0.0000899,,0.0000988,,0.000107
2023-03-22 02:26:00,,0.0000666,,0.000128,,0.0000594
2023-03-22 02:28:00,,0.0000672,,0.0000675,,0.0000657
2023-03-22 02:30:00,,0.0000753,,0.0000767,,0.000103
2023-03-22 02:32:00,,0.0000587,,0.0000942,,0.0000846
2023-03-22 02:34:00,,0.0000603,,0.0000886,,0.0000681
2023-03-22 02:36:00,,0.0000945,,0.0000875,,0.0000649
2023-03-22 02:38:00,,0.0000935,,0.0000938,,0.0000641
2023-03-22 02:40:00,,0.000117,,0.000105,,0.0000912
2023-03-22 02:42:00,,0.0000669,,0.0000863,,0.0000892
2023-03-22 02:44:00,,0.0000595,,0.0000760,,0.0000638
2023-03-22 02:46:00,,0.0000617,,0.0000737,,0.000108
2023-03-22 02:48:00,,0.0000840,,0.0000581,,0.0000836
2023-03-22 02:50:00,,0.0000697,,0.0000645,,0.0000698
2023-03-22 02:52:00,,0.0000641,,0.000109,,0.0000704
