"Time","udp:99%","udp:90%","udp:50%"
2023-03-16 03:44:00,286,196,143
2023-03-16 03:48:00,367,253,159
2023-03-16 03:52:00,295,245,161
2023-03-16 03:56:00,288,198,144
2023-03-16 04:00:00,293,234,156
2023-03-16 04:04:00,295,252,163
2023-03-16 04:08:00,288,198,145
2023-03-16 04:12:00,295,250,163
2023-03-16 04:16:00,289,199,146
2023-03-16 04:20:00,293,225,154
2023-03-16 04:24:00,295,245,161
2023-03-16 04:28:00,286,196,144
2023-03-16 04:32:00,295,250,163
2023-03-16 04:36:00,283,195,142
2023-03-16 04:40:00,294,240,157
2023-03-16 04:44:00,295,248,162
2023-03-16 04:48:00,339,198,146
2023-03-16 04:52:00,295,250,163
2023-03-16 04:56:00,295,245,161
2023-03-16 05:00:00,276,192,140
2023-03-16 05:04:00,294,243,161
2023-03-16 05:08:00,289,199,146
2023-03-16 05:12:00,295,245,161
2023-03-16 05:16:00,295,252,163
2023-03-16 05:20:00,282,194,141
2023-03-16 05:24:00,295,248,162
2023-03-16 05:28:00,288,198,144
2023-03-16 05:32:00,295,250,163
2023-03-16 05:36:00,295,252,163
2023-03-16 05:40:00,285,195,142
2023-03-16 05:44:00,295,254,164
2023-03-16 05:48:00,365,255,160
2023-03-16 05:52:00,283,195,142
2023-03-16 05:56:00,295,250,163
2023-03-16 06:00:00,285,195,142
2023-03-16 06:04:00,295,252,163
2023-03-16 06:08:00,294,244,159
2023-03-16 06:12:00,283,195,142
2023-03-16 06:16:00,295,252,163
2023-03-16 06:20:00,285,195,142
2023-03-16 06:24:00,295,248,162
2023-03-16 06:28:00,294,238,157
2023-03-16 06:32:00,288,198,144
2023-03-16 06:36:00,295,248,162
2023-03-16 06:40:00,293,234,156
2023-03-16 06:44:00,288,198,145
2023-03-16 06:48:00,365,255,160
2023-03-16 06:52:00,283,195,142
2023-03-16 06:56:00,296,256,165
2023-03-16 07:00:00,293,225,154
2023-03-16 07:04:00,286,196,143
2023-03-16 07:08:00,294,244,159
2023-03-16 07:12:00,286,196,143
2023-03-16 07:16:00,295,252,163
2023-03-16 07:20:00,293,234,156
2023-03-16 07:24:00,286,196,143
2023-03-16 07:28:00,294,243,158
2023-03-16 07:32:00,295,245,161
2023-03-16 07:36:00,288,198,145
2023-03-16 07:40:00,294,240,157
2023-03-16 07:44:00,286,196,143
