"Time","all nodes","min/node","avg/node","max/node"
2023-03-23 12:14:00,344,109,115,119
2023-03-23 12:16:00,344,114,115,116
2023-03-23 12:18:00,346,115,115,116
2023-03-23 12:20:00,344,109,115,119
2023-03-23 12:22:00,348,115,116,117
2023-03-23 12:24:00,340,109,113,117
2023-03-23 12:26:00,349,116,116,117
2023-03-23 12:28:00,342,111,114,116
2023-03-23 12:30:00,342,107,114,119
2023-03-23 12:32:00,346,115,115,116
2023-03-23 12:34:00,342,111,114,117
2023-03-23 12:36:00,352,115,117,121
2023-03-23 12:38:00,345,113,115,116
2023-03-23 12:40:00,337,109,112,116
2023-03-23 12:42:00,344,109,115,119
2023-03-23 12:44:00,342,111,114,116
2023-03-23 12:46:00,349,116,116,117
2023-03-23 12:48:00,348,116,116,116
2023-03-23 12:50:00,348,116,116,116
2023-03-23 12:52:00,342,110,114,118
2023-03-23 12:54:00,347,114,116,117
2023-03-23 12:56:00,351,115,117,120
2023-03-23 12:58:00,346,114,115,116
2023-03-23 13:00:00,345,112,115,117
2023-03-23 13:02:00,344,111,115,119
2023-03-23 13:04:00,347,112,116,119
2023-03-23 13:06:00,348,113,116,119
2023-03-23 13:08:00,345,113,115,116
2023-03-23 13:10:00,342,113,114,115
2023-03-23 13:12:00,345,112,115,117
2023-03-23 13:14:00,343,109,114,121
2023-03-23 13:16:00,330,109,110,112
2023-03-23 13:18:00,340,110,113,116
2023-03-23 13:20:00,346,113,115,117
2023-03-23 13:22:00,348,113,116,119
2023-03-23 13:24:00,350,115,117,119
2023-03-23 13:26:00,350,116,117,118
2023-03-23 13:28:00,345,113,115,116
2023-03-23 13:30:00,345,114,115,116
2023-03-23 13:32:00,347,115,116,116
2023-03-23 13:34:00,341,109,114,116
2023-03-23 13:36:00,347,115,116,116
2023-03-23 13:38:00,353,115,118,121
2023-03-23 13:40:00,341,109,114,116
2023-03-23 13:42:00,347,113,116,119
2023-03-23 13:44:00,352,115,117,120
2023-03-23 13:46:00,345,113,115,119
2023-03-23 13:48:00,347,115,116,116
2023-03-23 13:50:00,341,109,114,116
2023-03-23 13:52:00,341,109,114,116
2023-03-23 13:54:00,343,112,114,118
2023-03-23 13:56:00,341,109,114,119
2023-03-23 13:58:00,341,112,114,115
2023-03-23 14:00:00,347,115,116,116
2023-03-23 14:02:00,339,109,113,116
2023-03-23 14:04:00,340,109,113,119
2023-03-23 14:06:00,341,109,114,116
2023-03-23 14:08:00,341,112,114,115
2023-03-23 14:10:00,351,114,117,120
2023-03-23 14:12:00,344,113,115,117
2023-03-23 14:14:00,351,114,117,121
2023-03-23 14:16:00,351,116,117,119
2023-03-23 14:18:00,342,110,114,116
2023-03-23 14:20:00,339,109,113,116
2023-03-23 14:22:00,351,116,117,119
2023-03-23 14:24:00,340,111,113,115
2023-03-23 14:26:00,342,111,114,116
2023-03-23 14:28:00,345,109,115,121
2023-03-23 14:30:00,348,113,116,119
2023-03-23 14:32:00,352,115,117,121
2023-03-23 14:34:00,346,115,115,116
2023-03-23 14:36:00,345,114,115,116
2023-03-23 14:38:00,348,113,116,119
2023-03-23 14:40:00,346,115,115,116
2023-03-23 14:42:00,346,115,115,116
2023-03-23 14:44:00,343,109,114,117
2023-03-23 14:46:00,341,109,114,116
2023-03-23 14:48:00,352,115,117,121
