"Time","DROPPED","FORWARDED"
2023-03-11 18:00:00,0.0600,92.4
2023-03-11 18:02:00,0.0200,95.3
2023-03-11 18:04:00,0,94.8
2023-03-11 18:06:00,0,92.7
2023-03-11 18:08:00,0,168
2023-03-11 18:10:00,0,93.8
2023-03-11 18:12:00,0,94.0
2023-03-11 18:14:00,0.0200,95.1
2023-03-11 18:16:00,0.0200,92.3
2023-03-11 18:18:00,0,149
2023-03-11 18:20:00,0,91.8
2023-03-11 18:22:00,0.0400,93.5
2023-03-11 18:24:00,0,93.7
2023-03-11 18:26:00,0.0200,92.8
2023-03-11 18:28:00,0,129
2023-03-11 18:30:00,0,92.0
2023-03-11 18:32:00,0,93.6
2023-03-11 18:34:00,0,93.0
2023-03-11 18:36:00,0,93.5
2023-03-11 18:38:00,0.0200,106
2023-03-11 18:40:00,0,91.1
2023-03-11 18:42:00,0.100,96.2
2023-03-11 18:44:00,0.0200,92.0
2023-03-11 18:46:00,0.0800,91.3
2023-03-11 18:48:00,0.0600,90.2
2023-03-11 18:50:00,0.0200,91.0
2023-03-11 18:52:00,0,93.3
2023-03-11 18:54:00,0,90.8
2023-03-11 18:56:00,0,90.9
2023-03-11 18:58:00,0,89.4
2023-03-11 19:00:00,0.0200,91.4
2023-03-11 19:02:00,0.0400,92.2
2023-03-11 19:04:00,0.0400,92.6
2023-03-11 19:06:00,0.100,90.6
2023-03-11 19:08:00,0.0600,88.5
2023-03-11 19:10:00,0.0400,89.0
2023-03-11 19:12:00,0.0200,91.8
2023-03-11 19:14:00,0,94
2023-03-11 19:16:00,0,90.3
2023-03-11 19:18:00,0,88.7
2023-03-11 19:20:00,0,88.2
2023-03-11 19:22:00,0.0200,92.8
2023-03-11 19:24:00,0,90.4
2023-03-11 19:26:00,0.0600,91.5
2023-03-11 19:28:00,0,87.9
2023-03-11 19:30:00,0,102
2023-03-11 19:32:00,0,92.7
2023-03-11 19:34:00,0,90.1
2023-03-11 19:36:00,0.0800,92.9
2023-03-11 19:38:00,0,87.1
2023-03-11 19:40:00,0,113
2023-03-11 19:42:00,0,91.2
2023-03-11 19:44:00,0,90.8
2023-03-11 19:46:00,0.0400,90.7
2023-03-11 19:48:00,0.0800,87.1
2023-03-11 19:50:00,0.0200,135
2023-03-11 19:52:00,0.160,90.7
2023-03-11 19:54:00,0.100,90.9
2023-03-11 19:56:00,0.0200,88.7
2023-03-11 19:58:00,0.0600,87.1
2023-03-11 20:00:00,0.0600,156
2023-03-11 20:02:00,0,95.9
2023-03-11 20:04:00,0,92.2
2023-03-11 20:06:00,0,89.6
2023-03-11 20:08:00,0,90.1
2023-03-11 20:10:00,0.0200,180
2023-03-11 20:12:00,0.0200,95.3
2023-03-11 20:14:00,0.0600,91.8
2023-03-11 20:16:00,0,90.4
2023-03-11 20:18:00,0.0400,89.5
2023-03-11 20:20:00,0.0400,202
2023-03-11 20:22:00,0,93.7
2023-03-11 20:24:00,0.0200,91.6
2023-03-11 20:26:00,0,89.7
2023-03-11 20:28:00,0,90.0
2023-03-11 20:30:00,0,217
2023-03-11 20:32:00,0,93.2
2023-03-11 20:34:00,0,93.0
2023-03-11 20:36:00,0,92.5
2023-03-11 20:38:00,0,89.8
2023-03-11 20:40:00,0.0400,219
2023-03-11 20:42:00,0.0400,92.9
2023-03-11 20:44:00,0.0200,92.1
2023-03-11 20:46:00,0.100,88.9
2023-03-11 20:48:00,0.0800,89.6
2023-03-11 20:50:00,0,207
2023-03-11 20:52:00,0,91.7
2023-03-11 20:54:00,0,89.5
2023-03-11 20:56:00,0,88.7
2023-03-11 20:58:00,0.0400,89.3
2023-03-11 21:00:00,0.0200,183
2023-03-11 21:02:00,0,91.9
2023-03-11 21:04:00,0.0400,90.4
2023-03-11 21:06:00,0.100,90.3
2023-03-11 21:08:00,0.0400,89.0
2023-03-11 21:10:00,0.0200,164
2023-03-11 21:12:00,0.0200,90.9
2023-03-11 21:14:00,0,90.0
2023-03-11 21:16:00,0,88.4
2023-03-11 21:18:00,0,88.5
2023-03-11 21:20:00,0,144
2023-03-11 21:22:00,0,91.6
2023-03-11 21:24:00,0.0200,90.9
2023-03-11 21:26:00,0,86.9
2023-03-11 21:28:00,0,90.4
2023-03-11 21:30:00,0,118
2023-03-11 21:32:00,0,90.7
2023-03-11 21:34:00,0,90.1
2023-03-11 21:36:00,0,90
2023-03-11 21:38:00,0,88.7
2023-03-11 21:40:00,0,97.7
2023-03-11 21:42:00,0,94.5
2023-03-11 21:44:00,0,95.7
2023-03-11 21:46:00,0,93.9
2023-03-11 21:48:00,0.0600,91.9
2023-03-11 21:50:00,0.0800,91.8
