"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-22 01:36:00,0,0,835994,669013,183046,3454475
2023-03-22 01:38:00,0,0,0,725265,185321,177402
2023-03-22 01:40:00,0,0,0,554162,89293,79735
2023-03-22 01:42:00,0,0,0,724375,168983,225462
2023-03-22 01:44:00,0,0,0,608711,85788,198929
2023-03-22 01:46:00,0,0,0,667193,179951,106633
2023-03-22 01:48:00,0,0,0,717983,184593,173488
2023-03-22 01:50:00,0,0,0,543767,93935,78097
2023-03-22 01:52:00,0,0,0,717255,171122,181953
2023-03-22 01:54:00,0,0,0,632240,83467,156604
2023-03-22 01:56:00,0,0,0,658637,171486,102946
2023-03-22 01:58:00,0,0,0,691587,175400,166889
2023-03-22 02:00:00,0,0,0,550138,87882,81783
2023-03-22 02:02:00,0,0,45.5,726676,922010,541491
2023-03-22 02:04:00,0,0,45.5,595604,100807,159881
2023-03-22 02:06:00,0,0,0,673475,226554,110000
2023-03-22 02:08:00,0,0,0,811873,217725,165433
2023-03-22 02:10:00,0,0,410,538260,89839,85834
2023-03-22 02:12:00,0,0,410,787934,176447,218908
2023-03-22 02:14:00,0,0,0,681119,120970,216724
2023-03-22 02:16:00,0,0,0,632786,155102,88156
2023-03-22 02:18:00,0,0,0,717801,179723,229558
2023-03-22 02:20:00,0,0,410,552459,90704,91159
2023-03-22 02:22:00,0,0,410,746291,174399,176492
2023-03-22 02:24:00,0,0,0,686171,115234,165706
2023-03-22 02:26:00,0,0,0,604251,151279,83922
2023-03-22 02:28:00,0,0,728,708699,181680,173488
2023-03-22 02:30:00,0,0,592,549865,97849,91496
2023-03-22 02:32:00,0,0,0,712595,182773,225508
2023-03-22 02:34:00,0,0,0,666237,117783,220911
2023-03-22 02:36:00,0,0,0,634152,155284,81374
2023-03-22 02:38:00,0,0,0,751616,190009,169893
2023-03-22 02:40:00,0,0,0,525244,93571,91887
2023-03-22 02:42:00,0,0,0,722489,167936,177994
2023-03-22 02:44:00,0,0,0,674247,117100,166025
2023-03-22 02:46:00,0,0,0,586047,152826,75184
2023-03-22 02:48:00,0,0,0,724264,182206,181180
2023-03-22 02:50:00,0,0,0,547317,97303,97075
2023-03-22 02:52:00,0,0,0,722489,176128,172078
2023-03-22 02:54:00,0,0,0,667739,108590,175218
2023-03-22 02:56:00,0,0,0,589369,151825,85817
2023-03-22 02:58:00,0,0,0,717392,173534,172715
2023-03-22 03:00:00,0,0,0,543949,89748,80191
2023-03-22 03:02:00,0,0,0,715662,450059,254589
2023-03-22 03:04:00,0,0,0,674702,394536,255181
2023-03-22 03:06:00,0,0,0,629601,144134,76049
2023-03-22 03:08:00,0,0,0,734549,184138,163840
2023-03-22 03:10:00,0,0,0,569572,95710,77096
2023-03-22 03:12:00,0,0,0,693362,181089,179450
2023-03-22 03:14:00,0,0,228,689493,121378,166571
2023-03-22 03:16:00,0,0,228,635062,145271,88474
2023-03-22 03:18:00,0,0,0,710838,174080,176037
2023-03-22 03:20:00,0,0,0,528384,95346,84241
2023-03-22 03:22:00,0,0,0,713341,176447,168892
2023-03-22 03:24:00,0,0,0,692588,109909,168801
2023-03-22 03:26:00,0,0,0,565749,150642,76777
2023-03-22 03:28:00,0,0,0,720486,179541,174171
2023-03-22 03:30:00,0,0,0,561334,88018,88201
2023-03-22 03:32:00,0,0,0,711157,169802,217407
2023-03-22 03:34:00,0,0,0,641388,109818,217134
2023-03-22 03:36:00,0,0,0,603204,151916,79599
2023-03-22 03:38:00,0,0,0,714388,185412,170849
2023-03-22 03:40:00,0,0,0,549547,94845,88792
2023-03-22 03:42:00,0,0,0,710155,176174,219955
2023-03-22 03:44:00,0,0,0,668786,124928,225826
2023-03-22 03:46:00,0,0,0,609530,151142,93753
2023-03-22 03:48:00,0,0,0,779651,179041,177539
2023-03-22 03:50:00,0,0,0,547999,92023,84878
2023-03-22 03:52:00,0,0,0,717619,178677,174717
2023-03-22 03:54:00,0,0,273,672199,105540,177266
2023-03-22 03:56:00,0,0,0,603614,139674,82102
2023-03-22 03:58:00,0,0,0,731546,181726,169574
2023-03-22 04:00:00,0,0,0,559332,89202,84605
2023-03-22 04:02:00,0,0,0,698231,873540,528430
2023-03-22 04:04:00,0,0,0,639704,117373,183906
